,address,beds,bath,area,maintenance,type,parking,taxes,built,mlsNumber,levels,garage,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice
0,"31916 Coral Ave, Abbotsford, BC",5.0,2.0,2502 sqft,,Single Family Residence,3.0,"$4,676",1971.0,R2799412,Residential,Yes,$399,16/08/2023,"$999,000",17/07/2023,"$999,000"
1,"113 - 33538 Marshall Rd, Abbotsford, BC",2.0,2.0,921 sqft,,Apartment/Condominium,1.0,"$1,642",2009.0,R2797152,Residential,Yes,$542,15/08/2023,"$498,500",09/07/2023,"$499,999"
2,"207 - 33490 Cottage Lane, Abbotsford, BC",1.0,1.0,884 sqft,,Apartment/Condominium,1.0,$858,1980.0,R2789926,Residential,Yes,$304,15/08/2023,"$250,000",21/06/2023,"$269,000"
3,"510 - 2493 Montrose Ave, Abbotsford, BC",2.0,2.0,874 sqft,,Apartment/Condominium,1.0,"$2,168",2020.0,R2804269,Residential,Yes,$628,15/08/2023,"$545,000",07/08/2023,"$549,700"
4,"212 - 33545 Rainbow Ave, Abbotsford, BC",2.0,2.0,924 sqft,,Apartment/Condominium,1.0,"$1,581",2007.0,R2805119,Residential,Yes,$535,,,,
5,"34095 Woodbine St, Abbotsford, BC",4.0,3.0,3262 sqft,,Single Family Residence,8.0,"$5,533",1968.0,R2779627,Residential,No,$520,15/08/2023,"$1,600,000",23/05/2023,"$1,699,000"
6,"35200 Mccorkell Dr, Abbotsford, BC",4.0,2.0,3074 sqft,,Single Family Residence,6.0,"$4,065",1985.0,R2790100,Residential,Yes,$357,,,,
7,"514 - 3080 Gladwin Rd, Abbotsford, BC",2.0,2.0,806 sqft,,Apartment/Condominium,1.0,"$2,044",2017.0,R2796372,Residential,Yes,$743,14/08/2023,"$582,500",09/07/2023,"$599,000"
8,"34232 Old Yale Rd, Abbotsford, BC",4.0,3.0,3208 sqft,,Single Family Residence,7.0,"$4,465",1982.0,R2796972,Residential,Yes,$420,,,,
9,"115 - 2233 Mckenzie Rd, Abbotsford, BC",1.0,1.0,702 sqft,,Apartment/Condominium,1.0,"$1,261",2009.0,R2802235,Residential,Yes,$569,,,,
10,,,,,,,,,,,,,,,,,
11,"33 - 3087 Immel St, Abbotsford, BC",3.0,2.0,1626 sqft,,Townhouse,0.0,"$2,254",1990.0,R2783807,Residential,Yes,$408,,,,
12,"9 - 31313 Livingstone Ave, Abbotsford, BC",2.0,1.0,681 sqft,,Manufactured Home,3.0,$320,1975.0,R2804247,Residential,No,$286,14/08/2023,"$187,000",08/08/2023,"$195,000"
13,"406 - 2962 Trethewey St, Abbotsford, BC",2.0,2.0,916 sqft,,Apartment/Condominium,1.0,"$1,598",1994.0,R2798814,Residential,Yes,$436,,,,
14,,,,,,,,,,,,,,,,,
15,"2855 Mountview St, Abbotsford, BC",7.0,3.0,3673 sqft,,Single Family Residence,8.0,"$5,336",1986.0,R2783708,Residential,Yes,$399,,,,
16,,,,,,,,,,,,,,,,,
