,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
0,"702 - 4689 Hazel St, Burnaby, BC",1,1,724 sqft,,1,"$1,449",1994,R2887450,Residential,Yes,,$827,02/07/2024,"$585,000",26/05/2024,"$599,000",Apartment/Condominium
1,"106 - 6759 Willingdon Ave, Burnaby, BC",1,1,698 sqft,,1,"$1,116",1976,R2898391,Residential,Yes,,$598,02/07/2024,"$460,000",23/06/2024,"$418,000",Apartment/Condominium
2,"4136 Cambridge St, Burnaby, BC",4,2,1886 sqft,,2,"$5,088",1914,R2894817,Residential,Yes,,"$1,006",02/07/2024,"$1,830,000",12/06/2024,"$1,898,000",Single Family Residence
3,"311 - 7000 21st Ave, Burnaby, BC",2,1,1021 sqft,,1,"$2,112",2005,R2898921,Residential,Yes,,$779,02/07/2024,"$803,000",24/06/2024,"$796,000",Townhouse
4,"1506 - 6383 Mckay Ave, Burnaby, BC",2,2,804 sqft,,1,"$2,597",2020,R2880501,Residential,Yes,,$993,01/07/2024,"$870,000",05/05/2024,"$799,000",Apartment/Condominium
5,"608 - 2188 Madison Ave, Burnaby, BC",2,2,878 sqft,,1,"$2,364",2018,R2880722,Residential,Yes,,$967,30/06/2024,"$840,000",06/05/2024,"$849,900",Apartment/Condominium
6,"609 - 8940 University Cres, Burnaby, BC",2,2,961 sqft,,1,"$2,038",2021,R2895135,Residential,Yes,,$715,29/06/2024,"$705,000",13/06/2024,"$688,000",Apartment/Condominium
7,"1206 - 7328 Arcola St, Burnaby, BC",1,1,626 sqft,,2,"$1,488",2009,R2892563,Residential,Yes,,$982,29/06/2024,"$595,000",09/06/2024,"$615,000",Apartment/Condominium
8,"1708 - 6576 Marlborough Ave, Burnaby, BC",2,2,781 sqft,,1,,2027,R2901086,Residential,Yes,,"$1,264",29/06/2024,"$987,900",28/06/2024,"$987,900",Apartment/Condominium
9,"304 - 6188 Patterson Ave, Burnaby, BC",2,2,1168 sqft,,2,"$2,000",1993,R2842032,Residential,Yes,,$812,29/06/2024,"$918,000",15/01/2024,"$949,000",Apartment/Condominium
10,"303 - 3811 Hastings St, Burnaby, BC",2,2,760 sqft,,1,"$1,901",2007,R2897382,Residential,Yes,,$894,28/06/2024,"$670,000",19/06/2024,"$679,900",Apartment/Condominium
11,"1009 - 6576 Marlborough Ave, Burnaby, BC",2,2,781 sqft,,1,,2027,R2900492,Residential,Yes,,"$1,239",28/06/2024,"$967,900",26/06/2024,"$967,900",Apartment/Condominium
12,"412 - 3811 Hastings St, Burnaby, BC",2,2,975 sqft,,1,"$2,250",2006,R2894807,Residential,Yes,,$768,28/06/2024,"$720,000",12/06/2024,"$749,000",Apartment/Condominium
13,"PH1 - 2355 Madison Ave, Burnaby, BC",3,2,1800 sqft,,3,"$4,452",2007,R2890490,Residential,Yes,,"$1,110",27/06/2024,"$1,877,777",03/06/2024,"$1,998,000",Apartment/Condominium
14,"3812 Eton St, Burnaby, BC",5,3,3590 sqft,,2,"$7,375",1994,R2892429,Residential,Yes,,$738,26/06/2024,"$2,650,000",11/06/2024,"$2,649,888",Single Family Residence
15,"707 - 3920 Hastings St, Burnaby, BC",2,1,1116 sqft,,1,"$1,669",1986,R2896171,Residential,Yes,,$581,26/06/2024,"$640,000",17/06/2024,"$649,000",Apartment/Condominium
16,"105 - 3883 Laurel St, Burnaby, BC",1,1,670 sqft,,1,$986,1983,R2899500,Residential,Yes,,$716,25/06/2024,"$479,500",25/06/2024,"$479,999",Apartment/Condominium
17,"2905 - 4720 Lougheed Highway, Burnaby, BC",1,1,506 sqft,,1,"$1,480",2022,R2896811,Residential,Yes,,"$1,183",25/06/2024,"$643,900",18/06/2024,"$599,000",Apartment/Condominium
18,"2207 - 3809 Evergreen Pl, Burnaby, BC",2,2,822 sqft,,1,,2023,R2888767,Residential,Yes,,"$1,045",25/06/2024,"$859,000",28/05/2024,"$859,000",Apartment/Condominium
19,"13 - 3379 Morrey Crt, Burnaby, BC",3,2,1328 sqft,,2,"$2,821",2005,R2884826,Residential,Yes,,$856,25/06/2024,"$1,118,000",14/05/2024,"$1,138,000",Townhouse
20,"306 - 4194 Maywood St, Burnaby, BC",2,1,905 sqft,,1,"$1,580",1985,R2896827,Residential,Yes,,$693,25/06/2024,"$620,000",16/06/2024,"$628,000",Apartment/Condominium
21,"1606 - 5611 Goring St, Burnaby, BC",2,2,1118 sqft,,2,"$2,316",2008,R2895491,Residential,Yes,,$787,25/06/2024,"$880,000",16/06/2024,"$880,000",Apartment/Condominium
22,"1201 - 5800 Wilson Ave, Burnaby, BC",1,1,546 sqft,,1,,2028,R2900634,Residential,Yes,,"$1,425",25/06/2024,"$778,400",25/06/2024,"$778,400",Apartment/Condominium
23,"606 - 6622 Southoaks Cres, Burnaby, BC",3,2,1181 sqft,,1,"$2,040",1997,R2893907,Residential,Yes,,$677,25/06/2024,"$792,000",11/06/2024,"$799,999",Apartment/Condominium
24,"411 - 7123 11 Th Ave, Burnaby, BC",2,2,865 sqft,,1,,2024,R2891032,Residential,Yes,,"$1,023",24/06/2024,"$819,047",04/06/2024,"$885,000",Apartment/Condominium
25,"301 - 7428 Byrnepark Walk, Burnaby, BC",3,2,949 sqft,,2,"$2,175",2010,R2883152,Residential,Yes,,$947,24/06/2024,"$870,000",13/05/2024,"$899,000",Apartment/Condominium
26,"503 - 4118 Dawson St, Burnaby, BC",1,1,639 sqft,,1,"$1,532",2006,R2889374,Residential,Yes,,$891,24/06/2024,"$550,000",29/05/2024,"$569,900",Apartment/Condominium
27,"10 - 6498 Elgin Ave, Burnaby, BC",3,3,1416 sqft,,2,"$3,176",2007,R2897042,Residential,Yes,,$846,24/06/2024,"$1,238,000",18/06/2024,"$1,199,000",Townhouse
28,"1101 - 6838 Station Hill Dr, Burnaby, BC",2,2,1086 sqft,,1,"$1,997",1996,R2896432,Residential,Yes,,$717,24/06/2024,"$778,800",16/06/2024,"$778,800",Apartment/Condominium
29,"8866 Yarrow Pl, Burnaby, BC",5,4,2517 sqft,,4,"$5,665",1991,R2894098,Residential,Yes,,$750,24/06/2024,"$1,950,888",11/06/2024,"$1,888,000",Single Family Residence
30,"2304 - 6576 Marlborough Ave, Burnaby, BC",1,1,538 sqft,,1,,2027,R2900240,Residential,Yes,,"$1,345",24/06/2024,"$723,900",24/06/2024,"$723,900",Apartment/Condominium
31,"1301 - 2232 Douglas Rd, Burnaby, BC",2,2,900 sqft,,1,"$2,163",2012,R2892406,Residential,Yes,,$920,24/06/2024,"$816,000",09/06/2024,"$828,000",Apartment/Condominium
32,"5401 - 4880 Lougheed Highway, Burnaby, BC",1,1,550 sqft,,1,,2024,R2869809,Residential,Yes,,"$1,343",23/06/2024,"$720,800",07/04/2024,"$738,800",Apartment/Condominium
33,"2402 - 6699 Dunblane Ave, Burnaby, BC",3,2,926 sqft,,1,"$3,240",2021,R2890046,Residential,Yes,,"$1,090",23/06/2024,"$1,060,000",02/06/2024,"$1,010,000",Apartment/Condominium
34,"103 - 3811 Hastings St, Burnaby, BC",2,2,763 sqft,,1,"$1,879",2007,R2893090,Residential,Yes,,$903,23/06/2024,"$680,000",09/06/2024,"$689,000",Apartment/Condominium
35,"203A - 7025 Stride Ave, Burnaby, BC",3,2,1091 sqft,,1,"$1,825",1992,R2889180,Residential,Yes,,$687,23/06/2024,"$740,000",27/05/2024,"$749,900",Apartment/Condominium
