,Unnamed: 0,address,beds,bath,area,maintenance,type,parking,taxes,built,mlsNumber,levels,garage,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice
0,0,"1201 - 728 Farrow St, Coquitlam, BC",2.0,2.0,1733 sqft,,Apartment/Condominium,2.0,"$2,859",1991.0,R2888552,Residential,Yes,$634,02/07/2024,"$1,020,000",28/05/2024,"$1,099,999"
1,1,"304 - 3132 Dayanee Springs Blvd, Coquitlam, BC",2.0,2.0,863 sqft,,Apartment/Condominium,2.0,"$2,140",2009.0,R2882611,Residential,Yes,$786,01/07/2024,"$650,000",13/05/2024,"$679,000"
2,2,"3301 - 567 Clarke Rd, Coquitlam, BC",2.0,2.0,926 sqft,,Apartment/Condominium,1.0,"$2,151",2021.0,R2881009,Residential,Yes,"$1,012",27/06/2024,"$938,000",07/05/2024,"$938,000"
3,3,"39 - 1561 Booth Ave, Coquitlam, BC",2.0,1.0,929 sqft,,Townhouse,1.0,"$2,138",1997.0,R2896821,Residential,Yes,$699,26/06/2024,"$637,000",18/06/2024,"$649,900"
4,4,"117 - 1190 Pacific St, Coquitlam, BC",1.0,1.0,689 sqft,,Apartment/Condominium,1.0,"$1,160",1988.0,R2881317,Residential,Yes,$724,26/06/2024,"$480,000",08/05/2024,"$499,000"
5,5,"34 - 2905 Norman Ave, Coquitlam, BC",3.0,1.0,1470 sqft,,Townhouse,1.0,"$2,193",1978.0,R2887397,Residential,No,$544,26/06/2024,"$772,500",26/05/2024,"$799,900"
6,6,"218 - 1150 Kensal Pl, Coquitlam, BC",1.0,1.0,698 sqft,,Apartment/Condominium,2.0,"$1,700",2012.0,R2898285,Residential,Yes,$881,26/06/2024,"$615,000",23/06/2024,"$614,995"
7,7,"2004 - 555 Delestre Ave, Coquitlam, BC",2.0,2.0,1010 sqft,,Apartment/Condominium,2.0,"$2,597",2008.0,R2896531,Residential,Yes,$712,25/06/2024,"$716,000",17/06/2024,"$719,800"
8,8,"214 601 North Rd, Coquitlam, BC",1.0,1.0,630 sqft,,Apartment/Condominium,1.0,"$1,422",1977.0,R2895546,Residential,Yes,$730,25/06/2024,"$455,000",16/06/2024,"$460,000"
9,9,"106 - 1331 Olmsted St, Coquitlam, BC",3.0,2.0,1321 sqft,,Townhouse,2.0,,2024.0,R2887810,Residential,Yes,$885,24/06/2024,"$1,169,900",26/05/2024,"$1,169,900"
10,10,"31 - 1240 Falcon Dr, Coquitlam, BC",3.0,1.0,1357 sqft,,Townhouse,1.0,"$2,326",1982.0,R2882951,Residential,No,$545,24/06/2024,"$730,000",14/05/2024,"$739,900"
