,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
0,"610 - 9015 120 St, Delta, BC",1,1,644 sqft,,1,"$1,315",2019,R2896874,Residential,Yes,,$774,28/06/2024,"$485,000",18/06/2024,"$499,000",Apartment/Condominium
1,"137 - 5550 Admiral Way, Delta, BC",4,2,1665 sqft,,3,"$3,472",2017,R2898852,Residential,Yes,,$672,26/06/2024,"$1,115,000",24/06/2024,"$1,120,000",Townhouse
2,"102 - 4955 River Rd, Delta, BC",2,2,1401 sqft,,2,"$2,563",1990,R2887819,Residential,Yes,,$677,24/06/2024,"$925,000",26/05/2024,"$949,000",Apartment/Condominium
3,"7 - 4756 62 St, Delta, BC",3,2,1551 sqft,,2,"$3,012",1991,R2896418,Residential,No,,$580,24/06/2024,"$1,005,000",17/06/2024,"$899,900",Townhouse
4,"897 Gale Pl, Delta, BC",5,2,2753 sqft,,6,"$5,738",1970,R2896382,Residential,Yes,,$753,24/06/2024,"$2,175,000",17/06/2024,"$2,075,000",Single Family Residence
5,"5389 Laurel Way, Delta, BC",3,2,1850 sqft,,4,"$4,343",1986,R2895382,Residential,Yes,,$702,23/06/2024,"$1,351,333",16/06/2024,"$1,299,999",Single Family Residence
6,"6032 45 Ave, Delta, BC",5,2,2045 sqft,,3,"$3,903",1977,R2896052,Residential,Yes,,$635,23/06/2024,"$1,381,000",17/06/2024,"$1,299,000",Single Family Residence
7,"4486 61 St, Delta, BC",4,2,2491 sqft,,1,"$3,958",1977,R2874693,Residential,Yes,,$561,23/06/2024,"$1,345,000",23/04/2024,"$1,399,900",Single Family Residence
8,"1809 - 11967 80 Ave, Delta, BC",2,1,576 sqft,,1,"$2,220",2017,R2890971,Residential,Yes,,$954,23/06/2024,"$567,500",04/06/2024,"$549,900",Apartment/Condominium
9,"96 - 5311 Admiral Way, Delta, BC",4,4,2720 sqft,,4,,2024,R2897551,Residential,Yes,,$782,23/06/2024,"$2,128,000",18/06/2024,"$2,128,000",Townhouse
10,"5050 Wallace Ave, Delta, BC",3,2,1863 sqft,,4,"$5,232",1973,R2896720,Residential,No,,$778,22/06/2024,"$1,500,000",17/06/2024,"$1,449,900",Single Family Residence
