,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
0,Detached,"$3,432",-,Attached,,X2238477,,Bungalow,,,"3012 Creekside Dr, Abbotsford, BC",2,2,2,10/11/2011,"$387,500",29/12/2011,"$376,400"
1,Detached,"$5,350",-,Built-In,,X2329035,,2-Storey,,,"3448 Blueberry Crt, Abbotsford, BC",4,4,4,04/04/2012,"$659,000",01/05/2012,"$628,000"
2,Detached,"$3,098",-,Carport,,X2157158,,2-Storey,,,"2545 Lilac Cres, Abbotsford, BC",2,2,4,18/07/2011,"$349,000",30/08/2011,"$342,000"
3,Single Family Residence,"$3,092",1056 sqft,No,$710,R2714676,,Residential,1977,,"2975 Oriole Cres, Abbotsford, BC",1,3,3,04/08/2022,"$750,000",11/08/2022,"$720,000"
4,Condo Townhouse,"$2,068",1200-1399 sqft,Attached,$212,X3164352,,3-Storey,,,"44 - 4401 Blauson Blvd, Abbotsford, BC",2,3,1,08/04/2015,"$276,500",19/05/2015,"$268,500"
5,Detached,"$4,032",-,Built-In,,X2210430,,2-Storey,,,"3556 Dunsmuir Way, Abbotsford, BC",4,4,2,30/09/2011,"$469,900",06/11/2011,"$463,500"
6,Single Family Residence,,-,No,,R2849526,,Residential Lease,,,"34629 York Ave, Abbotsford, BC",2,3,2,11/02/2024,"$2,475",20/03/2024,"$2,475"
7,Detached,"$3,896",-,Attached,,X3324555,60 feet x 190 feet,Bungalow,,,"1838 Dahl Cres, Abbotsford, BC",3,4,4,25/09/2015,"$515,000",30/09/2015,"$480,000"
8,Single Family Residence,,2876 sqft,Yes,$333,R2580853,,Residential,1989,,"31159 Creekside Dr, Abbotsford, BC",3,5,0,12/05/2021,"$959,900",17/05/2021,"$1,120,000"
9,Single Family Residence,"$6,278",5419 sqft,Yes,$304,R2560398,,Residential,2006,,"3867 Brighton Pl, Abbotsford, BC",5,8,0,05/04/2021,"$1,649,000",14/05/2021,"$1,555,000"
10,Single Family Residence,"$4,593",2694 sqft,Yes,$476,R2579820,,Residential,1998,,"3495 Viewmount Pl, Abbotsford, BC",4,6,2,11/05/2021,"$1,285,000",17/05/2021,"$1,255,000"
11,Single Family Residence,"$7,493",5640 sqft,Yes,$363,R2573425,,Residential,2019,,"2084 Meadows St, Abbotsford, BC",8,11,0,25/04/2021,"$2,049,700",17/05/2021,"$1,951,000"
12,Single Family Residence,"$4,586",2961 sqft,No,$556,R2572447,,Residential,1991,,"41510 Old Yale Rd, Abbotsford, BC",3,4,0,26/04/2021,"$1,649,000",19/05/2021,"$1,600,000"
13,Townhouse,"$2,320",1600 sqft,Yes,$362,R2586708,,Residential,1989,,"3087 Immel St, Abbotsford, BC",2,3,0,30/05/2021,"$579,900",09/06/2021,"$577,000"
14,Single Family Residence,"$6,378",4673 sqft,Yes,$427,R2568505,,Residential,2019,,"32239 Autumn Ave, Abbotsford, BC",6,8,0,19/04/2021,"$1,999,999",16/05/2021,"$1,900,000"
15,Single Family Residence,"$4,561",3282 sqft,Yes,$303,R2579597,,Residential,1978,,"35244 Knox Cres, Abbotsford, BC",3,4,0,11/05/2021,"$996,000",16/05/2021,"$1,110,000"
16,Townhouse,"$2,781",2005 sqft,Yes,$373,R2579507,,Residential,1994,,"3160 Townline Rd, Abbotsford, BC",3,5,0,11/05/2021,"$749,000",-,-
17,Townhouse,"$2,445",1432 sqft,Yes,$467,R2583583,,Residential,2012,,"31098 Westridge Pl, Abbotsford, BC",3,3,0,26/05/2021,"$669,900",28/06/2021,"$650,000"
18,Single Family Residence,"$2,863",1632 sqft,No,$468,R2584162,,Residential,2004,,"34616 7 Th Ave, Abbotsford, BC",2,3,0,25/05/2021,"$764,900",28/05/2021,"$860,000"
19,Single Family Residence,"$3,457",3123 sqft,Yes,$383,R2583076,,Residential,1932,,"33921 Elm St, Abbotsford, BC",4,6,0,19/05/2021,"$1,198,900",28/05/2021,"$1,170,000"
20,Single Family Residence,"$3,981",2304 sqft,Yes,$455,R2571712,,Residential,1984,,"3382 Saanich St, Abbotsford, BC",3,5,0,25/04/2021,"$1,049,900",27/05/2021,"$1,033,113"
21,Single Family Residence,"$2,968",1242 sqft,No,$644,R2586404,,Residential,1942,,"2352 Hillside Dr, Abbotsford, BC",1,2,0,27/05/2021,"$799,900",27/05/2021,"$759,000"
22,Single Family Residence,"$3,411",1976 sqft,Yes,$455,R2584091,,Residential,1980,,"3060 Mccrae St, Abbotsford, BC",2,3,0,20/05/2021,"$899,900",27/05/2021,"$929,000"
23,Townhouse,"$2,442",1431 sqft,Yes,$407,R2585186,,Residential,1993,,"2023 Winfield Dr, Abbotsford, BC",2,3,0,26/05/2021,"$582,500",26/05/2021,"$590,000"
