,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
0,Condo Townhouse,"$2,314",900-999 sqft,None,$684,X3628125,,Stacked Townhse,,,"107 - 4272 Canada Way, Burnaby, BC",1,2,2,12/10/2016,"$650,000",23/10/2016,"$633,000"
1,Condo Townhouse,"$1,242",800-899 sqft,Undergrnd,$735,X4372976,,2-Storey,,,"109 - 4272 Albert St, Burnaby, BC",1,1,1,04/03/2019,"$625,000",08/03/2019,"$627,000"
2,Detached,"$2,810",-,Attached,,X2182392,,2-Storey,,,"7 Canada Way, Burnaby, BC",3,3,4,24/08/2011,"$669,500",06/09/2011,"$662,000"
3,Condo Apt,"$1,820",800-899 sqft,Undergrnd,$376,X3217453,,Apartment,,$280,"206 - 5932 Canada Way, Burnaby, BC",1,2,1,29/05/2015,"$319,990",15/06/2015,"$304,725"
4,Detached,"$3,500",2500-3000 sqft,Carport,$270,X3395212,65 feet x 120 feet,2-Storey,,,"14858 Canada Way, Burnaby, BC",3,5,4,16/01/2016,"$745,000",30/01/2016,"$721,000"
5,Detached,"$3,710",-,None,,X3234981,,2-Storey,,,"116 Ellesmere Ave N, Burnaby, BC",2,3,0,15/06/2015,"$1,120,000",23/06/2015,"$1,100,000"
6,Condo Apt,$895,500-599 sqft,Undergrnd,$334,X2123009,,Apartment,,$185,"1007 - 828 Canada Way, Burnaby, BC",1,1,1,03/06/2011,"$183,900",09/09/2011,"$182,000"
7,Condo Townhouse,"$1,322",1600-1799 sqft,Attached,$258,X2267179,,3-Storey,,,"8587 Canada Way, Burnaby, BC",3,4,2,15/01/2012,"$439,900",19/04/2012,"$437,500"
8,Multi Family,"$3,006",1324 sqft,Yes,$906,R2575049,,Residential,2013,,"5262 Dominion St, Burnaby, BC",2,4,0,30/04/2021,"$1,199,999",18/05/2021,"$1,150,000"
9,Single Family Residence,"$7,687",3982 sqft,Yes,$685,R2554102,,Residential,2018,,"840 Kensington Ave, Burnaby, BC",6,7,0,21/03/2021,"$2,728,000",17/05/2021,"$2,683,000"
10,Single Family Residence,"$3,610",984 sqft,Yes,"$1,626",R2583521,,Residential,1944,,"7190 Gilley Ave, Burnaby, BC",2,3,0,19/05/2021,"$1,600,000",19/05/2021,"$1,475,000"
11,Townhouse,"$1,550",958 sqft,No,$677,R2696268,,Residential,1981,,"8556 Woodgrove Pl, Burnaby, BC",1,2,1,02/06/2022,"$649,000",14/07/2022,"$645,000"
12,Townhouse,"$2,154",1373 sqft,Yes,$603,R2581660,,Residential,1995,,"4155 Sardis St, Burnaby, BC",2,2,0,16/05/2021,"$828,000",20/05/2021,"$820,000"
13,Single Family Residence,"$6,864",4104 sqft,Yes,$672,R2562142,,Residential,2018,,"5106 Clinton St, Burnaby, BC",6,8,0,05/04/2021,"$2,760,000",17/05/2021,"$2,738,000"
14,Single Family Residence,"$4,882",2200 sqft,Yes,$817,R2578271,,Residential,2001,,"65 Ellesmere Ave, Burnaby, BC",4,6,0,09/05/2021,"$1,799,000",18/05/2021,"$1,920,000"
15,Single Family Residence,"$4,647",2729 sqft,Yes,$677,R2564331,,Residential,1987,,"3861 Pine St, Burnaby, BC",4,5,0,11/04/2021,"$1,850,000",19/05/2021,"$1,750,000"
16,Multi Family,"$2,797",1342 sqft,Yes,$795,R2583042,,Residential,2003,,"5366 Manor St, Burnaby, BC",2,4,0,18/05/2021,"$1,068,000",25/05/2021,"$1,038,000"
17,Single Family Residence,"$7,537",3000 sqft,No,$946,R2822296,,Residential,1954,,"8515 Royal Oak Ave, Burnaby, BC",2,3,0,03/10/2023,"$2,838,000",-,-
18,Single Family Residence,"$9,247",4003 sqft,Yes,$871,R2898653,,Residential,2018,,"2 Fell Ave N, Burnaby, BC",6,6,6,21/06/2024,"$3,488,000",-,Not Sold Yet
19,Single Family Residence,"$4,787",2466 sqft,Yes,$563,R2582672,,Residential,1993,,"4099 Forest St, Burnaby, BC",2,4,0,18/05/2021,"$1,389,000",25/05/2021,"$1,425,000"
20,Townhouse,"$3,094",1523 sqft,Yes,$655,R2578383,,Residential,2007,,"7051 17th Ave, Burnaby, BC",2,3,0,09/05/2021,"$998,000",25/05/2021,"$1,100,000"
21,Townhouse,,1136 sqft,Yes,$879,R2594294,,Residential,2020,,"7131 17th Ave, Burnaby, BC",2,3,0,17/06/2021,"$999,000",-,-
22,Single Family Residence,"$5,000",2245 sqft,Yes,$712,R2581561,,Residential,1990,,"99 Springer Ave N, Burnaby, BC",2,3,0,16/05/2021,"$1,599,000",25/05/2021,"$1,628,000"
23,Townhouse,"$1,751",1250 sqft,Yes,$519,R2581210,,Residential,1981,,"9151 Forest Grove Dr, Burnaby, BC",2,3,0,16/05/2021,"$649,900",25/05/2021,"$804,320"
24,Townhouse,"$1,786",1486 sqft,No,$501,R2584709,,Residential,1976,,"9876 Millbrook Lane, Burnaby, BC",1,3,1,24/05/2021,"$745,000",30/05/2021,"$737,500"
25,Single Family Residence,"$6,008",2375 sqft,Yes,$883,R2573191,,Residential,2019,,"5610 Dundas St, Burnaby, BC",4,4,0,27/04/2021,"$2,099,000",29/05/2021,"$2,050,000"
26,Townhouse,"$1,868",958 sqft,Yes,$730,R2584133,,Residential,1994,,"3709 Pender St, Burnaby, BC",1,2,0,23/05/2021,"$699,999",29/05/2021,"$735,000"
27,Multi Family,"$4,299",2486 sqft,No,$603,R2578889,,Residential,1982,,"4382 Carleton Ave, Burnaby, BC",3,5,0,10/05/2021,"$1,499,900",30/05/2021,"$1,463,999"
28,Single Family Residence,"$7,617",4135 sqft,Yes,$677,R2557234,,Residential,2019,,"1740 Howard Ave, Burnaby, BC",7,9,0,25/03/2021,"$2,799,888",30/05/2021,"$2,680,000"
29,Townhouse,"$2,688",1610 sqft,Yes,$695,R2587176,,Residential,2006,,"6736 Southpoint Dr, Burnaby, BC",2,3,0,30/05/2021,"$1,119,999",30/05/2021,"$1,100,000"
30,Single Family Residence,"$6,406",4836 sqft,Yes,$475,R2549379,,Residential,1994,,"7949 Macpherson Ave, Burnaby, BC",6,8,6,09/03/2021,"$2,300,000",30/05/2021,"$2,200,000"
31,Townhouse,"$1,647",1111 sqft,No,$557,R2582143,,Residential,1977,,"8208 Amberwood Pl, Burnaby, BC",1,3,0,18/05/2021,"$619,000",30/05/2021,"$660,000"
