,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
0,Townhouse,,2138 sqft,Yes,$462,R2450331,,Residential,2020,,"82 - 3306 Princeton Ave, Coquitlam, BC",4,4,2,13/04/2020,"$988,000",19/05/2020,"$948,000"
1,Single Family Residence,"$8,931",2694 sqft,Yes,$846,R2529380,,Residential,1972,,"712 Como Lake Ave, Coquitlam, BC",2,5,4,11/01/2021,"$2,280,000",29/03/2021,"$2,280,000"
2,Multi Family,"$3,345",1855 sqft,No,$512,R2432759,,Residential,1976,,"618 Godwin Crt, Coquitlam, BC",3,4,2,30/01/2020,"$950,000",04/01/2021,"$950,000"
3,Condo Apt,"$1,857",900-999 sqft,Undergrnd,$314,X3477367,,Apartment,,$323,"306 - 523 Whiting Way, Coquitlam, BC",2,2,2,27/04/2016,"$298,900",04/06/2016,"$330,000"
4,Apartment/Condominium,"$2,366",1022 sqft,No,$527,R2559703,,Residential,2011,,"301 - 311 Laval Sq, Coquitlam, BC",2,2,1,31/03/2021,"$538,888",06/04/2021,"$595,000"
5,Single Family Residence,"$4,191",1220 sqft,No,"$1,957",R2464209,,Residential,1937,,"1035 James Ave, Coquitlam, BC",2,4,0,09/06/2020,"$2,388,000",31/12/2020,"$1,800,000"
6,Townhouse,,1691 sqft,Yes,$591,R2573866,,Residential,2021,,"258 Hart St, Coquitlam, BC",2,3,0,27/04/2021,"$999,800",26/06/2021,"$990,000"
7,Det W/Com Elements,"$2,510",-,None,,X3008676,,2-Storey,,,"1263 River Dr, Coquitlam, BC",3,4,2,03/09/2014,"$585,000",29/09/2014,"$580,000"
8,Single Family Residence,"$4,408",1687 sqft,Yes,$681,R2542352,,Residential,2002,,"718 Morrison Ave, Coquitlam, BC",1,3,0,22/02/2021,"$1,148,888",18/05/2021,"$1,000,000"
9,Single Family Residence,"$5,904",3794 sqft,Yes,$497,R2568612,,Residential,2011,,"3407 Princeton Ave, Coquitlam, BC",3,5,0,18/04/2021,"$1,888,000",18/05/2021,"$1,830,000"
10,Single Family Residence,"$5,462",2273 sqft,Yes,$874,R2560071,,Residential,1962,,"647 Madore Ave, Coquitlam, BC",2,5,0,31/03/2021,"$1,988,000",18/05/2021,"$1,950,000"
11,Townhouse,"$3,647",2099 sqft,Yes,$476,R2575569,,Residential,1993,,"2998 Robson Dr, Coquitlam, BC",2,3,0,02/05/2021,"$999,999",20/05/2021,"$999,999"
12,Apartment/Condominium,,838 sqft,Yes,$810,R2581755,,Residential,2021,,"606 - 700 Clarke Rd, Coquitlam, BC",2,2,1,16/05/2021,"$679,000",18/05/2021,"$700,000"
13,Single Family Residence,,-,No,,R2890832,,Residential Lease,,,"1587 Hammond Ave, Coquitlam, BC",1,3,0,04/06/2024,"$3,200",-,Not Leased Yet
14,Multi Family,"$3,831",1795 sqft,Yes,$779,R2572209,,Residential,2013,,"688 Fairview St, Coquitlam, BC",2,3,0,26/04/2021,"$1,399,900",21/05/2021,"$1,350,000"
15,Single Family Residence,"$10,792",8191 sqft,Yes,$366,R2581361,,Residential,2003,,"1501 Stonecrop Crt, Coquitlam, BC",6,8,0,16/05/2021,"$2,999,000",19/05/2021,"$3,080,000"
16,Townhouse,"$3,889",2172 sqft,Yes,$552,R2579587,,Residential,2009,,"1357 Purcell Dr, Coquitlam, BC",3,4,0,11/05/2021,"$1,199,900",24/05/2021,"$1,183,000"
17,Single Family Residence,,-,No,,R2817379,,Residential Lease,,,"1016 Hibbard Ave, Coquitlam, BC",2,3,1,18/09/2023,"$4,000",26/10/2023,"$3,900"
18,Single Family Residence,"$4,716",2413 sqft,Yes,$616,R2578057,,Residential,2003,,"3297 Canterbury Lane, Coquitlam, BC",3,4,0,09/05/2021,"$1,488,000",27/05/2021,"$1,488,000"
19,Single Family Residence,"$4,066",2200 sqft,Yes,$590,R2577562,,Residential,1965,,"1723 Charland Ave, Coquitlam, BC",2,4,0,05/05/2021,"$1,299,888",27/05/2021,"$1,200,000"
20,Single Family Residence,"$6,023",3907 sqft,Yes,$492,R2575330,,Residential,2017,,"3551 Archworth Ave, Coquitlam, BC",5,7,0,02/05/2021,"$1,925,000",28/05/2021,"$1,870,000"
21,Single Family Residence,"$4,654",2000 sqft,Yes,$789,R2581772,,Residential,1963,,"1579 Hammond Ave, Coquitlam, BC",2,4,0,16/05/2021,"$1,579,000",26/05/2021,"$1,600,000"
22,Townhouse,"$3,067",1681 sqft,Yes,$516,R2588186,,Residential,1986,,"1140 Falcon Dr, Coquitlam, BC",2,3,0,01/06/2021,"$868,000",06/06/2021,"$920,000"
23,Single Family Residence,"$4,347",2738 sqft,Yes,$474,R2570299,,Residential,1981,,"1302 Charter Hill Dr, Coquitlam, BC",3,5,0,20/04/2021,"$1,299,900",24/05/2021,"$1,240,000"
24,Single Family Residence,"$3,577",2132 sqft,Yes,$594,R2585058,,Residential,1986,,"2997 Shiloh Pl, Coquitlam, BC",3,5,0,24/05/2021,"$1,268,000",31/05/2021,"$1,358,888"
25,Townhouse,"$2,789",1165 sqft,Yes,$745,R2582761,,Residential,2008,,"688 Edgar Ave, Coquitlam, BC",2,2,0,17/05/2021,"$869,000",31/05/2021,"$853,000"
26,Apartment/Condominium,"$2,558",926 sqft,Yes,$700,R2585504,,Residential,2008,,"906 - 575 Delestre Ave, Coquitlam, BC",2,2,2,25/05/2021,"$649,000",31/05/2021,"$655,000"
27,Single Family Residence,"$3,608",1819 sqft,No,$549,R2583964,,Residential,1979,,"3201 Dunkirk Ave, Coquitlam, BC",2,3,0,20/05/2021,"$999,900",31/05/2021,"$1,230,000"
28,Single Family Residence,"$4,770",2935 sqft,Yes,$572,R2568573,,Residential,2007,,"711 Blue Mountain St, Coquitlam, BC",3,6,0,18/04/2021,"$1,679,400",31/05/2021,"$1,625,000"
29,Single Family Residence,,1625 sqft,Yes,$830,R2584963,,Residential,1979,,"2670 Burnside Pl, Coquitlam, BC",2,4,0,19/05/2021,"$1,349,000",31/05/2021,"$1,350,000"
30,Single Family Residence,"$3,456",1783 sqft,Yes,$728,R2865011,,Residential,1983,,"1256 River Dr, Coquitlam, BC",2,4,4,29/03/2024,"$1,299,000",-,Not Sold Yet
31,Single Family Residence,"$4,789",3232 sqft,No,$426,R2584831,,Residential,1982,,"818 Delestre Ave, Coquitlam, BC",3,5,0,24/05/2021,"$1,380,000",31/05/2021,"$1,652,000"
32,Townhouse,"$3,016",1376 sqft,Yes,$544,R2585335,,Residential,2012,,"3395 Galloway Ave, Coquitlam, BC",2,3,0,25/05/2021,"$749,900",06/06/2021,"$780,000"
