,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
0,Single Family Residence,"$2,809",1645 sqft,Yes,$410,R2545860,,Residential,1989,,"3459 River Rd W, Delta, BC",1,3,0,02/03/2021,"$675,000",06/05/2021,"$660,000"
1,Single Family Residence,"$3,619",2137 sqft,No,$748,R2637647,,Residential,1969,,"8548 Terrace Dr, Delta, BC",3,5,8,06/12/2021,"$1,600,000",11/12/2021,"$1,665,000"
2,Single Family Residence,"$3,561",2903 sqft,Yes,$468,R2554944,,Residential,1972,,"8551 113b St, Delta, BC",3,5,0,18/03/2021,"$1,359,000",28/03/2021,"$1,360,000"
3,Single Family Residence,"$5,388",5604 sqft,Yes,$297,R2511330,,Residential,2007,,"11422 87a Ave, Delta, BC",4,6,7,21/10/2020,"$1,666,800",22/02/2021,"$1,530,000"
4,Single Family Residence,"$4,059",2011 sqft,No,$690,R2554613,,Residential,1960,,"862 Bayview Dr, Delta, BC",2,4,0,21/03/2021,"$1,388,000",06/04/2021,"$1,340,000"
5,Single Family Residence,"$3,857",2400 sqft,Yes,$499,R2570383,,Residential,1973,,"10927 78 Ave, Delta, BC",3,5,0,20/04/2021,"$1,199,000",25/04/2021,"$1,370,000"
6,Single Family Residence,"$3,522",1202 sqft,Yes,$747,R2551566,,Residential,1968,,"4579 60 B St, Delta, BC",1,3,0,15/03/2021,"$899,000",21/03/2021,"$1,070,000"
7,Single Family Residence,"$3,476",1215 sqft,No,"$1,217",R2573357,,Residential,1970,,"7595 119a St, Delta, BC",1,3,0,02/05/2021,"$1,479,000",06/05/2021,"$1,460,000"
8,Townhouse,"$3,164",1674 sqft,Yes,$494,R2589364,,Residential,2010,,"10415 Delsom Cres, Delta, BC",3,4,0,02/06/2021,"$828,000",13/06/2021,"$842,000"
9,Single Family Residence,"$5,597",2630 sqft,Yes,$638,R2839295,,Residential,1975,,"207 Murphy Dr W, Delta, BC",3,4,4,03/01/2024,"$1,679,900",25/01/2024,"$1,645,000"
10,Townhouse,,1661 sqft,Yes,$541,R2597480,,Residential,2022,,"11556 72a Ave, Delta, BC",3,4,0,25/06/2021,"$899,900",25/06/2021,"$899,900"
11,Townhouse,"$2,396",1356 sqft,Yes,$507,R2591489,,Residential,1976,,"5421 10 Ave, Delta, BC",1,2,0,09/06/2021,"$688,000",29/06/2021,"$680,000"
12,Single Family Residence,"$3,882",1800 sqft,Yes,$610,R2580969,,Residential,1992,,"1718 Golf Club Dr, Delta, BC",2,3,0,12/05/2021,"$1,098,000",23/05/2021,"$1,213,000"
13,Single Family Residence,"$4,604",2883 sqft,Yes,$492,R2580912,,Residential,1989,,"4572 66 St, Delta, BC",2,5,0,13/05/2021,"$1,419,000",22/05/2021,"$1,419,000"
14,Single Family Residence,"$4,161",2270 sqft,Yes,$637,R2577250,,Residential,1973,,"7670 115 St, Delta, BC",2,3,0,03/05/2021,"$1,448,000",22/05/2021,"$1,420,000"
15,Single Family Residence,"$5,164",2815 sqft,Yes,$674,R2571918,,Residential,1964,,"377 55 St, Delta, BC",3,4,0,25/04/2021,"$1,900,000",22/05/2021,"$1,850,000"
16,Single Family Residence,"$4,496",2310 sqft,Yes,$644,R2887660,,Residential,1971,,"7133 114a St, Delta, BC",2,5,6,27/05/2024,"$1,489,000",-,Not Sold Yet
17,Townhouse,"$3,116",1606 sqft,No,$528,R2583105,,Residential,1996,,"4748 54a St, Delta, BC",2,3,0,18/05/2021,"$848,000",31/05/2021,"$780,000"
18,Single Family Residence,"$4,945",3706 sqft,Yes,$485,R2576077,,Residential,1975,,"5243 Upland Dr, Delta, BC",3,5,0,03/05/2021,"$1,799,000",30/05/2021,"$1,688,000"
19,Single Family Residence,"$3,495",1922 sqft,Yes,$571,R2578128,,Residential,1971,,"11350 86 Ave, Delta, BC",1,4,0,09/05/2021,"$1,099,000",31/05/2021,"$1,175,000"
20,Single Family Residence,"$3,461",2518 sqft,No,$436,R2584667,,Residential,1969,,"7195 115 St, Delta, BC",1,3,0,24/05/2021,"$1,099,000",31/05/2021,"$1,145,000"
21,Single Family Residence,"$4,064",2359 sqft,No,$546,R2587257,,Residential,1971,,"11755 79a Ave, Delta, BC",1,3,0,30/05/2021,"$1,288,888",31/05/2021,"$1,425,000"
22,Single Family Residence,"$4,879",4956 sqft,Yes,$302,R2585481,,Residential,1972,,"5239 Wallace Ave, Delta, BC",4,8,0,24/05/2021,"$1,499,000",31/05/2021,"$1,525,000"
23,Multi Family,"$3,842",2111 sqft,No,$567,R2690556,,Residential,1995,,"357 55a St, Delta, BC",4,3,0,16/05/2022,"$1,199,000",05/07/2022,"$1,100,000"
24,Single Family Residence,"$3,428",2233 sqft,Yes,$469,R2586773,,Residential,1977,,"11701 90 Ave, Delta, BC",3,4,0,30/05/2021,"$1,048,800",07/06/2021,"$1,130,000"
25,Single Family Residence,"$5,935",2803 sqft,Yes,$673,R2561080,,Residential,2019,,"4904 45 Ave, Delta, BC",3,5,0,05/04/2021,"$1,888,000",04/06/2021,"$1,825,000"
26,Single Family Residence,"$12,017",2370 sqft,Yes,"$1,238",R2586421,,Residential,1966,,"791 Glenwood Dr, Delta, BC",2,3,0,27/05/2021,"$2,935,000",04/06/2021,"$3,000,000"
27,Single Family Residence,"$3,962",2064 sqft,No,$629,R2635576,,Residential,1974,,"7963 116a St, Delta, BC",3,5,6,23/11/2021,"$1,299,000",28/11/2021,"$1,613,000"
28,Single Family Residence,"$4,232",2742 sqft,Yes,$609,R2589902,,Residential,1989,,"6357 45 Ave, Delta, BC",2,4,0,04/06/2021,"$1,670,000",05/06/2021,"$1,670,000"
29,Single Family Residence,"$3,423",2021 sqft,Yes,$569,R2589030,,Residential,1973,,"11422 92 Ave, Delta, BC",1,4,0,03/06/2021,"$1,150,000",07/06/2021,"$1,107,000"
30,Single Family Residence,"$3,287",2320 sqft,No,$473,R2588277,,Residential,1978,,"8588 Brooke Rd, Delta, BC",3,5,0,31/05/2021,"$1,098,000",07/06/2021,"$1,285,000"
