,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
0,Townhouse,"$2,686",1255 sqft,Yes,$398,R2521848,,Residential,1990,,"401 - 19645 64 Ave, Langley, BC",2,2,1,03/12/2020,"$499,900",24/02/2021,"$475,000"
1,Det Condo,"$3,229",1800-1999 sqft,Built-In,$242,X3250190,,2-Storey,,$41,"37 - 8888 216 St, Langley, BC",4,3,1,02/07/2015,"$459,900",23/07/2015,"$454,000"
2,Townhouse,"$3,245",1153 sqft,No,$562,R2597888,,Residential,2015,,"7811 209 St, Langley, BC",2,2,0,28/06/2021,"$649,000",-,-
3,Apartment/Condominium,,735 sqft,No,$632,R2518178,,Residential,2020,,"111 - 5485 Brydon Cres, Langley, BC",1,1,1,15/11/2020,"$465,000",12/01/2021,"$433,400"
4,Single Family Residence,"$5,660",1519 sqft,Yes,$966,R2887867,,Residential,1991,,"22109 Old Yale Rd, Langley, BC",2,3,2,28/05/2024,"$1,468,000",-,Not Sold Yet
5,Townhouse,"$3,122",1756 sqft,Yes,$483,R2611448,,Residential,1993,,"160 - 20391 96 Ave, Langley, BC",2,2,4,22/08/2021,"$849,000",15/09/2021,"$840,000"
6,Condo Townhouse,"$2,311",1200-1399 sqft,Built-In,$292,X3573233,,3-Storey,,,"188 - 20033 70 Ave, Langley, BC",1,2,1,08/08/2016,"$379,888",08/08/2016,"$365,000"
7,Condo Townhouse,"$1,241",1000-1199 sqft,Surface,$199,X3270274,,2-Storey,,,"8 - 20390 53 Ave, Langley, BC",2,3,1,24/07/2015,"$218,900",10/09/2015,"$210,500"
8,Townhouse,"$3,929",1557 sqft,Yes,$641,R2575003,,Residential,1996,,"19 - 8555 209 St, Langley, BC",2,2,2,04/05/2021,"$998,800",09/05/2021,"$1,112,500"
9,Single Family Residence,"$4,869",1360 sqft,No,"$1,138",R2769496,,Residential,1972,,"20777 38a Ave, Langley, BC",2,3,0,17/04/2023,"$1,549,000",10/05/2023,"$1,425,000"
10,Townhouse,"$3,465",1395 sqft,Yes,$501,R2595108,,Residential,2015,,"8438 207a St, Langley, BC",2,3,0,21/06/2021,"$699,800",25/06/2021,"$725,000"
11,Apartment/Condominium,,1163 sqft,Yes,$515,R2567210,,Residential,2022,,"317 - 19945 Brydon Cres, Langley, BC",2,3,1,13/04/2021,"$599,900",13/05/2021,"$599,000"
12,Townhouse,"$3,571",1954 sqft,Yes,$459,R2574853,,Residential,2015,,"7686 209 St, Langley, BC",3,4,0,02/05/2021,"$898,000",10/05/2021,"$900,000"
13,Townhouse,,-,No,,R2719339,,Residential Lease,,,"19760 55 Ave, Langley, BC",3,3,2,28/08/2022,"$3,000",02/10/2022,"$3,000"
14,Single Family Residence,"$2,576",2200 sqft,Yes,"$1,636",R2568609,,Residential,2005,,"21045 18 Ave, Langley, BC",4,3,0,18/04/2021,"$3,600,000",16/05/2021,"$3,100,000"
15,Single Family Residence,"$2,776",5422 sqft,Yes,$368,R2543790,,Residential,2021,,"8388 209 B St, Langley, BC",7,7,0,28/02/2021,"$1,999,999",09/05/2021,"$2,050,000"
16,Townhouse,"$3,393",1313 sqft,Yes,$544,R2585603,,Residential,2017,,"8570 204 St, Langley, BC",2,3,0,25/05/2021,"$715,000",28/05/2021,"$735,000"
17,Townhouse,"$4,094",2075 sqft,Yes,$402,R2584240,,Residential,2011,,"20738 84 Ave, Langley, BC",3,3,0,23/05/2021,"$835,000",01/06/2021,"$800,000"
18,Apartment/Condominium,,1013 sqft,Yes,$533,R2512324,,Residential,2021,,"A410 - 20487 65 Ave, Langley, BC",2,2,2,22/10/2020,"$540,000",22/05/2021,"$532,800"
19,Townhouse,"$2,478",1395 sqft,Yes,$493,R2584607,,Residential,2019,,"19790 55a Ave, Langley, BC",2,3,0,23/05/2021,"$689,000",01/06/2021,"$730,000"
20,Manufactured Home,$981,1519 sqft,No,$220,R2583166,,Residential,1980,,"3665 244 St, Langley, BC",2,2,0,18/05/2021,"$335,000",23/05/2021,"$350,000"
21,Single Family Residence,"$4,377",1875 sqft,Yes,$682,R2572182,,Residential,1987,,"19833 48 Ave, Langley, BC",3,5,0,26/04/2021,"$1,279,900",22/05/2021,"$1,230,000"
22,Townhouse,"$3,532",1242 sqft,Yes,$574,R2590845,,Residential,2011,,"7938 209 St, Langley, BC",2,3,0,08/06/2021,"$714,000",21/06/2021,"$712,000"
23,Single Family Residence,"$4,209",2552 sqft,No,$495,R2569606,,Residential,1980,,"4377 200a St, Langley, BC",2,5,0,20/04/2021,"$1,265,000",23/05/2021,"$1,240,000"
24,Single Family Residence,"$4,433",2274 sqft,Yes,$505,R2571742,,Residential,1987,,"20366 89a Ave, Langley, BC",2,4,6,28/04/2021,"$1,149,000",27/05/2021,"$1,150,000"
25,Townhouse,"$3,393",1313 sqft,Yes,$544,R2585603,,Residential,2017,,"8570 204 St, Langley, BC",2,3,0,25/05/2021,"$715,000",28/05/2021,"$735,000"
26,Single Family Residence,"$3,992",2320 sqft,No,$516,R2564652,,Residential,1973,,"4011 206 A St, Langley, BC",1,4,0,11/04/2021,"$1,199,000",29/05/2021,"$1,137,500"
27,Townhouse,"$2,563",1431 sqft,Yes,$593,R2598907,,Residential,1988,,"5550 Langley Bypass, Langley, BC",2,2,0,04/07/2021,"$849,900",06/07/2021,"$875,100"
28,Single Family Residence,"$5,119",2945 sqft,No,$500,R2583080,,Residential,1967,,"19900 50 Ave, Langley, BC",3,4,0,18/05/2021,"$1,475,000",27/05/2021,"$1,525,888"
29,Single Family Residence,"$4,364",2021 sqft,No,$494,R2580884,,Residential,1985,,"20968 93 Ave, Langley, BC",2,5,0,14/05/2021,"$999,800",29/05/2021,"$1,060,000"
30,Single Family Residence,"$4,907",2594 sqft,No,$636,R2584402,,Residential,1974,,"5231 237 St, Langley, BC",2,5,0,24/05/2021,"$1,649,900",29/05/2021,"$1,800,000"
31,Single Family Residence,$1,4214 sqft,Yes,$427,R2586503,,Residential,2021,,"20592 72 Ave, Langley, BC",6,7,4,26/05/2021,"$1,799,900",28/05/2021,"$1,799,900"
32,Townhouse,"$3,500",1611 sqft,Yes,$464,R2599628,,Residential,2015,,"20852 77a Ave, Langley, BC",2,3,0,05/07/2021,"$749,000",10/07/2021,"$785,000"
33,Townhouse,"$3,519",1500 sqft,No,$466,R2585340,,Residential,2016,,"8217 204 B St, Langley, BC",2,3,0,25/05/2021,"$699,000",30/05/2021,"$841,000"
34,Single Family Residence,"$5,995",1685 sqft,Yes,"$1,779",R2581520,,Residential,1972,,"22125 102 Ave, Langley, BC",2,3,0,16/05/2021,"$2,998,600",30/05/2021,"$2,730,000"
35,Single Family Residence,"$5,267",2352 sqft,Yes,$616,R2699583,,Residential,1994,,"20757 91 Ave, Langley, BC",2,4,4,13/06/2022,"$1,449,000",27/06/2022,"$1,400,000"
36,Townhouse,,2776 sqft,Yes,$504,R2596907,,Residential,2021,,"4750 228 St, Langley, BC",3,4,0,27/06/2021,"$1,400,000",27/06/2021,"$1,350,000"
37,Single Family Residence,"$4,043",2280 sqft,No,$569,R2571792,,Residential,1975,,"4631 198c St, Langley, BC",3,4,0,24/04/2021,"$1,298,000",30/05/2021,"$1,298,000"
38,Single Family Residence,"$6,549",3983 sqft,Yes,$401,R2584187,,Residential,2007,,"21625 45 Ave, Langley, BC",3,5,0,24/05/2021,"$1,599,000",30/05/2021,"$1,666,000"
39,Single Family Residence,"$6,624",3042 sqft,Yes,"$1,215",R2573584,,Residential,1988,,"989 235 St, Langley, BC",3,4,0,27/04/2021,"$3,699,000",03/06/2021,"$3,525,000"
40,Single Family Residence,"$5,039",3162 sqft,Yes,$411,R2583345,,Residential,2008,,"21059 83 Ave, Langley, BC",3,5,0,19/05/2021,"$1,299,900",03/06/2021,"$1,250,000"
41,Townhouse,"$3,484",1475 sqft,Yes,$521,R2596578,,Residential,1994,,"8675 Walnut Grove Dr, Langley, BC",2,3,0,27/06/2021,"$769,000",05/07/2021,"$769,000"
42,Single Family Residence,"$4,449",1100 sqft,No,"$1,500",R2530511,,Residential,1959,,"5108 216 St, Langley, BC",1,2,0,18/01/2021,"$1,650,000",04/06/2021,"$1,550,000"
43,Single Family Residence,"$4,455",1864 sqft,Yes,$771,R2586806,,Residential,1974,,"19944 36a Ave, Langley, BC",1,3,0,01/06/2021,"$1,439,000",03/06/2021,"$1,439,000"
44,Townhouse,"$3,454",1334 sqft,Yes,$524,R2589767,,Residential,2017,,"8138 204 St, Langley, BC",2,2,0,06/06/2021,"$699,900",16/06/2021,"$735,000"
45,Townhouse,,-,No,,R2729237,,Residential Lease,,,"20487 65 Ave, Langley, BC",3,3,2,04/10/2022,"$3,000",27/11/2022,"$3,000"
46,Townhouse,"$3,500",1377 sqft,Yes,$580,R2587670,,Residential,2018,,"20852 78b Ave, Langley, BC",2,4,0,31/05/2021,"$799,900",03/06/2021,"$785,000"
47,Townhouse,"$4,032",1946 sqft,Yes,$436,R2587898,,Residential,2008,,"8089 209 St, Langley, BC",3,4,0,31/05/2021,"$849,000",06/06/2021,"$875,000"
48,Single Family Residence,"$6,150",2435 sqft,Yes,$607,R2838654,,Residential,2008,,"7265 199a St, Langley, BC",3,5,3,01/01/2024,"$1,480,000",-,-
49,Single Family Residence,"$4,962",2717 sqft,Yes,$441,R2587412,,Residential,2006,,"8417 209 St, Langley, BC",3,4,0,31/05/2021,"$1,199,000",07/06/2021,"$1,180,000"
50,Townhouse,"$3,376",1177 sqft,Yes,$593,R2593489,,Residential,2014,,"7848 209 St, Langley, BC",2,2,0,14/06/2021,"$698,888",03/07/2021,"$685,000"
51,Single Family Residence,"$4,217",1999 sqft,Yes,$500,R2586582,,Residential,1980,,"2330 Wakefield Dr, Langley, BC",2,4,0,30/05/2021,"$999,900",06/06/2021,"$1,060,000"
52,Single Family Residence,"$5,483",2764 sqft,Yes,$614,R2583802,,Residential,1997,,"9771 208a St, Langley, BC",2,3,0,20/05/2021,"$1,699,000",07/06/2021,"$1,530,000"
53,Townhouse,"$3,439",1844 sqft,Yes,$352,R2587327,,Residential,1990,,"8863 216 St, Langley, BC",3,3,0,31/05/2021,"$649,988",07/06/2021,"$765,250"
54,Single Family Residence,"$6,698",4078 sqft,Yes,$548,R2882549,,Residential,1997,,"20676 91a Ave, Langley, BC",3,6,6,13/05/2024,"$2,238,000",29/05/2024,"$2,100,000"
55,Apartment/Condominium,,831 sqft,Yes,$649,R2590191,,Residential,2021,,"505 - 7809 209 St, Langley, BC",2,2,2,06/06/2021,"$539,900",08/06/2021,"$539,900"
56,Townhouse,"$3,536",1467 sqft,Yes,$497,R2588510,,Residential,2019,,"22128 48a Ave, Langley, BC",2,2,0,02/06/2021,"$729,900",08/06/2021,"$747,000"
57,Single Family Residence,"$8,210",6336 sqft,Yes,$347,R2587516,,Residential,2018,,"21650 49a Ave, Langley, BC",7,7,0,30/05/2021,"$2,199,900",09/06/2021,"$2,100,000"
58,Single Family Residence,"$5,808",3685 sqft,Yes,$406,R2586815,,Residential,2008,,"7312 202 St, Langley, BC",4,6,0,29/05/2021,"$1,498,888",08/06/2021,"$1,495,000"
59,Single Family Residence,"$4,250",1871 sqft,Yes,$641,R2588108,,Residential,1970,,"20173 37a Ave, Langley, BC",2,3,6,30/05/2021,"$1,200,000",08/06/2021,"$1,170,000"
60,Single Family Residence,"$8,181",2191 sqft,Yes,"$1,414",R2894211,,Residential,1978,,"6285 226 St, Langley, BC",2,3,20,11/06/2024,"$3,100,000",-,Not Sold Yet
61,Single Family Residence,"$4,612",2434 sqft,No,$817,R2804857,,Residential,1973,,"19801 38a Ave, Langley, BC",4,6,0,06/08/2023,"$1,988,888",-,-
62,Townhouse,"$1,896",1322 sqft,Yes,$434,R2590458,,Residential,1992,,"5670 208 St, Langley, BC",2,3,0,07/06/2021,"$575,000",08/06/2021,"$575,000"
63,Single Family Residence,"$4,892",3218 sqft,Yes,$400,R2590496,,Residential,2007,,"7254 196b St, Langley, BC",3,5,0,08/06/2021,"$1,288,888",12/06/2021,"$1,280,000"
64,Single Family Residence,"$4,739",1800 sqft,Yes,"$1,275",R2590280,,Residential,1993,,"3771 224 St, Langley, BC",2,3,0,03/06/2021,"$2,295,000",13/06/2021,"$2,425,000"
65,Single Family Residence,"$4,784",2514 sqft,Yes,$596,R2590171,,Residential,1978,,"3781 202 St, Langley, BC",3,5,0,07/06/2021,"$1,499,000",12/06/2021,"$1,490,000"
66,Single Family Residence,"$3,811",1917 sqft,No,$489,R2591666,,Residential,1955,,"4930 200 St, Langley, BC",2,3,0,09/06/2021,"$938,000",13/06/2021,"$927,500"
67,Single Family Residence,"$7,166",4176 sqft,Yes,$478,R2578058,,Residential,2016,,"4551 216 St, Langley, BC",3,4,0,09/05/2021,"$1,999,800",12/06/2021,"$1,910,000"
68,Townhouse,"$3,038",1457 sqft,No,$415,R2557891,,Residential,2003,,"31 - 7179 201 St, Langley, BC",2,3,2,28/03/2021,"$605,000",12/06/2021,"$605,000"
69,Single Family Residence,"$4,900",2147 sqft,No,$535,R2874071,,Residential,1980,,"2391 Wakefield Dr, Langley, BC",2,4,0,22/04/2024,"$1,149,000",03/05/2024,"$1,115,000"
70,Townhouse,"$3,084",1283 sqft,Yes,$506,R2588157,,Residential,2017,,"103 - 8700 204 St, Langley, BC",2,2,2,01/06/2021,"$649,900",12/06/2021,"$673,250"
71,Townhouse,"$3,612",1532 sqft,Yes,$515,R2597336,,Residential,2017,,"21150 76a Ave, Langley, BC",2,3,0,28/06/2021,"$789,000",04/07/2021,"$810,000"
72,Manufactured Home,"$1,100",1003 sqft,No,$299,R2584054,,Residential,2021,,"24330 Fraser Highway, Langley, BC",2,2,0,24/05/2021,"$299,900",16/06/2021,"$285,714"
73,Townhouse,"$3,454",1334 sqft,Yes,$524,R2589767,,Residential,2017,,"8138 204 St, Langley, BC",2,2,0,06/06/2021,"$699,900",16/06/2021,"$735,000"
