,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
0,Detached,"$4,654",2500-3000 sqft,Carport,$351,X4720308,,2-Storey,,,"11469 River Wynd, Maple Ridge, BC",4,3,6,13/03/2020,"$967,000",14/03/2020,"$965,000"
1,Single Family Residence,"$4,035",1584 sqft,Yes,$568,R2631345,,Residential,9999,,"21952 Lougheed Highway, Maple Ridge, BC",1,4,8,04/11/2021,"$899,900",-,-
2,Single Family Residence,"$5,089",3216 sqft,Yes,$370,R2540688,,Residential,1985,,"12455 Meadow Brook Pl, Maple Ridge, BC",3,3,4,17/02/2021,"$1,191,000",25/02/2021,"$1,175,000"
3,Single Family Residence,"$10,167",2415 sqft,No,"$1,138",R2425881,,Residential,1955,,"10456 240 St, Maple Ridge, BC",2,4,0,31/12/2019,"$2,750,000",06/06/2020,"$2,400,000"
4,Condo Townhouse,"$1,835",900-999 sqft,Carport,$210,X2226372,,2-Storey,,,"21522 Mayo Pl, Maple Ridge, BC",2,3,2,23/10/2011,"$199,999",03/11/2011,"$192,000"
5,Detached,"$4,357",2000-2500 sqft,None,$354,X4100968,,2-Storey,,,"23890 Fern Cres, Maple Ridge, BC",2,4,10,19/04/2018,"$798,000",15/05/2018,"$850,000"
6,Semi-Detached,"$2,241",1100-1500 sqft,Carport,$226,X3097415,,2-Storey,,,"11940 214 St, Maple Ridge, BC",3,3,2,16/01/2015,"$295,000",20/04/2015,"$354,500"
7,Single Family Residence,"$3,691",2160 sqft,No,$416,R2427820,,Residential,1975,,"24040 Lougheed Highway, Maple Ridge, BC",3,3,4,07/01/2020,"$899,000",08/03/2020,"$770,000"
8,Single Family Residence,"$5,506",3511 sqft,Yes,$370,R2581733,,Residential,1999,,"23937 115 Ave, Maple Ridge, BC",3,7,0,16/05/2021,"$1,299,900",23/05/2021,"$1,417,299"
9,Single Family Residence,"$5,244",3835 sqft,Yes,$336,R2583843,,Residential,2006,,"10697 248 St, Maple Ridge, BC",3,4,0,20/05/2021,"$1,289,000",20/05/2021,"$1,260,000"
10,Townhouse,"$3,265",1133 sqft,No,$502,R2580880,,Residential,1975,,"12136 Schmidt Cres, Maple Ridge, BC",1,3,0,13/05/2021,"$569,888",19/05/2021,"$610,000"
11,Single Family Residence,"$4,737",1790 sqft,No,$781,R2583298,,Residential,1967,,"25336 112 Ave, Maple Ridge, BC",1,4,0,19/05/2021,"$1,399,000",23/05/2021,"$1,450,000"
12,Townhouse,,2288 sqft,Yes,$388,R2598317,,Residential,2021,,"23183 136 Ave, Maple Ridge, BC",2,4,0,30/06/2021,"$889,900",30/06/2021,"$889,900"
13,Single Family Residence,"$5,693",3680 sqft,Yes,$339,R2575777,,Residential,1992,,"23659 Tamarack Lane, Maple Ridge, BC",3,5,0,03/05/2021,"$1,250,000",23/05/2021,"$1,100,000"
14,Single Family Residence,"$3,847",1906 sqft,Yes,$497,R2582635,,Residential,1977,,"12375 Skillen St, Maple Ridge, BC",2,3,0,18/05/2021,"$949,000",23/05/2021,"$1,040,000"
15,Townhouse,"$3,638",3091 sqft,Yes,$258,R2581207,,Residential,2000,,"23281 Kanaka Way, Maple Ridge, BC",3,3,0,16/05/2021,"$799,900",24/05/2021,"$819,000"
16,Townhouse,"$3,417", 9fqts213,Yes,$435,R2579759,,Residential,1990,,"20675 118 Ave, Maple Ridge, BC",2,3,0,10/05/2021,"$579,000",28/05/2021,"$567,000"
17,Single Family Residence,"$4,953",2120 sqft,Yes,$518,R2579132,,Residential,1976,,"12211 210 St, Maple Ridge, BC",2,3,0,10/05/2021,"$1,100,000",28/05/2021,"$1,075,000"
18,Single Family Residence,"$4,435",1385 sqft,No,$793,R2615535,,Residential,1959,,"11895 Stephens St, Maple Ridge, BC",1,3,4,06/09/2021,"$1,099,000",16/09/2021,"$1,075,000"
19,Townhouse,"$3,580",1572 sqft,No,$381,R2592921,,Residential,1983,,"21707 Dewdney Trunk Rd, Maple Ridge, BC",1,3,0,13/06/2021,"$599,900",20/06/2021,"$661,700"
20,Single Family Residence,"$1,355",2283 sqft,Yes,$602,R2586575,,Residential,2023,,"14122 Buckels Dr, Maple Ridge, BC",2,4,0,27/05/2021,"$1,375,000",29/05/2021,"$1,309,523"
21,Single Family Residence,"$6,446",3279 sqft,No,$697,R2583649,,Residential,1988,,"13516 232 St, Maple Ridge, BC",3,6,0,19/05/2021,"$2,288,000",27/05/2021,"$1,900,800"
22,Single Family Residence,"$4,589",1128 sqft,No,$974,R2617955,,Residential,1971,,"11903 Stephens St, Maple Ridge, BC",1,3,6,14/09/2021,"$1,099,000",16/10/2021,"$1,050,000"
23,Single Family Residence,"$4,225",2137 sqft,No,$407,R2584931,,Residential,2001,,"10269 243 St, Maple Ridge, BC",2,3,0,26/05/2021,"$869,900",29/05/2021,"$860,000"
24,Single Family Residence,"$5,494",1864 sqft,Yes,$724,R2807535,,Residential,1980,,"20740 Camwood Ave, Maple Ridge, BC",3,3,10,14/08/2023,"$1,349,800",20/08/2023,"$1,335,000"
25,Townhouse,"$2,874",1229 sqft,Yes,$446,R2585505,,Residential,1983,,"21550 Cherrington Ave, Maple Ridge, BC",1,3,0,25/05/2021,"$549,000",01/06/2021,"$643,000"
26,Single Family Residence,"$4,224",1638 sqft,Yes,$660,R2556620,,Residential,1920,,"13246 224 St, Maple Ridge, BC",1,2,0,22/03/2021,"$1,082,500",31/05/2021,"$1,201,900"
27,Single Family Residence,"$5,040",2470 sqft,Yes,$485,R2585882,,Residential,1992,,"11679 232a St, Maple Ridge, BC",3,5,0,26/05/2021,"$1,199,900",01/06/2021,"$1,250,000"
28,Single Family Residence,"$3,263",700 sqft,No,"$1,141",R2586193,,Residential,9999,,"26740 Dewdney Trunk Rd, Maple Ridge, BC",1,1,0,25/05/2021,"$799,000",01/06/2021,"$800,000"
29,Single Family Residence,,-,No,,R2693742,,Residential Lease,,,"11960 238b St, Maple Ridge, BC",2,3,2,22/05/2022,"$3,475",05/06/2022,"$3,475"
30,Single Family Residence,"$5,389",3737 sqft,Yes,$333,R2585913,,Residential,2011,,"24180 101a Ave, Maple Ridge, BC",4,6,0,25/05/2021,"$1,248,000",31/05/2021,"$1,248,000"
31,Townhouse,"$3,614",1455 sqft,Yes,$446,R2584939,,Residential,1994,,"11737 236 St, Maple Ridge, BC",2,3,0,24/05/2021,"$649,900",31/05/2021,"$685,000"
32,Townhouse,"$2,339",1054 sqft,Yes,$407,R2587477,,Residential,1989,,"12049 217 St, Maple Ridge, BC",1,2,0,31/05/2021,"$430,000",06/06/2021,"$460,000"
33,Single Family Residence,,-,No,,R2624072,,Residential Lease,,,"14294 Marc Rd, Maple Ridge, BC",2,4,0,06/10/2021,"$3,500",14/11/2021,"$3,500"
34,Single Family Residence,"$4,470",2265 sqft,Yes,$480,R2586792,,Residential,1967,,"11941 Evans St, Maple Ridge, BC",1,5,0,30/05/2021,"$1,088,000",06/06/2021,"$1,092,000"
35,Single Family Residence,"$4,502",1356 sqft,Yes,$662,R2585094,,Residential,1976,,"21521 Exeter Ave, Maple Ridge, BC",2,3,0,30/05/2021,"$899,000",06/06/2021,"$940,000"
36,Single Family Residence,,2222 sqft,No,$553,R2844347,,Residential,1990,,"20692 River Rd W, Maple Ridge, BC",3,4,2,23/01/2024,"$1,229,900",-,-
37,Townhouse,"$3,068",1604 sqft,No,$317,R2588444,,Residential,1981,,"22164 122 Ave, Maple Ridge, BC",1,3,0,01/06/2021,"$509,800",06/06/2021,"$569,000"
38,Single Family Residence,"$5,458",sq3f0t32 ,Yes,$444,R2588194,,Residential,2016,,"10462 Mceachern St, Maple Ridge, BC",3,4,0,01/06/2021,"$1,349,000",06/06/2021,"$1,360,000"
39,Townhouse,"$2,778",1130 sqft,No,$442,R2589150,,Residential,1990,,"20554 118 Ave, Maple Ridge, BC",2,2,0,02/06/2021,"$499,900",06/06/2021,"$530,000"
40,Single Family Residence,"$4,977",2924 sqft,Yes,$307,R2578310,,Residential,2000,,"10062 243a St, Maple Ridge, BC",3,5,0,09/05/2021,"$899,000",11/06/2021,"$880,000"
41,Single Family Residence,"$6,050",t1f23qs 2,Yes,$447,R2590307,,Residential,2015,,"22822 136 Ave, Maple Ridge, BC",3,3,0,06/06/2021,"$1,398,000",10/06/2021,"$1,500,000"
42,Single Family Residence,"$7,288",3944 sqft,Yes,$354,R2588983,,Residential,2018,,"12290 207a St, Maple Ridge, BC",3,6,0,01/06/2021,"$1,399,000",11/06/2021,"$1,397,000"
43,Single Family Residence,,-,No,,R2616828,,Residential Lease,,,"23997 120b Ave, Maple Ridge, BC",1,2,0,09/09/2021,"$1,475",31/10/2021,"$2,300"
44,Single Family Residence,"$5,826",3278 sqft,Yes,$395,R2588286,,Residential,2003,,"23738 Rock Ridge Dr, Maple Ridge, BC",3,5,0,01/06/2021,"$1,298,000",10/06/2021,"$1,287,000"
45,Single Family Residence,"$5,928",3710 sqft,Yes,$343,R2587579,,Residential,2008,,"13296 239b St, Maple Ridge, BC",3,5,0,31/05/2021,"$1,274,900",12/06/2021,"$1,280,000"
46,Single Family Residence,"$10,419",5131 sqft,Yes,$526,R2600054,,Residential,1973,,"24301 126 Ave, Maple Ridge, BC",3,6,10,06/07/2021,"$2,699,000",-,-
47,Townhouse,"$2,915",1711 sqft,Yes,$437,R2597342,,Residential,2017,,"22810 113 Ave, Maple Ridge, BC",3,4,0,28/06/2021,"$749,000",05/07/2021,"$781,000"
48,,"$5,162",-,No,,R2868492,,Land,,,"21571 121 Ave, Maple Ridge, BC",0,0,0,10/04/2024,"$1,499,000",-,Not Sold Yet
49,Single Family Residence,"$5,317",2913 sqft,Yes,$446,R2590935,,Residential,2015,,"10458 Robertson St, Maple Ridge, BC",3,4,0,08/06/2021,"$1,299,900",14/06/2021,"$1,345,000"
50,Single Family Residence,"$6,277",3983 sqft,Yes,$310,R2580934,,Residential,1994,,"10409 Tamarack Cres, Maple Ridge, BC",3,5,0,16/05/2021,"$1,234,900",15/06/2021,"$1,200,000"
51,Single Family Residence,"$4,196",2219 sqft,No,$396,R2577122,,Residential,1998,,"24357 101 Ave, Maple Ridge, BC",2,3,0,05/05/2021,"$879,800",16/06/2021,"$865,000"
52,Townhouse,"$3,131",1375 sqft,No,$421,R2592326,,Residential,1989,,"22411 124 Ave, Maple Ridge, BC",1,3,0,13/06/2021,"$579,000",15/06/2021,"$575,000"
53,Single Family Residence,"$5,284",1343 sqft,No,$848,R2805720,,Residential,1985,,"20282 Stanton Ave, Maple Ridge, BC",2,3,3,08/08/2023,"$1,139,900",12/08/2023,"$1,120,000"
54,Townhouse,"$3,100",1337 sqft,Yes,$486,R2590215,,Residential,2015,,"10151 240 St, Maple Ridge, BC",2,3,0,07/06/2021,"$649,900",15/06/2021,"$705,000"
55,Single Family Residence,"$5,501",4908 sqft,Yes,$303,R2590731,,Residential,1998,,"13325 237a St, Maple Ridge, BC",3,7,0,07/06/2021,"$1,488,800",15/06/2021,"$1,488,900"
56,Townhouse,"$3,012",2388 sqft,Yes,$282,R2585218,,Residential,2004,,"11255 232 St, Maple Ridge, BC",3,4,0,25/05/2021,"$674,900",21/06/2021,"$668,000"
57,Single Family Residence,"$4,244",2387 sqft,No,$376,R2592300,,Residential,1931,,"12390 216 St, Maple Ridge, BC",3,4,0,11/06/2021,"$899,000",21/06/2021,"$1,020,000"
58,Single Family Residence,"$4,662",2706 sqft,Yes,$350,R2592288,,Residential,2009,,"24218 104 Ave, Maple Ridge, BC",3,4,0,13/06/2021,"$948,800",21/06/2021,"$1,110,000"
59,Townhouse,"$3,580",1572 sqft,No,$381,R2592921,,Residential,1983,,"21707 Dewdney Trunk Rd, Maple Ridge, BC",1,3,0,13/06/2021,"$599,900",20/06/2021,"$661,700"
60,Single Family Residence,"$4,759",2203 sqft,Yes,$453,R2592522,,Residential,1987,,"23205 Aurora Pl, Maple Ridge, BC",3,5,0,13/06/2021,"$999,900",21/06/2021,"$1,105,000"
61,Single Family Residence,"$5,753",4117 sqft,Yes,$333,R2593848,,Residential,2011,,"23418 Huston Dr, Maple Ridge, BC",3,5,0,15/06/2021,"$1,373,900",21/06/2021,"$1,390,000"
62,Townhouse,"$3,328",1355 sqft,Yes,$456,R2593879,,Residential,1990,,"20630 118 Ave, Maple Ridge, BC",1,3,0,16/06/2021,"$619,000",21/06/2021,"$677,000"
