,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
0,Apartment/Condominium,"$1,358",814 sqft,Yes,$448,R2524998,,Residential,1977,,"210 - 316 Cedar St, New Westminster, BC",1,2,1,18/01/2021,"$365,000",24/01/2021,"$365,000"
1,Single Family Residence,"$4,211",2839 sqft,No,$450,R2571625,,Residential,1926,,"323B Simpson St, New Westminster, BC",2,5,0,25/04/2021,"$1,280,000",11/05/2021,"$1,260,000"
2,Single Family Residence,"$4,476",1876 sqft,Yes,$532,R2552449,,Residential,1941,,"729 3rd Ave, New Westminster, BC",1,3,0,14/03/2021,"$999,000",25/03/2021,"$1,255,000"
3,Apartment/Condominium,"$3,299",948 sqft,Yes,$937,R2569522,,Residential,2019,,"2802 - 988 Quayside Dr, New Westminster, BC",2,2,2,20/04/2021,"$889,000",10/05/2021,"$860,000"
4,Apartment/Condominium,"$1,766",516 sqft,Yes,"$1,005",R2578493,,Residential,2015,,"1506 - 668 Columbia St, New Westminster, BC",1,1,1,09/05/2021,"$519,000",15/05/2021,"$519,000"
5,Condo Apt,"$1,457",600-699 sqft,Undergrnd,$430,X3390934,,Apartment,,$210,"1403 - 14 Begbie St, New Westminster, BC",1,1,1,11/01/2016,"$279,800",26/02/2016,"$288,000"
6,Single Family Residence,"$6,563",2948 sqft,Yes,$637,R2550426,,Residential,2018,,"622 Colborne St, New Westminster, BC",6,6,0,11/03/2021,"$1,880,000",17/05/2021,"$1,819,755"
7,Condo Apt,$593,0-499 sqft,Carport,$336,X3710978,,Apartment,31-50 years,$348,"307 - 331 Knox St, New Westminster, BC",1,0,1,21/02/2017,"$168,000",20/04/2017,"$168,000"
8,Single Family Residence,"$4,444",2126 sqft,No,$646,R2579136,,Residential,1950,,"835 10 Th St, New Westminster, BC",2,5,0,10/05/2021,"$1,375,000",06/06/2021,"$1,330,000"
9,Single Family Residence,"$6,883",3283 sqft,Yes,$608,R2584859,,Residential,2008,,"911 London St, New Westminster, BC",3,5,0,24/05/2021,"$1,998,000",04/06/2021,"$1,935,000"
10,Single Family Residence,"$6,558",2244 sqft,No,$690,R2558999,,Residential,1890,,"112 Granville St, New Westminster, BC",4,5,0,30/03/2021,"$1,550,000",06/06/2021,"$1,530,000"
11,Single Family Residence,"$3,303",1286 sqft,No,$853,R2583131,,Residential,1908,,"416 Oak St, New Westminster, BC",1,3,0,18/05/2021,"$1,098,000",06/06/2021,"$1,098,000"
12,Single Family Residence,"$3,987",2765 sqft,No,$451,R2587294,,Residential,1912,,"473 8 Th Ave E, New Westminster, BC",2,5,0,30/05/2021,"$1,249,000",07/06/2021,"$1,293,000"
13,Townhouse,"$2,694",1314 sqft,Yes,$551,R2595732,,Residential,2005,,"1010 Ewen Ave, New Westminster, BC",2,3,0,22/06/2021,"$725,000",28/06/2021,"$757,000"
14,Single Family Residence,"$3,847",2978 sqft,Yes,$617,R2900141,,Residential,2023,,"208 Phillips St, New Westminster, BC",6,7,2,26/06/2024,"$1,838,888",-,Not Sold Yet
15,Townhouse,"$2,629",1551 sqft,No,$444,R2575213,,Residential,2014,,"305 Jardine St, New Westminster, BC",2,2,0,28/04/2021,"$689,000",02/06/2021,"$683,000"
16,Single Family Residence,"$4,215",1626 sqft,Yes,$755,R2593383,,Residential,1995,,"905a Edinburgh St, New Westminster, BC",2,3,0,15/06/2021,"$1,228,000",20/06/2021,"$1,260,000"
17,Single Family Residence,"$7,316",3047 sqft,Yes,$783,R2638545,,Residential,2017,,"934 Chilliwack St, New Westminster, BC",4,6,4,09/12/2021,"$2,388,800",16/01/2022,"$2,486,000"
18,Townhouse,"$2,344",840 sqft,No,$690,R2593410,,Residential,2018,,"188 Wood St, New Westminster, BC",2,2,0,15/06/2021,"$579,900",22/06/2021,"$608,000"
19,Single Family Residence,"$5,317",2314 sqft,No,$864,R2832523,,Residential,1971,,"95 8th Ave E, New Westminster, BC",2,0,2,14/11/2023,"$2,000,000",-,Not Sold Yet
20,Townhouse,"$2,629",1606 sqft,Yes,$485,R2595420,,Residential,1989,,"56 Richmond St, New Westminster, BC",2,3,0,21/06/2021,"$779,000",23/06/2021,"$850,000"
21,Single Family Residence,"$5,352",1185 sqft,No,"$1,179",R2589086,,Residential,1945,,"334 Oliver St, New Westminster, BC",1,3,0,03/06/2021,"$1,398,000",23/06/2021,"$1,360,000"
22,Townhouse,"$3,936",1388 sqft,Yes,$640,R2593947,,Residential,2013,,"619 5th Ave, New Westminster, BC",2,2,0,16/06/2021,"$889,000",21/06/2021,"$885,000"
23,Single Family Residence,"$5,354",2229 sqft,Yes,$807,R2593467,,Residential,1955,,"811 Massey St, New Westminster, BC",3,3,0,14/06/2021,"$1,799,000",21/06/2021,"$1,648,000"
24,Single Family Residence,"$3,940",1tf 8qs00,No,$687,R2594291,,Residential,1912,,"133 Debeck St, New Westminster, BC",1,3,0,18/06/2021,"$1,236,888",08/07/2021,"$1,180,000"
25,Apartment/Condominium,"$1,761",519 sqft,Yes,$988,R2597102,,Residential,2017,,"207 - 200 Nelson's Cres, New Westminster, BC",1,1,1,27/06/2021,"$512,800",08/07/2021,"$498,000"
26,Apartment/Condominium,"$1,731",515 sqft,Yes,$970,R2593603,,Residential,2017,,"506 - 200 Nelson's Cres, New Westminster, BC",1,1,1,15/06/2021,"$499,900",07/07/2021,"$490,000"
27,Apartment/Condominium,"$2,077",902 sqft,Yes,$570,R2597961,,Residential,1998,,"201 - 211 12 Th St, New Westminster, BC",1,2,1,30/06/2021,"$515,000",05/07/2021,"$510,000"
28,Townhouse,"$4,044",2662 sqft,Yes,$374,R2578186,,Residential,1991,,"26 - 72 Jamieson Crt, New Westminster, BC",2,3,2,09/05/2021,"$998,000",06/07/2021,"$975,000"
29,Single Family Residence,"$3,771",1080 sqft,No,$953,R2589843,,Residential,1942,,"918 20 Th St, New Westminster, BC",1,2,0,06/06/2021,"$1,030,000",08/07/2021,"$1,030,000"
30,Apartment/Condominium,"$1,238",692 sqft,Yes,$508,R2598520,,Residential,1975,,"103 - 119 Agnes St, New Westminster, BC",1,1,1,02/07/2021,"$352,000",07/07/2021,"$340,000"
31,Apartment/Condominium,"$2,915",980 sqft,Yes,$733,R2721716,,Residential,2019,,"503 - 218 Carnarvon St, New Westminster, BC",2,2,1,06/09/2022,"$719,000",19/11/2022,"$690,000"
32,Apartment/Condominium,"$3,207",1237 sqft,Yes,$646,R2599867,,Residential,2005,,"1801 - 615 Hamilton St, New Westminster, BC",2,2,2,06/07/2021,"$799,900",15/07/2021,"$835,000"
33,Apartment/Condominium,"$1,542",592 sqft,Yes,$673,R2876084,,Residential,1977,,"209 - 215 Mowat St, New Westminster, BC",1,1,1,28/04/2024,"$399,000",05/05/2024,"$430,000"
34,Apartment/Condominium,"$3,794",1228 sqft,Yes,$671,R2594339,,Residential,2017,,"704 - 210 Salter St, New Westminster, BC",2,2,1,13/06/2021,"$824,900",14/07/2021,"$824,900"
35,Apartment/Condominium,"$1,376",550 sqft,Yes,$705,R2592759,,Residential,1980,,"410 - 715 Royal Ave, New Westminster, BC",1,1,1,14/06/2021,"$388,000",13/07/2021,"$379,000"
36,Single Family Residence,"$5,205",2979 sqft,Yes,$469,R2587454,,Residential,1994,,"1182 Sparks Crt, New Westminster, BC",4,5,6,31/05/2021,"$1,398,900",12/07/2021,"$1,360,000"
37,Apartment/Condominium,,1050 sqft,Yes,$833,R2575801,,Residential,2020,,"807 - 258 Nelson's Crt, New Westminster, BC",2,3,2,02/05/2021,"$875,000",14/07/2021,"$863,000"
