,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
0,Single Family Residence,"$4,437",1711 sqft,No,$525,R2582392,,Residential,1985,,"19588 114b Ave, Pitt Meadows, BC",3,4,0,17/05/2021,"$899,000",20/05/2021,"$970,000"
1,Single Family Residence,"$4,541",3673 sqft,Yes,$541,R2563088,,Residential,2008,,"17364 Kennedy Rd, Pitt Meadows, BC",6,4,0,06/04/2021,"$1,988,800",19/05/2021,"$1,800,000"
2,Single Family Residence,"$5,066",2306 sqft,Yes,$446,R2567214,,Residential,1989,,"12163 Bonson Rd, Pitt Meadows, BC",2,5,0,13/04/2021,"$1,029,888",20/04/2021,"$1,070,000"
3,Single Family Residence,"$5,676",2491 sqft,Yes,$597,R2660370,,Residential,2006,,"19266 Streamstone Walk, Pitt Meadows, BC",2,4,4,02/03/2022,"$1,488,900",13/03/2022,"$1,600,000"
4,Single Family Residence,"$4,693",1770 sqft,No,$536,R2585033,,Residential,1972,,"19387 120 B Ave, Pitt Meadows, BC",1,3,0,24/05/2021,"$949,900",26/05/2021,"$1,105,000"
5,Single Family Residence,"$4,735",1534 sqft,No,$651,R2585055,,Residential,1975,,"18882 120 Ave, Pitt Meadows, BC",1,3,0,24/05/2021,"$999,000",25/05/2021,"$990,000"
6,Multi Family,,1920 sqft,Yes,$515,R2582024,,Residential,2022,,"19451 Sutton Ave, Pitt Meadows, BC",3,4,0,13/05/2021,"$989,900",30/05/2021,"$989,900"
7,Townhouse,"$3,223",1914 sqft,Yes,$313,R2584640,,Residential,1990,,"19252 119 Ave, Pitt Meadows, BC",2,3,0,23/05/2021,"$599,900",30/05/2021,"$675,000"
8,Townhouse,"$3,221",1587 sqft,Yes,$377,R2595132,,Residential,1992,,"19060 Ford Rd, Pitt Meadows, BC",2,3,0,21/06/2021,"$599,000",22/06/2021,"$617,500"
9,Single Family Residence,"$5,479",2813 sqft,Yes,$497,R2594232,,Residential,2004,,"11255 Tully Cres, Pitt Meadows, BC",2,4,0,17/06/2021,"$1,399,000",24/06/2021,"$1,470,000"
10,Single Family Residence,"$5,144",2370 sqft,Yes,$451,R2591330,,Residential,1989,,"12377 188a St, Pitt Meadows, BC",3,4,0,08/06/2021,"$1,070,000",30/06/2021,"$1,081,111"
11,Townhouse,"$3,093",1251 sqft,Yes,$459,R2577931,,Residential,1993,,"6 - 12188 Harris Rd, Pitt Meadows, BC",3,2,2,09/05/2021,"$575,000",03/07/2021,"$575,000"
12,Townhouse,"$4,219",1395 sqft,No,$573,R2879115,,Residential,2005,,"24 - 11067 Barnston View Rd, Pitt Meadows, BC",2,2,2,05/05/2024,"$799,900",08/05/2024,"$810,000"
