,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
0,Single Family Residence,"$3,468",2809 sqft,Yes,$529,R2555267,,Residential,1992,,"22600 Mclean Ave, Richmond, BC",3,5,0,22/03/2021,"$1,488,000",28/03/2021,"$1,638,000"
1,Apartment/Condominium,"$2,102",996 sqft,Yes,$833,R2777310,,Residential,2009,,"309 - 6077 London Rd, Richmond, BC",2,2,2,11/05/2023,"$829,900",17/05/2023,"$827,500"
2,Townhouse,"$1,944",1513 sqft,Yes,$462,R2546024,,Residential,1997,,"32 - 22800 Windsor Crt, Richmond, BC",2,4,2,03/03/2021,"$699,999",08/03/2021,"$716,800"
3,Single Family Residence,"$3,989",2212 sqft,Yes,$723,R2548740,,Residential,1996,,"9191 Walford St, Richmond, BC",4,5,0,09/03/2021,"$1,600,000",28/03/2021,"$1,550,000"
4,Single Family Residence,"$5,849",2610 sqft,Yes,$839,R2682584,,Residential,1991,,"5711 Garrison Rd, Richmond, BC",3,5,2,27/04/2022,"$2,190,000",-,-
5,Apartment/Condominium,"$1,229",915 sqft,Yes,$573,R2762738,,Residential,1981,,"307 - 6651 Lynas Lane, Richmond, BC",1,2,1,26/03/2023,"$525,000",18/04/2023,"$516,500"
6,Apartment/Condominium,"$2,275",899 sqft,Yes,$822,R2525623,,Residential,2013,,"912 - 7988 Ackroyd Rd, Richmond, BC",2,2,1,29/12/2020,"$739,000",25/02/2021,"$717,000"
7,Single Family Residence,"$11,516",7947 sqft,Yes,$566,R2542809,,Residential,2010,,"8331 No. 6 Rd, Richmond, BC",7,8,12,21/02/2021,"$4,499,000",01/03/2021,"$4,150,000"
8,Townhouse,"$3,725",1524 sqft,Yes,$885,R2588427,,Residential,2020,,"7168 Lynnwood Dr, Richmond, BC",2,3,0,31/05/2021,"$1,350,000",30/06/2021,"$1,306,800"
9,Single Family Residence,"$8,204",2490 sqft,No,"$1,807",R2571089,,Residential,1965,,"13451 Steveston Highway, Richmond, BC",2,5,0,22/04/2021,"$4,500,000",16/05/2021,"$4,335,000"
10,Townhouse,"$4,120",1674 sqft,Yes,$716,R2578653,,Residential,2015,,"6028 Maple Rd, Richmond, BC",3,3,0,09/05/2021,"$1,199,000",16/05/2021,"$1,268,000"
11,Single Family Residence,"$6,903",3597 sqft,Yes,$800,R2578433,,Residential,2019,,"11580 Seabrook Cres, Richmond, BC",5,5,0,09/05/2021,"$2,880,000",17/05/2021,"$2,710,000"
12,Single Family Residence,"$3,889",2683 sqft,No,$577,R2564974,,Residential,1965,,"11560 Seafield Cres, Richmond, BC",4,6,0,12/04/2021,"$1,550,000",16/05/2021,"$1,470,000"
13,Single Family Residence,"$7,688",3473 sqft,Yes,$826,R2580785,,Residential,2019,,"10311 Seville Pl, Richmond, BC",4,5,0,13/05/2021,"$2,870,000",17/05/2021,"$2,510,000"
14,Single Family Residence,"$6,019",4461 sqft,Yes,$488,R2576112,,Residential,1991,,"9260 Jaskow Pl, Richmond, BC",5,7,0,03/05/2021,"$2,180,000",16/05/2021,"$2,110,000"
15,Single Family Residence,"$4,102",2766 sqft,Yes,$607,R2574392,,Residential,1980,,"5331 Tiffany Pl, Richmond, BC",3,4,0,29/04/2021,"$1,680,000",17/05/2021,"$1,630,888"
16,Townhouse,"$2,436",1669 sqft,Yes,$556,R2586594,,Residential,1994,,"12871 Jack Bell Dr, Richmond, BC",2,3,0,27/05/2021,"$928,000",11/06/2021,"$960,000"
17,Townhouse,"$3,361",1809 sqft,Yes,$717,R2583772,,Residential,2008,,"9800 Odlin Rd, Richmond, BC",3,4,0,20/05/2021,"$1,298,000",24/05/2021,"$1,328,000"
18,Single Family Residence,"$8,621",4577 sqft,Yes,$568,R2566678,,Residential,2003,,"8591 Garden City Rd, Richmond, BC",6,7,0,11/04/2021,"$2,599,900",23/05/2021,"$2,525,000"
19,Single Family Residence,"$4,122",3023 sqft,Yes,$595,R2572081,,Residential,1988,,"9238 Mccutcheon Pl, Richmond, BC",4,4,0,24/04/2021,"$1,798,800",22/05/2021,"$1,728,000"
20,Townhouse,"$2,943",1555 sqft,Yes,$641,R2571634,,Residential,2011,,"6199 Birch St, Richmond, BC",2,4,0,25/04/2021,"$998,000",23/05/2021,"$965,000"
21,Townhouse,"$2,098",1302 sqft,No,$536,R2592521,,Residential,1977,,"4900 Francis Rd, Richmond, BC",1,3,0,13/06/2021,"$699,000",22/06/2021,"$703,000"
22,Townhouse,"$2,656",1508 sqft,Yes,$629,R2594831,,Residential,2007,,"9551 Ferndale Rd, Richmond, BC",2,4,0,17/06/2021,"$950,000",24/06/2021,"$945,000"
23,Townhouse,"$2,904",1737 sqft,Yes,$632,R2590752,,Residential,1997,,"3880 Westminster Highway, Richmond, BC",2,4,0,07/06/2021,"$1,099,000",10/06/2021,"$1,094,000"
24,Single Family Residence,"$2,996",2084 sqft,Yes,$622,R2581762,,Residential,1980,,"3759 Bamfield Dr, Richmond, BC",2,4,0,12/05/2021,"$1,298,000",28/05/2021,"$1,300,000"
25,Apartment/Condominium,"$1,806",675 sqft,Yes,$933,R2574978,,Residential,2016,,"558 - 6288 No. 3 Rd, Richmond, BC",1,1,1,02/05/2021,"$629,800",27/05/2021,"$610,000"
26,Townhouse,"$4,314",1561 sqft,Yes,$890,R2541684,,Residential,2018,,"7388 Railway Ave, Richmond, BC",2,4,0,18/02/2021,"$1,390,000",27/05/2021,"$1,320,000"
27,Single Family Residence,"$4,982",3924 sqft,Yes,$445,R2582747,,Residential,1983,,"4397 Candlewood Dr, Richmond, BC",2,6,0,18/05/2021,"$1,749,000",27/05/2021,"$1,650,000"
28,Single Family Residence,"$4,194",2013 sqft,Yes,$794,R2576761,,Residential,1974,,"7311 Anvil Cres, Richmond, BC",2,4,0,04/05/2021,"$1,599,000",27/05/2021,"$1,560,000"
29,Single Family Residence,"$3,916",2015 sqft,No,$774,R2803396,,Residential,1979,,"11402 Kingcome Ave, Richmond, BC",3,4,2,31/07/2023,"$1,560,000",16/09/2023,"$1,468,000"
30,Single Family Residence,"$4,848",2707 sqft,Yes,$628,R2568135,,Residential,1990,,"3320 Garden City Rd, Richmond, BC",2,4,0,18/04/2021,"$1,700,000",28/05/2021,"$1,675,000"
31,Townhouse,"$2,495",1535 sqft,Yes,$637,R2578316,,Residential,2002,,"7433 St. Albans Rd, Richmond, BC",2,3,0,09/05/2021,"$978,000",28/05/2021,"$955,000"
32,Townhouse,"$2,469",2213 sqft,No,$406,R2585946,,Residential,1977,,"6600 Lucas Rd, Richmond, BC",2,3,0,26/05/2021,"$899,800",01/06/2021,"$943,800"
33,Single Family Residence,"$5,262",2706 sqft,Yes,$849,R2548811,,Residential,2016,,"7091 Bridge St, Richmond, BC",3,5,0,09/03/2021,"$2,298,000",01/06/2021,"$2,100,000"
34,Townhouse,,1300 sqft,Yes,$845,R2593933,,Residential,2022,,"9680 Williams Rd, Richmond, BC",2,3,0,15/06/2021,"$1,099,000",17/06/2021,"$1,099,000"
35,Townhouse,"$3,929",1997 sqft,Yes,$640,R2573526,,Residential,2004,,"12333 English Ave, Richmond, BC",3,4,0,28/04/2021,"$1,280,000",01/06/2021,"$1,230,000"
36,Townhouse,"$4,580",1977 sqft,Yes,$853,R2587090,,Residential,2017,,"10388 2 Nd Ave, Richmond, BC",4,4,0,30/05/2021,"$1,688,000",-,-
37,Single Family Residence,"$5,331",1028 sqft,No,"$1,544",R2583431,,Residential,1957,,"10051 4 Th Ave, Richmond, BC",1,3,0,19/05/2021,"$1,588,000",01/06/2021,"$1,568,000"
38,Single Family Residence,"$5,802",4578 sqft,Yes,$477,R2584348,,Residential,1990,,"5240 Maple Rd, Richmond, BC",4,5,0,24/05/2021,"$2,188,000",01/06/2021,"$2,450,000"
39,Single Family Residence,"$7,109",4130 sqft,Yes,$644,R2578209,,Residential,1996,,"5871 Linscott Rd, Richmond, BC",4,6,0,09/05/2021,"$2,660,000",01/06/2021,"$2,550,000"
40,Single Family Residence,"$4,664",3015 sqft,Yes,$649,R2586785,,Residential,1987,,"4755 Britannia Dr, Richmond, BC",3,4,0,30/05/2021,"$1,958,000",06/06/2021,"$1,810,000"
41,Single Family Residence,"$4,020",2725 sqft,Yes,$582,R2588433,,Residential,1990,,"3736 Mckay Dr, Richmond, BC",3,5,0,01/06/2021,"$1,588,000",06/06/2021,"$1,565,000"
42,Townhouse,"$1,689",1730 sqft,No,$403,R2585092,,Residential,1970,,"8311 Steveston Highway, Richmond, BC",1,3,0,24/05/2021,"$698,888",05/06/2021,"$737,000"
43,Single Family Residence,"$3,956",3377 sqft,Yes,$725,R2589362,,Residential,2021,,"7168 Bridge St, Richmond, BC",5,4,0,03/06/2021,"$2,449,000",06/06/2021,"$2,415,000"
44,Townhouse,"$2,546",1357 sqft,Yes,$662,R2588650,,Residential,2008,,"9451 Granville Ave, Richmond, BC",2,4,0,31/05/2021,"$899,000",06/06/2021,"$960,000"
45,Single Family Residence,"$5,013",3388 sqft,Yes,$610,R2585143,,Residential,2011,,"8211 Fairlane Rd, Richmond, BC",4,5,0,25/05/2021,"$2,068,000",06/06/2021,"$1,950,000"
