,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
0,Townhouse,,1891 sqft,Yes,$417,R2527085,,Residential,2021,,"2828 156 St, Surrey, BC",2,4,0,06/01/2021,"$789,990",09/01/2021,"$779,990"
1,Single Family Residence,"$3,321",2487 sqft,Yes,$402,R2589453,,Residential,1996,,"14897 57b Ave, Surrey, BC",3,3,0,06/06/2021,"$999,999",23/06/2021,"$1,040,000"
2,Condo Townhouse,"$2,500",1200-1399 sqft,Attached,$442,X4393007,,3-Storey,,,"15030 58 Ave, Surrey, BC",3,3,2,25/03/2019,"$575,000",01/05/2019,"$570,000"
3,Duplex,"$4,528",3831 sqft,Yes,$404,R2527785,,Residential Income,1968,,"9727 123a St, Surrey, BC",6,11,6,10/01/2021,"$1,550,000",13/01/2021,"$1,592,000"
4,Condo Townhouse,$118,2000-2249 sqft,Surface,$134,X3146029,,Multi-Level,,,"51 - 13813 102 Ave, Surrey, BC",2,3,1,27/06/2015,"$284,900",20/09/2016,"$315,000"
5,Detached,"$4,599",-,Attached,,X3294960,204.01 feet x 171.67 feet,2-Storey,,,"13484 56 Ave, Surrey, BC",4,4,4,24/08/2015,"$1,200,000",20/11/2015,"$1,150,000"
6,,,-,No,,R2598060,,Residential Lease,,,"13696 100 Ave, Surrey, BC",1,1,0,01/07/2021,"$1,550",12/07/2021,"$1,550"
7,Townhouse,"$4,213",2053 sqft,Yes,$486,R2591606,,Residential,2002,,"3500 144 St, Surrey, BC",2,3,0,13/06/2021,"$999,000",14/06/2021,"$1,050,000"
8,Single Family Residence,"$9,986",2265 sqft,Yes,"$2,114",R2560515,,Residential,1971,,"2067 176 St, Surrey, BC",1,4,0,05/04/2021,"$4,790,000",08/04/2021,"$4,200,000"
9,Single Family Residence,"$3,981",2625 sqft,Yes,$490,R2567307,,Residential,1981,,"14068 17b Ave, Surrey, BC",2,5,0,15/04/2021,"$1,288,000",16/04/2021,"$1,370,000"
10,Single Family Residence,"$4,275",4225 sqft,Yes,$342,R2563790,,Residential,2001,,"6576 125a St, Surrey, BC",4,8,0,12/04/2021,"$1,449,000",19/04/2021,"$1,520,000"
11,Single Family Residence,"$6,770",2758 sqft,Yes,$609,R2850035,,Residential,1979,,"15062 92a Ave, Surrey, BC",5,7,6,13/02/2024,"$1,680,000",06/03/2024,"$1,665,000"
12,Single Family Residence,"$4,611",2400 sqft,Yes,$541,R2561953,,Residential,1978,,"8963 Crichton Dr, Surrey, BC",3,5,0,01/04/2021,"$1,298,888",14/04/2021,"$1,351,000"
13,Single Family Residence,"$3,324",1075 sqft,Yes,$994,R2545374,,Residential,1967,,"9731 116 St, Surrey, BC",1,2,0,22/03/2021,"$1,069,000",12/04/2021,"$1,040,000"
14,Quadruplex,"$9,922",2199 sqft,No,"$1,523",R2566951,,Residential Income,1987,,"13847 108 Ave, Surrey, BC",4,6,0,11/04/2021,"$3,350,000",12/04/2021,"$3,300,000"
15,Townhouse,"$2,924",1373 sqft,Yes,$501,R2593760,,Residential,2014,,"6945 185 St, Surrey, BC",2,3,0,16/06/2021,"$689,000",21/06/2021,"$725,000"
16,Townhouse,"$2,073",1087 sqft,Yes,$551,R2586494,,Residential,2019,,"17555 57a Ave, Surrey, BC",2,2,0,27/05/2021,"$599,900",06/06/2021,"$610,000"
17,Single Family Residence,"$3,383",1596 sqft,No,$751,R2572978,,Residential,1961,,"13111 100 Ave, Surrey, BC",1,4,0,27/04/2021,"$1,199,900",05/05/2021,"$1,180,000"
18,Single Family Residence,"$6,219",2702 sqft,Yes,$591,R2806931,,Residential,1975,,"10185 145 St, Surrey, BC",3,4,10,14/08/2023,"$1,598,888",28/10/2023,"$1,435,000"
