,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
0,Condo Apt,"$1,531",800-899 sqft,Undergrnd,$576,X3345601,,Apartment,,$283,"221 - 738 29th Ave E, Vancouver, BC",2,2,1,21/10/2015,"$489,999",02/11/2015,"$480,000"
1,Condo Apt,"$1,651",600-699 sqft,Undergrnd,$736,X3319743,,Apartment,,$294,"303 - 1680 4th Ave W, Vancouver, BC",1,1,1,21/09/2015,"$479,000",04/01/2016,"$478,000"
2,Condo Apt,"$3,118",1200-1399 sqft,Undergrnd,"$1,152",X3562176,,Apartment,,$459,"315 - 2118 Canada Pl, Vancouver, BC",3,2,1,25/07/2016,"$1,498,000",23/10/2016,"$1,425,000"
3,Condo Apt,$767,0-499 sqft,Undergrnd,$438,X3137319,,Apartment,,$230,"303 - 2234 Canada Pl, Vancouver, BC",1,1,1,11/03/2015,"$219,000",05/04/2015,"$215,000"
4,Cottage,$985,1100-1500 sqft,None,$346,X4210786,181 feet x 675 feet,1 1/2 Storey,,,"Lot 339 Section I, Vancouver, BC",4,4,0,04/08/2018,"$450,000",04/11/2018,"$350,000"
5,Condo Apt,"$3,196",1400-1599 sqft,Undergrnd,$653,X3479723,,Apartment,,$513,"308 - 3755 8th Ave W, Vancouver, BC",2,2,2,29/04/2016,"$980,000",09/05/2016,"$1,450,000"
6,Detached,"$1,748",-,None,,X3516649,166.15 feet x 179.51 feet,Bungalow,,,"923 West Blvd, Vancouver, BC",1,2,4,06/06/2016,"$499,000",26/06/2016,"$499,000"
7,Detached,"$9,621",-,Detached,,X3424192,57.9 feet x 130.25 feet,1 1/2 Storey,,,"3792 Canada Pl, Vancouver, BC",3,4,0,26/02/2016,"$3,990,000",25/02/2016,"$4,070,000"
8,Single Family Residence,"$12,336",2600 sqft,No,"$2,223",R2559132,,Residential,1942,,"550 W 29th Ave, Vancouver, BC",2,4,0,29/03/2021,"$5,780,000",15/04/2021,"$5,580,000"
9,Townhouse,"$5,737",1565 sqft,Yes,"$1,463",R2527077,,Residential,2018,,"105 - 1678 Pullman Porter St, Vancouver, BC",3,2,2,07/01/2021,"$2,290,000",31/03/2021,"$2,200,000"
10,Single Family Residence,"$10,150",1947 sqft,No,"$2,568",R2557863,,Residential,1941,,"577 W 27th Ave, Vancouver, BC",2,3,0,24/03/2021,"$5,000,000",04/04/2021,"$4,550,000"
11,Single Family Residence,"$12,792",3326 sqft,No,"$1,503",R2557857,,Residential,1943,,"547 W 27th Ave, Vancouver, BC",3,5,0,24/03/2021,"$5,000,000",04/04/2021,"$4,550,000"
12,Single Family Residence,"$5,354",1986 sqft,No,"$1,132",R2797465,,Residential,1927,,"734 E 41st Ave, Vancouver, BC",3,7,4,09/07/2023,"$2,250,000",-,-
13,Single Family Residence,"$21,845",4085 sqft,Yes,"$1,561",R2559154,,Residential,2012,,"560 W 29th Ave, Vancouver, BC",3,5,0,29/03/2021,"$6,380,000",15/04/2021,"$5,280,000"
14,Single Family Residence,"$6,013",2249 sqft,Yes,$799,R2543744,,Residential,1991,,"1965 E 37th Ave, Vancouver, BC",4,5,0,26/02/2021,"$1,799,000",11/04/2021,"$1,760,000"
15,Single Family Residence,"$8,896",3500 sqft,Yes,$396,R2561249,,Residential,1973,,"4247 Musqueam Dr, Vancouver, BC",2,3,0,05/04/2021,"$1,388,000",13/04/2021,"$1,705,000"
16,Townhouse,"$4,207",1590 sqft,Yes,"$1,093",R2574473,,Residential,2017,,"593 King Edward Ave W, Vancouver, BC",2,3,0,29/04/2021,"$1,738,000",05/05/2021,"$1,695,000"
