,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
0,Single Family Residence,"$6,707",3052 sqft,Yes,$507,R2579690,,Residential,1953,,"1066 Cypress St, White Rock, BC",2,3,0,10/05/2021,"$1,550,000",25/05/2021,"$1,584,000"
1,Single Family Residence,"$6,308",2112 sqft,Yes,$615,R2545517,,Residential,2021,,"15290 Victoria Ave, White Rock, BC",2,3,2,25/02/2021,"$1,299,000",14/03/2021,"$1,500,000"
2,Single Family Residence,"$6,392",2533 sqft,Yes,$552,R2568948,,Residential,2018,,"15498 Russell Ave, White Rock, BC",3,4,1,19/04/2021,"$1,399,000",30/04/2021,"$1,390,000"
3,Apartment/Condominium,,1283 sqft,Yes,"$1,019",R2587725,,Residential,2021,,"1505 - 1501 Foster St, White Rock, BC",2,2,2,26/05/2021,"$1,308,000",27/05/2021,"$1,308,000"
4,Single Family Residence,"$5,170",1789 sqft,Yes,$838,R2559549,,Residential,1984,,"1475 Oxford St, White Rock, BC",2,3,0,31/03/2021,"$1,499,900",28/05/2021,"$1,414,000"
5,Single Family Residence,"$5,118",4164 sqft,Yes,$549,R2542934,,Residential,2019,,"939 Maple St, White Rock, BC",5,6,0,23/02/2021,"$2,288,000",22/05/2021,"$2,150,000"
6,Single Family Residence,"$7,400",3060 sqft,Yes,$588,R2558705,,Residential,1989,,"15452 Victoria Ave, White Rock, BC",3,3,11,30/03/2021,"$1,800,000",06/04/2021,"$1,855,500"
7,Single Family Residence,"$9,359",4473 sqft,Yes,$578,R2567887,,Residential,2016,,"15311 Royal Ave, White Rock, BC",5,6,0,18/04/2021,"$2,588,000",15/05/2021,"$2,490,000"
8,Single Family Residence,"$10,588",6072 sqft,Yes,$510,R2570508,,Residential,2018,,"1560 Brearley St, White Rock, BC",7,7,0,20/04/2021,"$3,100,000",24/06/2021,"$2,900,000"
9,Single Family Residence,"$6,119",2543 sqft,Yes,$589,R2589027,,Residential,1968,,"13809 Malabar Ave, White Rock, BC",2,5,0,03/06/2021,"$1,498,000",28/06/2021,"$1,455,000"
10,Single Family Residence,"$4,047",1778 sqft,No,$669,R2581371,,Residential,1977,,"833 Stayte Rd, White Rock, BC",2,4,0,16/05/2021,"$1,189,999",27/06/2021,"$1,181,000"
11,Apartment/Condominium,"$5,539",2468 sqft,Yes,$591,R2594446,,Residential,1996,,"301 - 14934 Thrift Ave, White Rock, BC",3,3,2,17/06/2021,"$1,459,900",22/06/2021,"$1,420,000"
12,Single Family Residence,"$5,702",2133 sqft,Yes,$702,R2575494,,Residential,1964,,"1275 Kent St, White Rock, BC",2,4,0,03/05/2021,"$1,499,000",28/06/2021,"$1,400,000"
13,Single Family Residence,"$5,529",2342 sqft,No,$640,R2583456,,Residential,1968,,"971 Parker St, White Rock, BC",2,3,0,20/05/2021,"$1,499,000",21/06/2021,"$1,480,000"
14,Single Family Residence,"$7,549",1660 sqft,Yes,"$1,137",R2874842,,Residential,1973,,"15542 Columbia Ave, White Rock, BC",1,2,0,21/04/2024,"$1,888,888",-,Not Sold Yet
15,Single Family Residence,"$9,232",4029 sqft,Yes,$545,R2579774,,Residential,1996,,"14139 Marine Dr, White Rock, BC",4,5,0,10/05/2021,"$2,199,000",20/06/2021,"$2,199,000"
16,Single Family Residence,"$5,265",1136 sqft,No,"$1,054",R2569819,,Residential,1940,,"14788 Gordon Ave, White Rock, BC",2,2,0,20/04/2021,"$1,198,000",12/07/2021,"$1,100,000"
17,Single Family Residence,"$5,342",2002 sqft,Yes,$748,R2583049,,Residential,1967,,"13725 Coldicutt Ave, White Rock, BC",2,3,3,18/05/2021,"$1,498,000",13/07/2021,"$1,450,000"
18,Apartment/Condominium,"$1,478",839 sqft,Yes,$375,R2585590,,Residential,1973,,"303 - 1320 Fir St, White Rock, BC",1,2,1,25/05/2021,"$315,000",13/07/2021,"$300,000"
19,Apartment/Condominium,"$3,294",1435 sqft,Yes,$480,R2592451,,Residential,1990,,"3 - 15130 Prospect Ave, White Rock, BC",2,2,1,13/06/2021,"$688,800",13/07/2021,"$675,000"
20,Apartment/Condominium,"$1,865",772 sqft,Yes,$632,R2599469,,Residential,2013,,"203 - 1455 George St, White Rock, BC",1,1,2,06/07/2021,"$488,000",14/07/2021,"$483,000"
21,Apartment/Condominium,"$1,836",973 sqft,Yes,$421,R2592145,,Residential,1974,,"213 - 1561 Vidal St, White Rock, BC",1,2,1,10/06/2021,"$410,000",14/07/2021,"$400,000"
22,Single Family Residence,,-,No,,R2742780,,Residential Lease,,,"14284 Magdalen Ave, White Rock, BC",4,4,6,14/12/2022,"$5,000",14/02/2023,"$5,000"
23,Single Family Residence,"$5,831",1980 sqft,No,$807,R2637037,,Residential,1967,,"15973 Buena Vista Ave, White Rock, BC",2,4,0,01/12/2021,"$1,599,000",01/12/2021,"$1,600,000"
24,Apartment/Condominium,"$2,138",1046 sqft,Yes,$430,R2603851,,Residential,1992,,"112 - 1533 Best St, White Rock, BC",1,2,1,21/07/2021,"$449,900",22/07/2021,"$460,000"
25,Single Family Residence,"$7,993",2399 sqft,Yes,$895,R2603125,,Residential,1987,,"15482 Columbia Ave, White Rock, BC",2,4,5,18/07/2021,"$2,149,000",25/07/2021,"$2,149,000"
26,Apartment/Condominium,"$2,337",1074 sqft,Yes,$605,R2603129,,Residential,2004,,"102 - 15621 Marine Dr, White Rock, BC",2,2,1,20/07/2021,"$650,000",24/07/2021,"$640,000"
27,Single Family Residence,"$6,345",3648 sqft,Yes,$531,R2585115,,Residential,2000,,"882 Stevens St, White Rock, BC",4,5,6,25/05/2021,"$1,939,000",22/07/2021,"$1,900,000"
28,Apartment/Condominium,"$4,835",1289 sqft,Yes,$884,R2576583,,Residential,2017,,"501 - 1501 Vidal St, White Rock, BC",2,2,2,03/05/2021,"$1,140,000",24/07/2021,"$1,140,000"
29,Single Family Residence,"$7,774",3754 sqft,Yes,$584,R2603789,,Residential,1998,,"15079 Victoria Ave, White Rock, BC",4,4,2,20/07/2021,"$2,195,000",25/07/2021,"$2,285,000"
30,Apartment/Condominium,,1019 sqft,Yes,"$1,092",R2591205,,Residential,2023,,"2103 - 1588 Johnston Rd, White Rock, BC",2,2,0,08/06/2021,"$1,112,900",22/07/2021,"$1,102,900"
31,Townhouse,"$7,575",2360 sqft,Yes,$804,R2594660,,Residential,2019,,"1 - 1148 Johnston Rd, White Rock, BC",2,2,4,20/06/2021,"$1,899,000",24/07/2021,"$1,850,000"
32,Apartment/Condominium,"$1,697",697 sqft,Yes,$601,R2605492,,Residential,1995,,"PH21 - 1588 Best St, White Rock, BC",1,1,1,28/07/2021,"$419,000",06/08/2021,"$430,000"
33,Apartment/Condominium,"$2,779",953 sqft,Yes,$833,R2760662,,Residential,2008,,"506 - 15152 Russell Ave, White Rock, BC",2,2,1,15/03/2023,"$794,800",02/04/2023,"$779,000"
34,Apartment/Condominium,"$1,946",1119 sqft,Yes,$428,R2605119,,Residential,1981,,"201 - 1480 Vidal St, White Rock, BC",2,2,1,26/07/2021,"$479,900",05/08/2021,"$460,000"
35,Apartment/Condominium,,2720 sqft,Yes,"$1,452",R2748821,,Residential,2022,,"1103 - 1526 Finlay St, White Rock, BC",3,4,2,26/01/2023,"$3,950,000",-,-
36,Single Family Residence,"$5,991",1288 sqft,No,"$1,241",R2796952,,Residential,1969,,"1549 Kerfoot Rd, White Rock, BC",1,2,2,10/07/2023,"$1,599,000",14/08/2023,"$1,515,000"
37,Single Family Residence,"$7,962",3584 sqft,Yes,$610,R2597274,,Residential,2018,,"15721 Roper Ave, White Rock, BC",6,7,6,28/06/2021,"$2,188,000",06/08/2021,"$2,090,000"
38,Apartment/Condominium,"$3,372",1015 sqft,No,$945,R2746988,,Residential,2020,,"601 - 1441 Johnston Rd, White Rock, BC",2,2,1,17/01/2023,"$959,500",12/02/2023,"$953,000"
39,Apartment/Condominium,"$2,938",857 sqft,Yes,$932,R2512335,,Residential,2013,,"1801 - 1455 George St, White Rock, BC",2,2,2,27/10/2020,"$799,000",05/08/2021,"$718,000"
40,Apartment/Condominium,"$1,641",848 sqft,Yes,$412,R2596357,,Residential,1973,,"205 - 1360 Martin St, White Rock, BC",1,2,1,23/06/2021,"$349,900",20/08/2021,"$345,000"
41,Single Family Residence,"$6,710",2862 sqft,Yes,$681,R2609678,,Residential,1988,,"15527 Vista Dr, White Rock, BC",3,3,2,15/08/2021,"$1,949,999",20/08/2021,"$1,960,000"
42,Apartment/Condominium,"$2,607",1283 sqft,Yes,$662,R2594198,,Residential,1989,,"401 - 1255 Best St, White Rock, BC",2,2,2,20/06/2021,"$850,000",21/08/2021,"$820,000"
43,Apartment/Condominium,"$3,928",1180 sqft,Yes,$794,R2596013,,Residential,2009,,"1004 - 15152 Russell Ave, White Rock, BC",2,2,1,22/06/2021,"$938,000",21/08/2021,"$900,000"
44,Apartment/Condominium,"$4,762",1097 sqft,Yes,"$1,184",R2832777,,Residential,2020,,"707 - 15165 Thrift Ave, White Rock, BC",2,2,2,14/11/2023,"$1,299,000",08/01/2024,"$1,299,000"
45,Apartment/Condominium,"$3,316",1254 sqft,Yes,$590,R2636054,,Residential,1990,,"204 - 15176 Buena Vista Ave, White Rock, BC",2,2,1,28/11/2021,"$739,900",18/12/2021,"$730,000"
46,Apartment/Condominium,"$2,106",873 sqft,Yes,$601,R2814946,,Residential,1997,,"216 - 1588 Best St, White Rock, BC",2,2,2,11/09/2023,"$524,900",17/09/2023,"$522,400"
