,district,name,streetAddress,city,postalCode,address,lat,lon
0,34,Eugene Reimer Middle School,3433 Firhill Dr,Abbotsford,V2T6X6,"3433 Firhill Dr, Abbotsford, BC, Canada",49.0649282,-122.36186931360709
1,34,Clayburn Middle School,35139 Laburnum Ave,Abbotsford,V2S8N3,"35139 Laburnum Ave, Abbotsford, BC, Canada",49.0716255,-122.2504574
2,34,Abbotsford School Of Integrated Arts,36232 Lower Sumas Mtn Rd,Abbotsford,V3G2J3,"36232 Lower Sumas Mtn Rd, Abbotsford, BC, Canada",49.050321499999995,-122.21938735767328
3,34,Auguston Traditional Elementary,36367 Stephen Leacock Dr,Abbotsford,V3G2Z6,"36367 Stephen Leacock Dr, Abbotsford, BC, Canada",49.083669799999996,-122.21940988321239
4,34,Abbotsford Traditional School,2272 Windsor St,Abbotsford,V2T6M1,"2272 Windsor St, Abbotsford, BC, Canada",49.044178,-122.355229
5,34,Colleen And Gordie Howe Middle School,3174 Clearbrook Rd,Abbotsford,V2T4N6,"3174 Clearbrook Rd, Abbotsford, BC, Canada",49.059744,-122.3373498
6,34,Mt Lehman Elementary,6381 Mt Lehman Rd,Abbotsford,V4X2G5,"6381 Mt Lehman Rd, Abbotsford, BC, Canada",49.1182522,-122.38364500206163
7,34,Bradner Elementary,5291 Bradner Rd,Abbotsford,V4X2P5,"5291 Bradner Rd, Abbotsford, BC, Canada",49.0446039,-122.4265262
8,34,South Poplar Traditional Elementary,32746 Huntingdon Rd,Abbotsford,V2T5Z1,"32746 Huntingdon Rd, Abbotsford, BC, Canada",49.01617965,-122.31639374508985
9,34,Clearbrook Elementary,3614 Clearbrook Rd,Abbotsford,V2T6N3,"3614 Clearbrook Rd, Abbotsford, BC, Canada",49.0680696,-122.3365471322326
10,34,Abbotsford Senior Secondary School,33355 Bevan  Ave,Abbotsford,V2S0E7,"33355 Bevan  Ave, Abbotsford, BC, Canada",49.0443904,-122.298934
11,34,Alexander Elementary,2250 Lobban Rd,Abbotsford,V2S3W1,"2250 Lobban Rd, Abbotsford, BC, Canada",49.04255675,-122.2876685863933
12,34,ASIA - North Poplar,32041 Marshall Rd,Abbotsford,V2T1A2,"32041 Marshall Rd, Abbotsford, BC, Canada",49.038606900000005,-122.33588880895834
13,34,Barrowtown Elementary,5137 Tolmie Rd,Abbotsford,V3G2V4,"5137 Tolmie Rd, Abbotsford, BC, Canada",49.1154816,-122.0952197
14,34,Abbotsford Middle School,33231 Bevan Ave,Abbotsford,V2S0A9,"33231 Bevan Ave, Abbotsford, BC, Canada",49.0420788,-122.3043045
15,34,Aberdeen Elementary,2975 Bradner Rd,Abbotsford,V4X1K6,"2975 Bradner Rd, Abbotsford, BC, Canada",49.05587475,-122.42720376143811
16,34,Godson Elementary,33130 Bevan Ave,Abbotsford,V2S1T6,"33130 Bevan Ave, Abbotsford, BC, Canada",49.0417567,-122.3062162
17,34,Ross Elementary,2451 Ross Rd,Abbotsford,V4X1J3,"2451 Ross Rd, Abbotsford, BC, Canada",49.0471162,-122.40535878336786
18,34,Margaret Stenersen Elementary,3060 Old Clayburn Rd,Abbotsford,V2S4H3,"3060 Old Clayburn Rd, Abbotsford, BC, Canada",49.05762035,-122.26928756591192
19,34,Ten Broeck Elementary,2580 Stanley St,Abbotsford,V2T2R4,"2580 Stanley St, Abbotsford, BC, Canada",49.04961,-122.34521268711927
20,34,Centennial Park Elementary,2527 Gladwin Rd,Abbotsford,V2T3N8,"2527 Gladwin Rd, Abbotsford, BC, Canada",49.0601117,-122.3160483
21,34,Yale Secondary,34620 Old Yale Rd,Abbotsford,V2S7S6,"34620 Old Yale Rd, Abbotsford, BC, Canada",49.047829050000004,-122.26460449377316
22,34,William A. Fraser Middle School,34695 Blatchford Way,Abbotsford,V2S6M6,"34695 Blatchford Way, Abbotsford, BC, Canada",49.0463182,-122.26450575657245
23,34,Dr Thomas A Swift Elementary,34800 Mierau St,Abbotsford,V2S5Y4,"34800 Mierau St, Abbotsford, BC, Canada",49.066382250000004,-122.25976887347701
24,34,Terry Fox Elementary,3071 Babich St,Abbotsford,V2S5W5,"3071 Babich St, Abbotsford, BC, Canada",49.0575286,-122.30189238466886
25,34,Chief Dan George Middle,32877 Old Riverside Rd,Abbotsford,V2S8K2,"32877 Old Riverside Rd, Abbotsford, BC, Canada",49.06674635,-122.31437466000311
26,34,McMillan Elementary,34830 Oakhill Dr,Abbotsford,V2S7R3,"34830 Oakhill Dr, Abbotsford, BC, Canada",49.0445264,-122.2573839
27,34,John Maclure Community School,2990 Oriole Cres,Abbotsford,V2T4E1,"2990 Oriole Cres, Abbotsford, BC, Canada",49.0564396,-122.32010481689076
28,34,Jackson Elementary,33165 King Rd,Abbotsford,V2S7Z9,"33165 King Rd, Abbotsford, BC, Canada",49.0319387,-122.3052831
29,34,Dormick Park Elementary,32161 Dormick Avenue,Abbotsford,V2T3J6,"32161 Dormick Avenue, Abbotsford, BC, Canada",49.0444129,-122.33259913379726
30,34,Prince Charles Elementary,35410 Mckee Rd,Abbotsford,V3G3B1,"35410 Mckee Rd, Abbotsford, BC, Canada",49.0642807,-122.2430374437025
32,34,Pacific Christian School,29623 Downes Rd,Abbotsford,V4X1Z8,"29623 Downes Rd, Abbotsford, BC, Canada",49.0749527,-122.3854032
33,34,Dasmesh Punjabi School,5930 Riverside St,Abbotsford,V4X1T7,"5930 Riverside St, Abbotsford, BC, Canada",49.1097743,-122.294035
34,34,St James,2767 Townline Rd,Abbotsford,V2T5E1,"2767 Townline Rd, Abbotsford, BC, Canada",49.0526657,-122.36190351679072
35,34,Blue Jay Elementary,30995 Southern Dr,Abbotsford,V2T6X5,"30995 Southern Dr, Abbotsford, BC, Canada",49.0580808,-122.36673818590707
36,34,Sandy Hill Elementary,3836 Old Clayburn Rd,Abbotsford,V3G2Z5,"3836 Old Clayburn Rd, Abbotsford, BC, Canada",49.0616776,-122.254954
37,34,Harry Sayers Elementary,31321 Blueridge Dr,Abbotsford,V2T6W2,"31321 Blueridge Dr, Abbotsford, BC, Canada",49.0686241,-122.35643491822981
38,34,Mountain Elementary,2299 Mountain Dr,Abbotsford,V3G1E6,"2299 Mountain Dr, Abbotsford, BC, Canada",49.04294505,-122.23465310643688
39,34,Robert Bateman Secondary,35045 Exbury Ave,Abbotsford,V2S7L1,"35045 Exbury Ave, Abbotsford, BC, Canada",49.0682264,-122.2551734
40,34,King Traditional Elementary,28776 King Rd,Abbotsford,V4X2R4,"28776 King Rd, Abbotsford, BC, Canada",49.0312725,-122.2906593
41,34,Rick Hansen Secondary,31150 Blueridge Dr,Abbotsford,V2T5R2,"31150 Blueridge Dr, Abbotsford, BC, Canada",49.0668931,-122.36168244569865
42,34,St. John Brebeuf Regional Secondary,2747 Townline Rd,Abbotsford,V2T5E1,"2747 Townline Rd, Abbotsford, BC, Canada",49.05107515,-122.36160296474712
43,34,Dave Kandal Elementary,3551 Crestview Ave,Abbotsford,V2T6T5,"3551 Crestview Ave, Abbotsford, BC, Canada",49.06712255,-122.37984679407226
44,34,Semá:th Elementary School,36321 Vye Rd,Abbotsford,V3G1Z5,"36321 Vye Rd, Abbotsford, BC, Canada",49.018754,-122.2183237340711
45,34,Mathxwí Elementary School,33661 Elizabeth Ave,Abbotsford,V4X1T4,"33661 Elizabeth Ave, Abbotsford, BC, Canada",49.1054668,-122.2925649
46,34,Irene Kelleher Totí:ltawtxw,2540 Eagle Mountain Drive,Abbotsford,V3G3A1,"2540 Eagle Mountain Drive, Abbotsford, BC, Canada",49.0480801,-122.2437505
