mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice,lat,lon,addressDetails
R2896874,485000.0,1.0,1.0,"9015 120St, Delta, BC, Canada",644.0,1.0,1315.0,774.0,2019.0,Condo,28/06/2024,2024-06-18,499000.0,,,
R2898852,1115000.0,4.0,2.0,"5550 Admiral Way, Delta, BC, Canada",1665.0,3.0,3472.0,672.0,2017.0,Townhouse,26/06/2024,2024-06-24,1120000.0,49.1127569,-123.0706553,"Admiral Way, Hampton Cove, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 0C9, Canada"
R2887819,925000.0,2.0,2.0,"4955 River Rd, Delta, BC, Canada",1401.0,2.0,2563.0,677.0,1990.0,Condo,24/06/2024,2024-05-26,949000.0,49.09397635,-123.0852933548998,"4955, River Road, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 1W4, Canada"
R2896418,1005000.0,3.0,2.0,"4756 62St, Delta, BC, Canada",1551.0,2.0,3012.0,580.0,1991.0,Townhouse,24/06/2024,2024-06-17,899900.0,,,
R2896382,2175000.0,5.0,2.0,"897 Gale Pl, Delta, BC, Canada",2753.0,6.0,5738.0,753.0,1970.0,SingleFamily,24/06/2024,2024-06-17,2075000.0,49.0187331,-123.0884267,"897, Gale Place, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4M 2P3, Canada"
R2895382,1351333.0,3.0,2.0,"5389 Laurel Way, Delta, BC, Canada",1850.0,4.0,4343.0,702.0,1986.0,SingleFamily,23/06/2024,2024-06-16,1299999.0,49.0983052,-123.0735185,"5389, Laurel Way, Victory South, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 1S8, Canada"
R2896052,1381000.0,5.0,2.0,"6032 45 Ave, Delta, BC, Canada",2045.0,3.0,3903.0,635.0,1977.0,SingleFamily,23/06/2024,2024-06-17,1299000.0,49.0850001,-123.0560705,"6032, 45 Avenue, East Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 3X3, Canada"
R2874693,1345000.0,4.0,2.0,"4486 61St, Delta, BC, Canada",2491.0,1.0,3958.0,561.0,1977.0,SingleFamily,23/06/2024,2024-04-23,1399900.0,,,
R2890971,567500.0,2.0,1.0,"11967 80 Ave, Delta, BC, Canada",576.0,1.0,2220.0,954.0,2017.0,Condo,23/06/2024,2024-06-04,549900.0,49.1484573,-122.9244508,"80 Avenue, Sunstone, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 1R4, Canada"
R2896720,1500000.0,3.0,2.0,"5050 Wallace Ave, Delta, BC, Canada",1863.0,4.0,5232.0,778.0,1973.0,SingleFamily,22/06/2024,2024-06-17,1449900.0,49.0023387,-123.0839665,"5050, Wallace Avenue, Pebble Hill, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4M 2M8, Canada"
R2857442,1350000.0,3.0,2.0,"6302 Dawn Dr, Delta, BC, Canada",2093.0,6.0,4653.0,711.0,1988.0,SingleFamily,22/06/2024,2024-03-07,1490000.0,49.0839791,-123.0486812,"6302, Dawn Drive, East Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 4T2, Canada"
R2888776,1480000.0,4.0,2.0,"4578 Kensington Crt, Delta, BC, Canada",2521.0,4.0,4889.0,624.0,1990.0,SingleFamily,20/06/2024,2024-05-29,1575000.0,49.0863294,-123.0450747,"4578, Kensington Court, Kensington Gate, East Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 4T2, Canada"
R2897482,1620000.0,5.0,3.0,"1255 49St, Delta, BC, Canada",3280.0,4.0,5124.0,467.0,1978.0,SingleFamily,20/06/2024,2024-06-19,1535000.0,,,
R2897998,920000.0,3.0,2.0,"10735 84 Ave, Delta, BC, Canada",1492.0,2.0,3034.0,626.0,2015.0,Townhouse,20/06/2024,2024-06-19,935000.0,49.1563229,-122.9236543,"10735, 84 Avenue, Sunbury, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 2L2, Canada"
R2897628,817999.0,2.0,2.0,"11501 84 Ave, Delta, BC, Canada",1183.0,2.0,2657.0,691.0,2020.0,Condo,20/06/2024,2024-06-18,817999.0,49.1581439,-122.9266972,"84 Avenue, Sunstone, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 2L2, Canada"
R2897036,1610000.0,2.0,2.0,"1636 Fir Springs Lane, Delta, BC, Canada",1798.0,4.0,4907.0,889.0,2015.0,SingleFamily,19/06/2024,2024-06-18,1599900.0,49.0317926,-123.0851481,"1636, Fir Springs Lane, Tsawwassen Springs, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4M 0A6, Canada"
