mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice,lat,lon,addressDetails
R2899272,2525000.0,6.0,3.0,"4657 204 A Street, Langley, BC, Canada",4059.0,8.0,9151.0,640.0,2002.0,SingleFamily,27/06/2024,2024-06-25,2599000.0,,,
R2865233,940000.0,3.0,2.0,"20498 82 Avenue, Langley, BC, Canada",1470.0,2.0,4171.0,646.0,2019.0,Townhouse,26/06/2024,2024-03-31,949900.0,49.1519195,-122.6649229,"82 Avenue, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 0C7, Canada"
R2898378,1117300.0,3.0,3.0,"20751 87 Avenue, Langley, BC, Canada",2270.0,2.0,4424.0,462.0,1995.0,Townhouse,26/06/2024,2024-06-22,1049900.0,49.1608706,-122.5426686,"87 Avenue, Township of Langley, Metro Vancouver Regional District, British Columbia, V1M 3N1, Canada"
R2896768,650000.0,3.0,1.0,"2844 273 Street, Langley, BC, Canada",1286.0,2.0,2952.0,520.0,1977.0,Townhouse,24/06/2024,2024-06-18,669000.0,49.0538299,-122.4642809,"273 Street, Aldergrove, Township of Langley, Metro Vancouver Regional District, British Columbia, V4W 3K1, Canada"
R2896796,907000.0,3.0,2.0,"8737 212 Street, Langley, BC, Canada",1595.0,2.0,3869.0,532.0,1989.0,Townhouse,24/06/2024,2024-06-18,848800.0,49.1664665,-122.6347908,"212 Street, Walnut Grove, Township of Langley, Metro Vancouver Regional District, British Columbia, V1M 2E1, Canada"
R2895601,448000.0,1.0,1.0,"20211 66 Avenue, Langley, BC, Canada",562.0,1.0,2789.0,800.0,2017.0,Condo,24/06/2024,2024-06-16,450000.0,49.1234503,-122.66357087120225,"20211 B, 66 Avenue, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 0L4, Canada"
R2882699,425000.0,1.0,1.0,"5499 203 Street, Langley, BC, Canada",816.0,1.0,1372.0,520.0,1996.0,Condo,24/06/2024,2024-05-13,425000.0,49.10230435,-122.66014531939095,"Pioneer Place, 5499, 203 Street, City of Langley, Metro Vancouver Regional District, British Columbia, V3A 8P5, Canada"
R2854810,3486891.0,4.0,1.0,"22563 2 Avenue, Langley, BC, Canada",1954.0,0.0,890.0,1944.0,9999.0,SingleFamily,23/06/2024,2024-02-29,3799000.0,49.0056951,-122.5999955,"2 Avenue, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Z 2X3, Canada"
R2896958,560000.0,2.0,1.0,"8150 207 Street, Langley, BC, Canada",725.0,1.0,2831.0,806.0,2020.0,Condo,23/06/2024,2024-06-16,585000.0,49.1221014,-122.6508816,"207 Street, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 3C1, Canada"
R2896198,815000.0,2.0,2.0,"5550 Langley Bypass, Langley, BC, Canada",1333.0,2.0,2671.0,621.0,1989.0,Townhouse,23/06/2024,2024-06-17,829000.0,49.1097186,-122.6802011,"Langley Bypass, Cloverdale, Surrey, Metro Vancouver Regional District, British Columbia, V3A 4K8, Canada"
R2893145,930000.0,4.0,2.0,"20150 81 Avenue, Langley, BC, Canada",1382.0,2.0,3984.0,672.0,2021.0,Townhouse,23/06/2024,2024-06-10,930000.0,49.1498145,-122.6410689,"81 Avenue, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 2C4, Canada"
R2897428,500000.0,2.0,2.0,"27358 32 Avenue, Langley, BC, Canada",1100.0,1.0,2706.0,454.0,1999.0,Condo,23/06/2024,2024-06-18,499999.0,49.0599244,-122.581671,"32 Avenue, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Z 2J9, Canada"
R2879366,780000.0,2.0,2.0,"8067 207 Street, Langley, BC, Canada",1012.0,2.0,3533.0,789.0,2015.0,Condo,23/06/2024,2024-05-05,799000.0,49.1221014,-122.6508816,"207 Street, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 3C1, Canada"
R2897416,1620000.0,5.0,2.0,"19778 43 A Avenue, Langley, BC, Canada",2551.0,8.0,5627.0,607.0,1977.0,SingleFamily,23/06/2024,2024-06-19,1549900.0,,,
R2894995,1705000.0,5.0,2.0,"4130 207Th Street, Langley, BC, Canada",2733.0,9.0,5228.0,621.0,1974.0,SingleFamily,23/06/2024,2024-06-13,1698500.0,,,
R2889159,470000.0,1.0,1.0,"20834 80 Avenue, Langley, BC, Canada",523.0,1.0,2043.0,915.0,2023.0,Condo,23/06/2024,2024-05-29,479000.0,49.1477621,-122.638415,"80 Avenue, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 0Z5, Canada"
R2893245,1500000.0,4.0,3.0,"8868 212 B Street, Langley, BC, Canada",2329.0,4.0,6335.0,665.0,1989.0,SingleFamily,23/06/2024,2024-06-10,1549900.0,,,
R2896343,708500.0,2.0,2.0,"20460 66 Avenue, Langley, BC, Canada",1254.0,2.0,3423.0,557.0,2004.0,Townhouse,22/06/2024,2024-06-17,699000.0,49.1225229,-122.6513801,"66 Avenue, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 3C1, Canada"
R2897864,1010000.0,3.0,2.0,"9208 208 Street, Langley, BC, Canada",1789.0,2.0,4505.0,530.0,1994.0,Townhouse,22/06/2024,2024-06-20,948800.0,49.1626245,-122.6459073,"208 Street, Walnut Grove, Township of Langley, Metro Vancouver Regional District, British Columbia, V1M 3X4, Canada"
R2897344,805000.0,2.0,2.0,"7938 209 Street, Langley, BC, Canada",1317.0,3.0,3731.0,614.0,2011.0,Townhouse,22/06/2024,2024-06-19,809900.0,49.1454282,-122.6427632,"209 Street, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 0Z5, Canada"
