mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice,lat,lon,addressDetails
R2899694,664000.0,2.0,2.0,"22233 River Rd, Maple Ridge, BC, Canada",1182.0,1.0,2260.0,549.0,1998.0,Condo,30/06/2024,2024-06-26,649888.0,49.1848829,-122.5638411,"River Road, Albion, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2W 1G2, Canada"
R2892182,1350000.0,3.0,2.0,"21069 Barker Ave, Maple Ridge, BC, Canada",1913.0,6.0,5182.0,731.0,1983.0,SingleFamily,28/06/2024,2024-06-06,1399999.0,49.2155411,-122.6375296,"Barker Avenue, Haney, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 1Z9, Canada"
R2888559,740000.0,3.0,2.0,"23085 118 Ave, Maple Ridge, BC, Canada",1671.0,2.0,3154.0,460.0,1996.0,Townhouse,26/06/2024,2024-05-28,769000.0,49.21671,-122.5753517,"118 Avenue, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 3L8, Canada"
R2889099,790000.0,3.0,2.0,"13819 232St, Maple Ridge, BC, Canada",1537.0,2.0,3037.0,520.0,2011.0,Townhouse,26/06/2024,2024-05-30,799900.0,,,
R2899117,759900.0,3.0,2.0,"13819 232St, Maple Ridge, BC, Canada",1452.0,2.0,3095.0,523.0,2011.0,Townhouse,25/06/2024,2024-06-24,759900.0,,,
R2896151,1575000.0,6.0,6.0,"10159 247b St, Maple Ridge, BC, Canada",4470.0,4.0,6995.0,352.0,2016.0,SingleFamily,24/06/2024,2024-06-17,1575000.0,49.1862859,-122.535604,"247B Street, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2W 2G4, Canada"
R2862136,621000.0,2.0,2.0,"12148 224St, Maple Ridge, BC, Canada",1353.0,0.0,2451.0,480.0,1998.0,Condo,24/06/2024,2024-03-21,649900.0,,,
R2892397,520000.0,1.0,1.0,"22265 Dewdney Trunk Rd, Maple Ridge, BC, Canada",768.0,0.0,2340.0,649.0,2022.0,Condo,23/06/2024,2024-06-09,499000.0,49.2205583,-122.6199566,"Dewdney Trunk Road, Haney, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 5P6, Canada"
R2869211,582500.0,2.0,2.0,"12238 224St, Maple Ridge, BC, Canada",950.0,2.0,2699.0,620.0,2007.0,Condo,23/06/2024,2024-04-08,589900.0,,,
R2897083,842000.0,3.0,2.0,"12161 237St, Maple Ridge, BC, Canada",1294.0,3.0,3425.0,656.0,2014.0,Townhouse,23/06/2024,2024-06-17,849900.0,,,
R2896332,480000.0,1.0,1.0,"12075 Edge St, Maple Ridge, BC, Canada",674.0,1.0,2078.0,734.0,2013.0,Condo,23/06/2024,2024-06-17,495000.0,49.219726,-122.5978166,"Edge Street, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 6G2, Canada"
