mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice,lat,lon,addressDetails
R2890365,618000.0,2.0,1.0,"38 7Th Ave, New Westminster, BC, Canada",894.0,1.0,2483.0,701.0,2003.0,Condo,01/07/2024,2024-06-03,627000.0,,,
R2899430,660000.0,2.0,2.0,"74 Richmond St, New Westminster, BC, Canada",1171.0,1.0,2277.0,553.0,1995.0,Condo,30/06/2024,2024-06-24,648000.0,49.2165442,-122.894106,"Richmond Street, McBride Sapperton, New Westminster, Metro Vancouver Regional District, British Columbia, V3L 5P5, Canada"
R2876660,600000.0,1.0,1.0,"1240 Quayside Dr, New Westminster, BC, Canada",931.0,1.0,2087.0,632.0,1989.0,Condo,29/06/2024,2024-04-28,589000.0,49.19889125,-122.92055504240506,"1210,1240, Quayside Drive, Quayside, New Westminster, Metro Vancouver Regional District, British Columbia, V3M 1K4, Canada"
R2899953,875000.0,2.0,2.0,"615 Hamilton St, New Westminster, BC, Canada",1221.0,2.0,3100.0,711.0,2005.0,Condo,29/06/2024,2024-06-26,869000.0,49.21526935,-122.92362725237243,"615, Hamilton Street, Uptown, Moody Park, New Westminster, Metro Vancouver Regional District, British Columbia, V3L 3C6, Canada"
R2899036,750000.0,2.0,1.0,"508 14Th St, New Westminster, BC, Canada",1144.0,2.0,2530.0,663.0,1991.0,Townhouse,29/06/2024,2024-06-24,759000.0,,,
R2895516,708500.0,2.0,2.0,"232 6Th St, New Westminster, BC, Canada",834.0,1.0,2691.0,838.0,2024.0,Condo,29/06/2024,2024-06-15,699000.0,49.2189552,-122.927614,"6th Street, Glenbrooke North, New Westminster, Metro Vancouver Regional District, British Columbia, V3N 3N4, Canada"
R2895707,895000.0,2.0,2.0,"210 Salter St, New Westminster, BC, Canada",1097.0,1.0,3521.0,815.0,2017.0,Condo,27/06/2024,2024-06-16,895000.0,49.1791472,-122.9554474,"Salter Street, Queensborough, New Westminster, Metro Vancouver Regional District, British Columbia, V3M 6E7, Canada"
R2879384,752000.0,2.0,2.0,"3 Renaissance Sq, New Westminster, BC, Canada",963.0,2.0,2627.0,802.0,1991.0,Condo,25/06/2024,2024-05-05,772500.0,49.1998142,-122.9246921,"Renaissance Square, Quayside, New Westminster, Metro Vancouver Regional District, British Columbia, V3M 2A5, Canada"
R2896275,615000.0,2.0,2.0,"55 10Th St, New Westminster, BC, Canada",851.0,2.0,2390.0,722.0,1993.0,Condo,24/06/2024,2024-06-19,615000.0,,,
R2895477,968000.0,3.0,2.0,"843 Ewen Ave, New Westminster, BC, Canada",1442.0,2.0,3894.0,671.0,2019.0,Townhouse,24/06/2024,2024-06-16,968000.0,49.18762975,-122.94405066963895,"843, Ewen Avenue, Eagle Crest Estates, Queensborough, New Westminster, Metro Vancouver Regional District, British Columbia, V3M 5B8, Canada"
R2858731,622500.0,2.0,2.0,"240 Sherbrooke St, New Westminster, BC, Canada",809.0,1.0,2196.0,791.0,2008.0,Condo,24/06/2024,2024-03-08,640000.0,49.2279935,-122.901294,"Sherbrooke Street, Sapperton, McBride Sapperton, New Westminster, Metro Vancouver Regional District, British Columbia, V3L 4M8, Canada"
R2887492,910000.0,2.0,2.0,"5 Renaissance Sq, New Westminster, BC, Canada",1483.0,1.0,3703.0,620.0,1991.0,Condo,24/06/2024,2024-05-26,919900.0,49.1994955,-122.92446974680189,"5, Renaissance Square, Quayside, New Westminster, Metro Vancouver Regional District, British Columbia, V3M 2A5, Canada"
R2897099,1525000.0,4.0,2.0,"704 16Th St, New Westminster, BC, Canada",2953.0,1.0,5732.0,507.0,1912.0,SingleFamily,24/06/2024,2024-06-18,1499000.0,,,
R2895771,445000.0,1.0,1.0,"225 Mowat St, New Westminster, BC, Canada",621.0,1.0,1479.0,723.0,1983.0,Condo,24/06/2024,2024-06-16,449000.0,49.2044496,-122.9223671,"Mowat Street, Brow of the Hill, New Westminster, Metro Vancouver Regional District, British Columbia, V3M 1K4, Canada"
R2896710,410000.0,1.0,1.0,"836 12th St, New Westminster, BC, Canada",667.0,1.0,1620.0,638.0,1985.0,Condo,24/06/2024,2024-06-18,425900.0,,,
R2896555,999000.0,2.0,2.0,"2 Renaissance Sq, New Westminster, BC, Canada",1397.0,2.0,3859.0,715.0,1990.0,Condo,24/06/2024,2024-06-17,999000.0,49.1990477,-122.92517227484794,"2, Renaissance Square, Quayside, New Westminster, Metro Vancouver Regional District, British Columbia, V3M 2A5, Canada"
R2886318,860000.0,2.0,2.0,"728 Princess St, New Westminster, BC, Canada",1217.0,1.0,2736.0,723.0,1994.0,Condo,23/06/2024,2024-05-26,879900.0,49.21262915,-122.92284213244875,"728, Princess Street, Uptown, Moody Park, New Westminster, Metro Vancouver Regional District, British Columbia, V3M 6T9, Canada"
R2896832,1590000.0,5.0,2.0,"314 9Th St, New Westminster, BC, Canada",1950.0,1.0,4998.0,794.0,1913.0,SingleFamily,23/06/2024,2024-06-18,1549000.0,,,
R2890487,555000.0,2.0,1.0,"550 Royal Ave, New Westminster, BC, Canada",948.0,1.0,2241.0,606.0,1980.0,Condo,23/06/2024,2024-06-02,575000.0,49.20574925,-122.90993040140214,"Harborview, 550, Royal Avenue, Downtown, New Westminster, Metro Vancouver Regional District, British Columbia, V3L 2Z8, Canada"
R2844574,515000.0,1.0,1.0,"300 Salter St, New Westminster, BC, Canada",615.0,1.0,2176.0,853.0,2020.0,Condo,23/06/2024,2024-01-25,525000.0,49.1898457,-122.92869042816312,"Shoreline, 300, Salter Street, Port Royal, Queensborough, New Westminster, Metro Vancouver Regional District, British Columbia, V3M 0B5, Canada"
R2897334,645000.0,2.0,2.0,"83 Star Cres, New Westminster, BC, Canada",953.0,2.0,2176.0,682.0,1999.0,Condo,22/06/2024,2024-06-19,650000.0,49.1960858,-122.92514718404762,"The Residences By The River, 83, Star Crescent, Port Royal, Queensborough, New Westminster, Metro Vancouver Regional District, British Columbia, V3M 0B5, Canada"
R2892539,685000.0,1.0,1.0,"549 Columbia St, New Westminster, BC, Canada",952.0,1.0,2759.0,734.0,1958.0,Condo,21/06/2024,2024-06-09,699000.0,49.208086,-122.8996732,"Columbia Street, Downtown, New Westminster, Metro Vancouver Regional District, British Columbia, V3L 5C9, Canada"
R2892529,820000.0,2.0,2.0,"430 Duncan St, New Westminster, BC, Canada",1171.0,2.0,3092.0,713.0,2020.0,Townhouse,20/06/2024,2024-06-09,835000.0,49.1950037,-122.9311813,"Duncan Street, Port Royal, Queensborough, New Westminster, Metro Vancouver Regional District, British Columbia, V3M 5B4, Canada"
R2896258,687500.0,2.0,2.0,"248 Sherbrooke St, New Westminster, BC, Canada",1010.0,2.0,2565.0,673.0,2008.0,Condo,20/06/2024,2024-06-17,680000.0,49.2279935,-122.901294,"Sherbrooke Street, Sapperton, McBride Sapperton, New Westminster, Metro Vancouver Regional District, British Columbia, V3L 4M8, Canada"
R2895371,460000.0,1.0,1.0,"423 Agnes St, New Westminster, BC, Canada",638.0,1.0,1519.0,721.0,1983.0,Condo,20/06/2024,2024-06-16,460000.0,49.205806249999995,-122.90863962295637,"423, Agnes Street, Downtown, New Westminster, Metro Vancouver Regional District, British Columbia, V3L 1G2, Canada"
R2893382,1625000.0,4.0,2.0,"1615 London St, New Westminster, BC, Canada",2046.0,3.0,6188.0,825.0,1945.0,SingleFamily,20/06/2024,2024-06-10,1688000.0,49.20900465,-122.94428207819692,"1615, London Street, West End, New Westminster, Metro Vancouver Regional District, British Columbia, V3M 4X1, Canada"
R2891704,828000.0,2.0,2.0,"612 6Th St, New Westminster, BC, Canada",1257.0,1.0,2565.0,668.0,1999.0,Condo,20/06/2024,2024-06-05,839900.0,49.2189552,-122.927614,"6th Street, Glenbrooke North, New Westminster, Metro Vancouver Regional District, British Columbia, V3N 3N4, Canada"
R2889622,1715000.0,3.0,3.0,"828 William St, New Westminster, BC, Canada",2551.0,3.0,6015.0,685.0,1953.0,SingleFamily,19/06/2024,2024-06-02,1749000.0,49.22728205,-122.90610895691408,"828, William Street, Victory Heights, Massey Victory Heights, New Westminster, Metro Vancouver Regional District, British Columbia, V3C 2S9, Canada"
R2896656,483000.0,2.0,1.0,"385 Ginger Dr, New Westminster, BC, Canada",825.0,1.0,1735.0,606.0,1986.0,Condo,19/06/2024,2024-06-16,499999.0,49.2179089,-122.9051092,"Ginger Drive, McBride Sapperton, New Westminster, Metro Vancouver Regional District, British Columbia, V3L 4G6, Canada"
R2888641,1914000.0,3.0,2.0,"321 Queens Ave, New Westminster, BC, Canada",2185.0,2.0,5856.0,869.0,1893.0,SingleFamily,18/06/2024,2024-05-28,1899000.0,49.2088971,-122.91005641714976,"321, Queens Avenue, Queens Park, New Westminster, Metro Vancouver Regional District, British Columbia, V3L 1K3, Canada"
R2894125,563000.0,1.0,1.0,"10 Renaissance Sq, New Westminster, BC, Canada",776.0,1.0,2320.0,746.0,2006.0,Condo,18/06/2024,2024-06-11,579000.0,49.19994525,-122.9251452049884,"Murano Lofts, 10, Renaissance Square, Quayside, New Westminster, Metro Vancouver Regional District, British Columbia, V3M 2A5, Canada"
R2893885,579000.0,2.0,1.0,"385 Ginger Dr, New Westminster, BC, Canada",1128.0,1.0,2149.0,531.0,1986.0,Townhouse,18/06/2024,2024-06-10,599900.0,49.2179089,-122.9051092,"Ginger Drive, McBride Sapperton, New Westminster, Metro Vancouver Regional District, British Columbia, V3L 4G6, Canada"
R2892678,438000.0,1.0,1.0,"45 4Th St, New Westminster, BC, Canada",681.0,1.0,1617.0,688.0,1981.0,Condo,18/06/2024,2024-06-06,469000.0,,,
