mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice,lat,lon,addressDetails
R2888286,680000.0,2.0,2.0,"12565 190a St, Pitt Meadows, BC, Canada",940.0,2.0,3052.0,732.0,2013.0,Condo,25/06/2024,2024-05-28,688888.0,49.2197887,-122.6935942,"190A Street, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 1J5, Canada"
R2885471,617000.0,2.0,2.0,"12464 191b St, Pitt Meadows, BC, Canada",1044.0,1.0,2753.0,598.0,1994.0,Condo,23/06/2024,2024-05-20,625000.0,49.2237903,-122.6908249,"191B Street, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2B6, Canada"
R2894362,565000.0,2.0,2.0,"12409 Harris Rd, Pitt Meadows, BC, Canada",765.0,1.0,2845.0,744.0,2015.0,Condo,18/06/2024,2024-06-11,569900.0,49.2310176,-122.6895213,"Harris Road, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2B0, Canada"
R2885854,600000.0,2.0,2.0,"11950 Harris Rd, Pitt Meadows, BC, Canada",943.0,2.0,2731.0,662.0,2008.0,Condo,13/06/2024,2024-05-21,624900.0,49.2310176,-122.6895213,"Harris Road, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2B0, Canada"
R2874386,1060000.0,3.0,1.0,"11781 Wildwood Cres N, Pitt Meadows, BC, Canada",1540.0,5.0,4525.0,714.0,1980.0,SingleFamily,12/06/2024,2024-04-22,1099900.0,49.2145045,-122.6721546,"Wildwood Crescent North, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2S3, Canada"
R2880288,1240000.0,3.0,2.0,"19662 Somerset Dr, Pitt Meadows, BC, Canada",1710.0,6.0,5066.0,760.0,1988.0,SingleFamily,12/06/2024,2024-05-06,1299900.0,49.2232322,-122.6755972,"Somerset Drive, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2W1, Canada"
R2868297,685000.0,2.0,2.0,"12069 Harris Rd, Pitt Meadows, BC, Canada",1012.0,1.0,3116.0,690.0,2010.0,Condo,11/06/2024,2024-04-07,699000.0,49.2310176,-122.6895213,"Harris Road, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2B0, Canada"
R2892454,1800000.0,6.0,3.0,"18819 124a Ave, Pitt Meadows, BC, Canada",3356.0,5.0,6034.0,506.0,2015.0,SingleFamily,10/06/2024,2024-06-09,1699900.0,49.229664,-122.6994426,"124A Avenue, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2B0, Canada"
R2888497,2290000.0,4.0,4.0,"19668 117a Ave, Pitt Meadows, BC, Canada",3969.0,11.0,6364.0,579.0,1976.0,SingleFamily,10/06/2024,2024-05-28,2299900.0,49.2155697,-122.6768844,"117A Avenue, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2S3, Canada"
R2879724,920000.0,3.0,2.0,"12268 189a St, Pitt Meadows, BC, Canada",1648.0,2.0,4044.0,564.0,1993.0,Townhouse,06/06/2024,2024-05-05,930000.0,49.2251695,-122.6976711,"189A Street, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 1J5, Canada"
