mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice,lat,lon,addressDetails
R2898244,620000.0,1.0,1.0,"4033 May Dr, Richmond, BC, Canada",653.0,1.0,1714.0,961.0,2020.0,Condo,03/07/2024,2024-06-23,628000.0,49.1782498,-123.118418,"May Drive, West Cambie, Richmond, Metro Vancouver Regional District, British Columbia, V6X, Canada"
R2898030,510000.0,1.0,1.0,"7580 Minoru Blvd, Richmond, BC, Canada",820.0,1.0,1345.0,486.0,1987.0,Condo,01/07/2024,2024-06-19,399000.0,49.1680446,-123.1402933,"Minoru Boulevard, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2890707,1028000.0,3.0,2.0,"7833 Ash St, Richmond, BC, Canada",1530.0,1.0,2628.0,653.0,2006.0,Townhouse,30/06/2024,2024-06-03,999999.0,49.1488563,-123.1197589,"Ash Street, Broadmoor, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2898172,2188000.0,6.0,4.0,"10233 Hayne Crt, Richmond, BC, Canada",3099.0,4.0,5643.0,732.0,1992.0,SingleFamily,30/06/2024,2024-06-23,2270000.0,49.1810693,-123.1101143,"Hayne Court, West Cambie, Richmond, Metro Vancouver Regional District, British Columbia, V6X, Canada"
R2899280,600000.0,1.0,1.0,"8851 Lansdowne Rd, Richmond, BC, Canada",745.0,1.0,1345.0,804.0,1995.0,Condo,29/06/2024,2024-06-25,599000.0,49.1753019,-123.12519452495697,"8851, Lansdowne Road, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6X, Canada"
R2855457,740000.0,1.0,1.0,"8699 Hazelbridge Way, Richmond, BC, Canada",687.0,0.0,2165.0,1113.0,2021.0,Condo,28/06/2024,2024-03-03,765000.0,49.1892431,-123.1273373,"Hazelbridge Way, Golden Village, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6X 0R5, Canada"
R2893760,1478000.0,4.0,2.0,"7200 Ledway Rd, Richmond, BC, Canada",2431.0,2.0,4092.0,612.0,1988.0,Townhouse,27/06/2024,2024-06-08,1488000.0,49.1599201,-123.1633047,"Ledway Road, Blundell, Richmond, Metro Vancouver Regional District, British Columbia, V7C, Canada"
R2873480,1639000.0,4.0,2.0,"7600 Blundell Rd, Richmond, BC, Canada",2063.0,2.0,4267.0,819.0,1998.0,Townhouse,27/06/2024,2024-04-21,1690000.0,49.1556548,-123.1918658,"Blundell Road, Seafair, Richmond, Metro Vancouver Regional District, British Columbia, V7C 1V0, Canada"
R2866345,708000.0,2.0,2.0,"6888 Alderbridge Way, Richmond, BC, Canada",846.0,1.0,1994.0,907.0,2008.0,Condo,26/06/2024,2024-04-01,768000.0,49.1714319,-123.14396655,"6888, Alderbridge Way, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6X, Canada"
R2861348,3168000.0,4.0,4.0,"7491 Bates Rd, Richmond, BC, Canada",3819.0,3.0,8664.0,887.0,2010.0,SingleFamily,26/06/2024,2024-03-19,3390000.0,49.1417786,-123.1407762,"Bates Road, Broadmoor, Richmond, Metro Vancouver Regional District, British Columbia, V7A 1G3, Canada"
R2896908,1525000.0,3.0,2.0,"7280 Ledway Rd, Richmond, BC, Canada",2445.0,4.0,4162.0,572.0,1987.0,Townhouse,25/06/2024,2024-06-18,1399800.0,49.1599201,-123.1633047,"Ledway Road, Blundell, Richmond, Metro Vancouver Regional District, British Columbia, V7C, Canada"
R2897940,2399800.0,1.0,1.0,"7411 No. 5Rd, Richmond, BC, Canada",1800.0,4.0,7504.0,1333.0,1950.0,SingleFamily,25/06/2024,2024-06-19,2399800.0,,,
R2895597,380000.0,1.0,1.0,"8640 Citation Dr, Richmond, BC, Canada",646.0,1.0,1078.0,617.0,1980.0,Condo,25/06/2024,2024-06-11,399000.0,49.164704650000004,-123.12565199999997,"8640, Citation Drive, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2895654,530000.0,1.0,1.0,"5900 Alderbridge Way, Richmond, BC, Canada",587.0,1.0,1563.0,849.0,2008.0,Condo,25/06/2024,2024-06-16,498800.0,49.17091525,-123.1442256,"5900, Alderbridge Way, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6X, Canada"
R2898932,535700.0,2.0,1.0,"7040 Granville Ave, Richmond, BC, Canada",839.0,1.0,1423.0,630.0,1988.0,Condo,25/06/2024,2024-06-24,529000.0,49.162313600000004,-123.14704060015862,"Panorama Place, 7040, Granville Avenue, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y 3W5, Canada"
R2888217,673000.0,2.0,1.0,"9366 Tomicki Ave, Richmond, BC, Canada",743.0,1.0,1860.0,921.0,2016.0,Condo,25/06/2024,2024-05-27,685000.0,49.1798997,-123.12085130688769,"Carlton, 9366, Tomicki Avenue, West Cambie, Richmond, Metro Vancouver Regional District, British Columbia, V6X, Canada"
R2895881,554000.0,1.0,1.0,"6119 Cooney Rd, Richmond, BC, Canada",685.0,1.0,1505.0,817.0,1996.0,Condo,25/06/2024,2024-06-16,560000.0,49.169301399999995,-123.13182119628092,"6119, Cooney Road, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2897978,1550000.0,4.0,3.0,"7288 Heather St, Richmond, BC, Canada",1890.0,4.0,4098.0,793.0,2006.0,Townhouse,24/06/2024,2024-06-20,1499000.0,49.1555993,-123.1225511,"Heather Street, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2875289,450000.0,1.0,1.0,"8451 Westminster Highway, Richmond, BC, Canada",740.0,1.0,1223.0,667.0,1983.0,Condo,24/06/2024,2024-04-23,493800.0,49.171023000000005,-123.129706425,"8451, Westminster Highway, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6X 3E4, Canada"
R2895057,1330000.0,3.0,2.0,"3088 Francis Rd, Richmond, BC, Canada",1554.0,1.0,3476.0,828.0,2002.0,Townhouse,24/06/2024,2024-06-12,1288000.0,49.1477565,-123.1733382,"Francis Road, Seafair, Richmond, Metro Vancouver Regional District, British Columbia, V7E 1J7, Canada"
R2883863,850000.0,3.0,1.0,"10071 Swinton Cres, Richmond, BC, Canada",1406.0,0.0,2268.0,604.0,1970.0,Townhouse,24/06/2024,2024-05-14,850000.0,49.1365826,-123.1105281,"Swinton Crescent, Southarm, Shellmont, Richmond, Metro Vancouver Regional District, British Columbia, V7A 3T9, Canada"
R2891927,1370000.0,3.0,2.0,"22700 Fraserbank Cres, Richmond, BC, Canada",2123.0,4.0,4069.0,658.0,1991.0,SingleFamily,23/06/2024,2024-06-06,1399000.0,49.1787203,-122.970624,"Fraserbank Crescent, Hamilton, Richmond, Metro Vancouver Regional District, British Columbia, V6V 2K8, Canada"
R2896972,870000.0,3.0,2.0,"2211 No. 4Rd, Richmond, BC, Canada",1281.0,2.0,2410.0,607.0,1993.0,Townhouse,23/06/2024,2024-06-17,777770.0,,,
R2895752,1160000.0,3.0,2.0,"9308 Keefer Ave, Richmond, BC, Canada",1415.0,2.0,3239.0,826.0,2006.0,Townhouse,23/06/2024,2024-06-16,1169000.0,49.1564998,-123.1214438,"Keefer Avenue, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2896516,870000.0,3.0,1.0,"9111 No. 5Rd, Richmond, BC, Canada",1525.0,2.0,2153.0,524.0,1976.0,Townhouse,23/06/2024,2024-06-17,799900.0,,,
R2877124,499000.0,1.0,1.0,"8133 Cook Rd, Richmond, BC, Canada",425.0,0.0,1537.0,1174.0,2022.0,Condo,23/06/2024,2024-04-28,499000.0,49.1666941,-123.1347739,"Yoki Tapas, 8133, Cook Road, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2895747,585000.0,1.0,1.0,"6971 Elmbridge Way, Richmond, BC, Canada",560.0,1.0,1575.0,1033.0,2014.0,Condo,23/06/2024,2024-06-16,579000.0,49.1732286,-123.148129,"BMO, 165-6971, Elmbridge Way, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V7C, Canada"
R2892906,1151000.0,3.0,2.0,"9551 Ferndale Rd, Richmond, BC, Canada",1431.0,1.0,3140.0,760.0,2007.0,Townhouse,23/06/2024,2024-06-09,1088000.0,49.1686181,-123.123213,"Ferndale Road, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2886870,768000.0,2.0,1.0,"8133 Cook Rd, Richmond, BC, Canada",658.0,1.0,1578.0,1203.0,2022.0,Condo,22/06/2024,2024-05-23,792000.0,49.1666941,-123.1347739,"Yoki Tapas, 8133, Cook Road, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2895427,1152000.0,3.0,2.0,"7980 Moffatt Rd, Richmond, BC, Canada",1433.0,2.0,2750.0,794.0,1995.0,Townhouse,22/06/2024,2024-06-16,1138000.0,49.1590251,-123.1437103,"Moffatt Road, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2883625,862000.0,2.0,2.0,"6888 Cooney Rd, Richmond, BC, Canada",891.0,2.0,2558.0,1053.0,2013.0,Condo,22/06/2024,2024-05-14,939000.0,49.16419415,-123.13116527525838,"6888, Cooney Road, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2895360,1755000.0,7.0,2.0,"8620 Kelmore Rd, Richmond, BC, Canada",2507.0,3.0,4705.0,725.0,1963.0,SingleFamily,22/06/2024,2024-06-16,1819000.0,49.1502257,-123.184692,"Kelmore Road, Seafair, Richmond, Metro Vancouver Regional District, British Columbia, V7C 1V0, Canada"
R2895514,655000.0,1.0,1.0,"8333 Sweet Ave, Richmond, BC, Canada",587.0,1.0,1813.0,1105.0,2017.0,Condo,22/06/2024,2024-06-16,649000.0,49.1864834,-123.1316128,"Sweet Avenue, Golden Village, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6X, Canada"
R2895817,1835000.0,4.0,3.0,"11591 4th Ave, Richmond, BC, Canada",1935.0,6.0,4831.0,929.0,1993.0,SingleFamily,22/06/2024,2024-06-16,1798888.0,49.1258179,-123.1872426,"4th Avenue, Steveston, Richmond, Metro Vancouver Regional District, British Columbia, V7E 3J1, Canada"
R2896761,407000.0,1.0,1.0,"6931 Cooney Rd, Richmond, BC, Canada",680.0,1.0,1145.0,586.0,1979.0,Condo,21/06/2024,2024-06-18,398900.0,49.163282800000005,-123.13193619408405,"6931, Cooney Road, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2895573,2175000.0,3.0,2.0,"7871 Goldstream Dr, Richmond, BC, Canada",1839.0,4.0,6170.0,1211.0,1968.0,SingleFamily,21/06/2024,2024-06-16,2228000.0,49.1367818,-123.1384268,"Goldstream Drive, Broadmoor, Richmond, Metro Vancouver Regional District, British Columbia, V7A 4R6, Canada"
R2883238,2360000.0,7.0,4.0,"9175 Evancio Cres, Richmond, BC, Canada",3883.0,4.0,7444.0,641.0,1990.0,SingleFamily,21/06/2024,2024-05-14,2490000.0,49.1447562,-123.1667074,"Evancio Crescent, Blundell, Richmond, Metro Vancouver Regional District, British Columbia, V7E 4H5, Canada"
R2889987,2955000.0,5.0,5.0,"8320St. Albans Rd, Richmond, BC, Canada",3204.0,4.0,7695.0,967.0,2023.0,SingleFamily,21/06/2024,2024-06-02,3098800.0,,,
R2885763,583000.0,2.0,1.0,"4133 Stolberg St, Richmond, BC, Canada",731.0,2.0,1633.0,819.0,2013.0,Condo,21/06/2024,2024-05-21,599000.0,49.1858997,-123.119775,"Stolberg Street, West Cambie, Richmond, Metro Vancouver Regional District, British Columbia, V6X 1K4, Canada"
R2894963,782000.0,2.0,2.0,"7360 Elmbridge Way, Richmond, BC, Canada",890.0,1.0,2247.0,897.0,2008.0,Condo,21/06/2024,2024-06-12,799000.0,49.171849800000004,-123.14448313345724,"Flo Richmond, 7360, Elmbridge Way, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6X, Canada"
R2855779,825000.0,2.0,2.0,"7979 Firbridge Way, Richmond, BC, Canada",863.0,1.0,2389.0,1028.0,2013.0,Condo,21/06/2024,2024-03-04,888000.0,49.1712206,-123.1399933,"Firbridge Way, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y 1A0, Canada"
R2883746,447000.0,1.0,1.0,"8451 Westminster Highway, Richmond, BC, Canada",658.0,1.0,1165.0,696.0,1982.0,Condo,21/06/2024,2024-05-16,458000.0,49.171023000000005,-123.129706425,"8451, Westminster Highway, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6X 3E4, Canada"
R2888777,540000.0,1.0,1.0,"14300 Riverport Way, Richmond, BC, Canada",705.0,1.0,1356.0,792.0,2006.0,Condo,20/06/2024,2024-05-28,559000.0,49.1360532,-123.0614022,"Riverport Way, Fraser Lands, Richmond, Metro Vancouver Regional District, British Columbia, V6W 1K4, Canada"
R2891778,801000.0,2.0,2.0,"6068 No. 3Rd, Richmond, BC, Canada",912.0,1.0,2205.0,910.0,2007.0,Condo,20/06/2024,2024-06-03,829990.0,,,
R2889631,1132000.0,4.0,2.0,"6233 Birch St, Richmond, BC, Canada",1430.0,2.0,3242.0,824.0,2003.0,Townhouse,20/06/2024,2024-06-02,1178800.0,49.1678903,-123.1168587,"Birch Street, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2882714,775000.0,3.0,2.0,"22888 Windsor Crt, Richmond, BC, Canada",1638.0,2.0,2323.0,499.0,1996.0,Townhouse,20/06/2024,2024-05-12,818000.0,49.1721509,-122.9709592,"Windsor Court, Windsor Garden, Hamilton, Richmond, Metro Vancouver Regional District, British Columbia, V6V 2K8, Canada"
R2885401,1220000.0,4.0,2.0,"9800 Granville Ave, Richmond, BC, Canada",1460.0,1.0,3434.0,854.0,2019.0,Townhouse,19/06/2024,2024-05-20,1248000.0,49.1628816,-123.174525,"Granville Avenue, Seafair, Richmond, Metro Vancouver Regional District, British Columbia, V7C, Canada"
R2887081,1615000.0,5.0,3.0,"8542 Robinson Pl, Richmond, BC, Canada",2263.0,1.0,4922.0,706.0,1983.0,SingleFamily,19/06/2024,2024-05-26,1599000.0,49.1492892,-123.1280253,"8542, Robinson Place, Broadmoor, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2891930,920000.0,3.0,2.0,"7680 Granville Ave, Richmond, BC, Canada",1254.0,2.0,2398.0,757.0,1997.0,Condo,19/06/2024,2024-06-06,949800.0,49.16231775,-123.14162985291401,"7680, Granville Avenue, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2889368,755000.0,2.0,2.0,"5880 Dover Cres, Richmond, BC, Canada",919.0,1.0,1871.0,847.0,1996.0,Condo,19/06/2024,2024-05-30,778800.0,49.17304535,-123.16139341148542,"Waterside, 5880, Dover Crescent, Thompson, Richmond, Metro Vancouver Regional District, British Columbia, V7C 5P5, Canada"
R2896705,1380000.0,4.0,2.0,"12438 Brunswick Pl, Richmond, BC, Canada",1818.0,2.0,3743.0,742.0,1990.0,Townhouse,19/06/2024,2024-06-18,1349999.0,49.1218416,-123.1665277,"Brunswick Place, Steveston, Richmond, Metro Vancouver Regional District, British Columbia, V7E 6M9, Canada"
R2892847,620000.0,2.0,2.0,"8760 Blundell Rd, Richmond, BC, Canada",1098.0,1.0,1525.0,637.0,1982.0,Condo,19/06/2024,2024-06-09,699900.0,49.1556548,-123.1918658,"Blundell Road, Seafair, Richmond, Metro Vancouver Regional District, British Columbia, V7C 1V0, Canada"
R2892421,800000.0,2.0,2.0,"6351 Buswell St, Richmond, BC, Canada",933.0,1.0,2387.0,889.0,2008.0,Condo,19/06/2024,2024-06-09,830000.0,49.167930549999994,-123.1344786233299,"6351, Buswell Street, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2884113,808800.0,2.0,2.0,"8033 Saba Rd, Richmond, BC, Canada",875.0,1.0,2250.0,970.0,2010.0,Condo,19/06/2024,2024-05-15,849000.0,49.1689882,-123.135258,"Converge Restaurant, 8033, Saba Road, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2868798,1790000.0,4.0,3.0,"11091 Merchantman Pl, Richmond, BC, Canada",2053.0,3.0,4369.0,876.0,1978.0,SingleFamily,16/06/2024,2024-04-08,1799000.0,49.132049699999996,-123.17521676949127,"Merchantman Place, Steveston, Richmond, Metro Vancouver Regional District, British Columbia, Canada"
R2886013,895000.0,2.0,2.0,"5233 Gilbert Rd, Richmond, BC, Canada",871.0,2.0,2392.0,1030.0,2016.0,Condo,16/06/2024,2024-05-21,898000.0,49.17530615,-123.14603525610391,"One River Park Place, 5233, Gilbert Road, Golden Village, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V7C 0B3, Canada"
R2890187,1728000.0,4.0,3.0,"9040 Dayton Ave, Richmond, BC, Canada",2451.0,4.0,4899.0,652.0,1986.0,SingleFamily,16/06/2024,2024-06-02,1599000.0,49.1518239,-123.1225349,"Dayton Avenue, Broadmoor, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2893510,1200000.0,2.0,2.0,"5111 Brighouse Way, Richmond, BC, Canada",1302.0,2.0,3626.0,936.0,2013.0,Condo,16/06/2024,2024-06-09,1219000.0,49.172597,-123.1556039,"Brighouse Way, Golden Village, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V7C, Canada"
R2893052,2100000.0,5.0,2.0,"6591 Bouchard Crt, Richmond, BC, Canada",2750.0,4.0,5367.0,726.0,1988.0,SingleFamily,16/06/2024,2024-06-09,1999000.0,49.1678726,-123.1601792,"Bouchard Court, Thompson, Richmond, Metro Vancouver Regional District, British Columbia, V7C 1C3, Canada"
R2896588,848000.0,2.0,2.0,"5511 Hollybridge Way, Richmond, BC, Canada",1013.0,1.0,2474.0,858.0,2014.0,Condo,16/06/2024,2024-06-15,869900.0,49.1736544,-123.148814,"大統華 T&T Supermarket, 5511, Hollybridge Way, River Park Place, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V7C, Canada"
R2892006,1570000.0,5.0,2.0,"4731 Princeton Ave, Richmond, BC, Canada",2269.0,2.0,4087.0,661.0,1976.0,SingleFamily,16/06/2024,2024-06-06,1499999.0,49.1458322,-123.1723538,"Princeton Avenue, Seafair, Richmond, Metro Vancouver Regional District, British Columbia, V7E 1J7, Canada"
R2880656,835000.0,2.0,2.0,"8628 Hazelbridge Way, Richmond, BC, Canada",825.0,1.0,2305.0,1064.0,2018.0,Condo,15/06/2024,2024-05-06,878000.0,49.1890105,-123.129762,"8628, Hazelbridge Way, Golden Village, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6X 0R5, Canada"
R2894284,1525000.0,4.0,2.0,"22180 Chaldecott Dr, Richmond, BC, Canada",2268.0,2.0,4482.0,683.0,1995.0,SingleFamily,15/06/2024,2024-06-11,1550000.0,49.17677464090909,-122.97668595454545,"22180, Chaldecott Drive, Hamilton, Richmond, Metro Vancouver Regional District, British Columbia, V6W 1J6, Canada"
R2892496,460300.0,0.0,1.0,"4133 Stolberg St, Richmond, BC, Canada",431.0,1.0,1129.0,1062.0,2013.0,Condo,15/06/2024,2024-06-09,458000.0,49.1858997,-123.119775,"Stolberg Street, West Cambie, Richmond, Metro Vancouver Regional District, British Columbia, V6X 1K4, Canada"
R2886348,928000.0,3.0,2.0,"7111 Lynnwood Dr, Richmond, BC, Canada",1096.0,1.0,2454.0,855.0,1998.0,Townhouse,14/06/2024,2024-05-22,938000.0,49.161445900000004,-123.1666111,"7111, Lynnwood Drive, Blundell, Richmond, Metro Vancouver Regional District, British Columbia, V7C, Canada"
R2890271,1368888.0,3.0,2.0,"5788 Gilbert Rd, Richmond, BC, Canada",1372.0,2.0,4342.0,983.0,2022.0,Condo,14/06/2024,2024-06-03,1349800.0,49.17142075,-123.14711258942307,"5788, Gilbert Road, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6X, Canada"
R2882649,768000.0,2.0,2.0,"5311 Cedarbridge Way, Richmond, BC, Canada",969.0,1.0,2270.0,803.0,2016.0,Condo,14/06/2024,2024-05-13,779000.0,49.1760711,-123.14499429109367,"Riva 2, 5311, Cedarbridge Way, Golden Village, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6X 0M3, Canada"
R2883507,826800.0,2.0,2.0,"8033 Saba Rd, Richmond, BC, Canada",858.0,1.0,2256.0,1000.0,2010.0,Condo,14/06/2024,2024-05-14,858000.0,49.1689882,-123.135258,"Converge Restaurant, 8033, Saba Road, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2889025,465000.0,0.0,1.0,"8033 Saba Rd, Richmond, BC, Canada",403.0,1.0,1170.0,1136.0,2010.0,Condo,14/06/2024,2024-05-29,458000.0,49.1689882,-123.135258,"Converge Restaurant, 8033, Saba Road, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2893595,1336000.0,5.0,2.0,"9102 No. 4Rd, Richmond, BC, Canada",2336.0,4.0,2878.0,588.0,1974.0,MultiFamily,14/06/2024,2024-06-10,1374888.0,,,
R2887993,1385000.0,2.0,2.0,"12331 Phoenix Dr, Richmond, BC, Canada",1418.0,2.0,3051.0,987.0,1987.0,Townhouse,13/06/2024,2024-05-27,1399900.0,49.1237455,-123.1724463,"Phoenix Drive, Steveston, Richmond, Metro Vancouver Regional District, British Columbia, V7E 6N8, Canada"
R2892220,731200.0,2.0,2.0,"7535 Alderbridge Way, Richmond, BC, Canada",870.0,1.0,1965.0,861.0,2007.0,Condo,13/06/2024,2024-06-06,749900.0,49.17306255,-123.14481994943776,"7535, Alderbridge Way, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6X, Canada"
R2857482,3580000.0,5.0,5.0,"3511 Rosamond Ave, Richmond, BC, Canada",3622.0,3.0,8595.0,1071.0,2018.0,SingleFamily,13/06/2024,2024-03-07,3880000.0,49.146696,-123.1869284,"Rosamond Avenue, Seafair, Richmond, Metro Vancouver Regional District, British Columbia, V7C 1J7, Canada"
R2887303,738000.0,2.0,2.0,"6733 Buswell St, Richmond, BC, Canada",896.0,1.0,2122.0,834.0,2012.0,Condo,13/06/2024,2024-05-26,748000.0,49.1693657,-123.1336896,"Buswell Street, Brighouse, City Centre, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada"
R2885868,633000.0,1.0,1.0,"4280 Moncton St, Richmond, BC, Canada",747.0,1.0,1965.0,850.0,2005.0,Condo,13/06/2024,2024-05-20,635000.0,49.12472525,-123.18036807309696,"4280, Moncton Street, Steveston, Richmond, Metro Vancouver Regional District, British Columbia, V7E 6T4, Canada"
