mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice,lat,lon,addressDetails
R2899365,570000.0,2.0,2.0,"14885 105 Avenue, Surrey, BC, Canada",934.0,1.0,2179.0,615.0,2003.0,Condo,01/07/2024,2024-06-24,575000.0,49.193698,-122.8096926975559,"Reviva, 14885, 105 Avenue, Johnston Heights, Guildford, Surrey, Metro Vancouver Regional District, British Columbia, V3R 7C1, Canada"
R2897983,490000.0,2.0,2.0,"2511 King George Boulevard, Surrey, BC, Canada",864.0,1.0,1803.0,578.0,2008.0,Condo,28/06/2024,2024-06-23,499900.0,49.0476625,-122.7966953,"2511, King George Boulevard, Sunnyside, South Surrey, Surrey, Metro Vancouver Regional District, British Columbia, V4A 2H0, Canada"
R2892380,1475000.0,6.0,3.0,"8449 152 Street, Surrey, BC, Canada",2658.0,8.0,5288.0,564.0,1981.0,SingleFamily,27/06/2024,2024-06-09,1499900.0,49.1564444,-122.8018278,"8449, 152 Street, Fleetwood, Surrey, Metro Vancouver Regional District, British Columbia, V3S 3M9, Canada"
R2890297,1375000.0,3.0,2.0,"18660 60 A Avenue, Surrey, BC, Canada",1607.0,0.0,4773.0,871.0,1988.0,SingleFamily,25/06/2024,2024-06-03,1399999.0,,,
R2896572,580000.0,2.0,2.0,"9765 140 Street, Surrey, BC, Canada",978.0,1.0,1984.0,598.0,1992.0,Condo,24/06/2024,2024-06-18,584900.0,49.1798751,-122.834672,"9765, 140 Street, City Centre, Surrey, Metro Vancouver Regional District, British Columbia, V3T 4E6, Canada"
R2897207,649000.0,2.0,2.0,"15138 34 Avenue, Surrey, BC, Canada",911.0,2.0,2401.0,712.0,2018.0,Condo,24/06/2024,2024-06-18,649000.0,49.0641877,-122.7868448,"34 Avenue, Morgan Creek, South Surrey, Surrey, Metro Vancouver Regional District, British Columbia, V3Z 0M9, Canada"
R2895678,525000.0,2.0,1.0,"13696 100 Avenue, Surrey, BC, Canada",656.0,1.0,2212.0,760.0,2017.0,Condo,24/06/2024,2024-06-16,499000.0,49.18394655,-122.84262837786707,"Park Avenue West, 13696, 100 Avenue, City Centre, Surrey, Metro Vancouver Regional District, British Columbia, V3T 0L5, Canada"
R2898130,1670000.0,4.0,2.0,"8316 169 A Street, Surrey, BC, Canada",2541.0,9.0,5158.0,668.0,1997.0,SingleFamily,24/06/2024,2024-06-20,1699900.0,,,
R2894602,965000.0,3.0,3.0,"6050 166 Street, Surrey, BC, Canada",2289.0,3.0,3747.0,436.0,2004.0,Townhouse,23/06/2024,2024-06-12,999800.0,49.112181,-122.762214,"6050, 166 Street, Surrey Centre, Cloverdale, Surrey, Metro Vancouver Regional District, British Columbia, V3S 5V4, Canada"
R2890355,510000.0,2.0,2.0,"10092 148Th Street, Surrey, BC, Canada",958.0,1.0,2218.0,573.0,2006.0,Condo,23/06/2024,2024-06-03,549000.0,,,
R2881156,737000.0,3.0,2.0,"10581 140 Street, Surrey, BC, Canada",1531.0,2.0,2580.0,489.0,2019.0,Townhouse,23/06/2024,2024-05-08,749999.0,49.1949281,-122.8343675,"10581, 140 Street, Whalley, Surrey, Metro Vancouver Regional District, British Columbia, V3T 4L5, Canada"
R2895038,908000.0,4.0,3.0,"14955 60 Avenue, Surrey, BC, Canada",1693.0,4.0,3473.0,531.0,2012.0,Townhouse,23/06/2024,2024-06-13,900000.0,49.1115587,-122.7590923,"60 Avenue, Surrey Centre, Cloverdale, Surrey, Metro Vancouver Regional District, British Columbia, V3S 0Z2, Canada"
R2896767,565000.0,2.0,2.0,"9765 140 Street, Surrey, BC, Canada",1082.0,2.0,2069.0,508.0,1992.0,Condo,23/06/2024,2024-06-18,549999.0,49.1798751,-122.834672,"9765, 140 Street, City Centre, Surrey, Metro Vancouver Regional District, British Columbia, V3T 4E6, Canada"
R2895959,485000.0,1.0,1.0,"6440 194 Street, Surrey, BC, Canada",601.0,1.0,1801.0,665.0,2010.0,Condo,23/06/2024,2024-06-17,399999.0,49.1249493,-122.6853068,"194 Street, Clayton Heights, Cloverdale, Surrey, Metro Vancouver Regional District, British Columbia, V4N 1N2, Canada"
R2889668,440000.0,2.0,1.0,"10468 148 Street, Surrey, BC, Canada",871.0,1.0,1840.0,516.0,1985.0,Condo,23/06/2024,2024-06-02,449900.0,49.1927289,-122.8121512,"10468, 148 Street, Johnston Heights, Guildford, Surrey, Metro Vancouver Regional District, British Columbia, V3R 7C1, Canada"
R2897288,895000.0,3.0,2.0,"15273 24 Avenue, Surrey, BC, Canada",1710.0,2.0,2955.0,526.0,1991.0,Townhouse,23/06/2024,2024-06-20,899900.0,49.0458563,-122.7997941,"15273, 24 Avenue, Sunnyside, South Surrey, Surrey, Metro Vancouver Regional District, British Columbia, V4A 2H9, Canada"
R2884651,790000.0,3.0,2.0,"6555 192 A Street, Surrey, BC, Canada",1432.0,3.0,3040.0,557.0,2005.0,Townhouse,23/06/2024,2024-05-20,798000.0,,,
R2892226,853500.0,3.0,2.0,"12711 64 Street, Surrey, BC, Canada",1997.0,2.0,3426.0,445.0,2004.0,Townhouse,23/06/2024,2024-06-09,889000.0,,,
