mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice,lat,lon,addressDetails
R2559132,5580000.0,4.0,2.0,"550 W 29th Ave, Vancouver, BC, Canada",2600.0,0.0,12336.0,2223.0,1942.0,SingleFamily,15/04/2021,2021-03-29,5780000.0,49.2452455,-123.11587,"West 29th Avenue, South Cambie, Vancouver, Metro Vancouver Regional District, British Columbia, V5Z, Canada"
R2527077,2200000.0,2.0,3.0,"1678 Pullman Porter St, Vancouver, BC, Canada",1565.0,2.0,5737.0,1463.0,2018.0,Townhouse,31/03/2021,2021-01-07,2290000.0,49.2712961,-123.1034347,"1678, Pullman Porter Street, The Village Shops, Mount Pleasant, Vancouver, Metro Vancouver Regional District, British Columbia, V6A, Canada"
R2557863,4550000.0,3.0,2.0,"577 W 27th Ave, Vancouver, BC, Canada",1947.0,0.0,10150.0,2568.0,1941.0,SingleFamily,04/04/2021,2021-03-24,5000000.0,49.2468734,-123.106188,"West 27th Avenue, Riley Park, Vancouver, Metro Vancouver Regional District, British Columbia, V5Y, Canada"
R2557857,4550000.0,5.0,3.0,"547 W 27th Ave, Vancouver, BC, Canada",3326.0,0.0,12792.0,1503.0,1943.0,SingleFamily,04/04/2021,2021-03-24,5000000.0,49.2468734,-123.106188,"West 27th Avenue, Riley Park, Vancouver, Metro Vancouver Regional District, British Columbia, V5Y, Canada"
R2559154,5280000.0,5.0,3.0,"560 W 29th Ave, Vancouver, BC, Canada",4085.0,0.0,21845.0,1561.0,2012.0,SingleFamily,15/04/2021,2021-03-29,6380000.0,49.2452455,-123.11587,"West 29th Avenue, South Cambie, Vancouver, Metro Vancouver Regional District, British Columbia, V5Z, Canada"
R2543744,1760000.0,5.0,4.0,"1965 E 37th Ave, Vancouver, BC, Canada",2249.0,0.0,6013.0,799.0,1991.0,SingleFamily,11/04/2021,2021-02-26,1799000.0,49.2372553,-123.1021699,"East 37th Avenue, Riley Park, Vancouver, Metro Vancouver Regional District, British Columbia, V5W, Canada"
R2561249,1705000.0,3.0,2.0,"4247 Musqueam Dr, Vancouver, BC, Canada",3500.0,0.0,8896.0,396.0,1973.0,SingleFamily,13/04/2021,2021-04-05,1388000.0,49.2283437,-123.1983826,"xʷməθkʷəy̓əm - Musqueam Drive, Dunbar-Southlands, Vancouver, Metro Vancouver Regional District, British Columbia, V6N, Canada"
R2574473,1695000.0,3.0,2.0,"593 King Edward Ave W, Vancouver, BC, Canada",1590.0,0.0,4207.0,1093.0,2017.0,Townhouse,05/05/2021,2021-04-29,1738000.0,49.2492532,-123.11784815,"593-595, West King Edward Avenue, South Cambie, Vancouver, Metro Vancouver Regional District, British Columbia, V5Z, Canada"
R2545989,1360000.0,3.0,4.0,"5150 Slocan St, Vancouver, BC, Canada",1657.0,0.0,5441.0,843.0,2021.0,MultiFamily,04/05/2021,2021-03-01,1398000.0,49.2527065,-123.0495939,"Slocan Street, Renfrew-Collingwood, Vancouver, Metro Vancouver Regional District, British Columbia, V5M, Canada"
R2567782,5111111.0,5.0,2.0,"1896 Wesbrook Cres, Vancouver, BC, Canada",3413.0,0.0,20878.0,1406.0,1955.0,SingleFamily,05/05/2021,2021-03-02,4800000.0,49.2744474,-123.2500974,"Wesbrook Crescent, Electoral Area A, Metro Vancouver Regional District, British Columbia, V6T, Canada"
R2556575,4575000.0,5.0,3.0,"6268 Collingwood St, Vancouver, BC, Canada",4747.0,0.0,13709.0,968.0,1912.0,SingleFamily,03/05/2021,2021-03-23,4598000.0,49.2660169,-123.1818012,"Collingwood Street, Kitsilano, Vancouver, Metro Vancouver Regional District, British Columbia, V6R, Canada"
