,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
0,"4657 204 A Street, Langley, BC",6,3,4059 sqft,,8,"$9,151",2002,R2899272,Residential,Yes,,$640,27/06/2024,"$2,525,000",25/06/2024,"$2,599,000",Single Family Residence
1,"104 - 6951 204 Street, Langley, BC",2,2,1249 sqft,,2,,2024,R2875548,Residential,Yes,,$664,26/06/2024,"$829,900",23/04/2024,"$829,900",Townhouse
2,"7 - 20498 82 Avenue, Langley, BC",3,2,1470 sqft,,2,"$4,171",2019,R2865233,Residential,Yes,,$646,26/06/2024,"$940,000",31/03/2024,"$949,900",Townhouse
3,"15 - 20751 87 Avenue, Langley, BC",3,3,2270 sqft,,2,"$4,424",1995,R2898378,Residential,Yes,,$462,26/06/2024,"$1,117,300",22/06/2024,"$1,049,900",Townhouse
4,"190 - 2844 273 Street, Langley, BC",3,1,1286 sqft,,2,"$2,952",1977,R2896768,Residential,No,,$520,24/06/2024,"$650,000",18/06/2024,"$669,000",Townhouse
5,"45 - 8737 212 Street, Langley, BC",3,2,1595 sqft,,2,"$3,869",1989,R2896796,Residential,Yes,,$532,24/06/2024,"$907,000",18/06/2024,"$848,800",Townhouse
6,"D212 - 20211 66 Avenue, Langley, BC",1,1,562 sqft,,1,"$2,789",2017,R2895601,Residential,Yes,,$800,24/06/2024,"$448,000",16/06/2024,"$450,000",Apartment/Condominium
7,"1 - 20164 81 A Avenue, Langley, BC",4,3,1975 sqft,,2,,2024,R2886879,Residential,Yes,,$569,24/06/2024,"$1,138,200",23/05/2024,"$1,124,900",Townhouse
8,"407 - 5499 203 Street, Langley, BC",1,1,816 sqft,,1,"$1,372",1996,R2882699,Residential,Yes,,$520,24/06/2024,"$425,000",13/05/2024,"$425,000",Apartment/Condominium
9,"22563 2 Avenue, Langley, BC",4,1,1954 sqft,,0,$890,9999,R2854810,Residential,Yes,,"$1,944",23/06/2024,"$3,486,891",29/02/2024,"$3,799,000",Single Family Residence
10,"C206 - 8150 207 Street, Langley, BC",2,1,725 sqft,,1,"$2,831",2020,R2896958,Residential,Yes,,$806,23/06/2024,"$560,000",16/06/2024,"$585,000",Apartment/Condominium
11,"22 - 5550 Langley Bypass, Langley, BC",2,2,1333 sqft,,2,"$2,671",1989,R2896198,Residential,Yes,,$621,23/06/2024,"$815,000",17/06/2024,"$829,000",Townhouse
12,"2 - 20150 81 Avenue, Langley, BC",4,2,1382 sqft,,2,"$3,984",2021,R2893145,Residential,Yes,,$672,23/06/2024,"$930,000",10/06/2024,"$930,000",Townhouse
13,"231 - 27358 32 Avenue, Langley, BC",2,2,1100 sqft,,1,"$2,706",1999,R2897428,Residential,Yes,,$454,23/06/2024,"$500,000",18/06/2024,"$499,999",Apartment/Condominium
14,"624 - 8067 207 Street, Langley, BC",2,2,1012 sqft,,2,"$3,533",2015,R2879366,Residential,Yes,,$789,23/06/2024,"$780,000",05/05/2024,"$799,000",Apartment/Condominium
15,"19778 43 A Avenue, Langley, BC",5,2,2551 sqft,,8,"$5,627",1977,R2897416,Residential,Yes,,$607,23/06/2024,"$1,620,000",19/06/2024,"$1,549,900",Single Family Residence
16,"4130 207 Th Street, Langley, BC",5,2,2733 sqft,,9,"$5,228",1974,R2894995,Residential,Yes,,$621,23/06/2024,"$1,705,000",13/06/2024,"$1,698,500",Single Family Residence
17,"56 - 20164 81 A Avenue, Langley, BC",2,2,1310 sqft,,2,,2024,R2886979,Residential,Yes,,$648,23/06/2024,"$855,150",24/05/2024,"$849,900",Townhouse
18,"A201 - 20834 80 Avenue, Langley, BC",1,1,523 sqft,,1,"$2,043",2023,R2889159,Residential,Yes,,$915,23/06/2024,"$470,000",29/05/2024,"$479,000",Apartment/Condominium
19,"8868 212 B Street, Langley, BC",4,3,2329 sqft,,4,"$6,335",1989,R2893245,Residential,Yes,,$665,23/06/2024,"$1,500,000",10/06/2024,"$1,549,900",Single Family Residence
20,"69 - 20460 66 Avenue, Langley, BC",2,2,1254 sqft,,2,"$3,423",2004,R2896343,Residential,No,,$557,22/06/2024,"$708,500",17/06/2024,"$699,000",Townhouse
21,"70 - 9208 208 Street, Langley, BC",3,2,1789 sqft,,2,"$4,505",1994,R2897864,Residential,Yes,,$530,22/06/2024,"$1,010,000",20/06/2024,"$948,800",Townhouse
22,"20 - 7938 209 Street, Langley, BC",2,2,1317 sqft,,3,"$3,731",2011,R2897344,Residential,Yes,,$614,22/06/2024,"$805,000",19/06/2024,"$809,900",Townhouse
23,"54 - 8555 209 Street, Langley, BC",2,2,1508 sqft,,4,"$4,633",1996,R2894876,Residential,Yes,,$812,22/06/2024,"$1,230,000",13/06/2024,"$1,225,000",Townhouse
24,"190 - 8288 207 A Street, Langley, BC",2,2,1028 sqft,,2,"$3,280",2012,R2893874,Residential,Yes,,$699,22/06/2024,"$700,000",11/06/2024,"$719,000",Apartment/Condominium
25,"5023 223 Street, Langley, BC",5,4,4343 sqft,,4,"$6,231",2010,R2894932,Residential,Yes,,$368,21/06/2024,"$1,600,008",13/06/2024,"$1,599,000",Single Family Residence
26,"D409 - 8327 201 Street, Langley, BC",2,2,948 sqft,,2,"$3,262",2021,R2890975,Residential,Yes,,$712,21/06/2024,"$665,000",04/06/2024,"$675,000",Apartment/Condominium
27,"A106 - 20487 65 Ave Avenue, Langley, BC",1,1,672 sqft,,1,"$2,637",2022,R2888012,Residential,Yes,,$781,21/06/2024,"$520,000",27/05/2024,"$525,000",Apartment/Condominium
28,"8849 213 A Place, Langley, BC",5,3,2543 sqft,,6,"$5,889",1991,R2896845,Residential,Yes,,$609,21/06/2024,"$1,540,000",18/06/2024,"$1,549,000",Single Family Residence
29,"216 - 20696 Eastleigh Crescent, Langley, BC",2,2,761 sqft,,1,"$1,909",2020,R2897137,Residential,Yes,,$722,21/06/2024,"$549,900",17/06/2024,"$549,900",Apartment/Condominium
30,"23866 36 A Avenue, Langley, BC",5,3,6211 sqft,,10,"$12,248",2022,R2895714,Residential,Yes,,$643,20/06/2024,"$3,998,000",16/06/2024,"$3,998,000",Single Family Residence
31,"33 - 27125 31 A Avenue, Langley, BC",3,1,1358 sqft,,2,"$3,210",1985,R2883003,Residential,Yes,,$463,20/06/2024,"$600,000",15/05/2024,"$629,000",Townhouse
32,"308 - 19825 54 Avenue, Langley, BC",1,1,506 sqft,,1,"$1,451",2023,R2870927,Residential,Yes,,$908,19/06/2024,"$430,000",14/04/2024,"$459,900",Apartment/Condominium
33,"206 - 22087 49 Avenue, Langley, BC",1,1,705 sqft,,1,"$2,769",2017,R2892945,Residential,Yes,,$780,19/06/2024,"$549,900",09/06/2024,"$549,900",Apartment/Condominium
34,"208 - 20829 77 A Avenue, Langley, BC",2,2,870 sqft,,2,"$3,179",2018,R2881064,Residential,Yes,,$729,19/06/2024,"$620,000",08/05/2024,"$635,000",Apartment/Condominium
35,"21375 - 85 Court, Langley, BC",5,2,2684 sqft,,6,"$5,943",1990,R2893684,Residential,Yes,,$558,19/06/2024,"$1,530,000",10/06/2024,"$1,499,000",Single Family Residence
36,"B215 - 8230 208 B Street, Langley, BC",2,1,624 sqft,,1,,2026,R2896169,Residential,Yes,,$921,19/06/2024,"$584,990",17/06/2024,"$574,990",Apartment/Condominium
37,"405 - 20448 Park Avenue, Langley, BC",2,2,1618 sqft,,2,"$2,767",1995,R2883982,Residential,Yes,,$463,19/06/2024,"$750,000",15/05/2024,"$750,000",Apartment/Condominium
38,"26765 32 A Avenue, Langley, BC",5,2,1862 sqft,,6,"$4,197",1977,R2891475,Residential,No,,$609,19/06/2024,"$1,130,000",05/06/2024,"$1,135,000",Single Family Residence
