,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
0,"22997 Gilbert Dr, Maple Ridge, BC",4,3,3269 sqft,,4,"$6,305",2010,R2886709,Residential,Yes,,$452,,,,,Single Family Residence
1,"508 - 22233 River Rd, Maple Ridge, BC",2,2,1182 sqft,,1,"$2,260",1998,R2899694,Residential,Yes,,$549,30/06/2024,"$664,000",26/06/2024,"$649,888",Apartment/Condominium
2,"21069 Barker Ave, Maple Ridge, BC",3,2,1913 sqft,,6,"$5,182",1983,R2892182,Residential,Yes,,$731,28/06/2024,"$1,350,000",06/06/2024,"$1,399,999",Single Family Residence
3,"35 - 23085 118 Ave, Maple Ridge, BC",3,2,1671 sqft,,2,"$3,154",1996,R2888559,Residential,Yes,,$460,26/06/2024,"$740,000",28/05/2024,"$769,000",Townhouse
4,"1095 - 11280 Pazarena Pl, Maple Ridge, BC",3,2,1277 sqft,,2,,2024,R2894276,Residential,Yes,,$665,26/06/2024,"$849,900",11/06/2024,"$849,900",Townhouse
5,"20 - 13819 232 St, Maple Ridge, BC",3,2,1537 sqft,,2,"$3,037",2011,R2889099,Residential,No,,$520,26/06/2024,"$790,000",30/05/2024,"$799,900",Townhouse
6,"1088 - 11280 Pazarena Pl, Maple Ridge, BC",3,2,1277 sqft,,2,,2024,R2899339,Residential,Yes,,$665,25/06/2024,"$849,900",23/06/2024,"$849,900",Townhouse
7,"94 - 13819 232 St, Maple Ridge, BC",3,2,1452 sqft,,2,"$3,095",2011,R2899117,Residential,Yes,,$523,25/06/2024,"$759,900",24/06/2024,"$759,900",Townhouse
8,"1094 - 11280 Pazarena Pl, Maple Ridge, BC",3,2,1277 sqft,,4,,2024,R2899362,Residential,Yes,,$673,24/06/2024,"$859,900",20/06/2024,"$859,900",Townhouse
9,"10159 247b St, Maple Ridge, BC",6,6,4470 sqft,,4,"$6,995",2016,R2896151,Residential,Yes,,$352,24/06/2024,"$1,575,000",17/06/2024,"$1,575,000",Single Family Residence
10,"207 - 12148 224 St, Maple Ridge, BC",2,2,1353 sqft,,0,"$2,451",1998,R2862136,Residential,No,,$480,24/06/2024,"$621,000",21/03/2024,"$649,900",Apartment/Condominium
11,"303 - 22265 Dewdney Trunk Rd, Maple Ridge, BC",1,1,768 sqft,,0,"$2,340",2022,R2892397,Residential,Yes,,$649,23/06/2024,"$520,000",09/06/2024,"$499,000",Apartment/Condominium
12,"310 - 12238 224 St, Maple Ridge, BC",2,2,950 sqft,,2,"$2,699",2007,R2869211,Residential,Yes,,$620,23/06/2024,"$582,500",08/04/2024,"$589,900",Apartment/Condominium
13,"62 - 12161 237 St, Maple Ridge, BC",3,2,1294 sqft,,3,"$3,425",2014,R2897083,Residential,Yes,,$656,23/06/2024,"$842,000",17/06/2024,"$849,900",Townhouse
14,"117 - 12075 Edge St, Maple Ridge, BC",1,1,674 sqft,,1,"$2,078",2013,R2896332,Residential,Yes,,$734,23/06/2024,"$480,000",17/06/2024,"$495,000",Apartment/Condominium
15,"104 - 11295 Pazarena Pl, Maple Ridge, BC",4,2,1518 sqft,,2,,2020,R2888420,Residential,Yes,,$612,23/06/2024,"$929,900",23/05/2024,"$929,900",Townhouse
16,"309 - 22327 River Rd, Maple Ridge, BC",3,2,1490 sqft,,2,"$3,716",2015,R2839265,Residential,Yes,,$503,23/06/2024,"$700,000",02/01/2024,"$749,900",Apartment/Condominium
17,"24038 109a Ave, Maple Ridge, BC",6,3,3000 sqft,,4,"$6,628",2001,R2897282,Residential,Yes,,$433,23/06/2024,"$1,287,000",20/06/2024,"$1,299,000",Single Family Residence
18,"1104 - 11280 Pazarena Pl, Maple Ridge, BC",3,2,1313 sqft,,2,,2024,R2894225,Residential,Yes,,$654,23/06/2024,"$859,900",11/06/2024,"$859,900",Townhouse
