,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
0,"1501 - 823 Carnarvon St, New Westminster, BC",1,1,527 sqft,,1,,2024,R2897990,Residential,Yes,,$946,01/07/2024,"$550,000",20/06/2024,"$499,000",Apartment/Condominium
1,"305 - 38 7 Th Ave, New Westminster, BC",2,1,894 sqft,,1,"$2,483",2003,R2890365,Residential,Yes,,$701,01/07/2024,"$618,000",03/06/2024,"$627,000",Apartment/Condominium
2,"206 - 74 Richmond St, New Westminster, BC",2,2,1171 sqft,,1,"$2,277",1995,R2899430,Residential,Yes,,$553,30/06/2024,"$660,000",24/06/2024,"$648,000",Apartment/Condominium
3,"103 - 1240 Quayside Dr, New Westminster, BC",1,1,931 sqft,,1,"$2,087",1989,R2876660,Residential,Yes,,$632,29/06/2024,"$600,000",28/04/2024,"$589,000",Apartment/Condominium
4,"1606 - 615 Hamilton St, New Westminster, BC",2,2,1221 sqft,,2,"$3,100",2005,R2899953,Residential,Yes,,$711,29/06/2024,"$875,000",26/06/2024,"$869,000",Apartment/Condominium
5,"6 - 508 14 Th St, New Westminster, BC",2,1,1144 sqft,,2,"$2,530",1991,R2899036,Residential,Yes,,$663,29/06/2024,"$750,000",24/06/2024,"$759,000",Townhouse
6,"308 - 232 6 Th St, New Westminster, BC",2,2,834 sqft,,1,"$2,691",2024,R2895516,Residential,Yes,,$838,29/06/2024,"$708,500",15/06/2024,"$699,000",Apartment/Condominium
7,"1308 - 210 Salter St, New Westminster, BC",2,2,1097 sqft,,1,"$3,521",2017,R2895707,Residential,Yes,,$815,27/06/2024,"$895,000",16/06/2024,"$895,000",Apartment/Condominium
8,"116 - 3 Renaissance Sq, New Westminster, BC",2,2,963 sqft,,2,"$2,627",1991,R2879384,Residential,Yes,,$802,25/06/2024,"$752,000",05/05/2024,"$772,500",Apartment/Condominium
9,"1405 - 55 10 Th St, New Westminster, BC",2,2,851 sqft,,2,"$2,390",1993,R2896275,Residential,Yes,,$722,24/06/2024,"$615,000",19/06/2024,"$615,000",Apartment/Condominium
10,"11 - 843 Ewen Ave, New Westminster, BC",3,2,1442 sqft,,2,"$3,894",2019,R2895477,Residential,Yes,,$671,24/06/2024,"$968,000",16/06/2024,"$968,000",Townhouse
11,"3313 - 240 Sherbrooke St, New Westminster, BC",2,2,809 sqft,,1,"$2,196",2008,R2858731,Residential,Yes,,$791,24/06/2024,"$622,500",08/03/2024,"$640,000",Apartment/Condominium
12,"405 - 5 Renaissance Sq, New Westminster, BC",2,2,1483 sqft,,1,"$3,703",1991,R2887492,Residential,Yes,,$620,24/06/2024,"$910,000",26/05/2024,"$919,900",Apartment/Condominium
13,"704 16 Th St, New Westminster, BC",4,2,2953 sqft,,1,"$5,732",1912,R2897099,Residential,No,,$507,24/06/2024,"$1,525,000",18/06/2024,"$1,499,000",Single Family Residence
14,"109 - 225 Mowat St, New Westminster, BC",1,1,621 sqft,,1,"$1,479",1983,R2895771,Residential,Yes,,$723,24/06/2024,"$445,000",16/06/2024,"$449,000",Apartment/Condominium
15,"105 - 836 12th St, New Westminster, BC",1,1,667 sqft,,1,"$1,620",1985,R2896710,Residential,Yes,,$638,24/06/2024,"$410,000",18/06/2024,"$425,900",Apartment/Condominium
16,"207 - 2 Renaissance Sq, New Westminster, BC",2,2,1397 sqft,,2,"$3,859",1990,R2896555,Residential,Yes,,$715,24/06/2024,"$999,000",17/06/2024,"$999,000",Apartment/Condominium
17,"804 - 728 Princess St, New Westminster, BC",2,2,1217 sqft,,1,"$2,736",1994,R2886318,Residential,No,,$723,23/06/2024,"$860,000",26/05/2024,"$879,900",Apartment/Condominium
18,"314 9 Th St, New Westminster, BC",5,2,1950 sqft,,1,"$4,998",1913,R2896832,Residential,No,,$794,23/06/2024,"$1,590,000",18/06/2024,"$1,549,000",Single Family Residence
19,"311 - 550 Royal Ave, New Westminster, BC",2,1,948 sqft,,1,"$2,241",1980,R2890487,Residential,Yes,,$606,23/06/2024,"$555,000",02/06/2024,"$575,000",Apartment/Condominium
20,"222 - 300 Salter St, New Westminster, BC",1,1,615 sqft,,1,"$2,176",2020,R2844574,Residential,Yes,,$853,23/06/2024,"$515,000",25/01/2024,"$525,000",Apartment/Condominium
21,"406 - 83 Star Cres, New Westminster, BC",2,2,953 sqft,,2,"$2,176",1999,R2897334,Residential,Yes,,$682,22/06/2024,"$645,000",19/06/2024,"$650,000",Apartment/Condominium
22,"143 - 388 Duncan St, New Westminster, BC",3,2,1293 sqft,,3,,2025,R2888577,Residential,Yes,,$750,22/06/2024,"$969,900",27/05/2024,"$969,900",Townhouse
23,"PH510 - 549 Columbia St, New Westminster, BC",1,1,952 sqft,,1,"$2,759",1958,R2892539,Residential,Yes,,$734,21/06/2024,"$685,000",09/06/2024,"$699,000",Apartment/Condominium
24,"79 - 430 Duncan St, New Westminster, BC",2,2,1171 sqft,,2,"$3,092",2020,R2892529,Residential,Yes,,$713,20/06/2024,"$820,000",09/06/2024,"$835,000",Townhouse
25,"1111 - 248 Sherbrooke St, New Westminster, BC",2,2,1010 sqft,,2,"$2,565",2008,R2896258,Residential,Yes,,$673,20/06/2024,"$687,500",17/06/2024,"$680,000",Apartment/Condominium
26,"207 - 423 Agnes St, New Westminster, BC",1,1,638 sqft,,1,"$1,519",1983,R2895371,Residential,Yes,,$721,20/06/2024,"$460,000",16/06/2024,"$460,000",Apartment/Condominium
27,"1615 London St, New Westminster, BC",4,2,2046 sqft,,3,"$6,188",1945,R2893382,Residential,Yes,,$825,20/06/2024,"$1,625,000",10/06/2024,"$1,688,000",Single Family Residence
28,"906 - 612 6 Th St, New Westminster, BC",2,2,1257 sqft,,1,"$2,565",1999,R2891704,Residential,Yes,,$668,20/06/2024,"$828,000",05/06/2024,"$839,900",Apartment/Condominium
29,"828 William St, New Westminster, BC",3,3,2551 sqft,,3,"$6,015",1953,R2889622,Residential,Yes,,$685,19/06/2024,"$1,715,000",02/06/2024,"$1,749,000",Single Family Residence
30,"305 - 385 Ginger Dr, New Westminster, BC",2,1,825 sqft,,1,"$1,735",1986,R2896656,Residential,Yes,,$606,19/06/2024,"$483,000",16/06/2024,"$499,999",Apartment/Condominium
31,"321 Queens Ave, New Westminster, BC",3,2,2185 sqft,,2,"$5,856",1893,R2888641,Residential,No,,$869,18/06/2024,"$1,914,000",28/05/2024,"$1,899,000",Single Family Residence
32,"402 - 10 Renaissance Sq, New Westminster, BC",1,1,776 sqft,,1,"$2,320",2006,R2894125,Residential,Yes,,$746,18/06/2024,"$563,000",11/06/2024,"$579,000",Apartment/Condominium
33,"6 - 385 Ginger Dr, New Westminster, BC",2,1,1128 sqft,,1,"$2,149",1986,R2893885,Residential,Yes,,$531,18/06/2024,"$579,000",10/06/2024,"$599,900",Townhouse
34,"110 - 45 4 Th St, New Westminster, BC",1,1,681 sqft,,1,"$1,617",1981,R2892678,Residential,Yes,,$688,18/06/2024,"$438,000",06/06/2024,"$469,000",Apartment/Condominium
35,"311 - 10 Renaissance Sq, New Westminster, BC",1,1,682 sqft,,1,"$2,137",2005,R2890704,Residential,Yes,,$843,18/06/2024,"$569,000",03/06/2024,"$575,000",Apartment/Condominium
36,"2701 - 898 Carnarvon St, New Westminster, BC",2,2,1240 sqft,,1,"$3,435",2009,R2891598,Residential,Yes,,$669,17/06/2024,"$780,000",05/06/2024,"$829,900",Apartment/Condominium
37,"203 - 270 Francis Way, New Westminster, BC",2,2,985 sqft,,1,"$2,701",2008,R2874746,Residential,Yes,,$751,17/06/2024,"$723,000",23/04/2024,"$739,900",Apartment/Condominium
38,"302 - 327 9 Th St, New Westminster, BC",2,1,872 sqft,,1,"$1,736",1976,R2893812,Residential,Yes,,$619,16/06/2024,"$520,000",11/06/2024,"$539,900",Apartment/Condominium
39,"907 - 814 Royal Ave, New Westminster, BC",2,2,824 sqft,,1,"$2,503",2007,R2892386,Residential,Yes,,$787,16/06/2024,"$640,000",09/06/2024,"$649,000",Apartment/Condominium
40,"13 - 935 Ewen Ave, New Westminster, BC",2,2,1412 sqft,,1,"$3,047",2005,R2893585,Residential,Yes,,$558,16/06/2024,"$785,000",09/06/2024,"$789,000",Townhouse
41,"205 - 48 Richmond St, New Westminster, BC",2,2,1102 sqft,,1,"$2,604",1992,R2890583,Residential,Yes,,$634,16/06/2024,"$720,000",09/06/2024,"$699,000",Apartment/Condominium
42,"1705 - 898 Carnarvon St, New Westminster, BC",2,2,818 sqft,,1,"$2,401",2008,R2877068,Residential,Yes,,$776,15/06/2024,"$630,000",29/04/2024,"$635,000",Apartment/Condominium
43,"703 - 415 Columbia St E, New Westminster, BC",2,2,793 sqft,,2,"$2,192",2007,R2865194,Residential,Yes,,$805,15/06/2024,"$634,000",01/04/2024,"$639,000",Apartment/Condominium
44,"2605 - 908 Quayside Dr, New Westminster, BC",2,2,901 sqft,,1,"$3,295",2019,R2877448,Residential,Yes,,$937,15/06/2024,"$812,000",30/04/2024,"$845,000",Apartment/Condominium
45,"7 - 12 Royal Ave E, New Westminster, BC",4,2,1773 sqft,,2,"$4,364",2008,R2890535,Residential,Yes,,$698,14/06/2024,"$1,215,000",03/06/2024,"$1,238,800",Townhouse
46,"1006 - 892 Carnarvon St, New Westminster, BC",2,2,814 sqft,,1,"$2,394",2009,R2863277,Residential,Yes,,$761,13/06/2024,"$609,000",25/03/2024,"$620,000",Apartment/Condominium
47,"31 - 72 Jamieson Crt, New Westminster, BC",3,2,1877 sqft,,2,"$3,626",1991,R2887481,Residential,Yes,,$639,13/06/2024,"$1,100,000",26/05/2024,"$1,200,000",Townhouse
48,"2203 - 892 Carnarvon St, New Westminster, BC",2,2,779 sqft,,1,"$2,401",2009,R2894292,Residential,Yes,,$806,13/06/2024,"$595,000",11/06/2024,"$628,000",Apartment/Condominium
49,"1205 7 Th Ave, New Westminster, BC",3,2,1729 sqft,,4,"$4,391",1950,R2875901,Residential,Yes,,$792,13/06/2024,"$1,345,000",25/04/2024,"$1,369,900",Single Family Residence
50,"251 - 600 Park Cres, New Westminster, BC",2,1,1120 sqft,,2,"$3,229",2003,R2890769,Residential,Yes,,$736,12/06/2024,"$824,990",04/06/2024,"$824,990",Townhouse
51,"925 1 St St, New Westminster, BC",3,1,1728 sqft,,0,"$6,143",1941,R2868156,Residential,No,,$862,12/06/2024,"$1,275,000",07/04/2024,"$1,490,000",Single Family Residence
52,"601 - 209 Carnarvon St, New Westminster, BC",1,1,759 sqft,,1,"$1,452",1976,R2885341,Residential,Yes,,$644,,,,,Apartment/Condominium
53,"107 - 625 Hamilton St, New Westminster, BC",2,1,1080 sqft,,1,"$2,002",1973,R2893246,Residential,Yes,,$462,11/06/2024,"$525,000",10/06/2024,"$499,900",Apartment/Condominium
54,"107 - 625 Hamilton St, New Westminster, BC",2,1,1080 sqft,,1,"$2,002",1973,R2893246,Residential,Yes,,$462,11/06/2024,"$525,000",10/06/2024,"$499,900",Apartment/Condominium
