,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
0,"80 - 19451 Sutton Ave, Pitt Meadows, BC",3,2,1377 sqft,,2,,2023,R2898618,Residential,Yes,,$653,26/06/2024,"$910,000",23/06/2024,"$899,900",Townhouse
1,"215 - 12565 190a St, Pitt Meadows, BC",2,2,940 sqft,,2,"$3,052",2013,R2888286,Residential,Yes,,$732,25/06/2024,"$680,000",28/05/2024,"$688,888",Apartment/Condominium
2,"213 - 12464 191b St, Pitt Meadows, BC",2,2,1044 sqft,,1,"$2,753",1994,R2885471,Residential,Yes,,$598,23/06/2024,"$617,000",20/05/2024,"$625,000",Apartment/Condominium
3,"204 - 12409 Harris Rd, Pitt Meadows, BC",2,2,765 sqft,,1,"$2,845",2015,R2894362,Residential,Yes,,$744,18/06/2024,"$565,000",11/06/2024,"$569,900",Apartment/Condominium
4,"110 - 11950 Harris Rd, Pitt Meadows, BC",2,2,943 sqft,,2,"$2,731",2008,R2885854,Residential,Yes,,$662,13/06/2024,"$600,000",21/05/2024,"$624,900",Apartment/Condominium
5,"11781 Wildwood Cres N, Pitt Meadows, BC",3,1,1540 sqft,,5,"$4,525",1980,R2874386,Residential,No,,$714,12/06/2024,"$1,060,000",22/04/2024,"$1,099,900",Single Family Residence
6,"19662 Somerset Dr, Pitt Meadows, BC",3,2,1710 sqft,,6,"$5,066",1988,R2880288,Residential,Yes,,$760,12/06/2024,"$1,240,000",06/05/2024,"$1,299,900",Single Family Residence
7,"203 - 12069 Harris Rd, Pitt Meadows, BC",2,2,1012 sqft,,1,"$3,116",2010,R2868297,Residential,Yes,,$690,11/06/2024,"$685,000",07/04/2024,"$699,000",Apartment/Condominium
8,"18819 124a Ave, Pitt Meadows, BC",6,3,3356 sqft,,5,"$6,034",2015,R2892454,Residential,Yes,,$506,10/06/2024,"$1,800,000",09/06/2024,"$1,699,900",Single Family Residence
9,"19668 117a Ave, Pitt Meadows, BC",4,4,3969 sqft,,11,"$6,364",1976,R2888497,Residential,Yes,,$579,10/06/2024,"$2,290,000",28/05/2024,"$2,299,900",Single Family Residence
10,"47 - 12268 189a St, Pitt Meadows, BC",3,2,1648 sqft,,2,"$4,044",1993,R2879724,Residential,Yes,,$564,06/06/2024,"$920,000",05/05/2024,"$930,000",Townhouse
