,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
0,Single Family Residence,"$4,435",3958 sqft,Yes,$467,R2905475,,Residential,2024,,"29582 Corvina Crt, Abbotsford, BC",6,9,4,14/07/2024,"$1,849,000"
1,Single Family Residence,"$4,809",2592 sqft,No,$495,R2905497,,Residential,1967,,"2086 Sherwood Cres, Abbotsford, BC",2,5,3,14/07/2024,"$1,285,000"
2,Single Family Residence,"$5,067",1592 sqft,Yes,$722,R2905660,,Residential,1989,,"2825 Gardner Crt, Abbotsford, BC",2,3,8,14/07/2024,"$1,149,900"
3,Single Family Residence,"$5,153",3428 sqft,Yes,$393,R2905758,,Residential,1991,,"32171 Ashcroft Dr, Abbotsford, BC",3,6,6,14/07/2024,"$1,349,700"
4,Single Family Residence,"$3,091",4140 sqft,Yes,$879,R2905941,,Residential,9999,,"41056 Belrose Rd, Abbotsford, BC",2,5,20,14/07/2024,"$3,640,000"
5,Manufactured On Land,"$3,714",1238 sqft,No,$775,R2905182,,Residential,1971,,"31543 Lombard Ave, Abbotsford, BC",2,2,4,14/07/2024,"$959,900"
6,Single Family Residence,"$4,028",2060 sqft,Yes,$533,R2905445,,Residential,1975,,"2602 Macbeth Cres, Abbotsford, BC",2,3,8,14/07/2024,"$1,099,000"
7,Apartment/Condominium,"$1,344",697 sqft,Yes,$516,R2905469,,Residential,1993,,"304 - 3063 Immel St, Abbotsford, BC",1,1,1,14/07/2024,"$359,900"
8,Single Family Residence,"$4,455",1980 sqft,Yes,$530,R2904207,,Residential,1978,,"34632 Acorn Ave, Abbotsford, BC",2,4,5,10/07/2024,"$1,050,000"
9,Apartment/Condominium,"$1,900",581 sqft,Yes,$739,R2904745,,Residential,2026,,"215 - 33820 S Fraser Way, Abbotsford, BC",2,1,1,10/07/2024,"$429,700"
10,Single Family Residence,"$4,482",2033 sqft,Yes,$515,R2904748,,Residential,1977,,"34242 Redwood Ave, Abbotsford, BC",2,4,9,10/07/2024,"$1,049,000"
