,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
0,Apartment/Condominium,"$1,742",969 sqft,Yes,$649,R2905730,,Residential,1994,,"905 - 9623 Manchester Dr, Burnaby, BC",2,2,1,14/07/2024,"$629,000"
1,Townhouse,"$3,314",1390 sqft,Yes,$790,R2905919,,Residential,2012,,"1603 - 8485 New Haven Close, Burnaby, BC",2,3,2,14/07/2024,"$1,099,000"
2,Apartment/Condominium,"$1,695",516 sqft,No,$967,R2905904,,Residential,2020,,"1502 - 2351 Beta Ave, Burnaby, BC",1,1,0,14/07/2024,"$499,000"
3,Apartment/Condominium,"$1,990",837 sqft,Yes,$918,R2905907,,Residential,2008,,"1705 - 2289 Yukon Cres, Burnaby, BC",2,2,1,14/07/2024,"$769,000"
4,Single Family Residence,"$7,245",4067 sqft,Yes,$688,R2905843,,Residential,2014,,"4536 Midlawn Dr, Burnaby, BC",5,7,4,14/07/2024,"$2,799,000"
5,Single Family Residence,"$5,259",1132 sqft,No,"$3,518",R2905610,,Residential,1953,,"6506 Broadway, Burnaby, BC",1,3,0,14/07/2024,"$3,982,500"
6,Single Family Residence,"$5,910",2695 sqft,Yes,$816,R2905568,,Residential,1979,,"6950 Mario Crt, Burnaby, BC",3,5,4,14/07/2024,"$2,200,000"
7,Apartment/Condominium,,540 sqft,Yes,"$1,200",R2905850,,Residential,2024,,"2501 - 4890 Lougheed Highway, Burnaby, BC",1,1,1,14/07/2024,"$648,000"
8,Apartment/Condominium,"$1,148",660 sqft,Yes,$681,R2905558,,Residential,1976,,"1003 - 6689 Willingdon Ave, Burnaby, BC",1,1,1,14/07/2024,"$449,900"
9,Apartment/Condominium,"$1,654",940 sqft,Yes,$806,R2905965,,Residential,1992,,"201 - 6388 Marlborough Ave, Burnaby, BC",2,2,1,14/07/2024,"$758,000"
10,Apartment/Condominium,"$1,074",673 sqft,Yes,$592,R2905516,,Residential,1976,,"402 - 3771 Bartlett Crt, Burnaby, BC",1,1,1,14/07/2024,"$399,000"
11,Apartment/Condominium,"$2,417",866 sqft,Yes,"$1,039",R2905903,,Residential,2014,,"3705 - 6461 Telford Ave, Burnaby, BC",2,2,1,14/07/2024,"$899,900"
12,Apartment/Condominium,"$2,322",950 sqft,Yes,"$1,021",R2905582,,Residential,2023,,"1701 - 3833 Evergreen Pl, Burnaby, BC",2,3,1,14/07/2024,"$970,000"
13,Apartment/Condominium,"$2,555",800 sqft,Yes,"$1,312",R2906049,,Residential,2022,,"3902 - 6000 Mckay Ave, Burnaby, BC",2,2,1,14/07/2024,"$1,050,000"
14,Townhouse,"$3,500",2009 sqft,Yes,$671,R2905992,,Residential,2007,,"157 - 9133 Government St, Burnaby, BC",2,4,2,14/07/2024,"$1,350,000"
15,Single Family Residence,"$6,189",2452 sqft,Yes,$978,R2905988,,Residential,1958,,"4381 Huxley Ave, Burnaby, BC",2,5,3,14/07/2024,"$2,399,000"
16,Apartment/Condominium,"$1,788",955 sqft,Yes,$784,R2905025,,Residential,2007,,"301 - 9283 Government St, Burnaby, BC",2,2,1,10/07/2024,"$749,000"
17,Apartment/Condominium,"$3,620",1259 sqft,Yes,"$1,151",R2904453,,Residential,2022,,"3503 - 4720 Lougheed Highway, Burnaby, BC",3,3,2,10/07/2024,"$1,449,900"
18,Apartment/Condominium,"$2,723",955 sqft,Yes,"$1,317",R2905245,,Residential,2022,,"2708 - 4711 Hazel St, Burnaby, BC",2,2,0,11/07/2024,"$1,258,000"
19,Apartment/Condominium,"$1,344",684 sqft,Yes,$804,R2905074,,Residential,1992,,"104 - 3770 Manor St, Burnaby, BC",1,1,1,10/07/2024,"$550,000"
20,Apartment/Condominium,"$1,855",525 sqft,Yes,"$1,333",R2905075,,Residential,2022,,"4201 - 6000 Mckay Ave, Burnaby, BC",1,1,1,10/07/2024,"$700,000"
21,Apartment/Condominium,"$1,526",568 sqft,Yes,"$1,054",R2905250,,Residential,2024,,"1006 - 4880 Lougheed Highway, Burnaby, BC",1,1,1,11/07/2024,"$599,000"
22,Apartment/Condominium,"$1,885",857 sqft,Yes,$815,R2904908,,Residential,2009,,"1907 - 9868 Cameron St, Burnaby, BC",2,2,1,10/07/2024,"$699,000"
23,Apartment/Condominium,"$2,190",788 sqft,Yes,$847,R2905393,,Residential,2020,,"1901 - 2311 Beta Ave, Burnaby, BC",2,2,1,11/07/2024,"$668,000"
24,Apartment/Condominium,"$2,500",745 sqft,Yes,"$1,206",R2904965,,Residential,2024,,"3107 - 4880 Lougheed Highway, Burnaby, BC",2,2,1,09/07/2024,"$899,000"
25,Apartment/Condominium,"$1,671",752 sqft,Yes,$797,R2904249,,Residential,2022,,"1603 - 8725 University Cres, Burnaby, BC",1,2,1,09/07/2024,"$599,900"
26,Apartment/Condominium,,538 sqft,Yes,"$1,300",R2904574,,Residential,2024,,"2505 - 2425 Alpha Ave, Burnaby, BC",1,1,1,09/07/2024,"$699,900"
27,Apartment/Condominium,"$1,215",924 sqft,Yes,$573,R2904188,,Residential,1974,,"203 - 5450 Empire Dr, Burnaby, BC",1,2,1,09/07/2024,"$530,000"
28,Apartment/Condominium,"$1,176",483 sqft,Yes,$931,R2905043,,Residential,2021,,"801 - 8940 University Cres, Burnaby, BC",1,1,1,09/07/2024,"$450,000"
29,Multi Family,"$4,942",2305 sqft,Yes,$819,R2903509,,Residential,2002,,"5089 Carson St, Burnaby, BC",3,5,3,09/07/2024,"$1,888,888"
30,Single Family Residence,"$5,412",1860 sqft,No,"$1,015",R2904644,,Residential,1953,,"5409 Patrick St, Burnaby, BC",3,4,4,09/07/2024,"$1,888,000"
31,Apartment/Condominium,"$1,454",612 sqft,Yes,$913,R2904445,,Residential,2012,,"220 - 5788 Sidley St, Burnaby, BC",1,1,1,09/07/2024,"$559,000"
32,Apartment/Condominium,"$2,785",1077 sqft,Yes,$927,R2904079,,Residential,2005,,"2603 - 4132 Halifax St, Burnaby, BC",2,2,4,08/07/2024,"$998,800"
33,Apartment/Condominium,"$1,813",977 sqft,Yes,$715,R2904085,,Residential,1995,,"607 - 5833 Wilson Ave, Burnaby, BC",2,2,1,08/07/2024,"$699,000"
34,Townhouse,"$2,945",1569 sqft,Yes,$849,R2904929,,Residential,2006,,"58 - 7388 Macpherson Ave, Burnaby, BC",2,4,2,08/07/2024,"$1,332,800"
35,Apartment/Condominium,"$1,706",801 sqft,Yes,$872,R2903659,,Residential,1998,,"401 - 6893 Prenter St, Burnaby, BC",2,2,2,08/07/2024,"$699,000"
36,Multi Family,"$5,350",2293 sqft,Yes,$811,R2903606,,Residential,2017,,"1135 Yorston Crt, Burnaby, BC",3,5,1,08/07/2024,"$1,859,900"
37,Apartment/Condominium,"$2,669",1155 sqft,Yes,$778,R2904067,,Residential,2012,,"101 - 6168 Wilson Ave, Burnaby, BC",2,2,2,08/07/2024,"$899,000"
38,Townhouse,"$2,181",947 sqft,Yes,$842,R2903994,,Residential,2009,,"228 - 368 Ellesmere Ave, Burnaby, BC",2,2,1,08/07/2024,"$798,000"
39,Apartment/Condominium,"$1,650",861 sqft,Yes,$870,R2903948,,Residential,2023,,"213 - 6438 Byrnepark Dr, Burnaby, BC",2,2,1,08/07/2024,"$749,900"
40,Apartment/Condominium,,544 sqft,Yes,"$1,315",R2904598,,Residential,2027,,"1402 - 6576 Marlborough Ave, Burnaby, BC",1,1,1,07/07/2024,"$715,900"
41,Apartment/Condominium,$873,408 sqft,Yes,$913,R2903559,,Residential,2004,,"219 - 9339 University Cres, Burnaby, BC",1,0,1,07/07/2024,"$372,800"
42,Single Family Residence,"$5,107",2567 sqft,No,$739,R2904140,,Residential,1922,,"4004 Parker St, Burnaby, BC",2,3,2,07/07/2024,"$1,899,000"
43,Apartment/Condominium,"$1,994",978 sqft,Yes,$714,R2903025,,Residential,2008,,"1808 - 9888 Cameron St, Burnaby, BC",2,2,1,07/07/2024,"$699,000"
44,Single Family Residence,"$6,725",4161 sqft,Yes,$622,R2903049,,Residential,1997,,"6627 Strathmore Ave, Burnaby, BC",5,8,0,07/07/2024,"$2,590,000"
45,Single Family Residence,"$5,309",2578 sqft,Yes,$686,R2903650,,Residential,1954,,"5644 Patrick St, Burnaby, BC",3,5,1,07/07/2024,"$1,769,000"
46,Townhouse,,1793 sqft,Yes,$819,R2902950,,Residential,2024,,"1001 - 6085 Irmin St, Burnaby, BC",2,4,2,07/07/2024,"$1,469,000"
47,Townhouse,"$2,938",1253 sqft,Yes,"$1,035",R2903334,,Residential,2019,,"3 - 5058 Savile Row, Burnaby, BC",2,3,2,07/07/2024,"$1,298,000"
48,Apartment/Condominium,"$2,302",763 sqft,Yes,"$1,047",R2903813,,Residential,2020,,"1508 - 2311 Beta Ave, Burnaby, BC",2,2,1,07/07/2024,"$799,000"
49,Townhouse,"$2,219",1011 sqft,Yes,$820,R2903240,,Residential,2006,,"8 - 6878 Southpoint Dr, Burnaby, BC",2,2,1,07/07/2024,"$829,900"
