,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
0,Townhouse,"$2,768",1617 sqft,Yes,$672,R2906014,,Residential,1989,,"13 - 1135 Lansdowne Dr, Coquitlam, BC",2,3,2,14/07/2024,"$1,088,000"
1,Apartment/Condominium,"$2,787",1112 sqft,Yes,$809,R2905759,,Residential,2022,,"107 - 750 Dogwood St, Coquitlam, BC",2,3,2,14/07/2024,"$899,900"
2,Multi Family,"$3,200",1453 sqft,Yes,$825,R2905795,,Residential,1983,,"234b Hart St, Coquitlam, BC",2,3,1,14/07/2024,"$1,199,999"
3,Single Family Residence,"$5,653",3756 sqft,Yes,$580,R2905696,,Residential,1997,,"2909 Keets Dr, Coquitlam, BC",3,5,5,14/07/2024,"$2,180,000"
4,Single Family Residence,"$5,248",4321 sqft,Yes,$552,R2906017,,Residential,1982,,"1367 Charter Hill Dr, Coquitlam, BC",4,4,6,14/07/2024,"$2,388,000"
5,Townhouse,"$1,931",1500 sqft,No,$565,R2905860,,Residential,1972,,"16 - 300 Decaire St, Coquitlam, BC",2,3,1,14/07/2024,"$848,000"
6,Single Family Residence,"$4,632",1895 sqft,Yes,"$1,054",R2905577,,Residential,1935,,"1031 Stewart Ave, Coquitlam, BC",1,4,6,14/07/2024,"$1,999,000"
7,Apartment/Condominium,,619 sqft,Yes,$807,R2905612,,Residential,2022,,"304 - 808 Gauthier Ave, Coquitlam, BC",1,1,1,14/07/2024,"$499,888"
8,Single Family Residence,"$5,337",3241 sqft,Yes,$524,R2906011,,Residential,1997,,"1828 Hampton Green, Coquitlam, BC",3,4,4,11/07/2024,"$1,700,000"
9,Single Family Residence,"$7,699",5760 sqft,Yes,$466,R2905371,,Residential,2000,,"1625 Parkway Blvd, Coquitlam, BC",5,7,8,11/07/2024,"$2,688,000"
10,Townhouse,"$3,333",2051 sqft,Yes,$487,R2905104,,Residential,2002,,"6 - 2351 Parkway Blvd, Coquitlam, BC",2,3,2,10/07/2024,"$999,998"
11,Apartment/Condominium,"$2,637",965 sqft,Yes,$899,R2905915,,Residential,2018,,"1305 - 3100 Windsor Gate, Coquitlam, BC",2,2,1,12/07/2024,"$868,000"
12,Apartment/Condominium,"$3,182",1048 sqft,Yes,$953,R2905121,,Residential,2023,,"507 - 1045 Austin Ave, Coquitlam, BC",2,3,1,11/07/2024,"$999,000"
