,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
0,Townhouse,"$3,253",1788 sqft,Yes,$670,R2905645,,Residential,1989,,"8390 Centre St, Delta, BC",2,3,4,14/07/2024,"$1,199,000"
1,Single Family Residence,"$4,695",2611 sqft,Yes,$643,R2905994,,Residential,1977,,"1243 Beach Grove Rd, Delta, BC",3,5,4,14/07/2024,"$1,679,000"
2,Single Family Residence,"$6,560",3749 sqft,Yes,$559,R2905962,,Residential,2002,,"5335 10 Ave, Delta, BC",2,4,6,14/07/2024,"$2,098,000"
3,Apartment/Condominium,"$1,642",1144 sqft,Yes,$487,R2905500,,Residential,1986,,"206 - 11881 88 Ave, Delta, BC",1,2,1,14/07/2024,"$558,000"
4,Apartment/Condominium,"$1,970",1090 sqft,Yes,$577,R2905526,,Residential,1982,,"370 - 1440 Garden Pl, Delta, BC",1,2,1,14/07/2024,"$629,000"
5,Single Family Residence,"$5,370",2781 sqft,Yes,$628,R2905672,,Residential,2006,,"5870 Cove Link Rd, Delta, BC",4,4,4,14/07/2024,"$1,749,000"
6,Single Family Residence,"$4,314",1435 sqft,Yes,$905,R2905716,,Residential,1977,,"5736 48b Ave, Delta, BC",1,3,3,14/07/2024,"$1,299,000"
7,Single Family Residence,"$4,880",1210 sqft,No,"$1,115",R2905637,,Residential,1954,,"1379 Duncan Dr, Delta, BC",2,3,4,14/07/2024,"$1,349,998"
8,Multi Family,"$3,113",1853 sqft,No,$604,R2903772,,Residential,1968,,"5884 48a Ave, Delta, BC",2,4,5,08/07/2024,"$1,120,000"
9,Single Family Residence,"$5,509",2152 sqft,Yes,$813,R2903826,,Residential,1978,,"648 Sandollar Pl, Delta, BC",3,4,6,09/07/2024,"$1,750,000"
10,Single Family Residence,"$4,358",1385 sqft,No,$902,R2903598,,Residential,1968,,"5458 Chestnut Cres, Delta, BC",1,3,2,08/07/2024,"$1,249,900"
11,Single Family Residence,"$5,369",3253 sqft,No,$551,R2904428,,Residential,1959,,"9130 Norum Rd, Delta, BC",3,6,10,09/07/2024,"$1,795,000"
12,Townhouse,,1800 sqft,Yes,$849,R2904318,,Residential,2024,,"4 - 6366 Dairy Ave, Delta, BC",2,3,2,08/07/2024,"$1,529,900"
13,Apartment/Condominium,,972 sqft,Yes,$769,R2905706,,Residential,2020,,"114 - 11507 84 Ave, Delta, BC",2,2,0,08/07/2024,"$748,000"
14,Single Family Residence,"$4,592",2041 sqft,Yes,$709,R2904642,,Residential,1970,,"11338 79 Ave, Delta, BC",2,4,5,09/07/2024,"$1,448,000"
15,Single Family Residence,"$5,050",2959 sqft,Yes,$624,R2904422,,Residential,1968,,"20 50 St, Delta, BC",3,4,4,09/07/2024,"$1,849,000"
16,Single Family Residence,"$4,558",2890 sqft,Yes,$605,R2902281,,Residential,2025,,"11321 80 Ave, Delta, BC",4,6,4,04/07/2024,"$1,750,000"
17,Townhouse,"$2,257",1287 sqft,No,$581,R2902591,,Residential,1979,,"74 - 6622 Baker Rd, Delta, BC",1,3,2,04/07/2024,"$748,000"
18,Single Family Residence,"$4,614",2078 sqft,No,$697,R2902346,,Residential,1959,,"8123 112a St, Delta, BC",2,5,4,04/07/2024,"$1,449,900"
19,Single Family Residence,"$5,586",2524 sqft,Yes,$756,R2903916,,Residential,2019,,"4620 River Rd W, Delta, BC",4,6,4,07/07/2024,"$1,910,000"
20,Single Family Residence,"$5,250",2880 sqft,Yes,$624,R2903101,,Residential,1991,,"6158 49 Ave, Delta, BC",2,4,4,05/07/2024,"$1,799,000"
21,Apartment/Condominium,"$1,575",576 sqft,Yes,$954,R2902549,,Residential,2017,,"703 - 11967 80 Ave, Delta, BC",1,2,1,04/07/2024,"$549,999"
22,Single Family Residence,"$3,695",1800 sqft,No,"$1,049",R2902775,,Residential,9999,,"3807 72 St, Delta, BC",3,4,0,04/07/2024,"$1,888,888"
23,Single Family Residence,"$6,010",3218 sqft,Yes,$591,R2903071,,Residential,1967,,"971 51a St, Delta, BC",2,4,8,07/07/2024,"$1,905,000"
