mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice,lat,lon,addressDetails
R2905475,9,6,"29582 Corvina Crt, Abbotsford, BC, Canada",3958.0,4,4435.0,467.0,2024,SingleFamily,14/07/2024,1849000.0,49.0457217,-122.4041816,"Corvina Court, Pepin Brook, Abbotsford, Fraser Valley Regional District, British Columbia, V4X 1J3, Canada"
R2905497,5,2,"2086 Sherwood Cres, Abbotsford, BC, Canada",2592.0,3,4809.0,495.0,1967,SingleFamily,14/07/2024,1285000.0,49.03990425,-122.33344480157035,"2086, Sherwood Crescent, South Clearbrook, Abbotsford, Fraser Valley Regional District, British Columbia, V2T 1B8, Canada"
R2905660,3,2,"2825 Gardner Crt, Abbotsford, BC, Canada",1592.0,8,5067.0,722.0,1989,SingleFamily,14/07/2024,1149900.0,49.0543612,-122.3661236,"Gardner Court, Abbotsford, Fraser Valley Regional District, British Columbia, V2T 5E4, Canada"
R2905758,6,3,"32171 Ashcroft Dr, Abbotsford, BC, Canada",3428.0,6,5153.0,393.0,1991,SingleFamily,14/07/2024,1349700.0,49.0628385,-122.3318707,"Ashcroft Drive, North Clearbrook, Abbotsford, Fraser Valley Regional District, British Columbia, V2T 5C7, Canada"
R2905941,5,2,"41056 Belrose Rd, Abbotsford, BC, Canada",4140.0,20,3091.0,879.0,9999,SingleFamily,14/07/2024,3640000.0,49.0491727,-122.0882141,"Belrose Road, Abbotsford, Fraser Valley Regional District, British Columbia, V3G 1T7, Canada"
R2905445,3,2,"2602 Macbeth Cres, Abbotsford, BC, Canada",2060.0,8,4028.0,533.0,1975,SingleFamily,14/07/2024,1099000.0,49.0497721,-122.262422,"Macbeth Crescent, Yale Court, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 7S5, Canada"
R2905469,1,1,"3063 Immel St, Abbotsford, BC, Canada",697.0,1,1344.0,516.0,1993,Condo,14/07/2024,359900.0,49.0565281,-122.2718415,"Immel Street, Lower Ten Oaks, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 4L3, Canada"
R2904207,4,2,"34632 Acorn Ave, Abbotsford, BC, Canada",1980.0,5,4455.0,530.0,1978,SingleFamily,10/07/2024,1050000.0,49.0615829,-122.2657194,"Acorn Avenue, Lower Ten Oaks, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 4H3, Canada"
R2904745,1,2,"33820 S Fraser Way, Abbotsford, BC, Canada",581.0,1,1900.0,739.0,2026,Condo,10/07/2024,429700.0,49.0489101,-122.2926614,"South Fraser Way, Abbotsford Centre, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 2B9, Canada"
R2904748,4,2,"34242 Redwood Ave, Abbotsford, BC, Canada",2033.0,9,4482.0,515.0,1977,SingleFamily,10/07/2024,1049000.0,49.0535069,-122.2717989,"Redwood Avenue, Abbotsford Centre, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 7E6, Canada"
R2905329,2,2,"32085 George Ferguson Way, Abbotsford, BC, Canada",1115.0,2,1951.0,493.0,1996,Condo,10/07/2024,549900.0,49.055247,-122.33535429791667,"32085, George Ferguson Way, Clearbrook, Abbotsford, Fraser Valley Regional District, British Columbia, V2T 2K7, Canada"
R2904825,3,3,"34230 Elmwood Dr, Abbotsford, BC, Canada",2390.0,4,3756.0,407.0,2016,Townhouse,10/07/2024,975000.0,49.0603379,-122.2765672,"Elmwood Drive, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 6B2, Canada"
