mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice,lat,lon,addressDetails
R2905730,2,2,"9623 Manchester Dr, Burnaby, BC, Canada",969.0,1,1742.0,649.0,1994,Condo,14/07/2024,629000.0,49.2471072,-122.89798582508456,"Crystal Manor, 9623, Manchester Drive, Burnaby, Metro Vancouver Regional District, British Columbia, V3N 4P5, Canada"
R2905919,3,2,"8485 New Haven Close, Burnaby, BC, Canada",1390.0,2,3314.0,790.0,2012,Townhouse,14/07/2024,1099000.0,,,
R2905904,1,1,"2351 Beta Ave, Burnaby, BC, Canada",516.0,0,1695.0,967.0,2020,Condo,14/07/2024,499000.0,49.2744334,-122.9974219,"Beta Avenue, Burnaby, Metro Vancouver Regional District, British Columbia, V5C 3V4, Canada"
R2905907,2,2,"2289 Yukon Cres, Burnaby, BC, Canada",837.0,1,1990.0,918.0,2008,Condo,14/07/2024,769000.0,49.264160149999995,-122.99531282303391,"Watercolors, 2289, Yukon Crescent, Burnaby, Metro Vancouver Regional District, British Columbia, V5C 4B4, Canada"
R2905843,7,5,"4536 Midlawn Dr, Burnaby, BC, Canada",4067.0,4,7245.0,688.0,2014,SingleFamily,14/07/2024,2799000.0,49.2711011,-122.99854,"Midlawn Drive, Willingdon Heights, Burnaby, Metro Vancouver Regional District, British Columbia, V5C 3Z6, Canada"
R2905610,3,1,"6506 Broadway, Burnaby, BC, Canada",1132.0,0,5259.0,3518.0,1953,SingleFamily,14/07/2024,3982500.0,49.2617806,-122.9679218,"Broadway, Burnaby, Metro Vancouver Regional District, British Columbia, V5B 2Z9, Canada"
R2905568,5,3,"6950 Mario Crt, Burnaby, BC, Canada",2695.0,4,5910.0,816.0,1979,SingleFamily,14/07/2024,2200000.0,49.2608458,-122.9604547,"Mario Court, Burnaby, Metro Vancouver Regional District, British Columbia, V5A 2S9, Canada"
R2905558,1,1,"6689 Willingdon Ave, Burnaby, BC, Canada",660.0,1,1148.0,681.0,1976,Condo,14/07/2024,449900.0,49.2228195,-123.0119313,"Kensington Manor, 6689, Willingdon Avenue, Metrotown, Burnaby, Metro Vancouver Regional District, British Columbia, V5H 2W5, Canada"
R2905965,2,2,"6388 Marlborough Ave, Burnaby, BC, Canada",940.0,1,1654.0,806.0,1992,Condo,14/07/2024,758000.0,49.2266525,-122.99118592476037,"Marlborough Place, 6388, Marlborough Avenue, Metrotown, Burnaby, Metro Vancouver Regional District, British Columbia, V5H 4A5, Canada"
R2905516,1,1,"3771 Bartlett Crt, Burnaby, BC, Canada",673.0,1,1074.0,592.0,1976,Condo,14/07/2024,399000.0,49.24991545,-122.89894332212079,"The Birch, 3771, Bartlett Court, Sullivan Heights, Burnaby, Metro Vancouver Regional District, British Columbia, V3J 1L6, Canada"
