mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice,lat,lon,addressDetails
R2906014,3,2,"1135 Lansdowne Dr, Coquitlam, BC, Canada",1617.0,2,2768.0,672.0,1989.0,Townhouse,14/07/2024,1088000.0,49.2779715,-122.8083198,"Lansdowne Drive, Hoy Creek Housing Coop, Harbour Village, Coquitlam, Metro Vancouver Regional District, British Columbia, V3B 1K9, Canada"
R2905759,3,2,"750 Dogwood St, Coquitlam, BC, Canada",1112.0,2,2787.0,809.0,2022.0,Condo,14/07/2024,899900.0,49.2627673,-122.8834858,"Dogwood Street, Cariboo, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 0B2, Canada"
R2905795,3,2,"234b Hart St, Coquitlam, BC, Canada",1453.0,1,3200.0,825.0,1983.0,MultiFamily,14/07/2024,1199999.0,49.2379792,-122.8808709,"Hart Street, Cariboo, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 7B3, Canada"
R2905696,5,3,"2909 Keets Dr, Coquitlam, BC, Canada",3756.0,5,5653.0,580.0,1997.0,SingleFamily,14/07/2024,2180000.0,49.263737,-122.8004052,"Keets Drive, Ranch Park, Coquitlam, Metro Vancouver Regional District, British Columbia, V3C 3M3, Canada"
R2906017,4,4,"1367 Charter Hill Dr, Coquitlam, BC, Canada",4321.0,6,5248.0,552.0,1982.0,SingleFamily,14/07/2024,2388000.0,49.29022825,-122.8106126539601,"1367, Charter Hill Drive, Cassin, Coquitlam, Metro Vancouver Regional District, British Columbia, V3B 6V5, Canada"
R2905860,3,2,"300 Decaire St, Coquitlam, BC, Canada",1500.0,1,1931.0,565.0,1972.0,Townhouse,14/07/2024,848000.0,49.2440181,-122.8500613,"Decaire Street, Austin Heights, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 4Y7, Canada"
R2905577,4,1,"1031 Stewart Ave, Coquitlam, BC, Canada",1895.0,6,4632.0,1054.0,1935.0,SingleFamily,14/07/2024,1999000.0,49.2436316,-122.8741028,"Stewart Avenue, Maillardville, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 4E1, Canada"
R2906011,4,3,"1828 Hampton Green, Coquitlam, BC, Canada",3241.0,4,5337.0,524.0,1997.0,SingleFamily,11/07/2024,1700000.0,49.3141088,-122.7836258,"Hampton Green, Westwood Plateau, Coquitlam, Metro Vancouver Regional District, British Columbia, V3E 3A1, Canada"
R2905371,7,5,"1625 Parkway Blvd, Coquitlam, BC, Canada",5760.0,8,7699.0,466.0,2000.0,SingleFamily,11/07/2024,2688000.0,49.308501,-122.8019933,"Parkway Boulevard, Westwood Plateau, Coquitlam, Metro Vancouver Regional District, British Columbia, V3E 2T1, Canada"
R2905104,3,2,"2351 Parkway Blvd, Coquitlam, BC, Canada",2051.0,2,3333.0,487.0,2002.0,Townhouse,10/07/2024,999998.0,49.308501,-122.8019933,"Parkway Boulevard, Westwood Plateau, Coquitlam, Metro Vancouver Regional District, British Columbia, V3E 2T1, Canada"
R2905915,2,2,"3100 Windsor Gate, Coquitlam, BC, Canada",965.0,1,2637.0,899.0,2018.0,Condo,12/07/2024,868000.0,49.27945245,-122.78613504521087,"The Lloyd, 3100, Windsor Gate, River Springs, Coquitlam, Metro Vancouver Regional District, British Columbia, V3B 2P9, Canada"
R2905121,3,2,"1045 Austin Ave, Coquitlam, BC, Canada",1048.0,1,3182.0,953.0,2023.0,Condo,11/07/2024,999000.0,49.2489576,-122.864884,"Austin Avenue, Austin Heights, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 3P0, Canada"
R2905158,5,2,"1047 Milford Ave, Coquitlam, BC, Canada",2392.0,3,5616.0,873.0,1962.0,SingleFamily,11/07/2024,2090000.0,49.25884,-122.8519477,"Milford Avenue, Austin Heights, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 2N1, Canada"
R2905294,1,1,"1148 Heffley Cres, Coquitlam, BC, Canada",618.0,1,1453.0,807.0,1999.0,Condo,11/07/2024,499000.0,49.2807905,-122.7917369,"Heffley Crescent, Hoy Creek Housing Coop, River Springs, Coquitlam, Metro Vancouver Regional District, British Columbia, V3B 0L8, Canada"
R2904384,7,3,"1519 Shore View Pl, Coquitlam, BC, Canada",3851.0,2,5937.0,519.0,2013.0,SingleFamily,09/07/2024,1999000.0,49.3045077,-122.7507926,"Shore View Place, Coquitlam, Metro Vancouver Regional District, British Columbia, V3E 3H3, Canada"
R2904666,7,6,"583 Hillcrest St, Coquitlam, BC, Canada",4929.0,4,7014.0,547.0,2011.0,SingleFamily,09/07/2024,2698000.0,49.2531633,-122.8354537,"Hillcrest Street, Dartmoor, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 3S1, Canada"
R2903895,6,5,"2274 Leclair Dr, Coquitlam, BC, Canada",4574.0,9,6726.0,546.0,1989.0,SingleFamily,08/07/2024,2499000.0,49.2416865,-122.8292181,"Leclair Drive, Dartmoor, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 3S1, Canada"
