mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice,lat,lon,addressDetails
R2905645,3,2,"8390 Centre St, Delta, BC, Canada",1788.0,4,3253.0,670.0,1989,Townhouse,14/07/2024,1199000.0,49.1562602,-122.9363796,"8390, Centre Street, Sunbury, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 2R3, Canada"
R2905994,5,3,"1243 Beach Grove Rd, Delta, BC, Canada",2611.0,4,4695.0,643.0,1977,SingleFamily,14/07/2024,1679000.0,49.0252256,-123.0586642,"1243, Beach Grove Road, Beach Grove, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4L 1C7, Canada"
R2905962,4,2,"5335 10 Ave, Delta, BC, Canada",3749.0,6,6560.0,559.0,2002,SingleFamily,14/07/2024,2098000.0,49.0219136,-123.0760983,"5335, 10 Avenue, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4M 3X8, Canada"
R2905500,2,1,"11881 88 Ave, Delta, BC, Canada",1144.0,1,1642.0,487.0,1986,Condo,14/07/2024,558000.0,49.16361915,-122.89340729094349,"Kennedy Tower, 11881, 88 Avenue, Kennedy, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 3C9, Canada"
R2905526,2,1,"1440 Garden Pl, Delta, BC, Canada",1090.0,1,1970.0,577.0,1982,Condo,14/07/2024,629000.0,49.0290553,-123.070178,"1440, Garden Place, The Highlands, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4L 2P7, Canada"
R2905672,4,4,"5870 Cove Link Rd, Delta, BC, Canada",2781.0,4,5370.0,628.0,2006,SingleFamily,14/07/2024,1749000.0,49.1108124,-123.0726014,"5870, Cove Link Road, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 3M9, Canada"
R2905716,3,1,"5736 48b Ave, Delta, BC, Canada",1435.0,3,4314.0,905.0,1977,SingleFamily,14/07/2024,1299000.0,49.0912346,-123.0643864,"5736, 48B Avenue, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 3C9, Canada"
R2905637,3,2,"1379 Duncan Dr, Delta, BC, Canada",1210.0,4,4880.0,1115.0,1954,SingleFamily,14/07/2024,1349998.0,49.0279648,-123.0603216,"1379, Duncan Drive, Beach Grove, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4L 1C7, Canada"
R2903772,4,2,"5884 48a Ave, Delta, BC, Canada",1853.0,5,3113.0,604.0,1968,MultiFamily,08/07/2024,1120000.0,49.0906998,-123.0604023,"5884, 48A Avenue, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 3C9, Canada"
R2903826,4,3,"648 Sandollar Pl, Delta, BC, Canada",2152.0,6,5509.0,813.0,1978,SingleFamily,09/07/2024,1750000.0,49.0149247,-123.0648788,"648, Sandollar Place, Forest-by-the-Bay, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4L 2A2, Canada"
R2903598,3,1,"5458 Chestnut Cres, Delta, BC, Canada",1385.0,2,4358.0,902.0,1968,SingleFamily,08/07/2024,1249900.0,49.0846107,-123.070613,"5458, Chestnut Crescent, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 5B4, Canada"
R2904428,6,3,"9130 Norum Rd, Delta, BC, Canada",3253.0,10,5369.0,551.0,1959,SingleFamily,09/07/2024,1795000.0,49.1693083,-122.9169775,"9130, Norum Road, Annieville, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 3H9, Canada"
R2904642,4,2,"11338 79 Ave, Delta, BC, Canada",2041.0,5,4592.0,709.0,1970,SingleFamily,09/07/2024,1448000.0,49.14677399999999,-122.90789549028138,"11338, 79 Avenue, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 1L9, Canada"
R2904422,4,3,"20 50St, Delta, BC, Canada",2959.0,4,5050.0,624.0,1968,SingleFamily,09/07/2024,1849000.0,,,
R2902281,6,4,"11321 80 Ave, Delta, BC, Canada",2890.0,4,4558.0,605.0,2025,SingleFamily,04/07/2024,1750000.0,49.148884,-122.9089865,"11321, 80 Avenue, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 6R0, Canada"
R2902591,3,1,"6622 Baker Rd, Delta, BC, Canada",1287.0,2,2257.0,581.0,1979,Townhouse,04/07/2024,748000.0,49.1233967,-122.8924345,"6622, Baker Road, Sunshine Hills, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4E 3G3, Canada"
R2902346,5,2,"8123 112a St, Delta, BC, Canada",2078.0,4,4614.0,697.0,1959,SingleFamily,04/07/2024,1449900.0,49.150808,-122.91178049999999,"8123, 112A Street, Social Heart, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 2L0, Canada"
R2903916,6,4,"4620 River Rd W, Delta, BC, Canada",2524.0,4,5586.0,756.0,2019,SingleFamily,07/07/2024,1910000.0,49.088493650000004,-123.0955826964813,"4620, River Road West, Riverside, Delta, Metro Vancouver Regional District, British Columbia, V4K 5E2, Canada"
R2903101,4,2,"6158 49 Ave, Delta, BC, Canada",2880.0,4,5250.0,624.0,1991,SingleFamily,05/07/2024,1799000.0,49.0914264,-123.0527792,"6158, 49 Avenue, East Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 3L8, Canada"
R2902549,2,1,"11967 80 Ave, Delta, BC, Canada",576.0,1,1575.0,954.0,2017,Condo,04/07/2024,549999.0,49.1484357,-122.9182156,"80 Avenue, Sunstone, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 1R4, Canada"
R2902775,4,3,"3807 72St, Delta, BC, Canada",1800.0,0,3695.0,1049.0,9999,SingleFamily,04/07/2024,1888888.0,,,
