mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice,lat,lon,addressDetails
R2905783,3,2,"21867 50 Ave, Langley, BC, Canada",1357.0,2,3471.0,567.0,2011,Townhouse,14/07/2024,770000.0,49.0931082,-122.4618328,"50 Avenue, Gloucester Industrial Estates, Gloucester, Township of Langley, Metro Vancouver Regional District, British Columbia, V4X 1P6, Canada"
R2905082,3,2,"7947 209St, Langley, BC, Canada",1443.0,2,4207.0,678.0,2019,Townhouse,14/07/2024,979000.0,,,
R2905998,5,3,"8188 201St, Langley, BC, Canada",2562.0,2,2055.0,538.0,2024,MultiFamily,14/07/2024,1379900.0,,,
R2905631,2,1,"20890 42 Ave, Langley, BC, Canada",966.0,0,3451.0,1992.0,1975,SingleFamily,14/07/2024,1925000.0,49.0783558,-122.6411508,"42 Avenue, Brookswood, Brookswood-Fernridge, Township of Langley, Metro Vancouver Regional District, British Columbia, V3A 3B3, Canada"
R2905793,1,1,"20838 78 B Ave, Langley, BC, Canada",533.0,1,2811.0,936.0,2021,Condo,14/07/2024,499000.0,,,
R2905120,3,2,"20849 78 B Ave, Langley, BC, Canada",1212.0,2,4564.0,820.0,2019,Townhouse,11/07/2024,995000.0,,,
R2905308,4,3,"20770 91 B Ave, Langley, BC, Canada",2401.0,6,5854.0,665.0,1994,SingleFamily,11/07/2024,1599000.0,,,
R2903262,4,2,"3538 196St, Langley, BC, Canada",1941.0,4,4614.0,695.0,1959,SingleFamily,11/07/2024,1349900.0,,,
R2905143,1,1,"20211 66 Ave, Langley, BC, Canada",555.0,1,2492.0,945.0,2012,Condo,11/07/2024,525000.0,49.1234503,-122.66357087120225,"20211 B, 66 Avenue, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 0L4, Canada"
R2904506,1,1,"22136 49 Ave, Langley, BC, Canada",759.0,2,2983.0,744.0,2020,Condo,11/07/2024,565000.0,49.0912322,-122.6446546,"49 Avenue, City of Langley, Metro Vancouver Regional District, British Columbia, V3A 9H1, Canada"
R2905210,2,2,"21975 49 Ave, Langley, BC, Canada",1071.0,1,2703.0,494.0,1993,Condo,11/07/2024,529900.0,49.0912322,-122.6446546,"49 Avenue, City of Langley, Metro Vancouver Regional District, British Columbia, V3A 9H1, Canada"
R2904832,1,1,"8150 207St, Langley, BC, Canada",758.0,2,3202.0,777.0,2021,Condo,10/07/2024,589000.0,,,
R2905350,2,2,"20268 54 Ave, Langley, BC, Canada",984.0,1,2261.0,558.0,1997,Condo,10/07/2024,549800.0,49.1005651,-122.6539893,"54 Avenue, City of Langley, Metro Vancouver Regional District, British Columbia, V3A 5N0, Canada"
R2904882,6,5,"7529 205 A St, Langley, BC, Canada",3545.0,4,2863.0,524.0,2024,SingleFamily,10/07/2024,1859000.0,,,
R2904863,4,3,"20391 96 Ave, Langley, BC, Canada",2992.0,2,4015.0,297.0,1993,Townhouse,10/07/2024,889800.0,49.1726878,-122.5901895,"96 Avenue, Fort Langley, Township of Langley, Metro Vancouver Regional District, British Columbia, V1M 2R9, Canada"
R2905233,2,2,"8915 202St, Langley, BC, Canada",840.0,2,3045.0,713.0,2009,Condo,10/07/2024,599000.0,,,
R2904669,1,1,"19730 56 Ave, Langley, BC, Canada",667.0,1,1310.0,682.0,2017,Condo,10/07/2024,455000.0,49.104073400000004,-122.67589636153029,"19730, 56 Avenue, City of Langley, Metro Vancouver Regional District, British Columbia, V3A 3X6, Canada"
R2904268,2,2,"5550 Langley Bypass, Langley, BC, Canada",1601.0,2,2848.0,536.0,1989,Townhouse,09/07/2024,859000.0,49.1097186,-122.6802011,"Langley Bypass, Cloverdale, Surrey, Metro Vancouver Regional District, British Columbia, V3A 4K8, Canada"
R2904918,5,3,"7330 197St, Langley, BC, Canada",3647.0,3,6469.0,463.0,2010,SingleFamily,09/07/2024,1689888.0,,,
R2904681,1,1,"19940 Brydon Cres, Langley, BC, Canada",442.0,1,1260.0,947.0,2019,Condo,09/07/2024,419000.0,49.1015478,-122.6689342,"Brydon Crescent, City of Langley, Metro Vancouver Regional District, British Columbia, V3A 3X4, Canada"
R2904282,1,1,"20454 53 Ave, Langley, BC, Canada",658.0,1,1749.0,582.0,1982,Condo,09/07/2024,383000.0,49.100239,-122.6773888,"53 Avenue, City of Langley, Metro Vancouver Regional District, British Columbia, V3A 3X2, Canada"
R2904154,4,2,"19923 45 B Ave, Langley, BC, Canada",2218.0,5,5974.0,689.0,1993,SingleFamily,09/07/2024,1529000.0,,,
R2904274,4,2,"20745 68 Ave, Langley, BC, Canada",3446.0,12,26075.0,2231.0,1987,SingleFamily,09/07/2024,7690000.0,49.126323,-122.5865058,"68 Avenue, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 2K7, Canada"
R2904273,4,2,"4048 207a St, Langley, BC, Canada",2359.0,8,4851.0,597.0,1973,SingleFamily,09/07/2024,1409900.0,49.155589,-122.6480134,"207A Street, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 2B2, Canada"
R2904155,2,2,"20175 53 Ave, Langley, BC, Canada",762.0,2,1764.0,761.0,2017,Condo,09/07/2024,579900.0,49.0984893,-122.5413065,"53 Avenue, Salmon River Uplands, Township of Langley, Metro Vancouver Regional District, British Columbia, V4W 1A7, Canada"
R2903419,3,3,"9463 Waska St, Langley, BC, Canada",3883.0,4,7770.0,733.0,2008,SingleFamily,08/07/2024,2850000.0,49.1738464,-122.5871562,"Waska Street, Fort Langley, Township of Langley, Metro Vancouver Regional District, British Columbia, V1M 2R9, Canada"
R2902868,1,1,"8379 201St, Langley, BC, Canada",637.0,1,2780.0,894.0,2023,Condo,08/07/2024,569900.0,,,
R2904968,8,7,"19681 31 A Ave, Langley, BC, Canada",5493.0,4,8912.0,509.0,2022,SingleFamily,08/07/2024,2799999.0,,,
R2904233,2,2,"8379 201St, Langley, BC, Canada",869.0,2,3364.0,805.0,2023,Condo,08/07/2024,699900.0,,,
R2902563,2,2,"20416 Park Ave, Langley, BC, Canada",1358.0,1,3116.0,727.0,2021,Condo,08/07/2024,988000.0,49.1027353,-122.654453,"Park Avenue, City of Langley, Metro Vancouver Regional District, British Columbia, V3A 4G2, Canada"
R2904426,2,2,"5415 Brydon Cres, Langley, BC, Canada",847.0,1,2150.0,707.0,2021,Condo,08/07/2024,599000.0,49.1015478,-122.6689342,"Brydon Crescent, City of Langley, Metro Vancouver Regional District, British Columbia, V3A 3X4, Canada"
R2904289,2,2,"20362 72b Ave, Langley, BC, Canada",1045.0,2,3270.0,602.0,2022,Condo,08/07/2024,629900.0,49.1344706,-122.6762978,"72B Avenue, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 3G8, Canada"
R2903120,2,2,"20219 54a Ave, Langley, BC, Canada",852.0,2,1784.0,686.0,2011,Condo,08/07/2024,585000.0,49.1018186,-122.66234994925395,"The Suede, 20219, 54A Avenue, City of Langley, Metro Vancouver Regional District, British Columbia, V3A 0C7, Canada"
R2903126,4,2,"21085 92 A Ave, Langley, BC, Canada",2083.0,6,6312.0,672.0,1988,SingleFamily,08/07/2024,1399980.0,,,
R2903553,3,2,"9208 208St, Langley, BC, Canada",1702.0,2,4508.0,545.0,1994,Townhouse,08/07/2024,927800.0,,,
R2904246,6,3,"22070 46 Ave, Langley, BC, Canada",2942.0,2,6210.0,607.0,1994,SingleFamily,08/07/2024,1788000.0,49.0869054,-122.6123838,"22070, 46 Avenue, Murrayville Glen, Murrayville, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Z 1A3, Canada"
R2902917,3,2,"20498 82 Ave, Langley, BC, Canada",1441.0,3,3819.0,644.0,2018,Townhouse,07/07/2024,928888.0,49.1519195,-122.6649229,"82 Avenue, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 0C7, Canada"
R2903051,2,2,"20834 80 Ave, Langley, BC, Canada",896.0,2,2501.0,735.0,2022,Condo,07/07/2024,659000.0,49.1477621,-122.638415,"80 Avenue, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 0Z5, Canada"
R2902268,2,1,"8538 203 A St, Langley, BC, Canada",852.0,2,2739.0,780.0,2022,Condo,07/07/2024,665000.0,,,
R2902903,6,6,"7525 205 A St, Langley, BC, Canada",4463.0,4,2679.0,503.0,2024,SingleFamily,07/07/2024,2249000.0,,,
R2903308,5,2,"20292 96 Ave, Langley, BC, Canada",2679.0,5,5039.0,485.0,2001,SingleFamily,07/07/2024,1299900.0,49.1726878,-122.5901895,"96 Avenue, Fort Langley, Township of Langley, Metro Vancouver Regional District, British Columbia, V1M 2R9, Canada"
R2903335,2,2,"20673 78 Ave, Langley, BC, Canada",931.0,2,3054.0,805.0,2020,Condo,07/07/2024,750000.0,49.14468905,-122.64964099964399,"20673, 78 Avenue, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 3K1, Canada"
R2904624,2,2,"8447 202St, Langley, BC, Canada",935.0,1,2988.0,802.0,2022,Condo,07/07/2024,749900.0,,,
R2903420,4,3,"20846 84a Ave, Langley, BC, Canada",2701.0,4,6014.0,518.0,2006,SingleFamily,07/07/2024,1399900.0,49.1562772,-122.6531038,"84A Avenue, Walnut Grove, Township of Langley, Metro Vancouver Regional District, British Columbia, V1M 2Y6, Canada"
R2902812,2,2,"7938 209St, Langley, BC, Canada",1223.0,2,4011.0,654.0,2011,Townhouse,04/07/2024,799889.0,,,
R2902675,7,5,"7145 204a St, Langley, BC, Canada",3618.0,4,2477.0,577.0,2024,SingleFamily,04/07/2024,2088000.0,49.132429,-122.6564848,"7145, 204A Street, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 1T2, Canada"
