mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice,lat,lon,addressDetails
R2905977,3,3,"28 Richmond St, New Westminster, BC, Canada",2355.0,2,3734.0,456.0,1990,Townhouse,14/07/2024,1075000.0,49.2165442,-122.894106,"Richmond Street, McBride Sapperton, New Westminster, Metro Vancouver Regional District, British Columbia, V3L 5P5, Canada"
R2905602,2,2,"258 Nelson's Crt, New Westminster, BC, Canada",877.0,2,3206.0,955.0,2020,Condo,14/07/2024,838000.0,49.22439745,-122.89108621141857,"The Columbia, 258, Nelson's Court, Sapperton, McBride Sapperton, New Westminster, Metro Vancouver Regional District, British Columbia, V3L 0H4, Canada"
R2905573,2,1,"18 Smokey Smith Pl, New Westminster, BC, Canada",809.0,1,2529.0,834.0,2000,Condo,14/07/2024,675000.0,,,
R2905953,2,2,"420 Carnarvon St, New Westminster, BC, Canada",1196.0,1,2569.0,627.0,1990,Condo,14/07/2024,749900.0,49.204876850000005,-122.90683354495371,"420, Carnarvon Street, Downtown, New Westminster, Metro Vancouver Regional District, British Columbia, V3L 1C4, Canada"
R2905261,2,1,"612 5Th Ave, New Westminster, BC, Canada",1097.0,1,2079.0,615.0,1990,Condo,14/07/2024,675000.0,,,
R2905671,1,1,"1065 Quayside Dr, New Westminster, BC, Canada",946.0,1,2394.0,607.0,1988,Condo,14/07/2024,575000.0,49.1992356,-122.91719425690505,"Quayside Tower 2, 1065, Quayside Drive, Quayside, New Westminster, Metro Vancouver Regional District, British Columbia, V3M 1K4, Canada"
R2906028,1,1,"988 Quayside Dr, New Westminster, BC, Canada",561.0,1,2157.0,996.0,2019,Condo,14/07/2024,559000.0,49.1990698,-122.9187015,"Quayside Drive, Quayside, New Westminster, Metro Vancouver Regional District, British Columbia, V3M 1K4, Canada"
R2905733,3,2,"503 Fader St, New Westminster, BC, Canada",2144.0,1,5223.0,699.0,1923,SingleFamily,14/07/2024,1499000.0,49.23175055,-122.89044720324895,"503, Fader Street, Sapperton, McBride Sapperton, New Westminster, Metro Vancouver Regional District, British Columbia, V3L 3X6, Canada"
R2904316,4,2,"717 1St St, New Westminster, BC, Canada",1651.0,4,6494.0,923.0,1951,SingleFamily,09/07/2024,1525000.0,,,
R2903841,2,2,"1150 Quayside Dr, New Westminster, BC, Canada",1375.0,1,3093.0,653.0,1988,Condo,08/07/2024,899000.0,49.1985909,-122.91952115397302,"1150, Quayside Drive, Quayside, New Westminster, Metro Vancouver Regional District, British Columbia, V3M 1K4, Canada"
R2904984,2,2,"2 Renaissance Sq, New Westminster, BC, Canada",1632.0,1,3501.0,562.0,1990,Condo,10/07/2024,918000.0,49.1990477,-122.92517227484794,"2, Renaissance Square, Quayside, New Westminster, Metro Vancouver Regional District, British Columbia, V3M 2A5, Canada"
