mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice,lat,lon,addressDetails
R2905619,1,1,"3451 Sawmill Cres, Vancouver, BC, Canada",601.0,1,1543.0,996.0,2020.0,Condo,14/07/2024,599000.0,49.2064287,-123.0321167,"3451, Sawmill Crescent, River District Town Centre, Killarney, Vancouver, Metro Vancouver Regional District, British Columbia, V5S 0H3, Canada"
R2905943,4,4,"126 45Th Ave E, Vancouver, BC, Canada",1581.0,2,5453.0,1099.0,2022.0,MultiFamily,14/07/2024,1739000.0,49.2293693,-123.0505772,"East 45th Avenue, Victoria-Fraserview, Vancouver, Metro Vancouver Regional District, British Columbia, V5S, Canada"
R2905709,3,2,"1186 Kaslo St, Vancouver, BC, Canada",1587.0,2,6396.0,1102.0,2024.0,MultiFamily,14/07/2024,1749990.0,49.2527761,-123.0470864,"Kaslo Street, Renfrew-Collingwood, Vancouver, Metro Vancouver Regional District, British Columbia, V5M, Canada"
R2905494,3,2,"2888 E 2Nd Ave, Vancouver, BC, Canada",960.0,1,2322.0,937.0,2013.0,Condo,14/07/2024,899900.0,49.2686605,-123.0651899,"East 2nd Avenue, Grandview-Woodland, Vancouver, Metro Vancouver Regional District, British Columbia, V5N, Canada"
R2905901,2,1,"1328 W 73rd Ave, Vancouver, BC, Canada",883.0,1,1299.0,707.0,1994.0,Condo,14/07/2024,625000.0,49.204037400000004,-123.13556723139428,"1328, West 73rd Avenue, Marpole, Vancouver, Metro Vancouver Regional District, British Columbia, V6P, Canada"
R2905900,2,2,"1283 Howe St, Vancouver, BC, Canada",815.0,0,3256.0,1347.0,2019.0,Condo,14/07/2024,1098000.0,49.27720925,-123.12855756039559,"Tate, 1283, Howe Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6Z, Canada"
R2906000,2,2,"1561 W 57th Ave, Vancouver, BC, Canada",1232.0,2,4944.0,1622.0,2018.0,Condo,14/07/2024,1998800.0,49.2193624,-123.1408293,"West 57th Avenue, Marpole, Vancouver, Metro Vancouver Regional District, British Columbia, V6P, Canada"
R2905562,5,3,"1044 E 22Nd Ave, Vancouver, BC, Canada",2435.0,4,7874.0,868.0,1986.0,SingleFamily,14/07/2024,2115000.0,49.2511142,-123.0961209,"East 22nd Avenue, Riley Park, Vancouver, Metro Vancouver Regional District, British Columbia, V5V, Canada"
R2906039,1,1,"1708 Columbia St, Vancouver, BC, Canada",704.0,1,2325.0,1134.0,2013.0,Condo,14/07/2024,799000.0,49.2700132,-123.1092354,"1708, Columbia Street, The Village Shops, Mount Pleasant, Vancouver, Metro Vancouver Regional District, British Columbia, V5Y 0H7, Canada"
R2905686,1,1,"1777 W 7th Ave, Vancouver, BC, Canada",655.0,1,2252.0,1296.0,2013.0,Condo,14/07/2024,849000.0,49.265893250000005,-123.1453434536391,"Kits 360, 1777, West 7th Avenue, South Granville, Fairview, Vancouver, Metro Vancouver Regional District, British Columbia, V6J, Canada"
R2905918,1,1,"518 Moberly Rd, Vancouver, BC, Canada",950.0,1,2504.0,921.0,1986.0,Condo,14/07/2024,875000.0,49.267887,-123.11669104573798,"518, Moberly Road, Fairview, Vancouver, Metro Vancouver Regional District, British Columbia, V5Z, Canada"
R2905979,2,2,"1009 Harwood St, Vancouver, BC, Canada",963.0,1,3301.0,1246.0,2014.0,Condo,14/07/2024,1199999.0,49.278069099999996,-123.13134161742806,"1009, Harwood Street, Davie Village, West End, Vancouver, Metro Vancouver Regional District, British Columbia, V6E, Canada"
R2905813,6,2,"4132 Crown Cres, Vancouver, BC, Canada",3504.0,1,19201.0,1227.0,1929.0,SingleFamily,14/07/2024,4300000.0,49.2646803,-123.1964283,"Crown Crescent, West Point Grey, Vancouver, Metro Vancouver Regional District, British Columbia, V6R, Canada"
R2905969,2,2,"602 Citadel Parade, Vancouver, BC, Canada",885.0,1,2547.0,1095.0,2007.0,Condo,14/07/2024,969900.0,49.2792214,-123.110021,"602, Citadel Parade, Chinatown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6B, Canada"
R2905949,2,2,"2239 W 7th Ave, Vancouver, BC, Canada",805.0,1,2876.0,1397.0,2018.0,Condo,14/07/2024,1124800.0,49.2654671,-123.1455238,"West 7th Avenue, South Granville, Fairview, Vancouver, Metro Vancouver Regional District, British Columbia, V6J, Canada"
R2905888,2,2,"128 W Cordova St, Vancouver, BC, Canada",1157.0,2,3498.0,1119.0,2009.0,Condo,14/07/2024,1295000.0,49.28294875,-123.10807779919384,"Woodwards W Tower, 128, West Cordova Street, Gastown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6B, Canada"
R2905804,3,4,"2705 W 30th Ave, Vancouver, BC, Canada",4086.0,3,40092.0,2760.0,2011.0,SingleFamily,14/07/2024,11280000.0,49.2443275,-123.1186316,"West 30th Avenue, South Cambie, Vancouver, Metro Vancouver Regional District, British Columbia, V5Z, Canada"
R2905769,1,1,"1252 Hornby St, Vancouver, BC, Canada",602.0,1,1908.0,1078.0,2008.0,Condo,14/07/2024,649000.0,49.2776213,-123.12891261411876,"1252, Hornby Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6Z, Canada"
R2905857,1,1,"1111 Alberni St, Vancouver, BC, Canada",674.0,1,2426.0,1287.0,2008.0,Condo,14/07/2024,868000.0,49.2882309,-123.1282601,"Alberni Street, Davie Village, West End, Vancouver, Metro Vancouver Regional District, British Columbia, V6E, Canada"
R2905849,2,2,"3488 Sawmill Cres, Vancouver, BC, Canada",1013.0,1,2405.0,917.0,2018.0,Condo,14/07/2024,929000.0,49.2057355,-123.0315021,"3488, Sawmill Crescent, River District Town Centre, Killarney, Vancouver, Metro Vancouver Regional District, British Columbia, V5S 0C7, Canada"
R2905670,4,2,"4533 W 8Th Ave, Vancouver, BC, Canada",2702.0,0,9419.0,1054.0,1930.0,SingleFamily,14/07/2024,2849000.0,49.264522,-123.1392552,"West 8th Avenue, South Granville, Fairview, Vancouver, Metro Vancouver Regional District, British Columbia, V6J, Canada"
R2905892,9,5,"2549 E 16th Ave, Vancouver, BC, Canada",3960.0,2,9116.0,832.0,2020.0,SingleFamily,14/07/2024,3298000.0,49.2565293,-123.0960696,"East 16th Avenue, Riley Park, Vancouver, Metro Vancouver Regional District, British Columbia, V5V, Canada"
R2905897,5,4,"4106 Staulo Cres, Vancouver, BC, Canada",4313.0,6,9813.0,428.0,1978.0,SingleFamily,14/07/2024,1850000.0,49.2276768,-123.198352,"stal̓əw̓ - Staulo Crescent, Dunbar-Southlands, Vancouver, Metro Vancouver Regional District, British Columbia, V6N, Canada"
R2905583,5,6,"1770 W 62nd Ave, Vancouver, BC, Canada",4633.0,4,19367.0,1204.0,2016.0,SingleFamily,14/07/2024,5580000.0,49.2149956,-123.1374874,"West 62nd Avenue, Marpole, Vancouver, Metro Vancouver Regional District, British Columbia, V6P, Canada"
R2905702,6,3,"6129 Ross St, Vancouver, BC, Canada",2788.0,2,7412.0,713.0,1970.0,SingleFamily,14/07/2024,1990000.0,49.2337393,-123.0825573,"Ross Street, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, British Columbia, V5W, Canada"
R2905705,1,1,"205 E 10th Ave, Vancouver, BC, Canada",624.0,1,1972.0,1121.0,2005.0,Condo,14/07/2024,699900.0,49.262333850000005,-123.10063568274975,"Hub, 205, East 10th Avenue, Mount Pleasant, Vancouver, Metro Vancouver Regional District, British Columbia, V5T, Canada"
R2905968,3,2,"2121 W 6th Ave, Vancouver, BC, Canada",1267.0,2,3077.0,1159.0,1974.0,Condo,14/07/2024,1469000.0,49.2664244,-123.1529745,"West 6th Avenue, Kitsilano, Vancouver, Metro Vancouver Regional District, British Columbia, V6K, Canada"
R2906060,1,1,"5380 Oben St, Vancouver, BC, Canada",530.0,1,1196.0,847.0,2005.0,Condo,14/07/2024,449000.0,49.2351864,-123.0262669,"5380, Oben Street, Renfrew-Collingwood, Vancouver, Metro Vancouver Regional District, British Columbia, V5R, Canada"
R2906082,3,2,"3449 W 22nd Ave, Vancouver, BC, Canada",1781.0,1,8930.0,1515.0,1941.0,SingleFamily,14/07/2024,2699000.0,49.2527936,-123.1676396,"West 22nd Avenue, Arbutus-Ridge, Vancouver, Metro Vancouver Regional District, British Columbia, V6L, Canada"
R2905424,5,3,"3875 Laurel St, Vancouver, BC, Canada",2179.0,0,7978.0,1096.0,1912.0,SingleFamily,11/07/2024,2389000.0,49.252582,-123.1245738,"Laurel Street, South Cambie, Vancouver, Metro Vancouver Regional District, British Columbia, V5Z, Canada"
R2905176,4,3,"3019 W 6Th Ave, Vancouver, BC, Canada",1625.0,0,8596.0,1412.0,1920.0,SingleFamily,11/07/2024,2295000.0,49.2664244,-123.1529745,"West 6th Avenue, Kitsilano, Vancouver, Metro Vancouver Regional District, British Columbia, V6K, Canada"
R2905827,1,1,"1288 W Georgia St, Vancouver, BC, Canada",689.0,1,2086.0,1059.0,1998.0,Condo,11/07/2024,730000.0,49.2876057,-123.1267611,"West Tower, 1288, West Georgia Street, Coal Harbour, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6E 4R3, Canada"
R2905193,1,1,"1768 Cook St, Vancouver, BC, Canada",532.0,1,2111.0,1537.0,2021.0,Condo,11/07/2024,818000.0,49.2695757,-123.1101121,"1768, Cook Street, The Village Shops, Mount Pleasant, Vancouver, Metro Vancouver Regional District, British Columbia, V5Y 0N3, Canada"
R2905928,6,3,"3277 Nootka St, Vancouver, BC, Canada",2142.0,0,7410.0,1096.0,2024.0,MultiFamily,11/07/2024,2349000.0,49.246661,-123.0416302,"Nootka Street, Renfrew-Collingwood, Vancouver, Metro Vancouver Regional District, British Columbia, V5R, Canada"
R2905242,3,2,"3440 W Broadway, Vancouver, BC, Canada",1266.0,1,2748.0,908.0,1993.0,Townhouse,11/07/2024,1150000.0,49.26405665,-123.18079065358914,"3440, West Broadway, Greektown, Kitsilano, Vancouver, Metro Vancouver Regional District, British Columbia, V6R, Canada"
