mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice,lat,lon,addressDetails
R2905543,1,1,"1441 Johnston Rd, White Rock, BC, Canada",566.0,1,2380.0,1051.0,2020,Condo,14/07/2024,595000.0,49.0280401,-122.801397,"1441, Johnston Road, Uptown, White Rock, Metro Vancouver Regional District, British Columbia, V4B 3Z4, Canada"
R2905737,2,2,"1420 Johnston Rd, White Rock, BC, Canada",1370.0,2,6903.0,1305.0,2013,Condo,14/07/2024,1789000.0,49.02788365,-122.8007523696255,"Saltaire, 1420, Johnston Road, Uptown, White Rock, Metro Vancouver Regional District, British Columbia, V4B 0A6, Canada"
R2903235,2,2,"1221 Johnston Rd, White Rock, BC, Canada",2107.0,2,5291.0,806.0,1994,Condo,11/07/2024,1699000.0,49.0242118,-122.8014504,"1221, Johnston Road, Five Corners, White Rock, Metro Vancouver Regional District, British Columbia, V4B 2L1, Canada"
R2905324,4,2,"15836 Russell Ave, White Rock, BC, Canada",2042.0,3,5746.0,685.0,1969,SingleFamily,14/07/2024,1399000.0,49.0293248,-122.8007307,"Russell Avenue, Uptown, White Rock, Metro Vancouver Regional District, British Columbia, V4B 4A4, Canada"
R2905684,8,6,"13915 Blackburn Ave, White Rock, BC, Canada",6146.0,0,6561.0,561.0,2024,SingleFamily,10/07/2024,3450000.0,49.0294018,-122.8446234,"Blackburn Avenue, South Surrey, White Rock, Metro Vancouver Regional District, British Columbia, V4B 1A4, Canada"
R2905422,3,2,"1588 Johnston Rd, White Rock, BC, Canada",1023.0,2,2500.0,977.0,2024,Condo,11/07/2024,999900.0,49.0299633,-122.8011921,"Johnston Road, Uptown, White Rock, Metro Vancouver Regional District, British Columbia, V4B 3Z7, Canada"
R2905742,4,3,"15135 Royal Ave, White Rock, BC, Canada",3962.0,2,9455.0,984.0,1992,SingleFamily,14/07/2024,3900000.0,49.0227959,-122.8026413,"15135, Royal Avenue, Five Corners, White Rock, Metro Vancouver Regional District, British Columbia, V4B 1C5, Canada"
R2901886,2,2,"1520 Vidal St, White Rock, BC, Canada",1172.0,1,2244.0,511.0,1981,Condo,02/07/2024,599999.0,49.0295557,-122.80775495183487,"The Sandhurst, 1520, Vidal Street, Uptown, White Rock, Metro Vancouver Regional District, British Columbia, V4B 3X7, Canada"
R2902192,1,1,"1355 Fir St, White Rock, BC, Canada",850.0,1,1612.0,505.0,1970,Condo,03/07/2024,429900.0,49.0225479,-122.7996053,"Fir Street, Five Corners, White Rock, Metro Vancouver Regional District, British Columbia, V4B 1P9, Canada"
R2901794,4,3,"14256 Park Ave, White Rock, BC, Canada",2409.0,0,7226.0,705.0,1971,SingleFamily,03/07/2024,1699000.0,49.0297223,-122.8270411,"Park Avenue, White Rock, Metro Vancouver Regional District, British Columbia, V4B 1A9, Canada"
R2901558,2,2,"14825 Thrift Ave, White Rock, BC, Canada",1513.0,2,5443.0,988.0,2021,Condo,03/07/2024,1495000.0,49.027838,-122.811237,"14825, Thrift Avenue, West Beach, White Rock, Metro Vancouver Regional District, British Columbia, V4B 3R2, Canada"
R2900084,8,7,"15671 Roper Ave, White Rock, BC, Canada",6059.0,4,14016.0,550.0,2022,SingleFamily,03/07/2024,3333000.0,49.0257391,-122.800483,"Roper Avenue, Five Corners, White Rock, Metro Vancouver Regional District, British Columbia, V4B 2L1, Canada"
R2902671,2,2,"1501 Vidal St, White Rock, BC, Canada",1289.0,3,5143.0,1229.0,2017,Condo,04/07/2024,1585000.0,49.0293603,-122.80844663404625,"Beverley, 1501, Vidal Street, Uptown, White Rock, Metro Vancouver Regional District, British Columbia, V4B 3X7, Canada"
R2902461,6,6,"13922 Terry Rd, White Rock, BC, Canada",6832.0,5,33437.0,831.0,2004,SingleFamily,03/07/2024,5680000.0,49.02658975,-122.83624911109416,"13922, Terry Road, White Rock, Metro Vancouver Regional District, British Columbia, V4B 1A2, Canada"
R2901895,2,2,"1521 Blackwood St, White Rock, BC, Canada",1131.0,1,2068.0,467.0,1981,Condo,03/07/2024,529000.0,49.0295766,-122.8070458,"1521, Blackwood Street, Uptown, White Rock, Metro Vancouver Regional District, British Columbia, V4A 6G0, Canada"
