,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
0,Apartment/Condominium,,1078 sqft,Yes,$677,R2905927,,Residential,2023,,"609 - 8379 201 St, Langley, BC",2,2,1,14/07/2024,"$729,900"
1,Apartment/Condominium,,841 sqft,Yes,$838,R2905855,,Residential,2025,,"119 - 7937 206 St, Langley, BC",2,2,1,14/07/2024,"$704,900"
2,Townhouse,"$3,471",1357 sqft,Yes,$567,R2905783,,Residential,2011,,"49 - 21867 50 Ave, Langley, BC",2,3,2,14/07/2024,"$770,000"
3,Townhouse,"$4,207",1443 sqft,Yes,$678,R2905082,,Residential,2019,,"137 - 7947 209 St, Langley, BC",2,3,2,14/07/2024,"$979,000"
4,Multi Family,"$2,055",2562 sqft,Yes,$538,R2905998,,Residential,2024,,"8188 201 St, Langley, BC",3,5,2,14/07/2024,"$1,379,900"
5,Single Family Residence,"$3,451",966 sqft,No,"$1,992",R2905631,,Residential,1975,,"20890 42 Ave, Langley, BC",1,2,0,14/07/2024,"$1,925,000"
6,Apartment/Condominium,,991 sqft,Yes,$784,R2905634,,Residential,2024,,"518 - 20061 Fraser Highway, Langley, BC",2,2,1,14/07/2024,"$777,000"
7,Apartment/Condominium,"$2,811",533 sqft,Yes,$936,R2905793,,Residential,2021,,"A209 - 20838 78 B Ave, Langley, BC",1,1,1,14/07/2024,"$499,000"
8,Apartment/Condominium,,601 sqft,Yes,$914,R2904664,,Residential,2023,,"302 - 19825 54 Ave, Langley, BC",0,2,0,11/07/2024,"$549,880"
9,Townhouse,"$4,564",1212 sqft,Yes,$820,R2905120,,Residential,2019,,"13 - 20849 78 B Ave, Langley, BC",2,3,2,11/07/2024,"$995,000"
10,Single Family Residence,"$5,854",2401 sqft,Yes,$665,R2905308,,Residential,1994,,"20770 91 B Ave, Langley, BC",3,4,6,11/07/2024,"$1,599,000"
11,Single Family Residence,"$4,614",1941 sqft,No,$695,R2903262,,Residential,1959,,"3538 196 St, Langley, BC",2,4,4,11/07/2024,"$1,349,900"
12,Apartment/Condominium,"$2,492",555 sqft,Yes,$945,R2905143,,Residential,2012,,"A412 - 20211 66 Ave, Langley, BC",1,1,1,11/07/2024,"$525,000"
13,Apartment/Condominium,,749 sqft,Yes,$967,R2905330,,Residential,2025,,"204 - 19976 76 Ave, Langley, BC",2,2,1,11/07/2024,"$724,900"
14,Apartment/Condominium,"$2,983",759 sqft,Yes,$744,R2904506,,Residential,2020,,"409 - 22136 49 Ave, Langley, BC",1,1,2,11/07/2024,"$565,000"
