,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
0,Townhouse,"$3,459",1797 sqft,Yes,$528,R2905923,,Residential,2004,,"16 - 23343 Kanaka Way, Maple Ridge, BC",2,3,2,14/07/2024,"$949,900"
1,Townhouse,"$3,383",1426 sqft,Yes,$603,R2906001,,Residential,2016,,"129 - 11305 240 St, Maple Ridge, BC",2,3,2,13/07/2024,"$859,999"
2,Townhouse,"$3,899",2044 sqft,Yes,$483,R2905948,,Residential,2018,,"41 - 10480 248 St, Maple Ridge, BC",3,5,2,14/07/2024,"$988,000"
3,Apartment/Condominium,"$2,444",671 sqft,Yes,$655,R2905854,,Residential,1992,,"308 - 20561 113 Ave, Maple Ridge, BC",1,1,1,14/07/2024,"$439,900"
4,Apartment/Condominium,"$1,891",982 sqft,Yes,$437,R2905751,,Residential,1996,,"314 - 11609 227 St, Maple Ridge, BC",1,1,1,14/07/2024,"$429,900"
5,Single Family Residence,"$6,631",3322 sqft,Yes,$444,R2905735,,Residential,2019,,"23106 135 Ave, Maple Ridge, BC",3,5,2,14/07/2024,"$1,475,000"
6,Single Family Residence,"$5,517",2109 sqft,Yes,$592,R2905674,,Residential,1990,,"25006 120 B Ave, Maple Ridge, BC",3,4,8,14/07/2024,"$1,250,000"
7,Apartment/Condominium,"$2,104",1092 sqft,Yes,$521,R2906016,,Residential,1997,,"213 - 11609 227 St, Maple Ridge, BC",2,2,1,14/07/2024,"$569,000"
8,Townhouse,"$3,883",1344 sqft,Yes,$647,R2904655,,Residential,9999,,"1001 - 11295 Pazarena Pl, Maple Ridge, BC",2,3,0,09/07/2024,"$869,900"
9,Single Family Residence,,3666 sqft,Yes,$545,R2904989,,Residential,2024,,"20877 Golf Lane, Maple Ridge, BC",3,7,2,10/07/2024,"$1,999,900"
10,Townhouse,,1386 sqft,No,$577,R2905035,,Residential,2024,,"1112 - 11280 Pazarena Pl, Maple Ridge, BC",2,3,2,10/07/2024,"$799,900"
11,Single Family Residence,"$4,709",2197 sqft,Yes,$455,R2904104,,Residential,2003,,"24347 102 Ave, Maple Ridge, BC",2,5,4,10/07/2024,"$999,990"
12,Single Family Residence,"$5,543",2607 sqft,Yes,$498,R2904442,,Residential,1990,,"22960 126 Ave, Maple Ridge, BC",3,5,4,09/07/2024,"$1,299,999"
13,Single Family Residence,"$4,777",2300 sqft,No,$467,R2904628,,Residential,2000,,"24298 102 A Ave, Maple Ridge, BC",2,5,2,09/07/2024,"$1,074,998"
14,Single Family Residence,,3681 sqft,Yes,$535,R2904939,,Residential,2024,,"20871 Golf Lane, Maple Ridge, BC",3,7,2,10/07/2024,"$1,969,900"
15,Apartment/Condominium,"$1,967",990 sqft,Yes,$434,R2904773,,Residential,1988,,"108 - 11510 225 St, Maple Ridge, BC",1,2,1,10/07/2024,"$429,900"
16,Single Family Residence,"$5,939",3000 sqft,Yes,$445,R2904211,,Residential,2006,,"10386 Mceachern St, Maple Ridge, BC",3,4,2,08/07/2024,"$1,335,000"
17,Apartment/Condominium,"$2,664",1092 sqft,Yes,$557,R2903613,,Residential,2013,,"213 - 11887 Burnett St, Maple Ridge, BC",2,2,2,08/07/2024,"$609,000"
18,Townhouse,"$3,928",1668 sqft,Yes,$491,R2903604,,Residential,1992,,"22 - 20888 Mckinney Ave, Maple Ridge, BC",2,4,2,08/07/2024,"$820,000"
19,Single Family Residence,"$3,074",5218 sqft,Yes,$455,R2904131,,Residential,2024,,"13753 Blaney Rd, Maple Ridge, BC",6,7,8,08/07/2024,"$2,379,000"
20,Single Family Residence,,5190 sqft,Yes,$413,R2904097,,Residential,2023,,"13177 236b St, Maple Ridge, BC",7,7,4,08/07/2024,"$2,148,000"
21,Single Family Residence,"$11,304",5819 sqft,Yes,$773,R2905064,,Residential,2008,,"13429 224 St, Maple Ridge, BC",6,6,25,08/07/2024,"$4,499,000"
22,Single Family Residence,"$5,524",4042 sqft,Yes,$389,R2904724,,Residential,1997,,"23269 124a Ave, Maple Ridge, BC",5,6,4,08/07/2024,"$1,575,000"
23,Townhouse,"$3,794",1310 sqft,Yes,$686,R2903223,,Residential,2023,,"12 - 23785 Dewdney Trunk Rd, Maple Ridge, BC",2,3,2,08/07/2024,"$899,000"
24,Apartment/Condominium,"$2,039",753 sqft,Yes,$630,R2902706,,Residential,2007,,"206 - 12248 224 St, Maple Ridge, BC",1,1,0,04/07/2024,"$474,900"
25,Single Family Residence,"$5,164",2142 sqft,Yes,"$1,027",R2902505,,Residential,1970,,"25887 98 Ave, Maple Ridge, BC",2,4,6,04/07/2024,"$2,199,900"
26,Single Family Residence,"$4,490",1443 sqft,No,$762,R2902500,,Residential,1940,,"20506 Westfield Ave, Maple Ridge, BC",2,3,2,04/07/2024,"$1,099,900"
27,Single Family Residence,"$7,398",3595 sqft,Yes,$458,R2902769,,Residential,1994,,"22749 126b Ave, Maple Ridge, BC",4,6,6,04/07/2024,"$1,649,900"
28,Single Family Residence,"$3,851",1673 sqft,Yes,"$1,359",R2903191,,Residential,9999,,"10009 276 St, Maple Ridge, BC",1,3,20,04/07/2024,"$2,275,000"
29,Single Family Residence,"$5,021",2423 sqft,Yes,$470,R2902586,,Residential,1987,,"11291 Harrison St, Maple Ridge, BC",3,5,4,04/07/2024,"$1,139,900"
30,Single Family Residence,"$7,239",5421 sqft,Yes,$405,R2902737,,Residential,2001,,"22750 125a Ave, Maple Ridge, BC",4,7,8,04/07/2024,"$2,199,900"
31,Single Family Residence,"$5,498",2198 sqft,Yes,$550,R2903129,,Residential,1987,,"11940 Sentinel St, Maple Ridge, BC",3,5,0,07/07/2024,"$1,209,000"
32,Single Family Residence,,3414 sqft,Yes,$541,R2893620,,Residential,2024,,"12860 Sheldrake Crt, Maple Ridge, BC",5,7,6,02/07/2024,"$1,949,000"
33,Single Family Residence,"$7,085",3760 sqft,Yes,$411,R2901827,,Residential,2011,,"22820 Telosky Ave, Maple Ridge, BC",3,5,4,02/07/2024,"$1,548,000"
34,Apartment/Condominium,,859 sqft,Yes,$732,R2901714,,Residential,2025,,"110 - 11655 Fraser St, Maple Ridge, BC",2,2,2,02/07/2024,"$629,000"
35,Single Family Residence,"$7,666",5956 sqft,Yes,$906,R2901589,,Residential,2019,,"25975 116 Ave, Maple Ridge, BC",5,5,80,02/07/2024,"$5,398,000"
36,Single Family Residence,"$8,028",4770 sqft,Yes,$396,R2900855,,Residential,2014,,"13603 Birdtail Dr, Maple Ridge, BC",3,5,6,02/07/2024,"$1,889,785"
37,Apartment/Condominium,,859 sqft,Yes,$774,R2902774,,Residential,2025,,"515 - 11655 Fraser St, Maple Ridge, BC",2,2,2,02/07/2024,"$664,999"
38,Single Family Residence,"$8,271",5722 sqft,Yes,$611,R2901467,,Residential,2006,,"11386 241a St, Maple Ridge, BC",4,4,6,02/07/2024,"$3,499,000"
39,Single Family Residence,,2846 sqft,Yes,$502,R2902413,,Residential,2023,,"13000 251 A St, Maple Ridge, BC",4,6,4,02/07/2024,"$1,429,900"
40,Townhouse,"$3,493",1215 sqft,No,$608,R2902100,,Residential,1988,,"13 - 12070 207a St, Maple Ridge, BC",2,3,1,01/07/2024,"$739,900"
41,Townhouse,"$2,835",1440 sqft,Yes,$582,R2900430,,Residential,2022,,"120 - 12040 Plaza St, Maple Ridge, BC",2,3,2,01/07/2024,"$838,988"
42,Townhouse,"$3,752",2422 sqft,No,$402,R2901639,,Residential,2000,,"22 - 11358 Cottonwood Dr, Maple Ridge, BC",3,4,3,01/07/2024,"$975,000"
