,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
0,Townhouse,"$3,734",2355 sqft,Yes,$456,R2905977,,Residential,1990,,"140 - 28 Richmond St, New Westminster, BC",3,3,2,14/07/2024,"$1,075,000"
1,Apartment/Condominium,"$3,206",877 sqft,Yes,$955,R2905602,,Residential,2020,,"2502 - 258 Nelson's Crt, New Westminster, BC",2,2,2,14/07/2024,"$838,000"
2,Apartment/Condominium,"$2,529",809 sqft,Yes,$834,R2905573,,Residential,2000,,"312 - 18 Smokey Smith Pl, New Westminster, BC",1,2,1,14/07/2024,"$675,000"
3,Apartment/Condominium,"$2,569",1196 sqft,Yes,$627,R2905953,,Residential,1990,,"605 - 420 Carnarvon St, New Westminster, BC",2,2,1,14/07/2024,"$749,900"
4,Apartment/Condominium,"$2,079",1097 sqft,Yes,$615,R2905261,,Residential,1990,,"1005 - 612 5 Th Ave, New Westminster, BC",1,2,1,14/07/2024,"$675,000"
5,Apartment/Condominium,"$2,394",946 sqft,Yes,$607,R2905671,,Residential,1988,,"305 - 1065 Quayside Dr, New Westminster, BC",1,1,1,14/07/2024,"$575,000"
6,Apartment/Condominium,"$2,157",561 sqft,Yes,$996,R2906028,,Residential,2019,,"1606 - 988 Quayside Dr, New Westminster, BC",1,1,1,14/07/2024,"$559,000"
7,Single Family Residence,"$5,223",2144 sqft,No,$699,R2905733,,Residential,1923,,"503 Fader St, New Westminster, BC",2,3,1,14/07/2024,"$1,499,000"
8,Single Family Residence,"$6,494",1651 sqft,No,$923,R2904316,,Residential,1951,,"717 1 St St, New Westminster, BC",2,4,4,09/07/2024,"$1,525,000"
9,Apartment/Condominium,"$3,093",1375 sqft,Yes,$653,R2903841,,Residential,1988,,"421 - 1150 Quayside Dr, New Westminster, BC",2,2,1,08/07/2024,"$899,000"
10,Apartment/Condominium,"$3,501",1632 sqft,Yes,$562,R2904984,,Residential,1990,,"404 - 2 Renaissance Sq, New Westminster, BC",2,2,1,10/07/2024,"$918,000"
11,Townhouse,"$2,285",865 sqft,Yes,$751,R2904458,,Residential,1999,,"78 - 620 Queens Ave, New Westminster, BC",1,2,1,09/07/2024,"$650,000"
12,Townhouse,"$3,289",930 sqft,Yes,"$1,021",R2904389,,Residential,2016,,"404 8 Th St, New Westminster, BC",1,2,2,09/07/2024,"$949,800"
13,Single Family Residence,"$5,856",2011 sqft,No,$794,R2903653,,Residential,1998,,"728 4 Th St, New Westminster, BC",2,3,0,08/07/2024,"$1,598,000"
14,Apartment/Condominium,"$2,227",1127 sqft,Yes,$673,R2904315,,Residential,1992,,"804 - 412 12 Th St, New Westminster, BC",2,2,1,09/07/2024,"$758,800"
15,Townhouse,"$2,145",737 sqft,Yes,$758,R2904340,,Residential,2002,,"132 - 600 Park Cres, New Westminster, BC",1,1,1,09/07/2024,"$559,000"
16,Single Family Residence,"$8,903",3683 sqft,Yes,$784,R2902707,,Residential,2021,,"1422 10 Th Ave, New Westminster, BC",5,5,5,03/07/2024,"$2,888,000"
17,Apartment/Condominium,"$1,830",671 sqft,Yes,$715,R2901985,,Residential,1980,,"201 - 312 Carnarvon St, New Westminster, BC",1,1,1,03/07/2024,"$480,000"
18,Triplex,"$5,461",3060 sqft,No,$865,R2902285,,Residential Income,9999,,"131 Debeck St, New Westminster, BC",3,8,5,03/07/2024,"$2,649,000"
19,Apartment/Condominium,"$2,436",808 sqft,Yes,$826,R2904054,,Residential,2006,,"1107 - 833 Agnes St, New Westminster, BC",2,2,2,04/07/2024,"$668,000"
20,Apartment/Condominium,"$2,366",1122 sqft,Yes,$579,R2902227,,Residential,1989,,"404 - 1135 Quayside Dr, New Westminster, BC",2,2,1,03/07/2024,"$649,900"
21,Apartment/Condominium,"$2,464",1115 sqft,Yes,$627,R2902600,,Residential,1989,,"1504 - 1135 Quayside Dr, New Westminster, BC",2,2,1,04/07/2024,"$699,990"
