,beds,baths,sqFt,parking,taxes,age,lat,lon,daysOnMarket,priceToTaxRatio,listingYear,listingMonth,distanceToCenter,distanceToSchool,propertyType,streetAddress,nearestSchool,postalCode,neighborhood,soldPricePredicted
0,9,6,3958.0,4,4435.0,0.0,49.0457217,-122.4041816,171,416.9109357384442,2024,7,12119.440675472224,155.04538097823837,SingleFamily,29582 Corvina Crt,Ross Elementary, V4X 1J3,Pepin Brook,1842153.9156843955
1,5,2,2592.0,3,4809.0,57.0,49.03990425,-122.33344480157037,171,267.2073196090664,2024,7,4264.414970352139,282.5024549929266,SingleFamily,2086 Sherwood Cres,ASIA - North Poplar, V2T 1B8,South Clearbrook,1277768.6177529455
2,3,2,1592.0,8,5067.0,35.0,49.0543612,-122.3661236,171,226.93901716992303,2024,7,7907.260822916205,231.72011265940853,SingleFamily,2825 Gardner Crt,Blue Jay Elementary, V2T 5E4,General Abbotsford District,1155773.8583561163
3,6,3,3428.0,6,5153.0,33.0,49.0628385,-122.3318707,171,261.925092179313,2024,7,4214.815206961393,357.34721345651485,SingleFamily,32171 Ashcroft Dr,W J Mouat Secondary, V2T 5C7,North Clearbrook,1350078.152367732
4,3,2,2060.0,8,4028.0,49.0,49.0497721,-122.262422,171,272.8401191658391,2024,7,2685.4538100417303,291.293974496265,SingleFamily,2602 Macbeth Cres,Margaret Stenersen Elementary, V2S 7S5,General Abbotsford District,1102805.952796698
5,1,1,697.0,1,1344.0,31.0,49.0565281,-122.2718415,171,267.7827380952381,2024,7,3422.278576760702,461.2531151957299,Condo,3063 Immel St,Margaret Stenersen Elementary, V2S 4L3,Lower Ten Oaks,361041.66950381704
6,4,2,1980.0,5,4455.0,46.0,49.0615829,-122.2657194,175,235.69023569023568,2024,7,2649.9192642477706,370.9694351002573,SingleFamily,34632 Acorn Ave,Margaret Stenersen Elementary, V2S 4H3,Lower Ten Oaks,1045797.4743867564
7,4,2,2033.0,9,4482.0,47.0,49.0535069,-122.2717989,175,234.04730031236056,2024,7,2263.039766203629,825.3824991562965,SingleFamily,34242 Redwood Ave,Margaret Stenersen Elementary, V2S 7E6,General Abbotsford District,1055866.9450079398
8,2,2,1115.0,2,1951.0,28.0,49.055247,-122.33535429791668,175,281.85545873910814,2024,7,1880.7800526348044,1075.30649433995,Condo,32085 George Ferguson Way,Alexander Elementary, V2T 2K7,Clearbrook,552467.4925391653
9,3,3,2390.0,4,3756.0,8.0,49.0603379,-122.2765672,175,259.58466453674123,2024,7,6472.567434206001,602.2569071947428,Townhouse,34230 Elmwood Dr,Mountain Elementary, V2S 6B2,General Abbotsford District,974585.8744678783
10,5,3,3054.0,4,4775.0,21.0,49.0323893,-122.2796669,175,272.0418848167539,2024,7,5573.931600726295,80.60414062517715,SingleFamily,34085 Higginson Cres,Ten Broeck Elementary, V2S 7M5,UDistrict,1299353.4936026195
11,5,3,3718.0,6,6665.0,4.0,49.0520022,-122.2371017,175,300.06001500375095,2024,7,125.18976358648946,506.981394031777,SingleFamily,2761 Aquila Dr,Abbotsford Senior Secondary School, V3G 0C8,Lower Sumas Mountain,2002913.1845115991
12,3,1,2060.0,0,4043.0,58.0,49.0482621,-122.3452862,175,293.8412070244868,2024,7,4746.906534352925,232.32374664194813,SingleFamily,2537 Stanley St,ASIA - North Poplar, V2T 2R3,General Abbotsford District,1191142.9979024553
13,2,1,993.0,1,1005.0,42.0,49.04346155,-122.29440169758468,176,316.4179104477612,2024,7,6438.947645341776,659.437048862669,Condo,2279 Mccallum Rd,Harry Sayers Elementary, V2S 3N7,Mill Lake,278539.45945284725
14,2,2,1310.0,1,1650.0,29.0,49.0364681,-122.3376371,176,348.4848484848485,2024,7,5695.912727061391,225.5671082072648,Condo,2772 Clearbrook Rd,Prince Charles Elementary, V2T 5X4,North Poplar,574865.8338888654
15,2,2,1450.0,2,2100.0,30.0,49.0603131,-122.3525121,176,285.6666666666667,2024,7,2813.8444584483877,192.66714749375157,Townhouse,31406 Upper Maclure Rd,John Maclure Community School, V2T 5S6,Townline Hill,595876.9378923306
16,4,2,2169.0,5,4126.0,46.0,49.0624884,-122.2448265,176,266.35967038293745,2024,7,2393.7740624541493,1155.977955859665,SingleFamily,3347 Omineca Crt,William A. Fraser Middle School, V2S 8M1,Upper Ten Oaks,1092614.6493853473
17,2,2,1140.0,2,2471.0,4.0,49.0531988,-122.3201097,176,271.10481586402267,2024,7,3272.501985793044,367.5801500670207,Townhouse,2799 Allwood St,Margaret Stenersen Elementary, V2T 3S1,City Centre,667192.5774306103
18,2,2,1044.0,1,1415.0,30.0,49.0382369,-122.2739641,176,300.35335689045934,2024,7,4841.060147520145,317.57118527956845,Condo,33731 Marshall Rd,Abbotsford Christian School, V2S 6Y3,General Abbotsford District,422500.2600899673
