,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
0,Single Family Residence,"$3,323",1216 sqft,No,"$1,069",R2905681,,Residential,1978,,"4291 Cabot Dr, Richmond, BC",1,3,3,14/07/2024,"$1,300,000"
1,Apartment/Condominium,"$1,457",920 sqft,Yes,$716,R2906019,,Residential,1973,,"102 - 8860 No. 1 Rd, Richmond, BC",1,2,1,14/07/2024,"$659,000"
2,Townhouse,"$1,796",925 sqft,No,$798,R2905797,,Residential,1986,,"4 - 7400 Minoru Blvd, Richmond, BC",1,2,1,14/07/2024,"$739,000"
3,Townhouse,"$2,218",958 sqft,Yes,$834,R2905649,,Residential,1997,,"4 - 7088 Lynnwood Dr, Richmond, BC",2,3,1,14/07/2024,"$799,000"
4,Single Family Residence,"$8,632",3277 sqft,Yes,$976,R2906054,,Residential,2003,,"5700 Vermilyea Crt, Richmond, BC",4,5,4,14/07/2024,"$3,198,800"
5,Single Family Residence,"$4,424",2045 sqft,Yes,"$1,153",R2905750,,Residential,2024,,"11560 4th Ave, Richmond, BC",3,4,6,14/07/2024,"$2,358,000"
6,Apartment/Condominium,"$1,566",633 sqft,Yes,$946,R2905794,,Residential,2011,,"1002 - 3111 Corvette Way, Richmond, BC",1,1,1,14/07/2024,"$599,000"
7,Townhouse,"$2,515",1203 sqft,Yes,$747,R2905635,,Residential,2004,,"55 - 6300 London Rd, Richmond, BC",2,2,2,14/07/2024,"$899,000"
8,Townhouse,"$2,774",1510 sqft,Yes,$662,R2905569,,Residential,1994,,"6 - 12411 Jack Bell Dr, Richmond, BC",2,4,2,14/07/2024,"$999,900"
9,Single Family Residence,"$5,940",2408 sqft,Yes,$967,R2905527,,Residential,1983,,"9611 Mcburney Dr, Richmond, BC",2,5,4,14/07/2024,"$2,330,000"
10,Townhouse,"$3,234",1682 sqft,Yes,$646,R2905754,,Residential,1993,,"7 - 8171 Steveston Highway, Richmond, BC",2,3,2,14/07/2024,"$1,088,000"
11,Apartment/Condominium,"$2,078",743 sqft,Yes,$982,R2905743,,Residential,2016,,"512 - 6188 No. 3 Rd, Richmond, BC",1,2,1,14/07/2024,"$729,888"
12,Single Family Residence,"$3,371",1553 sqft,Yes,$900,R2905585,,Residential,1983,,"10871 Altona Pl, Richmond, BC",2,3,2,14/07/2024,"$1,398,000"
