,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
0,Single Family Residence,"$4,594",2034 sqft,No,$933,R2905646,,Residential,1974,,"1658 140 St, Surrey, BC",2,2,6,14/07/2024,"$1,899,000"
1,Single Family Residence,"$7,962",4100 sqft,Yes,$553,R2905917,,Residential,2018,,"10843 128a St, Surrey, BC",6,7,8,14/07/2024,"$2,268,000"
2,Apartment/Condominium,,635 sqft,Yes,$629,R2906029,,Residential,2024,,"333 - 13968 Laurel Dr, Surrey, BC",1,1,1,14/07/2024,"$399,900"
3,Apartment/Condominium,"$1,823",797 sqft,Yes,$646,R2905427,,Residential,1994,,"409 - 8139 121a St, Surrey, BC",1,1,1,14/07/2024,"$514,888"
4,Single Family Residence,"$6,636",4287 sqft,Yes,$466,R2905770,,Residential,2014,,"12956 106a Ave, Surrey, BC",7,8,10,14/07/2024,"$2,000,000"
5,Apartment/Condominium,"$1,803",461 sqft,Yes,$976,R2904254,,Residential,2018,,"3108 - 13308 Central Ave, Surrey, BC",1,1,1,14/07/2024,"$450,000"
6,Single Family Residence,"$7,335",4749 sqft,Yes,$484,R2905310,,Residential,2001,,"6892 130 St, Surrey, BC",7,11,4,14/07/2024,"$2,299,000"
7,Single Family Residence,"$7,553",3235 sqft,Yes,$587,R2905722,,Residential,1992,,"12526 75a Ave, Surrey, BC",4,5,8,14/07/2024,"$1,899,000"
8,Single Family Residence,"$4,893",2777 sqft,Yes,$575,R2905417,,Residential,1995,,"9616 161a St, Surrey, BC",3,6,6,14/07/2024,"$1,598,888"
9,Single Family Residence,"$5,936",2942 sqft,Yes,$492,R2905505,,Residential,2002,,"14721 72 Ave, Surrey, BC",4,6,6,14/07/2024,"$1,449,000"
10,Apartment/Condominium,"$2,211",788 sqft,Yes,$761,R2904041,,Residential,2011,,"111 - 13468 King George Blvd, Surrey, BC",2,2,1,14/07/2024,"$599,888"
11,Apartment/Condominium,,1255 sqft,No,$258,R2905874,,Residential,1982,,"104 - 7144 133 A St, Surrey, BC",2,3,2,14/07/2024,"$325,000"
12,Apartment/Condominium,,957 sqft,Yes,$783,R2905954,,Residential,2024,,"432 - 9456 134 St, Surrey, BC",2,3,2,14/07/2024,"$749,900"
13,Single Family Residence,"$4,822",2244 sqft,No,$846,R2905756,,Residential,1974,,"1682 140 St, Surrey, BC",2,4,6,14/07/2024,"$1,899,000"
