beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice,lat,lon,addressDetails,streetAddress,city,neighborhood,postalCode,age,priceToTaxRatio,listingYear,listingMonth,distanceToCenter,distanceToSchool,nearestSchool
9,6,"29582 Corvina Crt, Abbotsford, BC, Canada",3958.0,4,4435.0,467.0,2024.0,SingleFamily,2024-07-14,1849000.0,49.0457217,-122.4041816,"Corvina Court, Pepin Brook, Abbotsford, Fraser Valley Regional District, British Columbia, V4X 1J3, Canada",29582 Corvina Crt,Abbotsford,Pepin Brook, V4X 1J3,0.0,416.9109357384442,2024,7,12119.440675472224,155.04538097823837,Ross Elementary
5,2,"2086 Sherwood Cres, Abbotsford, BC, Canada",2592.0,3,4809.0,495.0,1967.0,SingleFamily,2024-07-14,1285000.0,49.03990425,-122.33344480157037,"2086, Sherwood Crescent, South Clearbrook, Abbotsford, Fraser Valley Regional District, British Columbia, V2T 1B8, Canada",2086 Sherwood Cres,Abbotsford,South Clearbrook, V2T 1B8,57.0,267.20731960906636,2024,7,4264.414970352139,282.5024549929266,ASIA - North Poplar
3,2,"2825 Gardner Crt, Abbotsford, BC, Canada",1592.0,8,5067.0,722.0,1989.0,SingleFamily,2024-07-14,1149900.0,49.0543612,-122.3661236,"Gardner Court, Abbotsford, Fraser Valley Regional District, British Columbia, V2T 5E4, Canada",2825 Gardner Crt,Abbotsford,General Abbotsford District, V2T 5E4,35.0,226.93901716992303,2024,7,7907.260822916205,231.72011265940853,Blue Jay Elementary
6,3,"32171 Ashcroft Dr, Abbotsford, BC, Canada",3428.0,6,5153.0,393.0,1991.0,SingleFamily,2024-07-14,1349700.0,49.0628385,-122.3318707,"Ashcroft Drive, North Clearbrook, Abbotsford, Fraser Valley Regional District, British Columbia, V2T 5C7, Canada",32171 Ashcroft Dr,Abbotsford,North Clearbrook, V2T 5C7,33.0,261.925092179313,2024,7,4214.815206961393,357.34721345651485,W J Mouat Secondary
3,2,"2602 Macbeth Cres, Abbotsford, BC, Canada",2060.0,8,4028.0,533.0,1975.0,SingleFamily,2024-07-14,1099000.0,49.0497721,-122.262422,"Macbeth Crescent, Yale Court, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 7S5, Canada",2602 Macbeth Cres,Abbotsford,General Abbotsford District, V2S 7S5,49.0,272.8401191658391,2024,7,2685.4538100417303,291.293974496265,Margaret Stenersen Elementary
1,1,"3063 Immel St, Abbotsford, BC, Canada",697.0,1,1344.0,516.0,1993.0,Condo,2024-07-14,359900.0,49.0565281,-122.2718415,"Immel Street, Lower Ten Oaks, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 4L3, Canada",3063 Immel St,Abbotsford,Lower Ten Oaks, V2S 4L3,31.0,267.7827380952381,2024,7,3422.278576760702,461.2531151957299,Margaret Stenersen Elementary
4,2,"34632 Acorn Ave, Abbotsford, BC, Canada",1980.0,5,4455.0,530.0,1978.0,SingleFamily,2024-07-10,1050000.0,49.0615829,-122.2657194,"Acorn Avenue, Lower Ten Oaks, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 4H3, Canada",34632 Acorn Ave,Abbotsford,Lower Ten Oaks, V2S 4H3,46.0,235.69023569023568,2024,7,2649.9192642477706,370.9694351002573,Margaret Stenersen Elementary
4,2,"34242 Redwood Ave, Abbotsford, BC, Canada",2033.0,9,4482.0,515.0,1977.0,SingleFamily,2024-07-10,1049000.0,49.0535069,-122.2717989,"Redwood Avenue, Abbotsford Centre, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 7E6, Canada",34242 Redwood Ave,Abbotsford,General Abbotsford District, V2S 7E6,47.0,234.04730031236056,2024,7,2263.039766203629,825.3824991562965,Margaret Stenersen Elementary
2,2,"32085 George Ferguson Way, Abbotsford, BC, Canada",1115.0,2,1951.0,493.0,1996.0,Condo,2024-07-10,549900.0,49.055247,-122.33535429791668,"32085, George Ferguson Way, Clearbrook, Abbotsford, Fraser Valley Regional District, British Columbia, V2T 2K7, Canada",32085 George Ferguson Way,Abbotsford,Clearbrook, V2T 2K7,28.0,281.85545873910814,2024,7,1880.7800526348044,1075.30649433995,Alexander Elementary
3,3,"34230 Elmwood Dr, Abbotsford, BC, Canada",2390.0,4,3756.0,407.0,2016.0,Townhouse,2024-07-10,975000.0,49.0603379,-122.2765672,"Elmwood Drive, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 6B2, Canada",34230 Elmwood Dr,Abbotsford,General Abbotsford District, V2S 6B2,8.0,259.58466453674123,2024,7,6472.567434206001,602.2569071947428,Mountain Elementary
5,3,"34085 Higginson Cres, Abbotsford, BC, Canada",3054.0,4,4775.0,425.0,2003.0,SingleFamily,2024-07-10,1299000.0,49.0323893,-122.2796669,"34085, Higginson Crescent, UDistrict, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 7M5, Canada",34085 Higginson Cres,Abbotsford,UDistrict, V2S 7M5,21.0,272.0418848167539,2024,7,5573.931600726295,80.60414062517715,Ten Broeck Elementary
5,3,"2761 Aquila Dr, Abbotsford, BC, Canada",3718.0,6,6665.0,537.0,2020.0,SingleFamily,2024-07-10,1999900.0,49.0520022,-122.2371017,"Aquila Drive, Lower Sumas Mountain, Abbotsford, Fraser Valley Regional District, British Columbia, V3G 0C8, Canada",2761 Aquila Dr,Abbotsford,Lower Sumas Mountain, V3G 0C8,4.0,300.06001500375095,2024,7,125.18976358648946,506.98139403177703,Abbotsford Senior Secondary School
3,1,"2537 Stanley St, Abbotsford, BC, Canada",2060.0,0,4043.0,576.0,1966.0,SingleFamily,2024-07-10,1188000.0,49.0482621,-122.3452862,"2537, Stanley Street, Abbotsford, Fraser Valley Regional District, British Columbia, V2T 2R3, Canada",2537 Stanley St,Abbotsford,General Abbotsford District, V2T 2R3,58.0,293.8412070244868,2024,7,4746.906534352925,232.32374664194813,ASIA - North Poplar
2,1,"2279 Mccallum Rd, Abbotsford, BC, Canada",993.0,1,1005.0,320.0,1982.0,Condo,2024-07-09,318000.0,49.04346155,-122.29440169758468,"2279, McCallum Road, McCallum, Mill Lake, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 3N7, Canada",2279 Mccallum Rd,Abbotsford,Mill Lake, V2S 3N7,42.0,316.4179104477612,2024,7,6438.947645341776,659.437048862669,Harry Sayers Elementary
2,2,"2772 Clearbrook Rd, Abbotsford, BC, Canada",1310.0,1,1650.0,438.0,1995.0,Condo,2024-07-09,575000.0,49.0364681,-122.3376371,"Clearbrook Road, North Poplar, Abbotsford, Fraser Valley Regional District, British Columbia, V2T 5X4, Canada",2772 Clearbrook Rd,Abbotsford,North Poplar, V2T 5X4,29.0,348.4848484848485,2024,7,5695.912727061391,225.5671082072648,Prince Charles Elementary
2,2,"31406 Upper Maclure Rd, Abbotsford, BC, Canada",1450.0,2,2100.0,413.0,1994.0,Townhouse,2024-07-09,599900.0,49.0603131,-122.3525121,"Upper Maclure Road, Townline Hill, Abbotsford, Fraser Valley Regional District, British Columbia, V2T 5S6, Canada",31406 Upper Maclure Rd,Abbotsford,Townline Hill, V2T 5S6,30.0,285.6666666666667,2024,7,2813.8444584483873,192.66714749375154,John Maclure Community School
4,2,"3347 Omineca Crt, Abbotsford, BC, Canada",2169.0,5,4126.0,506.0,1978.0,SingleFamily,2024-07-09,1099000.0,49.0624884,-122.2448265,"Omineca Court, Upper Ten Oaks, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 8M1, Canada",3347 Omineca Crt,Abbotsford,Upper Ten Oaks, V2S 8M1,46.0,266.35967038293745,2024,7,2393.7740624541493,1155.977955859665,William A. Fraser Middle School
2,2,"2799 Allwood St, Abbotsford, BC, Canada",1140.0,2,2471.0,587.0,2020.0,Townhouse,2024-07-09,669900.0,49.0531988,-122.3201097,"2799, Allwood Street, City Centre, Abbotsford, Fraser Valley Regional District, British Columbia, V2T 3S1, Canada",2799 Allwood St,Abbotsford,City Centre, V2T 3S1,4.0,271.10481586402267,2024,7,3272.501985793044,367.5801500670207,Margaret Stenersen Elementary
2,2,"33731 Marshall Rd, Abbotsford, BC, Canada",1044.0,1,1415.0,407.0,1994.0,Condo,2024-07-09,425000.0,49.0382369,-122.2739641,"Marshall Road, Abbotsford Centre, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 6Y3, Canada",33731 Marshall Rd,Abbotsford,General Abbotsford District, V2S 6Y3,30.0,300.35335689045934,2024,7,4841.060147520145,317.57118527956845,Abbotsford Christian School
4,2,"34586 Pearl Ave, Abbotsford, BC, Canada",1642.0,6,3962.0,721.0,1986.0,SingleFamily,2024-07-09,1185000.0,49.0551206,-122.2662632,"Pearl Avenue, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 4H3, Canada",34586 Pearl Ave,Abbotsford,General Abbotsford District, V2S 4H3,38.0,299.09136799596166,2024,7,3150.854499980607,256.3566810454975,Margaret Stenersen Elementary
3,1,"3082 Todd Crt, Abbotsford, BC, Canada",1309.0,4,3842.0,725.0,1976.0,SingleFamily,2024-07-08,949900.0,49.0581127,-122.2522225,"Todd Court, Vicarro Ranch, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 7L7, Canada",3082 Todd Crt,Abbotsford,Vicarro Ranch, V2S 7L7,48.0,247.24102030192608,2024,7,989.9168973884535,383.92493787040013,Alexander Elementary
4,3,"3284 Saddle St, Abbotsford, BC, Canada",2429.0,8,4446.0,480.0,1993.0,SingleFamily,2024-07-08,1168000.0,49.0614879,-122.2682621,"Saddle Street, Lower Ten Oaks, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 4H3, Canada",3284 Saddle St,Abbotsford,Lower Ten Oaks, V2S 4H3,31.0,262.7080521817364,2024,7,5845.600014857763,380.3433631671407,Prince Charles Elementary
2,1,"1755 Salton Rd, Abbotsford, BC, Canada",944.0,1,1541.0,423.0,1990.0,Condo,2024-07-08,399900.0,49.0360931,-122.2876542,"Salton Road, McCallum, Abbotsford Centre, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 3W6, Canada",1755 Salton Rd,Abbotsford,McCallum, V2S 3W6,34.0,259.50681375730045,2024,7,7744.409518738435,860.013750443844,Abbotsford School Of Integrated Arts
7,4,"3775 Lethbridge Dr, Abbotsford, BC, Canada",3828.0,6,5219.0,339.0,1992.0,SingleFamily,2024-07-08,1299000.0,49.0701837,-122.2443721,"Lethbridge Drive, Upper Ten Oaks, Abbotsford, Fraser Valley Regional District, British Columbia, V3G 3B1, Canada",3775 Lethbridge Dr,Abbotsford,Upper Ten Oaks, V3G 3B1,32.0,248.89825637095228,2024,7,6438.947645341776,659.437048862669,Harry Sayers Elementary
3,2,"36060 Old Yale Rd, Abbotsford, BC, Canada",1492.0,2,2658.0,459.0,1991.0,Townhouse,2024-07-08,685000.0,49.0415957,-122.2255657,"36060, Old Yale Road, Abbotsford, Fraser Valley Regional District, British Columbia, V3G 1Y8, Canada",36060 Old Yale Rd,Abbotsford,General Abbotsford District, V3G 1Y8,33.0,257.7125658389767,2024,7,7610.047291614437,826.9215691365545,Abbotsford School Of Integrated Arts
3,2,"31548 Upper Maclure Rd, Abbotsford, BC, Canada",1874.0,3,3228.0,490.0,2019.0,Townhouse,2024-07-08,918888.0,49.0603131,-122.3525121,"Upper Maclure Road, Townline Hill, Abbotsford, Fraser Valley Regional District, British Columbia, V2T 5S6, Canada",31548 Upper Maclure Rd,Abbotsford,Townline Hill, V2T 5S6,5.0,284.6617100371747,2024,7,8441.659551417499,705.6260427512059,Abbotsford School Of Integrated Arts
4,4,"36020 Spyglass Crt, Abbotsford, BC, Canada",4357.0,12,6419.0,367.0,1999.0,SingleFamily,2024-07-08,1600000.0,49.0507519,-122.2268205,"Spyglass Court, Lower Sumas Mountain, Abbotsford, Fraser Valley Regional District, British Columbia, V3G 2J3, Canada",36020 Spyglass Crt,Abbotsford,Lower Sumas Mountain, V3G 2J3,25.0,249.26000934725036,2024,7,4297.212840210488,546.0911136439903,Colleen And Gordie Howe Middle School
3,2,"3457 Whatcom Rd, Abbotsford, BC, Canada",2574.0,4,4347.0,561.0,2010.0,SingleFamily,2024-07-07,1445000.0,49.0384194,-122.2193524,"Whatcom Road, Abbotsford, Fraser Valley Regional District, British Columbia, V3G 2K4, Canada",3457 Whatcom Rd,Abbotsford,General Abbotsford District, V3G 2K4,14.0,332.413158500115,2024,7,14742.458600038799,3986.3821883191863,Mt Lehman Elementary
2,1,"32040 Tims Ave, Abbotsford, BC, Canada",1129.0,1,657.0,291.0,1980.0,Condo,2024-07-07,329000.0,49.0539612,-122.3335351,"Tims Avenue, Clearbrook, Abbotsford, Fraser Valley Regional District, British Columbia, V2T 2H3, Canada",32040 Tims Ave,Abbotsford,Clearbrook, V2T 2H3,44.0,500.76103500761036,2024,7,3524.716206071365,281.3540271831738,Yale Secondary
3,1,"28989 Marsh Mccormick Rd, Abbotsford, BC, Canada",1943.0,0,10302.0,1903.0,1963.0,SingleFamily,2024-07-07,3699000.0,49.1477829,-122.4158145,"Marsh-McCormick Road, Abbotsford, Fraser Valley Regional District, British Columbia, V4S 1H7, Canada",28989 Marsh Mccormick Rd,Abbotsford,General Abbotsford District, V4S 1H7,61.0,359.0564938846826,2024,7,4891.667171180313,484.7249049227438,Colleen And Gordie Howe Middle School
5,3,"34655 Baldwin Rd, Abbotsford, BC, Canada",2971.0,4,4457.0,420.0,1991.0,SingleFamily,2024-07-07,1249800.0,49.0522786,-122.2637325,"Baldwin Road, Yale Court, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 7S5, Canada",34655 Baldwin Rd,Abbotsford,General Abbotsford District, V2S 7S5,33.0,280.41283374467133,2024,7,8464.301178588566,726.7306067543694,Semá:th Elementary School
2,1,"31955 Old Yale Rd, Abbotsford, BC, Canada",1038.0,1,1172.0,418.0,1981.0,Condo,2024-07-07,434900.0,49.0522093,-122.3390107,"31955, Old Yale Road, Clearbrook, Abbotsford, Fraser Valley Regional District, British Columbia, V2T 4N1, Canada",31955 Old Yale Rd,Abbotsford,Clearbrook, V2T 4N1,43.0,371.0750853242321,2024,7,4469.7703514779005,414.26912456161466,Colleen And Gordie Howe Middle School
4,2,"1559 Whatcom Rd, Abbotsford, BC, Canada",2665.0,10,6052.0,581.0,1977.0,SingleFamily,2024-07-07,1549900.0,49.0308313,-122.2194431,"1559, Whatcom Road, Abbotsford, Fraser Valley Regional District, British Columbia, V3G 2K4, Canada",1559 Whatcom Rd,Abbotsford,General Abbotsford District, V3G 2K4,47.0,256.0971579643093,2024,7,5736.223164008757,326.4305253129238,Prince Charles Elementary
3,2,"32097 Tims Ave, Abbotsford, BC, Canada",1366.0,1,1244.0,343.0,1981.0,Condo,2024-07-07,469900.0,49.05421805,-122.33508182982663,"32097, Tims Avenue, Clearbrook, Abbotsford, Fraser Valley Regional District, British Columbia, V2T 2H3, Canada",32097 Tims Ave,Abbotsford,Clearbrook, V2T 2H3,43.0,377.7331189710611,2024,7,459.4727657781258,578.489509987001,King Traditional Elementary
5,2,"35331 Sandy Hill Rd, Abbotsford, BC, Canada",2323.0,4,4363.0,430.0,1990.0,SingleFamily,2024-07-07,999995.0,49.0681729,-122.2451125,"Sandy Hill Road, Upper Ten Oaks, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 8M1, Canada",35331 Sandy Hill Rd,Abbotsford,Upper Ten Oaks, V2S 8M1,34.0,229.19894567957826,2024,7,440.48782765423846,526.2962587859417,King Traditional Elementary
1,1,"33545 Rainbow Ave, Abbotsford, BC, Canada",692.0,1,1519.0,592.0,2007.0,Condo,2024-07-04,409900.0,49.0372755,-122.29475570135386,"33545, Rainbow Avenue, Mill Lake, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 0B9, Canada",33545 Rainbow Ave,Abbotsford,Mill Lake, V2S 0B9,17.0,269.8485845951284,2024,7,3116.284783452502,335.3858428249524,Margaret Stenersen Elementary
2,2,"1975 Mccallum Rd, Abbotsford, BC, Canada",879.0,2,1806.0,602.0,2009.0,Condo,2024-07-04,529900.0,49.0381306,-122.2936557,"Back in Motion Physiotherapy, 1975, McCallum Road, McCallum, Mill Lake, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 3N3, Canada",1975 Mccallum Rd,Abbotsford,Mill Lake, V2S 3N3,15.0,293.4108527131783,2024,7,5905.3029991019575,68.83507510049593,Prince Charles Elementary
