mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice
R2905475,9,6,"29582 Corvina Crt, Abbotsford, BC, Canada",3958.0,4,4435.0,467.0,2024,SingleFamily,14/07/2024,1849000.0
R2905497,5,2,"2086 Sherwood Cres, Abbotsford, BC, Canada",2592.0,3,4809.0,495.0,1967,SingleFamily,14/07/2024,1285000.0
R2905660,3,2,"2825 Gardner Crt, Abbotsford, BC, Canada",1592.0,8,5067.0,722.0,1989,SingleFamily,14/07/2024,1149900.0
R2905758,6,3,"32171 Ashcroft Dr, Abbotsford, BC, Canada",3428.0,6,5153.0,393.0,1991,SingleFamily,14/07/2024,1349700.0
R2905941,5,2,"41056 Belrose Rd, Abbotsford, BC, Canada",4140.0,20,3091.0,879.0,9999,SingleFamily,14/07/2024,3640000.0
R2905445,3,2,"2602 Macbeth Cres, Abbotsford, BC, Canada",2060.0,8,4028.0,533.0,1975,SingleFamily,14/07/2024,1099000.0
R2905469,1,1,"3063 Immel St, Abbotsford, BC, Canada",697.0,1,1344.0,516.0,1993,Condo,14/07/2024,359900.0
R2904207,4,2,"34632 Acorn Ave, Abbotsford, BC, Canada",1980.0,5,4455.0,530.0,1978,SingleFamily,10/07/2024,1050000.0
R2904745,1,2,"33820 S Fraser Way, Abbotsford, BC, Canada",581.0,1,1900.0,739.0,2026,Condo,10/07/2024,429700.0
R2904748,4,2,"34242 Redwood Ave, Abbotsford, BC, Canada",2033.0,9,4482.0,515.0,1977,SingleFamily,10/07/2024,1049000.0
R2905329,2,2,"32085 George Ferguson Way, Abbotsford, BC, Canada",1115.0,2,1951.0,493.0,1996,Condo,10/07/2024,549900.0
R2904825,3,3,"34230 Elmwood Dr, Abbotsford, BC, Canada",2390.0,4,3756.0,407.0,2016,Townhouse,10/07/2024,975000.0
R2903041,5,3,"34085 Higginson Cres, Abbotsford, BC, Canada",3054.0,4,4775.0,425.0,2003,SingleFamily,10/07/2024,1299000.0
R2905047,5,3,"2761 Aquila Dr, Abbotsford, BC, Canada",3718.0,6,6665.0,537.0,2020,SingleFamily,10/07/2024,1999900.0
