mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice
R2905730,2,2,"9623 Manchester Dr, Burnaby, BC, Canada",969.0,1,1742.0,649.0,1994,Condo,14/07/2024,629000.0
R2905919,3,2,"8485 New Haven Close, Burnaby, BC, Canada",1390.0,2,3314.0,790.0,2012,Townhouse,14/07/2024,1099000.0
R2905904,1,1,"2351 Beta Ave, Burnaby, BC, Canada",516.0,0,1695.0,967.0,2020,Condo,14/07/2024,499000.0
R2905907,2,2,"2289 Yukon Cres, Burnaby, BC, Canada",837.0,1,1990.0,918.0,2008,Condo,14/07/2024,769000.0
R2905843,7,5,"4536 Midlawn Dr, Burnaby, BC, Canada",4067.0,4,7245.0,688.0,2014,SingleFamily,14/07/2024,2799000.0
R2905610,3,1,"6506 Broadway, Burnaby, BC, Canada",1132.0,0,5259.0,3518.0,1953,SingleFamily,14/07/2024,3982500.0
R2905568,5,3,"6950 Mario Crt, Burnaby, BC, Canada",2695.0,4,5910.0,816.0,1979,SingleFamily,14/07/2024,2200000.0
R2905558,1,1,"6689 Willingdon Ave, Burnaby, BC, Canada",660.0,1,1148.0,681.0,1976,Condo,14/07/2024,449900.0
R2905965,2,2,"6388 Marlborough Ave, Burnaby, BC, Canada",940.0,1,1654.0,806.0,1992,Condo,14/07/2024,758000.0
R2905516,1,1,"3771 Bartlett Crt, Burnaby, BC, Canada",673.0,1,1074.0,592.0,1976,Condo,14/07/2024,399000.0
R2905903,2,2,"6461 Telford Ave, Burnaby, BC, Canada",866.0,1,2417.0,1039.0,2014,Condo,14/07/2024,899900.0
R2905582,3,2,"3833 Evergreen Pl, Burnaby, BC, Canada",950.0,1,2322.0,1021.0,2023,Condo,14/07/2024,970000.0
R2906049,2,2,"6000 Mckay Ave, Burnaby, BC, Canada",800.0,1,2555.0,1312.0,2022,Condo,14/07/2024,1050000.0
R2905992,4,2,"9133 Government St, Burnaby, BC, Canada",2009.0,2,3500.0,671.0,2007,Townhouse,14/07/2024,1350000.0
R2905988,5,2,"4381 Huxley Ave, Burnaby, BC, Canada",2452.0,3,6189.0,978.0,1958,SingleFamily,14/07/2024,2399000.0
R2905025,2,2,"9283 Government St, Burnaby, BC, Canada",955.0,1,1788.0,784.0,2007,Condo,10/07/2024,749000.0
R2904453,3,3,"4720 Lougheed Highway, Burnaby, BC, Canada",1259.0,2,3620.0,1151.0,2022,Condo,10/07/2024,1449900.0
R2905245,2,2,"4711 Hazel St, Burnaby, BC, Canada",955.0,0,2723.0,1317.0,2022,Condo,11/07/2024,1258000.0
R2905074,1,1,"3770 Manor St, Burnaby, BC, Canada",684.0,1,1344.0,804.0,1992,Condo,10/07/2024,550000.0
R2905075,1,1,"6000 Mckay Ave, Burnaby, BC, Canada",525.0,1,1855.0,1333.0,2022,Condo,10/07/2024,700000.0
R2905250,1,1,"4880 Lougheed Highway, Burnaby, BC, Canada",568.0,1,1526.0,1054.0,2024,Condo,11/07/2024,599000.0
R2904908,2,2,"9868 Cameron St, Burnaby, BC, Canada",857.0,1,1885.0,815.0,2009,Condo,10/07/2024,699000.0
R2905393,2,2,"2311 Beta Ave, Burnaby, BC, Canada",788.0,1,2190.0,847.0,2020,Condo,11/07/2024,668000.0
R2904965,2,2,"4880 Lougheed Highway, Burnaby, BC, Canada",745.0,1,2500.0,1206.0,2024,Condo,09/07/2024,899000.0
R2904249,2,1,"8725 University Cres, Burnaby, BC, Canada",752.0,1,1671.0,797.0,2022,Condo,09/07/2024,599900.0
R2904188,2,1,"5450 Empire Dr, Burnaby, BC, Canada",924.0,1,1215.0,573.0,1974,Condo,09/07/2024,530000.0
R2905043,1,1,"8940 University Cres, Burnaby, BC, Canada",483.0,1,1176.0,931.0,2021,Condo,09/07/2024,450000.0
R2903509,5,3,"5089 Carson St, Burnaby, BC, Canada",2305.0,3,4942.0,819.0,2002,MultiFamily,09/07/2024,1888888.0
R2904644,4,3,"5409 Patrick St, Burnaby, BC, Canada",1860.0,4,5412.0,1015.0,1953,SingleFamily,09/07/2024,1888000.0
R2904445,1,1,"5788 Sidley St, Burnaby, BC, Canada",612.0,1,1454.0,913.0,2012,Condo,09/07/2024,559000.0
R2904079,2,2,"4132 Halifax St, Burnaby, BC, Canada",1077.0,4,2785.0,927.0,2005,Condo,08/07/2024,998800.0
R2904085,2,2,"5833 Wilson Ave, Burnaby, BC, Canada",977.0,1,1813.0,715.0,1995,Condo,08/07/2024,699000.0
R2904929,4,2,"7388 Macpherson Ave, Burnaby, BC, Canada",1569.0,2,2945.0,849.0,2006,Townhouse,08/07/2024,1332800.0
R2903659,2,2,"6893 Prenter St, Burnaby, BC, Canada",801.0,2,1706.0,872.0,1998,Condo,08/07/2024,699000.0
R2903606,5,3,"1135 Yorston Crt, Burnaby, BC, Canada",2293.0,1,5350.0,811.0,2017,MultiFamily,08/07/2024,1859900.0
R2904067,2,2,"6168 Wilson Ave, Burnaby, BC, Canada",1155.0,2,2669.0,778.0,2012,Condo,08/07/2024,899000.0
