mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice
R2905645,3,2,"8390 Centre St, Delta, BC, Canada",1788.0,4,3253.0,670.0,1989,Townhouse,14/07/2024,1199000.0
R2905994,5,3,"1243 Beach Grove Rd, Delta, BC, Canada",2611.0,4,4695.0,643.0,1977,SingleFamily,14/07/2024,1679000.0
R2905962,4,2,"5335 10 Ave, Delta, BC, Canada",3749.0,6,6560.0,559.0,2002,SingleFamily,14/07/2024,2098000.0
R2905500,2,1,"11881 88 Ave, Delta, BC, Canada",1144.0,1,1642.0,487.0,1986,Condo,14/07/2024,558000.0
R2905526,2,1,"1440 Garden Pl, Delta, BC, Canada",1090.0,1,1970.0,577.0,1982,Condo,14/07/2024,629000.0
R2905672,4,4,"5870 Cove Link Rd, Delta, BC, Canada",2781.0,4,5370.0,628.0,2006,SingleFamily,14/07/2024,1749000.0
R2905716,3,1,"5736 48b Ave, Delta, BC, Canada",1435.0,3,4314.0,905.0,1977,SingleFamily,14/07/2024,1299000.0
R2905637,3,2,"1379 Duncan Dr, Delta, BC, Canada",1210.0,4,4880.0,1115.0,1954,SingleFamily,14/07/2024,1349998.0
R2903772,4,2,"5884 48a Ave, Delta, BC, Canada",1853.0,5,3113.0,604.0,1968,MultiFamily,08/07/2024,1120000.0
R2903826,4,3,"648 Sandollar Pl, Delta, BC, Canada",2152.0,6,5509.0,813.0,1978,SingleFamily,09/07/2024,1750000.0
R2903598,3,1,"5458 Chestnut Cres, Delta, BC, Canada",1385.0,2,4358.0,902.0,1968,SingleFamily,08/07/2024,1249900.0
R2904428,6,3,"9130 Norum Rd, Delta, BC, Canada",3253.0,10,5369.0,551.0,1959,SingleFamily,09/07/2024,1795000.0
R2904642,4,2,"11338 79 Ave, Delta, BC, Canada",2041.0,5,4592.0,709.0,1970,SingleFamily,09/07/2024,1448000.0
R2904422,4,3,"20 50St, Delta, BC, Canada",2959.0,4,5050.0,624.0,1968,SingleFamily,09/07/2024,1849000.0
R2902281,6,4,"11321 80 Ave, Delta, BC, Canada",2890.0,4,4558.0,605.0,2025,SingleFamily,04/07/2024,1750000.0
R2902591,3,1,"6622 Baker Rd, Delta, BC, Canada",1287.0,2,2257.0,581.0,1979,Townhouse,04/07/2024,748000.0
R2902346,5,2,"8123 112a St, Delta, BC, Canada",2078.0,4,4614.0,697.0,1959,SingleFamily,04/07/2024,1449900.0
R2903916,6,4,"4620 River Rd W, Delta, BC, Canada",2524.0,4,5586.0,756.0,2019,SingleFamily,07/07/2024,1910000.0
