mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice
R2905923,3,2,"23343 Kanaka Way, Maple Ridge, BC, Canada",1797.0,2,3459.0,528.0,2004,Townhouse,14/07/2024,949900.0
R2906001,3,2,"11305 240St, Maple Ridge, BC, Canada",1426.0,2,3383.0,603.0,2016,Townhouse,13/07/2024,859999.0
R2905948,5,3,"10480 248St, Maple Ridge, BC, Canada",2044.0,2,3899.0,483.0,2018,Townhouse,14/07/2024,988000.0
R2905854,1,1,"20561 113 Ave, Maple Ridge, BC, Canada",671.0,1,2444.0,655.0,1992,Condo,14/07/2024,439900.0
R2905751,1,1,"11609 227St, Maple Ridge, BC, Canada",982.0,1,1891.0,437.0,1996,Condo,14/07/2024,429900.0
R2905735,5,3,"23106 135 Ave, Maple Ridge, BC, Canada",3322.0,2,6631.0,444.0,2019,SingleFamily,14/07/2024,1475000.0
R2905674,4,3,"25006 120 B Ave, Maple Ridge, BC, Canada",2109.0,8,5517.0,592.0,1990,SingleFamily,14/07/2024,1250000.0
R2906016,2,2,"11609 227St, Maple Ridge, BC, Canada",1092.0,1,2104.0,521.0,1997,Condo,14/07/2024,569000.0
R2904655,3,2,"11295 Pazarena Pl, Maple Ridge, BC, Canada",1344.0,0,3883.0,647.0,9999,Townhouse,09/07/2024,869900.0
R2904104,5,2,"24347 102 Ave, Maple Ridge, BC, Canada",2197.0,4,4709.0,455.0,2003,SingleFamily,10/07/2024,999990.0
R2904442,5,3,"22960 126 Ave, Maple Ridge, BC, Canada",2607.0,4,5543.0,498.0,1990,SingleFamily,09/07/2024,1299999.0
R2904628,5,2,"24298 102 A Ave, Maple Ridge, BC, Canada",2300.0,2,4777.0,467.0,2000,SingleFamily,09/07/2024,1074998.0
R2904773,2,1,"11510 225St, Maple Ridge, BC, Canada",990.0,1,1967.0,434.0,1988,Condo,10/07/2024,429900.0
R2904211,4,3,"10386 Mceachern St, Maple Ridge, BC, Canada",3000.0,2,5939.0,445.0,2006,SingleFamily,08/07/2024,1335000.0
R2903613,2,2,"11887 Burnett St, Maple Ridge, BC, Canada",1092.0,2,2664.0,557.0,2013,Condo,08/07/2024,609000.0
R2903604,4,2,"20888 Mckinney Ave, Maple Ridge, BC, Canada",1668.0,2,3928.0,491.0,1992,Townhouse,08/07/2024,820000.0
R2904131,7,6,"13753 Blaney Rd, Maple Ridge, BC, Canada",5218.0,8,3074.0,455.0,2024,SingleFamily,08/07/2024,2379000.0
R2905064,6,6,"13429 224St, Maple Ridge, BC, Canada",5819.0,25,11304.0,773.0,2008,SingleFamily,08/07/2024,4499000.0
R2904724,6,5,"23269 124a Ave, Maple Ridge, BC, Canada",4042.0,4,5524.0,389.0,1997,SingleFamily,08/07/2024,1575000.0
R2903223,3,2,"23785 Dewdney Trunk Rd, Maple Ridge, BC, Canada",1310.0,2,3794.0,686.0,2023,Townhouse,08/07/2024,899000.0
R2902706,1,1,"12248 224St, Maple Ridge, BC, Canada",753.0,0,2039.0,630.0,2007,Condo,04/07/2024,474900.0
R2902505,4,2,"25887 98 Ave, Maple Ridge, BC, Canada",2142.0,6,5164.0,1027.0,1970,SingleFamily,04/07/2024,2199900.0
R2902500,3,2,"20506 Westfield Ave, Maple Ridge, BC, Canada",1443.0,2,4490.0,762.0,1940,SingleFamily,04/07/2024,1099900.0
