mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice
R2904616,3,2,"12347 194b St, Pitt Meadows, BC, Canada",2599.0,4,4763.0,469.0,1993,MultiFamily,08/07/2024,1219900.0
R2905774,2,1,"19131 Ford Rd, Pitt Meadows, BC, Canada",957.0,2,2345.0,616.0,1995,Condo,14/07/2024,589999.0
R2905960,2,2,"12655 190 A St, Pitt Meadows, BC, Canada",945.0,2,3024.0,698.0,2014,Condo,14/07/2024,659900.0
R2904364,5,3,"18867 124a Ave, Pitt Meadows, BC, Canada",2366.0,6,6117.0,591.0,1989,SingleFamily,09/07/2024,1399999.0
R2905212,3,1,"12027 190St, Pitt Meadows, BC, Canada",1747.0,3,6365.0,686.0,1970,SingleFamily,10/07/2024,1199000.0
R2906018,2,2,"19639 Meadow Gardens Way, Pitt Meadows, BC, Canada",1960.0,4,5263.0,727.0,2000,SingleFamily,14/07/2024,1425000.0
R2905140,5,2,"19646 Joyner Pl, Pitt Meadows, BC, Canada",3454.0,4,5805.0,463.0,2001,SingleFamily,09/07/2024,1599900.0
R2905882,3,2,"19451 Sutton Ave, Pitt Meadows, BC, Canada",1370.0,2,5055.0,656.0,2023,Townhouse,14/07/2024,899000.0
R2901989,4,3,"19797 Brighton Pl, Pitt Meadows, BC, Canada",1915.0,4,4814.0,618.0,1998,SingleFamily,02/07/2024,1184800.0
R2900875,2,2,"19034 Mcmyn Rd, Pitt Meadows, BC, Canada",1067.0,2,3010.0,632.0,1995,Townhouse,01/07/2024,675000.0
R2901142,2,2,"12655 190a St, Pitt Meadows, BC, Canada",940.0,2,3102.0,723.0,2014,Condo,01/07/2024,679900.0
R2901068,1,1,"11950 Harris Rd, Pitt Meadows, BC, Canada",642.0,1,2978.0,739.0,2008,Condo,01/07/2024,474800.0
R2900794,3,2,"19696 Hammond Rd, Pitt Meadows, BC, Canada",1161.0,2,3358.0,719.0,2020,Townhouse,01/07/2024,835000.0
R2900861,3,2,"19034 Mcmyn Rd, Pitt Meadows, BC, Canada",1303.0,3,3201.0,544.0,1994,Townhouse,01/07/2024,709000.0
R2901240,2,2,"12069 Harris Rd, Pitt Meadows, BC, Canada",997.0,1,3194.0,692.0,2010,Condo,02/07/2024,690000.0
R2893944,1,1,"19236 Ford Rd, Pitt Meadows, BC, Canada",952.0,1,2315.0,540.0,1990,Condo,11/06/2024,514900.0
R2893526,1,1,"11950 Harris Rd, Pitt Meadows, BC, Canada",661.0,1,2295.0,739.0,2008,Condo,10/06/2024,489000.0
R2893199,4,2,"12004 Chestnut Cres, Pitt Meadows, BC, Canada",2157.0,6,5218.0,648.0,1990,SingleFamily,10/06/2024,1399888.0
R2895661,2,2,"12464 191b St, Pitt Meadows, BC, Canada",1067.0,1,2778.0,561.0,1995,Condo,16/06/2024,599000.0
R2893214,3,2,"19160 119 Ave, Pitt Meadows, BC, Canada",1560.0,2,3652.0,509.0,1991,Townhouse,10/06/2024,795000.0
R2894482,4,2,"19837 Wildwood Cres S, Pitt Meadows, BC, Canada",3158.0,6,5158.0,531.0,1976,SingleFamily,12/06/2024,1680000.0
R2894825,4,2,"19727 Wildwood Cres S, Pitt Meadows, BC, Canada",2413.0,6,5204.0,567.0,1985,SingleFamily,12/06/2024,1369900.0
R2892970,3,2,"12460 191St, Pitt Meadows, BC, Canada",1309.0,2,3483.0,601.0,2019,Condo,09/06/2024,788000.0
R2878326,5,3,"18816 121b Ave, Pitt Meadows, BC, Canada",3128.0,5,6093.0,557.0,1990,SingleFamily,01/05/2024,1744400.0
R2882945,6,3,"19500 Hammond Rd, Pitt Meadows, BC, Canada",3805.0,4,5869.0,452.0,2012,SingleFamily,13/05/2024,1720000.0
R2877555,2,1,"1 Christian Cove, Pitt Meadows, BC, Canada",1303.0,0,1406.0,996.0,2006,SingleFamily,30/04/2024,1298800.0
R2878238,4,3,"11823 191a St, Pitt Meadows, BC, Canada",2470.0,2,4864.0,546.0,2006,SingleFamily,30/04/2024,1349000.0
R2880865,3,2,"19772 Sunset Lane, Pitt Meadows, BC, Canada",2734.0,4,5078.0,328.0,1998,SingleFamily,07/05/2024,899000.0
R2880610,3,2,"19259 Fieldstone Walk, Pitt Meadows, BC, Canada",2484.0,4,5699.0,582.0,2005,SingleFamily,07/05/2024,1448000.0
R2881965,6,4,"19438 Hammond Rd, Pitt Meadows, BC, Canada",2702.0,5,8199.0,656.0,1973,MultiFamily,12/05/2024,1774900.0
R2882189,5,3,"11632 Harris Rd, Pitt Meadows, BC, Canada",3483.0,6,7342.0,481.0,2009,SingleFamily,12/05/2024,1678000.0
