mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice
R2905681,3,1,"4291 Cabot Dr, Richmond, BC, Canada",1216.0,3,3323.0,1069.0,1978,SingleFamily,14/07/2024,1300000.0
R2906019,2,1,"8860 No. 1Rd, Richmond, BC, Canada",920.0,1,1457.0,716.0,1973,Condo,14/07/2024,659000.0
R2905797,2,1,"7400 Minoru Blvd, Richmond, BC, Canada",925.0,1,1796.0,798.0,1986,Townhouse,14/07/2024,739000.0
R2905649,3,2,"7088 Lynnwood Dr, Richmond, BC, Canada",958.0,1,2218.0,834.0,1997,Townhouse,14/07/2024,799000.0
R2906054,5,4,"5700 Vermilyea Crt, Richmond, BC, Canada",3277.0,4,8632.0,976.0,2003,SingleFamily,14/07/2024,3198800.0
R2905750,4,3,"11560 4th Ave, Richmond, BC, Canada",2045.0,6,4424.0,1153.0,2024,SingleFamily,14/07/2024,2358000.0
R2905794,1,1,"3111 Corvette Way, Richmond, BC, Canada",633.0,1,1566.0,946.0,2011,Condo,14/07/2024,599000.0
R2905635,2,2,"6300 London Rd, Richmond, BC, Canada",1203.0,2,2515.0,747.0,2004,Townhouse,14/07/2024,899000.0
R2905569,4,2,"12411 Jack Bell Dr, Richmond, BC, Canada",1510.0,2,2774.0,662.0,1994,Townhouse,14/07/2024,999900.0
R2905527,5,2,"9611 Mcburney Dr, Richmond, BC, Canada",2408.0,4,5940.0,967.0,1983,SingleFamily,14/07/2024,2330000.0
R2905754,3,2,"8171 Steveston Highway, Richmond, BC, Canada",1682.0,2,3234.0,646.0,1993,Townhouse,14/07/2024,1088000.0
R2905743,2,1,"6188 No. 3Rd, Richmond, BC, Canada",743.0,1,2078.0,982.0,2016,Condo,14/07/2024,729888.0
R2905585,3,2,"10871 Altona Pl, Richmond, BC, Canada",1553.0,2,3371.0,900.0,1983,SingleFamily,14/07/2024,1398000.0
R2905676,4,2,"8300 General Currie Rd, Richmond, BC, Canada",1506.0,1,2320.0,577.0,1991,Townhouse,14/07/2024,869000.0
