mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice
R2905646,2,2,"1658 140St, Surrey, BC, Canada",2034.0,6,4594.0,933.0,1974,SingleFamily,14/07/2024,1899000.0
R2905917,7,6,"10843 128a St, Surrey, BC, Canada",4100.0,8,7962.0,553.0,2018,SingleFamily,14/07/2024,2268000.0
R2905427,1,1,"8139 121a St, Surrey, BC, Canada",797.0,1,1823.0,646.0,1994,Condo,14/07/2024,514888.0
R2905770,8,7,"12956 106a Ave, Surrey, BC, Canada",4287.0,10,6636.0,466.0,2014,SingleFamily,14/07/2024,2000000.0
R2904254,1,1,"13308 Central Ave, Surrey, BC, Canada",461.0,1,1803.0,976.0,2018,Condo,14/07/2024,450000.0
R2905310,11,7,"6892 130St, Surrey, BC, Canada",4749.0,4,7335.0,484.0,2001,SingleFamily,14/07/2024,2299000.0
R2905722,5,4,"12526 75a Ave, Surrey, BC, Canada",3235.0,8,7553.0,587.0,1992,SingleFamily,14/07/2024,1899000.0
R2905417,6,3,"9616 161a St, Surrey, BC, Canada",2777.0,6,4893.0,575.0,1995,SingleFamily,14/07/2024,1598888.0
R2905505,6,4,"14721 72 Ave, Surrey, BC, Canada",2942.0,6,5936.0,492.0,2002,SingleFamily,14/07/2024,1449000.0
R2904041,2,2,"13468 King George Blvd, Surrey, BC, Canada",788.0,1,2211.0,761.0,2011,Condo,14/07/2024,599888.0
R2905756,4,2,"1682 140St, Surrey, BC, Canada",2244.0,6,4822.0,846.0,1974,SingleFamily,14/07/2024,1899000.0
R2905535,4,2,"6299 144St, Surrey, BC, Canada",1877.0,2,3289.0,532.0,2010,Townhouse,14/07/2024,999000.0
R2905623,2,2,"13468 King George Blvd, Surrey, BC, Canada",752.0,1,2096.0,848.0,2011,Condo,14/07/2024,638000.0
R2905680,5,3,"6005 190St, Surrey, BC, Canada",2322.0,4,5635.0,559.0,1991,SingleFamily,14/07/2024,1299000.0
R2905652,2,2,"15210 Guildford Dr, Surrey, BC, Canada",1213.0,2,2438.0,552.0,1997,Condo,14/07/2024,670000.0
R2905959,3,2,"7156 144St, Surrey, BC, Canada",1458.0,2,328668.0,572.0,2009,Townhouse,14/07/2024,834998.0
R2905691,10,6,"14922 102 A Ave, Surrey, BC, Canada",4854.0,10,8651.0,618.0,2005,SingleFamily,14/07/2024,2999888.0
R2905523,7,5,"1585 168St, Surrey, BC, Canada",3007.0,4,4802.0,556.0,2024,SingleFamily,14/07/2024,1674888.0
