mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice
R2905619,1,1,"3451 Sawmill Cres, Vancouver, BC, Canada",601.0,1,1543.0,996.0,2020.0,Condo,14/07/2024,599000.0
R2905943,4,4,"126 45Th Ave E, Vancouver, BC, Canada",1581.0,2,5453.0,1099.0,2022.0,MultiFamily,14/07/2024,1739000.0
R2905709,3,2,"1186 Kaslo St, Vancouver, BC, Canada",1587.0,2,6396.0,1102.0,2024.0,MultiFamily,14/07/2024,1749990.0
R2905494,3,2,"2888 E 2Nd Ave, Vancouver, BC, Canada",960.0,1,2322.0,937.0,2013.0,Condo,14/07/2024,899900.0
R2905901,2,1,"1328 W 73rd Ave, Vancouver, BC, Canada",883.0,1,1299.0,707.0,1994.0,Condo,14/07/2024,625000.0
R2905900,2,2,"1283 Howe St, Vancouver, BC, Canada",815.0,0,3256.0,1347.0,2019.0,Condo,14/07/2024,1098000.0
R2906000,2,2,"1561 W 57th Ave, Vancouver, BC, Canada",1232.0,2,4944.0,1622.0,2018.0,Condo,14/07/2024,1998800.0
R2905562,5,3,"1044 E 22Nd Ave, Vancouver, BC, Canada",2435.0,4,7874.0,868.0,1986.0,SingleFamily,14/07/2024,2115000.0
R2906039,1,1,"1708 Columbia St, Vancouver, BC, Canada",704.0,1,2325.0,1134.0,2013.0,Condo,14/07/2024,799000.0
R2905686,1,1,"1777 W 7th Ave, Vancouver, BC, Canada",655.0,1,2252.0,1296.0,2013.0,Condo,14/07/2024,849000.0
R2905918,1,1,"518 Moberly Rd, Vancouver, BC, Canada",950.0,1,2504.0,921.0,1986.0,Condo,14/07/2024,875000.0
R2905979,2,2,"1009 Harwood St, Vancouver, BC, Canada",963.0,1,3301.0,1246.0,2014.0,Condo,14/07/2024,1199999.0
R2905813,6,2,"4132 Crown Cres, Vancouver, BC, Canada",3504.0,1,19201.0,1227.0,1929.0,SingleFamily,14/07/2024,4300000.0
R2905969,2,2,"602 Citadel Parade, Vancouver, BC, Canada",885.0,1,2547.0,1095.0,2007.0,Condo,14/07/2024,969900.0
R2905949,2,2,"2239 W 7th Ave, Vancouver, BC, Canada",805.0,1,2876.0,1397.0,2018.0,Condo,14/07/2024,1124800.0
R2905888,2,2,"128 W Cordova St, Vancouver, BC, Canada",1157.0,2,3498.0,1119.0,2009.0,Condo,14/07/2024,1295000.0
R2905804,3,4,"2705 W 30th Ave, Vancouver, BC, Canada",4086.0,3,40092.0,2760.0,2011.0,SingleFamily,14/07/2024,11280000.0
R2905769,1,1,"1252 Hornby St, Vancouver, BC, Canada",602.0,1,1908.0,1078.0,2008.0,Condo,14/07/2024,649000.0
R2905857,1,1,"1111 Alberni St, Vancouver, BC, Canada",674.0,1,2426.0,1287.0,2008.0,Condo,14/07/2024,868000.0
R2905849,2,2,"3488 Sawmill Cres, Vancouver, BC, Canada",1013.0,1,2405.0,917.0,2018.0,Condo,14/07/2024,929000.0
R2905670,4,2,"4533 W 8Th Ave, Vancouver, BC, Canada",2702.0,0,9419.0,1054.0,1930.0,SingleFamily,14/07/2024,2849000.0
R2905892,9,5,"2549 E 16th Ave, Vancouver, BC, Canada",3960.0,2,9116.0,832.0,2020.0,SingleFamily,14/07/2024,3298000.0
R2905897,5,4,"4106 Staulo Cres, Vancouver, BC, Canada",4313.0,6,9813.0,428.0,1978.0,SingleFamily,14/07/2024,1850000.0
R2905583,5,6,"1770 W 62nd Ave, Vancouver, BC, Canada",4633.0,4,19367.0,1204.0,2016.0,SingleFamily,14/07/2024,5580000.0
R2905702,6,3,"6129 Ross St, Vancouver, BC, Canada",2788.0,2,7412.0,713.0,1970.0,SingleFamily,14/07/2024,1990000.0
R2905705,1,1,"205 E 10th Ave, Vancouver, BC, Canada",624.0,1,1972.0,1121.0,2005.0,Condo,14/07/2024,699900.0
R2905968,3,2,"2121 W 6th Ave, Vancouver, BC, Canada",1267.0,2,3077.0,1159.0,1974.0,Condo,14/07/2024,1469000.0
R2906060,1,1,"5380 Oben St, Vancouver, BC, Canada",530.0,1,1196.0,847.0,2005.0,Condo,14/07/2024,449000.0
R2906082,3,2,"3449 W 22nd Ave, Vancouver, BC, Canada",1781.0,1,8930.0,1515.0,1941.0,SingleFamily,14/07/2024,2699000.0
R2905424,5,3,"3875 Laurel St, Vancouver, BC, Canada",2179.0,0,7978.0,1096.0,1912.0,SingleFamily,11/07/2024,2389000.0
R2905176,4,3,"3019 W 6Th Ave, Vancouver, BC, Canada",1625.0,0,8596.0,1412.0,1920.0,SingleFamily,11/07/2024,2295000.0
R2905827,1,1,"1288 W Georgia St, Vancouver, BC, Canada",689.0,1,2086.0,1059.0,1998.0,Condo,11/07/2024,730000.0
R2905193,1,1,"1768 Cook St, Vancouver, BC, Canada",532.0,1,2111.0,1537.0,2021.0,Condo,11/07/2024,818000.0
R2905928,6,3,"3277 Nootka St, Vancouver, BC, Canada",2142.0,0,7410.0,1096.0,2024.0,MultiFamily,11/07/2024,2349000.0
R2905242,3,2,"3440 W Broadway, Vancouver, BC, Canada",1266.0,1,2748.0,908.0,1993.0,Townhouse,11/07/2024,1150000.0
R2905327,8,8,"2050 Marine Dr Sw, Vancouver, BC, Canada",11396.0,4,18032.0,351.0,2024.0,SingleFamily,11/07/2024,4000000.0
R2905216,3,3,"2119 E 29th Ave, Vancouver, BC, Canada",1443.0,1,6437.0,1039.0,2023.0,MultiFamily,11/07/2024,1499900.0
R2904864,2,2,"159 W 2Nd Ave, Vancouver, BC, Canada",832.0,1,2575.0,1298.0,2017.0,Condo,10/07/2024,1080000.0
R2904463,2,2,"2628 Ash St, Vancouver, BC, Canada",1267.0,2,3237.0,842.0,1990.0,Condo,10/07/2024,1068000.0
R2905059,2,2,"3663 Crowley Dr, Vancouver, BC, Canada",820.0,1,2047.0,913.0,2005.0,Condo,10/07/2024,749000.0
R2904837,2,2,"4153 Sophia St, Vancouver, BC, Canada",1287.0,2,3303.0,1076.0,1991.0,Townhouse,10/07/2024,1385000.0
R2904771,1,1,"626 Alexander St, Vancouver, BC, Canada",568.0,0,1454.0,906.0,2015.0,Condo,10/07/2024,514900.0
R2904839,2,2,"215 E 33rd Ave, Vancouver, BC, Canada",844.0,1,2600.0,1380.0,2011.0,Condo,10/07/2024,1165000.0
R2904738,4,3,"3423 E Hastings St, Vancouver, BC, Canada",1841.0,5,3912.0,678.0,2005.0,Townhouse,09/07/2024,1249000.0
R2904271,8,5,"5323 Manson St, Vancouver, BC, Canada",5447.0,4,23087.0,1097.0,1993.0,SingleFamily,09/07/2024,5980000.0
R2904523,5,2,"2256 E Pender St, Vancouver, BC, Canada",1960.0,3,7677.0,1019.0,1956.0,SingleFamily,09/07/2024,1998000.0
R2904632,3,3,"5463 Dunbar St, Vancouver, BC, Canada",1839.0,2,5378.0,1140.0,2010.0,Townhouse,09/07/2024,2098000.0
R2904343,6,4,"2748 Duke St, Vancouver, BC, Canada",2294.0,3,7071.0,871.0,2004.0,SingleFamily,09/07/2024,1999000.0
R2904451,1,1,"3538 Sawmill Cres, Vancouver, BC, Canada",600.0,1,1724.0,1065.0,2022.0,Condo,09/07/2024,639000.0
R2904963,1,1,"918 Cooperage Way, Vancouver, BC, Canada",885.0,1,2692.0,1125.0,2008.0,Condo,09/07/2024,995800.0
R2904321,1,1,"1325 Rolston St, Vancouver, BC, Canada",500.0,0,1543.0,1199.0,2013.0,Condo,09/07/2024,599900.0
R2904397,2,2,"725 W 7th Ave, Vancouver, BC, Canada",836.0,2,2458.0,1027.0,1988.0,Condo,09/07/2024,859000.0
R2904679,2,2,"1077 W Cordova St, Vancouver, BC, Canada",1373.0,1,7232.0,1656.0,2004.0,Condo,09/07/2024,2275000.0
R2904357,1,1,"111 W Georgia St, Vancouver, BC, Canada",626.0,1,2107.0,1117.0,2007.0,Condo,09/07/2024,699800.0
R2904286,2,1,"16 Lakewood Dr, Vancouver, BC, Canada",807.0,1,1408.0,618.0,1981.0,Condo,09/07/2024,499000.0
R2904521,2,1,"2638 Hemlock St, Vancouver, BC, Canada",1177.0,0,3887.0,1146.0,1908.0,Townhouse,09/07/2024,1349000.0
R2904590,2,2,"3038 E Kent Ave S, Vancouver, BC, Canada",843.0,1,1910.0,829.0,1999.0,Condo,09/07/2024,699000.0
R2904623,2,1,"1345 W 4th Ave, Vancouver, BC, Canada",809.0,1,2245.0,1197.0,1985.0,Condo,09/07/2024,969000.0
R2904791,1,1,"1480 Howe St, Vancouver, BC, Canada",361.0,0,1741.0,1714.0,2020.0,Condo,09/07/2024,618800.0
R2904568,3,3,"2877 Sotao Ave, Vancouver, BC, Canada",1468.0,2,2619.0,744.0,1997.0,Townhouse,09/07/2024,1093000.0
R2904350,6,3,"3335 Mayfair Ave, Vancouver, BC, Canada",3254.0,2,10185.0,1161.0,1991.0,SingleFamily,09/07/2024,3780000.0
R2904777,3,2,"7710 Granville St, Vancouver, BC, Canada",2428.0,1,7713.0,1153.0,1947.0,SingleFamily,09/07/2024,2800000.0
R2904790,1,1,"1480 Howe St, Vancouver, BC, Canada",487.0,1,2205.0,1700.0,2020.0,Condo,09/07/2024,828000.0
R2904586,4,2,"3342 E 1St Ave, Vancouver, BC, Canada",1440.0,3,3883.0,1110.0,1931.0,SingleFamily,09/07/2024,1599000.0
R2904078,3,2,"5212 Maple St, Vancouver, BC, Canada",3092.0,1,14356.0,1464.0,1924.0,SingleFamily,08/07/2024,4528000.0
R2903794,6,3,"1743 49Th Ave E, Vancouver, BC, Canada",2628.0,4,7165.0,818.0,1966.0,SingleFamily,09/07/2024,2150000.0
R2905895,1,1,"128 W Cordova St, Vancouver, BC, Canada",645.0,1,1891.0,1021.0,2009.0,Condo,09/07/2024,659000.0
R2904114,2,2,"550 Pacific St, Vancouver, BC, Canada",1082.0,2,3559.0,1200.0,2005.0,Condo,08/07/2024,1299000.0
R2903847,2,2,"29 Templeton Dr, Vancouver, BC, Canada",1266.0,2,3429.0,1105.0,1996.0,Condo,08/07/2024,1399900.0
R2903984,2,2,"3451 Sawmill Cres, Vancouver, BC, Canada",945.0,1,2308.0,878.0,2020.0,Condo,08/07/2024,830000.0
R2903664,3,2,"1205 7Th Ave W, Vancouver, BC, Canada",1852.0,2,5478.0,1240.0,1981.0,Townhouse,09/07/2024,2298000.0
R2905181,10,8,"740 E 50th Ave, Vancouver, BC, Canada",3762.0,1,8532.0,929.0,2019.0,SingleFamily,08/07/2024,3498000.0
R2904072,5,2,"2512 E 22nd Ave, Vancouver, BC, Canada",1853.0,0,6263.0,1024.0,9999.0,SingleFamily,08/07/2024,1898000.0
