,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
0,Apartment/Condominium,"$1,543",601 sqft,Yes,$996,R2905619,,Residential,2020,,"315 - 3451 Sawmill Cres, Vancouver, BC",1,1,1,14/07/2024,"$599,000"
1,Multi Family,"$5,453",1581 sqft,Yes,"$1,099",R2905943,,Residential,2022,,"126 45 Th Ave E, Vancouver, BC",4,4,2,14/07/2024,"$1,739,000"
2,Multi Family,"$6,396",1587 sqft,Yes,"$1,102",R2905709,,Residential,2024,,"1 - 1186 Kaslo St, Vancouver, BC",2,3,2,14/07/2024,"$1,749,990"
3,Townhouse,,871 sqft,Yes,"$1,435",R2905811,,Residential,2024,,"540 11 Th Ave E, Vancouver, BC",1,2,1,14/07/2024,"$1,250,000"
4,Apartment/Condominium,"$2,322",960 sqft,Yes,$937,R2905494,,Residential,2013,,"311 - 2888 E 2 Nd Ave, Vancouver, BC",2,3,1,14/07/2024,"$899,900"
5,Apartment/Condominium,"$1,299",883 sqft,Yes,$707,R2905901,,Residential,1994,,"8 - 1328 W 73rd Ave, Vancouver, BC",1,2,1,14/07/2024,"$625,000"
6,Apartment/Condominium,"$3,256",815 sqft,Yes,"$1,347",R2905900,,Residential,2019,,"3506 - 1283 Howe St, Vancouver, BC",2,2,0,14/07/2024,"$1,098,000"
7,Apartment/Condominium,,506 sqft,No,"$1,462",R2905570,,Residential,2024,,"111 - 6922 Ash St, Vancouver, BC",1,1,0,14/07/2024,"$739,800"
8,Apartment/Condominium,"$4,944",1232 sqft,Yes,"$1,622",R2906000,,Residential,2018,,"204 - 1561 W 57th Ave, Vancouver, BC",2,2,2,14/07/2024,"$1,998,800"
9,Single Family Residence,"$7,874",2435 sqft,Yes,$868,R2905562,,Residential,1986,,"1044 E 22 Nd Ave, Vancouver, BC",3,5,4,14/07/2024,"$2,115,000"
10,Apartment/Condominium,"$2,325",704 sqft,Yes,"$1,134",R2906039,,Residential,2013,,"609 - 1708 Columbia St, Vancouver, BC",1,1,1,14/07/2024,"$799,000"
11,Apartment/Condominium,"$2,252",655 sqft,Yes,"$1,296",R2905686,,Residential,2013,,"127 - 1777 W 7th Ave, Vancouver, BC",1,1,1,14/07/2024,"$849,000"
12,Apartment/Condominium,"$2,504",950 sqft,Yes,$921,R2905918,,Residential,1986,,"102 - 518 Moberly Rd, Vancouver, BC",1,1,1,14/07/2024,"$875,000"
13,Apartment/Condominium,"$3,301",963 sqft,Yes,"$1,246",R2905979,,Residential,2014,,"1506 - 1009 Harwood St, Vancouver, BC",2,2,1,14/07/2024,"$1,199,999"
14,Single Family Residence,"$19,201",3504 sqft,Yes,"$1,227",R2905813,,Residential,1929,,"4132 Crown Cres, Vancouver, BC",2,6,1,14/07/2024,"$4,300,000"
15,Apartment/Condominium,"$2,547",885 sqft,Yes,"$1,095",R2905969,,Residential,2007,,"2203 - 602 Citadel Parade, Vancouver, BC",2,2,1,14/07/2024,"$969,900"
16,Apartment/Condominium,"$2,876",805 sqft,Yes,"$1,397",R2905949,,Residential,2018,,"203 - 2239 W 7th Ave, Vancouver, BC",2,2,1,14/07/2024,"$1,124,800"
17,Apartment/Condominium,"$3,498",1157 sqft,Yes,"$1,119",R2905888,,Residential,2009,,"2110 - 128 W Cordova St, Vancouver, BC",2,2,2,14/07/2024,"$1,295,000"
18,Single Family Residence,"$40,092",4086 sqft,Yes,"$2,760",R2905804,,Residential,2011,,"2705 W 30th Ave, Vancouver, BC",4,3,3,14/07/2024,"$11,280,000"
19,Apartment/Condominium,"$1,908",602 sqft,Yes,"$1,078",R2905769,,Residential,2008,,"506 - 1252 Hornby St, Vancouver, BC",1,1,1,14/07/2024,"$649,000"
20,Townhouse,,1204 sqft,Yes,"$1,318",R2906038,,Residential,2024,,"51 - 550 W 28 Th Ave, Vancouver, BC",2,3,1,14/07/2024,"$1,588,000"
21,Apartment/Condominium,"$2,426",674 sqft,Yes,"$1,287",R2905857,,Residential,2008,,"2503 - 1111 Alberni St, Vancouver, BC",1,1,1,14/07/2024,"$868,000"
22,Apartment/Condominium,"$2,405",1013 sqft,Yes,$917,R2905849,,Residential,2018,,"517 - 3488 Sawmill Cres, Vancouver, BC",2,2,1,14/07/2024,"$929,000"
23,Single Family Residence,"$9,419",2702 sqft,No,"$1,054",R2905670,,Residential,1930,,"4533 W 8 Th Ave, Vancouver, BC",2,4,0,14/07/2024,"$2,849,000"
24,Single Family Residence,"$9,116",3960 sqft,Yes,$832,R2905892,,Residential,2020,,"2549 E 16th Ave, Vancouver, BC",5,9,2,14/07/2024,"$3,298,000"
25,Single Family Residence,"$9,813",4313 sqft,Yes,$428,R2905897,,Residential,1978,,"4106 Staulo Cres, Vancouver, BC",4,5,6,14/07/2024,"$1,850,000"
26,Single Family Residence,"$19,367",4633 sqft,Yes,"$1,204",R2905583,,Residential,2016,,"1770 W 62nd Ave, Vancouver, BC",6,5,4,14/07/2024,"$5,580,000"
27,Single Family Residence,"$7,412",2788 sqft,No,$713,R2905702,,Residential,1970,,"6129 Ross St, Vancouver, BC",3,6,2,14/07/2024,"$1,990,000"
28,Apartment/Condominium,"$1,972",624 sqft,Yes,"$1,121",R2905705,,Residential,2005,,"411 - 205 E 10th Ave, Vancouver, BC",1,1,1,14/07/2024,"$699,900"
29,Apartment/Condominium,"$3,077",1267 sqft,Yes,"$1,159",R2905968,,Residential,1974,,"215 - 2121 W 6th Ave, Vancouver, BC",2,3,2,14/07/2024,"$1,469,000"
30,Apartment/Condominium,"$1,196",530 sqft,Yes,$847,R2906060,,Residential,2005,,"212 - 5380 Oben St, Vancouver, BC",1,1,1,14/07/2024,"$449,000"
31,Single Family Residence,"$8,930",1781 sqft,Yes,"$1,515",R2906082,,Residential,1941,,"3449 W 22nd Ave, Vancouver, BC",2,3,1,14/07/2024,"$2,699,000"
32,Single Family Residence,"$7,978",2179 sqft,No,"$1,096",R2905424,,Residential,1912,,"3875 Laurel St, Vancouver, BC",3,5,0,11/07/2024,"$2,389,000"
33,Single Family Residence,"$8,596",1625 sqft,Yes,"$1,412",R2905176,,Residential,1920,,"3019 W 6 Th Ave, Vancouver, BC",3,4,0,11/07/2024,"$2,295,000"
34,Apartment/Condominium,"$2,086",689 sqft,Yes,"$1,059",R2905827,,Residential,1998,,"802 - 1288 W Georgia St, Vancouver, BC",1,1,1,11/07/2024,"$730,000"
35,Apartment/Condominium,"$2,111",532 sqft,Yes,"$1,537",R2905193,,Residential,2021,,"1314 - 1768 Cook St, Vancouver, BC",1,1,1,11/07/2024,"$818,000"
36,Multi Family,"$7,410",2142 sqft,Yes,"$1,096",R2905928,,Residential,2024,,"3277 Nootka St, Vancouver, BC",3,6,0,11/07/2024,"$2,349,000"
37,Townhouse,"$2,748",1266 sqft,Yes,$908,R2905242,,Residential,1993,,"126 - 3440 W Broadway, Vancouver, BC",2,3,1,11/07/2024,"$1,150,000"
38,Single Family Residence,"$18,032",11396 sqft,Yes,$351,R2905327,,Residential,2024,,"2050 Marine Dr Sw, Vancouver, BC",8,8,4,11/07/2024,"$4,000,000"
39,Multi Family,"$6,437",1443 sqft,Yes,"$1,039",R2905216,,Residential,2023,,"1 - 2119 E 29th Ave, Vancouver, BC",3,3,1,11/07/2024,"$1,499,900"
40,Apartment/Condominium,"$2,575",832 sqft,Yes,"$1,298",R2904864,,Residential,2017,,"318 - 159 W 2 Nd Ave, Vancouver, BC",2,2,1,10/07/2024,"$1,080,000"
41,Apartment/Condominium,"$3,237",1267 sqft,Yes,$842,R2904463,,Residential,1990,,"1003 - 2628 Ash St, Vancouver, BC",2,2,2,10/07/2024,"$1,068,000"
42,Apartment/Condominium,"$2,047",820 sqft,Yes,$913,R2905059,,Residential,2005,,"1909 - 3663 Crowley Dr, Vancouver, BC",2,2,1,10/07/2024,"$749,000"
43,Townhouse,"$3,303",1287 sqft,Yes,"$1,076",R2904837,,Residential,1991,,"8 - 4153 Sophia St, Vancouver, BC",2,2,2,10/07/2024,"$1,385,000"
44,Townhouse,,745 sqft,Yes,"$1,677",R2904962,,Residential,2025,,"104 - 539 W 28 Th Ave, Vancouver, BC",1,2,1,10/07/2024,"$1,249,900"
45,Apartment/Condominium,"$1,454",568 sqft,Yes,$906,R2904771,,Residential,2015,,"212 - 626 Alexander St, Vancouver, BC",1,1,0,10/07/2024,"$514,900"
46,Apartment/Condominium,"$2,600",844 sqft,Yes,"$1,380",R2904839,,Residential,2011,,"410 - 215 E 33rd Ave, Vancouver, BC",2,2,1,10/07/2024,"$1,165,000"
47,Apartment/Condominium,,1562 sqft,Yes,$960,R2905410,,Residential,2023,,"605 - 2550 Garden Dr, Vancouver, BC",2,3,2,10/07/2024,"$1,499,900"
48,Townhouse,"$3,912",1841 sqft,Yes,$678,R2904738,,Residential,2005,,"310 - 3423 E Hastings St, Vancouver, BC",3,4,5,09/07/2024,"$1,249,000"
49,Single Family Residence,"$23,087",5447 sqft,Yes,"$1,097",R2904271,,Residential,1993,,"5323 Manson St, Vancouver, BC",5,8,4,09/07/2024,"$5,980,000"
50,Single Family Residence,"$7,677",1960 sqft,Yes,"$1,019",R2904523,,Residential,1956,,"2256 E Pender St, Vancouver, BC",2,5,3,09/07/2024,"$1,998,000"
51,Townhouse,"$5,378",1839 sqft,Yes,"$1,140",R2904632,,Residential,2010,,"5463 Dunbar St, Vancouver, BC",3,3,2,09/07/2024,"$2,098,000"
52,Single Family Residence,"$7,071",2294 sqft,Yes,$871,R2904343,,Residential,2004,,"2748 Duke St, Vancouver, BC",4,6,3,09/07/2024,"$1,999,000"
53,Apartment/Condominium,"$1,724",600 sqft,Yes,"$1,065",R2904451,,Residential,2022,,"1205 - 3538 Sawmill Cres, Vancouver, BC",1,1,1,09/07/2024,"$639,000"
54,Multi Family,,1493 sqft,Yes,"$1,110",R2904772,,Residential,2024,,"2 - 6273 Windsor St, Vancouver, BC",3,3,1,09/07/2024,"$1,658,000"
55,Apartment/Condominium,"$2,692",885 sqft,Yes,"$1,125",R2904963,,Residential,2008,,"607 - 918 Cooperage Way, Vancouver, BC",1,1,1,09/07/2024,"$995,800"
56,Apartment/Condominium,"$1,543",500 sqft,No,"$1,199",R2904321,,Residential,2013,,"811 - 1325 Rolston St, Vancouver, BC",1,1,0,09/07/2024,"$599,900"
57,Apartment/Condominium,"$2,458",836 sqft,Yes,"$1,027",R2904397,,Residential,1988,,"204 - 725 W 7th Ave, Vancouver, BC",2,2,2,09/07/2024,"$859,000"
