,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
0,Apartment/Condominium,"$2,380",566 sqft,Yes,"$1,051",R2905543,,Residential,2020,,"504 - 1441 Johnston Rd, White Rock, BC",1,1,1,14/07/2024,"$595,000"
1,Apartment/Condominium,"$6,903",1370 sqft,Yes,"$1,305",R2905737,,Residential,2013,,"406 - 1420 Johnston Rd, White Rock, BC",2,2,2,14/07/2024,"$1,789,000"
2,Apartment/Condominium,"$5,291",2107 sqft,Yes,$806,R2903235,,Residential,1994,,"303 - 1221 Johnston Rd, White Rock, BC",2,2,2,11/07/2024,"$1,699,000"
3,Single Family Residence,"$5,746",2042 sqft,Yes,$685,R2905324,,Residential,1969,,"15836 Russell Ave, White Rock, BC",2,4,3,14/07/2024,"$1,399,000"
4,Single Family Residence,"$6,561",6146 sqft,Yes,$561,R2905684,,Residential,2024,,"13915 Blackburn Ave, White Rock, BC",6,8,0,10/07/2024,"$3,450,000"
5,Apartment/Condominium,,967 sqft,Yes,"$1,239",R2906033,,Residential,2024,,"2006 - 1588 Johnston Rd, White Rock, BC",2,2,2,14/07/2024,"$1,199,000"
6,Apartment/Condominium,"$2,500",1023 sqft,Yes,$977,R2905422,,Residential,2024,,"1502 - 1588 Johnston Rd, White Rock, BC",2,3,2,11/07/2024,"$999,900"
7,Single Family Residence,"$9,455",3962 sqft,Yes,$984,R2905742,,Residential,1992,,"15135 Royal Ave, White Rock, BC",3,4,2,14/07/2024,"$3,900,000"
8,Apartment/Condominium,"$2,244",1172 sqft,Yes,$511,R2901886,,Residential,1981,,"212 - 1520 Vidal St, White Rock, BC",2,2,1,02/07/2024,"$599,999"
9,Apartment/Condominium,"$1,612",850 sqft,Yes,$505,R2902192,,Residential,1970,,"305 - 1355 Fir St, White Rock, BC",1,1,1,03/07/2024,"$429,900"
10,Single Family Residence,"$7,226",2409 sqft,No,$705,R2901794,,Residential,1971,,"14256 Park Ave, White Rock, BC",3,4,0,03/07/2024,"$1,699,000"
11,Apartment/Condominium,"$5,443",1513 sqft,Yes,$988,R2901558,,Residential,2021,,"203 - 14825 Thrift Ave, White Rock, BC",2,2,2,03/07/2024,"$1,495,000"
12,Single Family Residence,"$14,016",6059 sqft,Yes,$550,R2900084,,Residential,2022,,"15671 Roper Ave, White Rock, BC",7,8,4,03/07/2024,"$3,333,000"
13,Apartment/Condominium,"$5,143",1289 sqft,Yes,"$1,229",R2902671,,Residential,2017,,"608 - 1501 Vidal St, White Rock, BC",2,2,3,04/07/2024,"$1,585,000"
14,Single Family Residence,"$33,437",6832 sqft,Yes,$831,R2902461,,Residential,2004,,"13922 Terry Rd, White Rock, BC",6,6,5,03/07/2024,"$5,680,000"
15,Apartment/Condominium,"$2,068",1131 sqft,Yes,$467,R2901895,,Residential,1981,,"301 - 1521 Blackwood St, White Rock, BC",2,2,1,03/07/2024,"$529,000"
16,Single Family Residence,"$5,580",1060 sqft,No,"$1,320",R2900056,,Residential,1972,,"15855 Vine Ave, White Rock, BC",1,2,0,27/06/2024,"$1,400,000"
17,Apartment/Condominium,"$1,871",914 sqft,Yes,$546,R2900237,,Residential,1973,,"104 - 1360 Martin St, White Rock, BC",2,2,1,27/06/2024,"$499,900"
18,Single Family Residence,"$11,532",3000 sqft,No,"$1,096",R2899759,,Residential,1979,,"14810 Prospect Ave, White Rock, BC",3,4,3,27/06/2024,"$3,289,000"
19,Single Family Residence,"$8,006",1584 sqft,No,"$1,136",R2899968,,Residential,1975,,"1349 Oxford St, White Rock, BC",2,2,4,27/06/2024,"$1,799,900"
