,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
0,"130 - 4033 May Dr, Richmond, BC",1,1,653 sqft,,1,"$1,714",2020,R2898244,Residential,Yes,,$961,03/07/2024,"$620,000",23/06/2024,"$628,000",Apartment/Condominium
1,"301 - 7580 Minoru Blvd, Richmond, BC",1,1,820 sqft,,1,"$1,345",1987,R2898030,Residential,Yes,,$486,01/07/2024,"$510,000",19/06/2024,"$399,000",Apartment/Condominium
2,"5 - 7833 Ash St, Richmond, BC",3,2,1530 sqft,,1,"$2,628",2006,R2890707,Residential,Yes,,$653,30/06/2024,"$1,028,000",03/06/2024,"$999,999",Townhouse
3,"10233 Hayne Crt, Richmond, BC",6,4,3099 sqft,,4,"$5,643",1992,R2898172,Residential,Yes,,$732,30/06/2024,"$2,188,000",23/06/2024,"$2,270,000",Single Family Residence
4,"404 - 8851 Lansdowne Rd, Richmond, BC",1,1,745 sqft,,1,"$1,345",1995,R2899280,Residential,Yes,,$804,29/06/2024,"$600,000",25/06/2024,"$599,000",Apartment/Condominium
5,"910 - 8699 Hazelbridge Way, Richmond, BC",1,1,687 sqft,,0,"$2,165",2021,R2855457,Residential,Yes,,"$1,113",28/06/2024,"$740,000",03/03/2024,"$765,000",Apartment/Condominium
6,"2 - 7200 Ledway Rd, Richmond, BC",4,2,2431 sqft,,2,"$4,092",1988,R2893760,Residential,Yes,,$612,27/06/2024,"$1,478,000",08/06/2024,"$1,488,000",Townhouse
7,"201 - 6340 Buswell St, Richmond, BC",3,1,1184 sqft,,1,,1974,R2860710,Residential,Yes,,$379,27/06/2024,"$425,000",17/03/2024,"$448,800",Apartment/Condominium
8,"27 - 7600 Blundell Rd, Richmond, BC",4,2,2063 sqft,,2,"$4,267",1998,R2873480,Residential,Yes,,$819,27/06/2024,"$1,639,000",21/04/2024,"$1,690,000",Townhouse
9,"302 - 6888 Alderbridge Way, Richmond, BC",2,2,846 sqft,,1,"$1,994",2008,R2866345,Residential,Yes,,$907,26/06/2024,"$708,000",01/04/2024,"$768,000",Apartment/Condominium
10,"7491 Bates Rd, Richmond, BC",4,4,3819 sqft,,3,"$8,664",2010,R2861348,Residential,Yes,,$887,26/06/2024,"$3,168,000",19/03/2024,"$3,390,000",Single Family Residence
11,"7280 Ledway Rd, Richmond, BC",3,2,2445 sqft,,4,"$4,162",1987,R2896908,Residential,Yes,,$572,25/06/2024,"$1,525,000",18/06/2024,"$1,399,800",Townhouse
12,"7411 No. 5 Rd, Richmond, BC",1,1,1800 sqft,,4,"$7,504",1950,R2897940,Residential,No,,"$1,333",25/06/2024,"$2,399,800",19/06/2024,"$2,399,800",Single Family Residence
13,"119 - 8640 Citation Dr, Richmond, BC",1,1,646 sqft,,1,"$1,078",1980,R2895597,Residential,No,,$617,25/06/2024,"$380,000",11/06/2024,"$399,000",Apartment/Condominium
14,"509 - 5900 Alderbridge Way, Richmond, BC",1,1,587 sqft,,1,"$1,563",2008,R2895654,Residential,Yes,,$849,25/06/2024,"$530,000",16/06/2024,"$498,800",Apartment/Condominium
