,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
0,"103 - 14885 105 Avenue, Surrey, BC",2,2,934 sqft,,1,"$2,179",2003,R2899365,Residential,Yes,,$615,01/07/2024,"$570,000",24/06/2024,"$575,000",Apartment/Condominium
1,"415 - 2511 King George Boulevard, Surrey, BC",2,2,864 sqft,,1,"$1,803",2008,R2897983,Residential,Yes,,$578,28/06/2024,"$490,000",23/06/2024,"$499,900",Apartment/Condominium
2,"8449 152 Street, Surrey, BC",6,3,2658 sqft,,8,"$5,288",1981,R2892380,Residential,No,,$564,27/06/2024,"$1,475,000",09/06/2024,"$1,499,900",Single Family Residence
3,"618 - 10777 138 Street, Surrey, BC",2,2,780 sqft,,1,,2024,R2882095,Residential,Yes,,$870,26/06/2024,"$665,000",12/05/2024,"$678,880",Apartment/Condominium
4,"18660 60 A Avenue, Surrey, BC",3,2,1607 sqft,,0,"$4,773",1988,R2890297,Residential,Yes,,$871,25/06/2024,"$1,375,000",03/06/2024,"$1,399,999",Single Family Residence
5,"103 - 9765 140 Street, Surrey, BC",2,2,978 sqft,,1,"$1,984",1992,R2896572,Residential,Yes,,$598,24/06/2024,"$580,000",18/06/2024,"$584,900",Apartment/Condominium
6,"225 - 15138 34 Avenue, Surrey, BC",2,2,911 sqft,,2,"$2,401",2018,R2897207,Residential,Yes,,$712,24/06/2024,"$649,000",18/06/2024,"$649,000",Apartment/Condominium
7,"3212 - 13696 100 Avenue, Surrey, BC",2,1,656 sqft,,1,"$2,212",2017,R2895678,Residential,Yes,,$760,24/06/2024,"$525,000",16/06/2024,"$499,000",Apartment/Condominium
8,"8316 169 A Street, Surrey, BC",4,2,2541 sqft,,9,"$5,158",1997,R2898130,Residential,Yes,,$668,24/06/2024,"$1,670,000",20/06/2024,"$1,699,900",Single Family Residence
9,"74 - 6050 166 Street, Surrey, BC",3,3,2289 sqft,,3,"$3,747",2004,R2894602,Residential,Yes,,$436,23/06/2024,"$965,000",12/06/2024,"$999,800",Townhouse
10,"210 - 10092 148 Th Street, Surrey, BC",2,2,958 sqft,,1,"$2,218",2006,R2890355,Residential,Yes,,$573,23/06/2024,"$510,000",03/06/2024,"$549,000",Apartment/Condominium
