mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice
R2799412,999000.0,5.0,2.0,"31916 Coral Ave, Abbotsford, BC, Canada",2502.0,3.0,4676.0,399.0,1971.0,SingleFamily,16/08/2023,2023-07-17,999000.0
R2797152,498500.0,2.0,2.0,"33538 Marshall Rd, Abbotsford, BC, Canada",921.0,1.0,1642.0,542.0,2009.0,Condo,15/08/2023,2023-07-09,499999.0
R2789926,250000.0,1.0,1.0,"33490 Cottage Lane, Abbotsford, BC, Canada",884.0,1.0,858.0,304.0,1980.0,Condo,15/08/2023,2023-06-21,269000.0
R2804269,545000.0,2.0,2.0,"2493 Montrose Ave, Abbotsford, BC, Canada",874.0,1.0,2168.0,628.0,2020.0,Condo,15/08/2023,2023-08-07,549700.0
R2779627,1600000.0,4.0,3.0,"34095 Woodbine St, Abbotsford, BC, Canada",3262.0,8.0,5533.0,520.0,1968.0,SingleFamily,15/08/2023,2023-05-23,1699000.0
R2796372,582500.0,2.0,2.0,"3080 Gladwin Rd, Abbotsford, BC, Canada",806.0,1.0,2044.0,743.0,2017.0,Condo,14/08/2023,2023-07-09,599000.0
R2792154,490000.0,2.0,2.0,"2955 Diamond Cres, Abbotsford, BC, Canada",938.0,2.0,1626.0,549.0,2006.0,Condo,11/08/2023,2023-07-04,515000.0
R2803819,1275000.0,5.0,2.0,"34597 Calder Pl, Abbotsford, BC, Canada",3060.0,6.0,5027.0,424.0,1992.0,SingleFamily,10/08/2023,2023-07-31,1299000.0
R2806215,411000.0,2.0,2.0,"2958 Trethewey St, Abbotsford, BC, Canada",951.0,0.0,1348.0,441.0,1994.0,Condo,09/08/2023,2023-08-07,419999.0
R2805280,625000.0,2.0,2.0,"3293 Firhill Dr, Abbotsford, BC, Canada",1579.0,4.0,2292.0,395.0,1991.0,Townhouse,09/08/2023,2023-08-07,625000.0
R2803407,399000.0,2.0,2.0,"32823 Landeau Pl, Abbotsford, BC, Canada",1140.0,1.0,1047.0,350.0,1986.0,Condo,09/08/2023,2023-07-31,399000.0
