mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice
R2887450,585000.0,1.0,1.0,"4689 Hazel St, Burnaby, BC, Canada",724.0,1.0,1449.0,827.0,1994.0,Condo,02/07/2024,2024-05-26,599000.0
R2898391,460000.0,1.0,1.0,"6759 Willingdon Ave, Burnaby, BC, Canada",698.0,1.0,1116.0,598.0,1976.0,Condo,02/07/2024,2024-06-23,418000.0
R2894817,1830000.0,4.0,2.0,"4136 Cambridge St, Burnaby, BC, Canada",1886.0,2.0,5088.0,1006.0,1914.0,SingleFamily,02/07/2024,2024-06-12,1898000.0
R2898921,803000.0,2.0,1.0,"7000 21st Ave, Burnaby, BC, Canada",1021.0,1.0,2112.0,779.0,2005.0,Townhouse,02/07/2024,2024-06-24,796000.0
R2880501,870000.0,2.0,2.0,"6383 Mckay Ave, Burnaby, BC, Canada",804.0,1.0,2597.0,993.0,2020.0,Condo,01/07/2024,2024-05-05,799000.0
R2880722,840000.0,2.0,2.0,"2188 Madison Ave, Burnaby, BC, Canada",878.0,1.0,2364.0,967.0,2018.0,Condo,30/06/2024,2024-05-06,849900.0
R2895135,705000.0,2.0,2.0,"8940 University Cres, Burnaby, BC, Canada",961.0,1.0,2038.0,715.0,2021.0,Condo,29/06/2024,2024-06-13,688000.0
R2892563,595000.0,1.0,1.0,"7328 Arcola St, Burnaby, BC, Canada",626.0,2.0,1488.0,982.0,2009.0,Condo,29/06/2024,2024-06-09,615000.0
R2842032,918000.0,2.0,2.0,"6188 Patterson Ave, Burnaby, BC, Canada",1168.0,2.0,2000.0,812.0,1993.0,Condo,29/06/2024,2024-01-15,949000.0
R2897382,670000.0,2.0,2.0,"3811 Hastings St, Burnaby, BC, Canada",760.0,1.0,1901.0,894.0,2007.0,Condo,28/06/2024,2024-06-19,679900.0
R2894807,720000.0,2.0,2.0,"3811 Hastings St, Burnaby, BC, Canada",975.0,1.0,2250.0,768.0,2006.0,Condo,28/06/2024,2024-06-12,749000.0
R2890490,1877777.0,3.0,2.0,"2355 Madison Ave, Burnaby, BC, Canada",1800.0,3.0,4452.0,1110.0,2007.0,Condo,27/06/2024,2024-06-03,1998000.0
R2892429,2650000.0,5.0,3.0,"3812 Eton St, Burnaby, BC, Canada",3590.0,2.0,7375.0,738.0,1994.0,SingleFamily,26/06/2024,2024-06-11,2649888.0
R2896171,640000.0,2.0,1.0,"3920 Hastings St, Burnaby, BC, Canada",1116.0,1.0,1669.0,581.0,1986.0,Condo,26/06/2024,2024-06-17,649000.0
R2899500,479500.0,1.0,1.0,"3883 Laurel St, Burnaby, BC, Canada",670.0,1.0,986.0,716.0,1983.0,Condo,25/06/2024,2024-06-25,479999.0
R2896811,643900.0,1.0,1.0,"4720 Lougheed Highway, Burnaby, BC, Canada",506.0,1.0,1480.0,1183.0,2022.0,Condo,25/06/2024,2024-06-18,599000.0
R2884826,1118000.0,3.0,2.0,"3379 Morrey Crt, Burnaby, BC, Canada",1328.0,2.0,2821.0,856.0,2005.0,Townhouse,25/06/2024,2024-05-14,1138000.0
R2896827,620000.0,2.0,1.0,"4194 Maywood St, Burnaby, BC, Canada",905.0,1.0,1580.0,693.0,1985.0,Condo,25/06/2024,2024-06-16,628000.0
R2895491,880000.0,2.0,2.0,"5611 Goring St, Burnaby, BC, Canada",1118.0,2.0,2316.0,787.0,2008.0,Condo,25/06/2024,2024-06-16,880000.0
R2893907,792000.0,3.0,2.0,"6622 Southoaks Cres, Burnaby, BC, Canada",1181.0,1.0,2040.0,677.0,1997.0,Condo,25/06/2024,2024-06-11,799999.0
R2883152,870000.0,3.0,2.0,"7428 Byrnepark Walk, Burnaby, BC, Canada",949.0,2.0,2175.0,947.0,2010.0,Condo,24/06/2024,2024-05-13,899000.0
R2889374,550000.0,1.0,1.0,"4118 Dawson St, Burnaby, BC, Canada",639.0,1.0,1532.0,891.0,2006.0,Condo,24/06/2024,2024-05-29,569900.0
R2897042,1238000.0,3.0,3.0,"6498 Elgin Ave, Burnaby, BC, Canada",1416.0,2.0,3176.0,846.0,2007.0,Townhouse,24/06/2024,2024-06-18,1199000.0
R2896432,778800.0,2.0,2.0,"6838 Station Hill Dr, Burnaby, BC, Canada",1086.0,1.0,1997.0,717.0,1996.0,Condo,24/06/2024,2024-06-16,778800.0
R2894098,1950888.0,5.0,4.0,"8866 Yarrow Pl, Burnaby, BC, Canada",2517.0,4.0,5665.0,750.0,1991.0,SingleFamily,24/06/2024,2024-06-11,1888000.0
R2892406,816000.0,2.0,2.0,"2232 Douglas Rd, Burnaby, BC, Canada",900.0,1.0,2163.0,920.0,2012.0,Condo,24/06/2024,2024-06-09,828000.0
R2890046,1060000.0,3.0,2.0,"6699 Dunblane Ave, Burnaby, BC, Canada",926.0,1.0,3240.0,1090.0,2021.0,Condo,23/06/2024,2024-06-02,1010000.0
R2893090,680000.0,2.0,2.0,"3811 Hastings St, Burnaby, BC, Canada",763.0,1.0,1879.0,903.0,2007.0,Condo,23/06/2024,2024-06-09,689000.0
R2889180,740000.0,3.0,2.0,"7025 Stride Ave, Burnaby, BC, Canada",1091.0,1.0,1825.0,687.0,1992.0,Condo,23/06/2024,2024-05-27,749900.0
R2895979,610000.0,1.0,1.0,"6888 Southpoint Dr, Burnaby, BC, Canada",751.0,2.0,1579.0,798.0,2006.0,Condo,23/06/2024,2024-06-17,599900.0
R2895326,518000.0,1.0,1.0,"3738 Norfolk St, Burnaby, BC, Canada",745.0,1.0,1357.0,670.0,1994.0,Condo,23/06/2024,2024-06-16,499888.0
R2890056,1700000.0,4.0,1.0,"8275 Joffre Ave, Burnaby, BC, Canada",2126.0,0.0,5192.0,870.0,1955.0,SingleFamily,22/06/2024,2024-06-02,1850000.0
R2892479,675000.0,1.0,1.0,"4132 Halifax St, Burnaby, BC, Canada",855.0,1.0,1864.0,817.0,2005.0,Condo,22/06/2024,2024-06-06,699000.0
R2884930,619000.0,1.0,1.0,"7063 Hall Ave, Burnaby, BC, Canada",643.0,1.0,1434.0,978.0,2007.0,Condo,22/06/2024,2024-05-20,629000.0
R2897010,625000.0,2.0,1.0,"6540 Burlington Ave, Burnaby, BC, Canada",1127.0,1.0,1668.0,576.0,1983.0,Condo,22/06/2024,2024-06-18,650000.0
R2895627,825000.0,2.0,2.0,"2188 Madison Ave, Burnaby, BC, Canada",871.0,2.0,2236.0,940.0,2018.0,Condo,22/06/2024,2024-06-16,819000.0
R2890455,850000.0,2.0,2.0,"4720 Lougheed Highway, Burnaby, BC, Canada",723.0,1.0,2316.0,1189.0,2022.0,Condo,22/06/2024,2024-06-03,859900.0
R2878895,780000.0,2.0,2.0,"2355 Madison Ave, Burnaby, BC, Canada",833.0,1.0,2044.0,957.0,2007.0,Condo,21/06/2024,2024-05-02,798000.0
R2894564,2580000.0,4.0,3.0,"4264 Pender St, Burnaby, BC, Canada",2406.0,2.0,6458.0,1075.0,2014.0,SingleFamily,21/06/2024,2024-06-12,2588000.0
R2881917,730000.0,2.0,2.0,"4788 Brentwood Dr, Burnaby, BC, Canada",830.0,1.0,1688.0,889.0,2008.0,Condo,21/06/2024,2024-05-12,738000.0
R2885952,830000.0,2.0,2.0,"4398 Buchanan St, Burnaby, BC, Canada",1196.0,1.0,2376.0,710.0,2001.0,Condo,21/06/2024,2024-05-20,849900.0
R2894794,799000.0,2.0,2.0,"4425 Halifax St, Burnaby, BC, Canada",1105.0,2.0,2163.0,723.0,1999.0,Condo,20/06/2024,2024-06-12,799000.0
R2880720,725000.0,2.0,2.0,"4833 Brentwood Dr, Burnaby, BC, Canada",821.0,1.0,1954.0,912.0,2008.0,Condo,20/06/2024,2024-05-06,749000.0
R2889305,681300.0,2.0,2.0,"4888 Brentwood Dr, Burnaby, BC, Canada",835.0,1.0,1938.0,836.0,2008.0,Condo,20/06/2024,2024-05-30,698888.0
R2868506,846000.0,2.0,2.0,"2388 Madison Ave, Burnaby, BC, Canada",827.0,2.0,2341.0,1049.0,2019.0,Condo,20/06/2024,2024-04-08,868000.0
R2895515,812000.0,2.0,2.0,"2188 Madison Ave, Burnaby, BC, Canada",931.0,1.0,2381.0,890.0,2018.0,Condo,20/06/2024,2024-06-16,829000.0
R2896234,536000.0,2.0,1.0,"9890 Manchester Dr, Burnaby, BC, Canada",898.0,1.0,1277.0,596.0,1981.0,Condo,20/06/2024,2024-06-17,536000.0
R2879262,742000.0,2.0,2.0,"7328 Arcola St, Burnaby, BC, Canada",849.0,1.0,1994.0,881.0,2009.0,Condo,20/06/2024,2024-05-05,748000.0
R2884553,1080000.0,3.0,2.0,"9868 Cameron St, Burnaby, BC, Canada",1419.0,2.0,3318.0,816.0,2009.0,Condo,19/06/2024,2024-05-19,1158000.0
R2887853,650000.0,1.0,1.0,"4730 Lougheed Highway, Burnaby, BC, Canada",535.0,1.0,1885.0,1250.0,2023.0,Condo,19/06/2024,2024-05-27,669000.0
R2885318,1200000.0,2.0,2.0,"6188 Wilson Ave, Burnaby, BC, Canada",1255.0,1.0,2992.0,1009.0,2010.0,Condo,19/06/2024,2024-05-20,1266900.0
R2865127,1672500.0,4.0,3.0,"6697 Lochdale St, Burnaby, BC, Canada",1996.0,3.0,4427.0,850.0,2006.0,MultiFamily,19/06/2024,2024-04-01,1698000.0
