mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice
R2896874,485000.0,1.0,1.0,"9015 120St, Delta, BC, Canada",644.0,1.0,1315.0,774.0,2019.0,Condo,28/06/2024,2024-06-18,499000.0
R2898852,1115000.0,4.0,2.0,"5550 Admiral Way, Delta, BC, Canada",1665.0,3.0,3472.0,672.0,2017.0,Townhouse,26/06/2024,2024-06-24,1120000.0
R2887819,925000.0,2.0,2.0,"4955 River Rd, Delta, BC, Canada",1401.0,2.0,2563.0,677.0,1990.0,Condo,24/06/2024,2024-05-26,949000.0
R2896418,1005000.0,3.0,2.0,"4756 62St, Delta, BC, Canada",1551.0,2.0,3012.0,580.0,1991.0,Townhouse,24/06/2024,2024-06-17,899900.0
R2896382,2175000.0,5.0,2.0,"897 Gale Pl, Delta, BC, Canada",2753.0,6.0,5738.0,753.0,1970.0,SingleFamily,24/06/2024,2024-06-17,2075000.0
R2895382,1351333.0,3.0,2.0,"5389 Laurel Way, Delta, BC, Canada",1850.0,4.0,4343.0,702.0,1986.0,SingleFamily,23/06/2024,2024-06-16,1299999.0
R2896052,1381000.0,5.0,2.0,"6032 45 Ave, Delta, BC, Canada",2045.0,3.0,3903.0,635.0,1977.0,SingleFamily,23/06/2024,2024-06-17,1299000.0
R2874693,1345000.0,4.0,2.0,"4486 61St, Delta, BC, Canada",2491.0,1.0,3958.0,561.0,1977.0,SingleFamily,23/06/2024,2024-04-23,1399900.0
R2890971,567500.0,2.0,1.0,"11967 80 Ave, Delta, BC, Canada",576.0,1.0,2220.0,954.0,2017.0,Condo,23/06/2024,2024-06-04,549900.0
R2896720,1500000.0,3.0,2.0,"5050 Wallace Ave, Delta, BC, Canada",1863.0,4.0,5232.0,778.0,1973.0,SingleFamily,22/06/2024,2024-06-17,1449900.0
R2857442,1350000.0,3.0,2.0,"6302 Dawn Dr, Delta, BC, Canada",2093.0,6.0,4653.0,711.0,1988.0,SingleFamily,22/06/2024,2024-03-07,1490000.0
R2888776,1480000.0,4.0,2.0,"4578 Kensington Crt, Delta, BC, Canada",2521.0,4.0,4889.0,624.0,1990.0,SingleFamily,20/06/2024,2024-05-29,1575000.0
R2897482,1620000.0,5.0,3.0,"1255 49St, Delta, BC, Canada",3280.0,4.0,5124.0,467.0,1978.0,SingleFamily,20/06/2024,2024-06-19,1535000.0
R2897998,920000.0,3.0,2.0,"10735 84 Ave, Delta, BC, Canada",1492.0,2.0,3034.0,626.0,2015.0,Townhouse,20/06/2024,2024-06-19,935000.0
R2897628,817999.0,2.0,2.0,"11501 84 Ave, Delta, BC, Canada",1183.0,2.0,2657.0,691.0,2020.0,Condo,20/06/2024,2024-06-18,817999.0
R2897036,1610000.0,2.0,2.0,"1636 Fir Springs Lane, Delta, BC, Canada",1798.0,4.0,4907.0,889.0,2015.0,SingleFamily,19/06/2024,2024-06-18,1599900.0
R2859568,535000.0,2.0,1.0,"11967 80 Ave, Delta, BC, Canada",577.0,1.0,1663.0,970.0,2017.0,Condo,18/06/2024,2024-03-11,559995.0
R2894886,237000.0,2.0,1.0,"4515 River Rd W, Delta, BC, Canada",761.0,1.0,500.0,314.0,1986.0,SingleFamily,17/06/2024,2024-06-12,239000.0
