mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice
R2899365,570000.0,2.0,2.0,"14885 105 Avenue, Surrey, BC, Canada",934.0,1.0,2179.0,615.0,2003.0,Condo,01/07/2024,2024-06-24,575000.0
R2897983,490000.0,2.0,2.0,"2511 King George Boulevard, Surrey, BC, Canada",864.0,1.0,1803.0,578.0,2008.0,Condo,28/06/2024,2024-06-23,499900.0
R2892380,1475000.0,6.0,3.0,"8449 152 Street, Surrey, BC, Canada",2658.0,8.0,5288.0,564.0,1981.0,SingleFamily,27/06/2024,2024-06-09,1499900.0
R2890297,1375000.0,3.0,2.0,"18660 60 A Avenue, Surrey, BC, Canada",1607.0,0.0,4773.0,871.0,1988.0,SingleFamily,25/06/2024,2024-06-03,1399999.0
R2896572,580000.0,2.0,2.0,"9765 140 Street, Surrey, BC, Canada",978.0,1.0,1984.0,598.0,1992.0,Condo,24/06/2024,2024-06-18,584900.0
R2897207,649000.0,2.0,2.0,"15138 34 Avenue, Surrey, BC, Canada",911.0,2.0,2401.0,712.0,2018.0,Condo,24/06/2024,2024-06-18,649000.0
R2895678,525000.0,2.0,1.0,"13696 100 Avenue, Surrey, BC, Canada",656.0,1.0,2212.0,760.0,2017.0,Condo,24/06/2024,2024-06-16,499000.0
R2898130,1670000.0,4.0,2.0,"8316 169 A Street, Surrey, BC, Canada",2541.0,9.0,5158.0,668.0,1997.0,SingleFamily,24/06/2024,2024-06-20,1699900.0
R2894602,965000.0,3.0,3.0,"6050 166 Street, Surrey, BC, Canada",2289.0,3.0,3747.0,436.0,2004.0,Townhouse,23/06/2024,2024-06-12,999800.0
R2890355,510000.0,2.0,2.0,"10092 148Th Street, Surrey, BC, Canada",958.0,1.0,2218.0,573.0,2006.0,Condo,23/06/2024,2024-06-03,549000.0
R2881156,737000.0,3.0,2.0,"10581 140 Street, Surrey, BC, Canada",1531.0,2.0,2580.0,489.0,2019.0,Townhouse,23/06/2024,2024-05-08,749999.0
R2895038,908000.0,4.0,3.0,"14955 60 Avenue, Surrey, BC, Canada",1693.0,4.0,3473.0,531.0,2012.0,Townhouse,23/06/2024,2024-06-13,900000.0
R2896767,565000.0,2.0,2.0,"9765 140 Street, Surrey, BC, Canada",1082.0,2.0,2069.0,508.0,1992.0,Condo,23/06/2024,2024-06-18,549999.0
R2895959,485000.0,1.0,1.0,"6440 194 Street, Surrey, BC, Canada",601.0,1.0,1801.0,665.0,2010.0,Condo,23/06/2024,2024-06-17,399999.0
R2889668,440000.0,2.0,1.0,"10468 148 Street, Surrey, BC, Canada",871.0,1.0,1840.0,516.0,1985.0,Condo,23/06/2024,2024-06-02,449900.0
R2897288,895000.0,3.0,2.0,"15273 24 Avenue, Surrey, BC, Canada",1710.0,2.0,2955.0,526.0,1991.0,Townhouse,23/06/2024,2024-06-20,899900.0
R2884651,790000.0,3.0,2.0,"6555 192 A Street, Surrey, BC, Canada",1432.0,3.0,3040.0,557.0,2005.0,Townhouse,23/06/2024,2024-05-20,798000.0
R2892226,853500.0,3.0,2.0,"12711 64 Street, Surrey, BC, Canada",1997.0,2.0,3426.0,445.0,2004.0,Townhouse,23/06/2024,2024-06-09,889000.0
R2891324,1620000.0,5.0,3.0,"16825 80 Avenue, Surrey, BC, Canada",3237.0,4.0,6076.0,523.0,1997.0,SingleFamily,23/06/2024,2024-06-05,1695000.0
R2884144,975000.0,2.0,2.0,"16433 64 Avenue, Surrey, BC, Canada",1476.0,2.0,2957.0,687.0,2010.0,Condo,23/06/2024,2024-05-16,1015000.0
R2893205,568000.0,2.0,2.0,"1685 152 A Street, Surrey, BC, Canada",975.0,1.0,2155.0,600.0,2002.0,Condo,23/06/2024,2024-06-10,585000.0
R2875681,1460000.0,3.0,2.0,"3699 Nico Wynd Drive, Surrey, BC, Canada",2252.0,4.0,4766.0,678.0,1983.0,Townhouse,23/06/2024,2024-04-24,1529000.0
R2894122,1330000.0,3.0,3.0,"3618 150 Street, Surrey, BC, Canada",2166.0,4.0,4480.0,640.0,2018.0,Townhouse,23/06/2024,2024-06-09,1388000.0
R2876063,962000.0,2.0,2.0,"14588 Mcdougall Drive, Surrey, BC, Canada",1562.0,2.0,2972.0,632.0,2021.0,Condo,22/06/2024,2024-04-28,988000.0
R2890360,1175000.0,4.0,2.0,"14417 16 Avenue, Surrey, BC, Canada",2368.0,4.0,4670.0,519.0,1979.0,SingleFamily,22/06/2024,2024-06-03,1230000.0
R2878364,915000.0,4.0,3.0,"13898 64 Avenue, Surrey, BC, Canada",1678.0,0.0,3404.0,559.0,2021.0,Townhouse,22/06/2024,2024-04-30,939000.0
